Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1515999120000,0.50000000,0.50000000,0.01200000,0.02000000,11491.05000000,1515999179999,266.50032512,354,8183.22000000,197.55837072
1515999180000,0.02000000,0.04000000,0.01500000,0.02500000,27107.53000000,1515999239999,661.39613353,577,19648.02000000,486.10477206
1515999240000,0.03000000,0.04000000,0.02500000,0.02899900,13123.38000000,1515999299999,378.51756306,480,10095.82000000,294.32117465
1515999300000,0.02899900,0.02900000,0.01600000,0.01600000,6824.07000000,1515999359999,169.23614318,400,2949.09000000,76.82881198
1515999360000,0.01600000,0.02000000,0.01000000,0.01600000,19582.41000000,1515999419999,275.79904666,327,13492.39000000,194.73848577
1515999420000,0.01600000,0.01890000,0.01250000,0.01500000,6845.57000000,1515999479999,104.75111636,228,2518.46000000,39.22454453
1515999480000,0.01499900,0.01550000,0.01100700,0.01379900,9411.99000000,1515999539999,119.25943047,217,5214.20000000,68.00055690
1515999540000,0.01379900,0.01399000,0.01000000,0.01114200,19535.23000000,1515999599999,234.39912852,269,7572.57000000,100.22329878
1515999600000,0.01049100,0.01200000,0.00911100,0.00911100,17114.86000000,1515999659999,178.67621511,249,4244.13000000,47.89364923
1515999660000,0.00960000,0.01179900,0.00901100,0.01150000,12740.09000000,1515999719999,139.87943168,242,9695.99000000,108.87533331
1515999720000,0.01150000,0.01177000,0.01000000,0.01089900,5747.68000000,1515999779999,61.24075789,123,2132.77000000,24.01909252
1515999780000,0.01089900,0.01089900,0.00777700,0.00910100,31781.94000000,1515999839999,284.41214377,280,9019.89000000,79.75319753
1515999840000,0.00910100,0.00950000,0.00802000,0.00850000,18444.47000000,1515999899999,160.21745829,216,9594.69000000,83.65521234
1515999900000,0.00850000,0.00989700,0.00850000,0.00900000,17726.28000000,1515999959999,162.75629616,160,14276.65000000,131.37200353
1515999960000,0.00900000,0.00989900,0.00900000,0.00970000,17057.67000000,1516000019999,158.30991770,106,10205.05000000,94.69271692
1516000020000,0.00950000,0.00970000,0.00920000,0.00949700,12069.28000000,1516000079999,112.05041664,119,9598.88000000,89.22749128
1516000080000,0.00930000,0.00949700,0.00905200,0.00939900,15704.13000000,1516000139999,147.87114190,154,14665.06000000,138.30919087
1516000140000,0.00939900,0.01000000,0.00925200,0.01000000,9493.55000000,1516000199999,90.39819274,141,9080.08000000,86.45793077
1516000200000,0.00990000,0.01140000,0.00990000,0.01080000,17902.16000000,1516000259999,186.85155748,236,14028.41000000,145.92813355
1516000260000,0.01080000,0.01189600,0.01040100,0.01189500,16735.39000000,1516000319999,181.56668567,210,10225.58000000,111.66560804
1516000320000,0.01150000,0.01189600,0.01120100,0.01134800,10831.52000000,1516000379999,124.63622589,227,7291.89000000,84.09078948
1516000380000,0.01134800,0.01159900,0.01080000,0.01102000,9565.71000000,1516000439999,106.84268595,159,2504.75000000,27.99153645
1516000440000,0.01102300,0.01128800,0.00997700,0.01050000,8380.09000000,1516000499999,88.99768245,183,5056.85000000,53.82014080
1516000500000,0.01060000,0.01098900,0.01030100,0.01076900,11011.87000000,1516000559999,115.60152756,116,7400.50000000,78.23122567
1516000560000,0.01060000,0.01076900,0.01030300,0.01049600,11398.42000000,1516000619999,119.61271291,128,9432.45000000,99.09692262
1516000620000,0.01045000,0.01050500,0.01030100,0.01040000,6772.02000000,1516000679999,70.74314696,129,5591.07000000,58.51781984
1516000680000,0.01050500,0.01050500,0.01005400,0.01019000,5944.37000000,1516000739999,60.95141478,126,3076.76000000,31.56733746
1516000740000,0.01030000,0.01040000,0.01000000,0.01019900,14913.90000000,1516000799999,151.71294777,174,12752.66000000,130.01885859
1516000800000,0.01028900,0.01028900,0.00980100,0.00980100,3361.57000000,1516000859999,33.83923792,94,477.06000000,4.84393541
1516000860000,0.00980200,0.01000000,0.00905500,0.00999900,7781.71000000,1516000919999,75.89952507,119,3062.69000000,29.97164322
1516000920000,0.00975000,0.01010000,0.00910000,0.00950000,8888.09000000,1516000979999,87.59088498,121,6625.09000000,66.18703872
1516000980000,0.00995000,0.00999900,0.00921000,0.00929000,25374.34000000,1516001039999,238.70079254,149,14685.16000000,139.02516617
1516001040000,0.00980000,0.00989300,0.00960000,0.00960400,3034.98000000,1516001099999,29.45721733,57,1505.01000000,14.67438458
1516001100000,0.00960000,0.00980000,0.00934100,0.00980000,9346.09000000,1516001159999,89.81642919,161,6843.91000000,66.23910367
1516001160000,0.00979900,0.00985000,0.00970000,0.00979500,3326.18000000,1516001219999,32.54822529,76,1933.60000000,18.91439610
1516001220000,0.00980000,0.00980000,0.00911500,0.00911500,4478.09000000,1516001279999,42.01210457,125,559.22000000,5.28116398
1516001280000,0.00911500,0.00940700,0.00860000,0.00930000,7409.19000000,1516001339999,67.33193027,160,2800.07000000,25.50488145
1516001340000,0.00929900,0.00929900,0.00895200,0.00920000,9761.49000000,1516001399999,90.25896002,87,8711.17000000,80.77366377
1516001400000,0.00920000,0.00920000,0.00882000,0.00909900,5490.49000000,1516001459999,49.49068652,95,2318.50000000,21.04164040
1516001460000,0.00915000,0.00919900,0.00890100,0.00917600,10658.64000000,1516001519999,97.68029486,132,10157.15000000,93.15326707
1516001520000,0.00920000,0.00947500,0.00901100,0.00930000,11698.77000000,1516001579999,108.00600083,137,9306.71000000,85.89165768
1516001580000,0.00947400,0.00959800,0.00930000,0.00949900,6303.36000000,1516001639999,59.73940900,109,5581.18000000,52.99161644
1516001640000,0.00949900,0.00985000,0.00949900,0.00979900,7347.44000000,1516001699999,71.60337293,123,4913.92000000,47.96257502
1516001700000,0.00979500,0.00980000,0.00930000,0.00934600,7759.37000000,1516001759999,73.89003115,118,4074.87000000,38.93163954
1516001760000,0.00933000,0.00940000,0.00900100,0.00929900,9760.11000000,1516001819999,89.52392555,91,4681.36000000,43.09113544
1516001820000,0.00929600,0.00930000,0.00921500,0.00924400,2893.14000000,1516001879999,26.86459958,46,2356.74000000,21.89254064
1516001880000,0.00929600,0.00930000,0.00911800,0.00920000,6360.23000000,1516001939999,59.07176797,75,5387.81000000,50.09249516
1516001940000,0.00920000,0.00920000,0.00870000,0.00880000,11648.81000000,1516001999999,103.47085206,97,6486.79000000,57.55515349
1516002000000,0.00891000,0.00901000,0.00853000,0.00857200,6929.63000000,1516002059999,60.44623968,91,3094.36000000,27.26570036
1516002060000,0.00857300,0.00888700,0.00814000,0.00830100,10325.69000000,1516002119999,87.41599154,122,3307.55000000,28.68813039
1516002120000,0.00830100,0.00869400,0.00820000,0.00854900,16109.75000000,1516002179999,136.43498221,128,13290.60000000,112.94902639
1516002180000,0.00821000,0.00868000,0.00821000,0.00859000,6105.62000000,1516002239999,52.31447686,95,5926.23000000,50.78317061
1516002240000,0.00868000,0.00880000,0.00860000,0.00865100,5598.03000000,1516002299999,48.73664376,76,4756.22000000,41.41567553
1516002300000,0.00865100,0.00870000,0.00840000,0.00855000,3826.69000000,1516002359999,32.62056931,75,2391.98000000,20.48140616
1516002360000,0.00854900,0.00859900,0.00832000,0.00832000,2591.37000000,1516002419999,21.87040521,64,1231.86000000,10.51794808
1516002420000,0.00832000,0.00855900,0.00831900,0.00843600,4989.35000000,1516002479999,41.77546981,62,3208.63000000,26.93699173
1516002480000,0.00842500,0.00842800,0.00831900,0.00839500,8572.84000000,1516002539999,71.55484925,68,1956.84000000,16.32463070
1516002540000,0.00839500,0.00843800,0.00814000,0.00821000,11791.17000000,1516002599999,98.11650562,122,6462.20000000,53.95297146
1516002600000,0.00821000,0.00843800,0.00814000,0.00838500,7693.72000000,1516002659999,62.97041993,90,1461.68000000,12.15003362
1516002660000,0.00838500,0.00879400,0.00834000,0.00860200,14604.04000000,1516002719999,125.35584707,154,10991.76000000,94.00012351
1516002720000,0.00869900,0.00871000,0.00856000,0.00870000,5249.23000000,1516002779999,45.15212063,73,4895.17000000,42.10704237
1516002780000,0.00870000,0.00899000,0.00860000,0.00878200,9307.48000000,1516002839999,81.40979731,78,9030.78000000,78.99445324
1516002840000,0.00878400,0.00910000,0.00878200,0.00889900,6940.81000000,1516002899999,62.29466674,111,5572.10000000,50.11659167
1516002900000,0.00889900,0.00889900,0.00850000,0.00879900,13110.17000000,1516002959999,114.56080412,102,8240.04000000,71.81319063
1516002960000,0.00879700,0.00879700,0.00860100,0.00861400,4837.37000000,1516003019999,41.84635783,35,4203.94000000,36.39353620
1516003020000,0.00861400,0.00890000,0.00860000,0.00874000,9677.73000000,1516003079999,84.30987401,85,8958.25000000,78.11294271
1516003080000,0.00890000,0.00890100,0.00874800,0.00888700,1994.39000000,1516003139999,17.55136426,54,857.56000000,7.59818384
1516003140000,0.00874000,0.00874900,0.00840000,0.00840000,3946.86000000,1516003199999,34.09756818,54,2700.90000000,23.33262536
1516003200000,0.00840100,0.00870000,0.00840100,0.00869600,5210.53000000,1516003259999,44.63159239,57,4310.19000000,36.91531722
1516003260000,0.00869600,0.00889900,0.00850600,0.00887900,3961.93000000,1516003319999,34.55410545,64,3130.57000000,27.45000634
1516003320000,0.00887900,0.00888000,0.00861000,0.00874800,5651.14000000,1516003379999,49.83472885,42,3359.74000000,29.62570151
