Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1516773720000,0.00023025,0.00023025,0.00000690,0.00001200,5084582.00000000,1516773779999,67.61629588,617,3314439.00000000,50.84528010
1516773780000,0.00001200,0.00001365,0.00000650,0.00000650,8326503.00000000,1516773839999,67.46081927,815,3590971.00000000,31.65582359
1516773840000,0.00000643,0.00000650,0.00000576,0.00000640,12639951.00000000,1516773899999,77.20269323,595,4029959.00000000,25.02921731
1516773900000,0.00000643,0.00000660,0.00000609,0.00000610,8023733.00000000,1516773959999,50.45162604,627,3584914.00000000,22.57111754
1516773960000,0.00000609,0.00000610,0.00000557,0.00000600,10830664.00000000,1516774019999,63.42195243,574,4547668.00000000,26.64063414
1516774020000,0.00000600,0.00000611,0.00000570,0.00000586,6820185.00000000,1516774079999,40.03063948,499,2915586.00000000,17.18730121
1516774080000,0.00000585,0.00000630,0.00000575,0.00000630,6296226.00000000,1516774139999,38.05925130,429,3834702.00000000,23.30912613
1516774140000,0.00000630,0.00000641,0.00000585,0.00000608,6092738.00000000,1516774199999,37.93211812,568,2906816.00000000,18.24344012
1516774200000,0.00000608,0.00000627,0.00000600,0.00000604,4266384.00000000,1516774259999,25.96248730,323,2220793.00000000,13.54618339
1516774260000,0.00000604,0.00000610,0.00000584,0.00000586,7250191.00000000,1516774319999,43.50069691,477,2884914.00000000,17.34586552
1516774320000,0.00000588,0.00000605,0.00000586,0.00000595,7467418.00000000,1516774379999,44.50691358,336,3377499.00000000,20.21593471
1516774380000,0.00000595,0.00000599,0.00000559,0.00000567,7163235.00000000,1516774439999,41.42289492,559,2113557.00000000,12.30865485
1516774440000,0.00000566,0.00000566,0.00000510,0.00000524,8266584.00000000,1516774499999,44.35670137,476,2424573.00000000,12.87744273
1516774500000,0.00000521,0.00000565,0.00000520,0.00000549,6520708.00000000,1516774559999,35.27883287,363,3028735.00000000,16.39511348
1516774560000,0.00000549,0.00000570,0.00000549,0.00000570,3262675.00000000,1516774619999,18.35810838,285,2490198.00000000,14.01899513
1516774620000,0.00000570,0.00000595,0.00000569,0.00000585,7389706.00000000,1516774679999,43.14702795,496,4107483.00000000,24.05638582
1516774680000,0.00000585,0.00000587,0.00000570,0.00000581,2329281.00000000,1516774739999,13.51303904,303,1275104.00000000,7.42823504
1516774740000,0.00000581,0.00000605,0.00000580,0.00000605,6851071.00000000,1516774799999,40.74813022,433,4260961.00000000,25.33621766
1516774800000,0.00000605,0.00000621,0.00000574,0.00000575,12093279.00000000,1516774859999,73.30176372,713,6006541.00000000,36.47215216
1516774860000,0.00000575,0.00000603,0.00000564,0.00000592,4189283.00000000,1516774919999,24.53887856,325,2785005.00000000,16.39885138
