Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1516773720000,0.00252280,0.00252280,0.00007000,0.00019000,608512.00000000,1516773779999,94.67079760,213,529075.00000000,76.45536130
1516773780000,0.00019000,0.00020000,0.00006000,0.00007850,2922660.00000000,1516773839999,273.87051740,460,2100886.00000000,200.79691110
1516773840000,0.00007490,0.00007600,0.00006040,0.00007000,6147128.00000000,1516773899999,404.20777180,267,5914188.00000000,388.73863920
1516773900000,0.00007000,0.00007400,0.00006530,0.00006790,2236920.00000000,1516773959999,152.94090390,254,1303888.00000000,89.24426650
1516773960000,0.00006790,0.00006800,0.00006200,0.00006500,1835035.00000000,1516774019999,119.09222450,196,823101.00000000,53.41217930
1516774020000,0.00006500,0.00006800,0.00006250,0.00006460,793011.00000000,1516774079999,51.14221440,166,340908.00000000,22.19955150
1516774080000,0.00006470,0.00007100,0.00006350,0.00006800,946646.00000000,1516774139999,62.75477850,153,556918.00000000,37.11491200
1516774140000,0.00007100,0.00007100,0.00006420,0.00006680,1348612.00000000,1516774199999,90.78779690,229,514375.00000000,35.09034630
1516774200000,0.00006680,0.00006790,0.00006400,0.00006620,1101687.00000000,1516774259999,72.75991610,154,318436.00000000,21.12931450
1516774260000,0.00006640,0.00006640,0.00006400,0.00006420,954942.00000000,1516774319999,62.66424830,150,530042.00000000,34.96976470
1516774320000,0.00006430,0.00006550,0.00006330,0.00006520,1300406.00000000,1516774379999,83.88142050,129,821992.00000000,53.14325420
1516774380000,0.00006520,0.00006520,0.00006000,0.00006200,1893467.00000000,1516774439999,120.26997950,190,1204027.00000000,76.69168620
1516774440000,0.00006190,0.00006190,0.00005330,0.00005790,1047116.00000000,1516774499999,59.65775930,140,264325.00000000,15.13079520
1516774500000,0.00005540,0.00006100,0.00005520,0.00006010,771336.00000000,1516774559999,44.92157370,107,567394.00000000,32.87470380
1516774560000,0.00006010,0.00006450,0.00006010,0.00006200,971086.00000000,1516774619999,59.94451290,138,280339.00000000,17.44067570
1516774620000,0.00006200,0.00006460,0.00006200,0.00006410,1206919.00000000,1516774679999,77.18770532,151,448724.00000000,28.72691743
1516774680000,0.00006410,0.00006440,0.00006200,0.00006400,391430.00000000,1516774739999,24.95643874,128,180014.00000000,11.52655290
1516774740000,0.00006400,0.00006800,0.00006350,0.00006700,2067711.00000000,1516774799999,134.56411577,175,1932965.00000000,125.73402137
1516774800000,0.00006640,0.00006800,0.00006300,0.00006349,4357045.00000000,1516774859999,288.00525529,272,3584768.00000000,237.18222898
1516774860000,0.00006300,0.00006500,0.00006040,0.00006500,812542.00000000,1516774919999,51.75857213,151,534458.00000000,34.38045971
1516774920000,0.00006490,0.00006700,0.00006430,0.00006699,1565097.00000000,1516774979999,102.84770760,147,1094113.00000000,72.16517505
1516774980000,0.00006619,0.00006700,0.00006300,0.00006600,717936.00000000,1516775039999,47.18830080,166,305950.00000000,20.29246657
1516775040000,0.00006600,0.00006680,0.00006580,0.00006610,1031695.00000000,1516775099999,68.21484270,138,557025.00000000,36.91109618
1516775100000,0.00006629,0.00006650,0.00006599,0.00006630,712370.00000000,1516775159999,47.24547818,124,392684.00000000,26.06978035
1516775160000,0.00006630,0.00006650,0.00006550,0.00006600,1147009.00000000,1516775219999,75.81867613,151,165167.00000000,10.95301894
1516775220000,0.00006600,0.00006650,0.00006600,0.00006630,449974.00000000,1516775279999,29.79010731,92,225440.00000000,14.95156891
1516775280000,0.00006629,0.00006630,0.00006470,0.00006470,1227315.00000000,1516775339999,80.70616742,185,294810.00000000,19.47705549
1516775340000,0.00006627,0.00006627,0.00006302,0.00006400,695284.00000000,1516775399999,44.32496962,108,516941.00000000,32.93590020
1516775400000,0.00006400,0.00006599,0.00006390,0.00006490,553689.00000000,1516775459999,35.93074471,77,331642.00000000,21.55400595
1516775460000,0.00006490,0.00006587,0.00006480,0.00006580,718954.00000000,1516775519999,47.05957234,75,401324.00000000,26.36607308
1516775520000,0.00006570,0.00006790,0.00006510,0.00006790,3915142.00000000,1516775579999,259.80685091,159,3470235.00000000,230.25639151
1516775580000,0.00006788,0.00006900,0.00006700,0.00006900,1689366.00000000,1516775639999,114.72511955,201,1295280.00000000,88.07808939
1516775640000,0.00006887,0.00007290,0.00006800,0.00007280,1388315.00000000,1516775699999,96.77450633,208,1075749.00000000,75.09508473
1516775700000,0.00007280,0.00007999,0.00007072,0.00007649,2875621.00000000,1516775759999,218.10590898,357,1768849.00000000,134.68642379
1516775760000,0.00007649,0.00007890,0.00007500,0.00007651,1500015.00000000,1516775819999,115.03034704,216,791922.00000000,60.83779621
1516775820000,0.00007652,0.00008490,0.00007650,0.00008490,1771216.00000000,1516775879999,140.96801074,220,1294358.00000000,103.44274087
1516775880000,0.00008490,0.00009889,0.00008300,0.00009400,1477942.00000000,1516775939999,133.69309319,320,815741.00000000,72.89869242
1516775940000,0.00009400,0.00009888,0.00008280,0.00008511,2722616.00000000,1516775999999,237.27298223,474,543895.00000000,47.88843122
1516776000000,0.00008511,0.00008900,0.00008100,0.00008600,2915067.00000000,1516776059999,250.53901330,323,2181021.00000000,187.91010523
1516776060000,0.00008600,0.00008800,0.00008200,0.00008200,1456937.00000000,1516776119999,124.70645532,214,473660.00000000,40.67707151
1516776120000,0.00008420,0.00008499,0.00007652,0.00008290,1059039.00000000,1516776179999,85.55752567,232,448564.00000000,36.65052774
