Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1516678320000,2.00000000,3.10000000,1.00000000,3.05000000,522.68000000,1516678379999,1585.43941960,25,513.94000000,1568.65942000
1516678380000,3.05000000,3.10000000,2.10000000,3.10000000,150.10000000,1516678439999,464.87245710,22,149.70000000,464.03245710
1516678440000,2.31000000,3.30000000,2.31000000,3.10000000,1780.33000000,1516678499999,5518.11920000,63,1772.33000000,5494.14100000
1516678500000,3.20000000,3.20000000,3.00000000,3.10000000,418.76000000,1516678559999,1313.32460310,58,41.29000000,127.99921670
1516678560000,3.09000000,3.14995000,2.20000000,2.30000000,65.63000000,1516678619999,196.89812220,34,31.18000000,93.65159710
1516678620000,3.10000000,3.13999000,2.30009000,2.40002000,216.15000000,1516678679999,533.24271240,51,23.82000000,66.11565660
1516678680000,2.41100000,2.41109000,2.30001000,2.40002000,307.50000000,1516678739999,723.31026230,39,54.82000000,131.73726900
1516678740000,2.40002000,2.71109000,2.40002000,2.71109000,79.44000000,1516678799999,209.15793860,26,69.25000000,181.70003860
1516678800000,2.70001000,3.05000000,2.50000000,2.69999000,267.96000000,1516678859999,758.24406040,36,46.20000000,126.68334440
1516678860000,2.69998000,2.69999000,2.51020000,2.52003000,131.93000000,1516678919999,348.70996930,15,11.35000000,30.64488180
1516678920000,2.54000000,2.59000000,2.30000000,2.30000000,736.87000000,1516678979999,1827.27210240,61,27.00000000,67.79090000
1516678980000,2.25688000,2.25688000,1.59903000,1.59903000,739.41000000,1516679039999,1599.51894170,62,235.38000000,498.12955770
1516679040000,1.59904000,1.99999000,1.10003000,1.99995000,172.53000000,1516679099999,271.06604460,14,48.60000000,82.17049880
1516679100000,1.12001000,1.99993000,1.12001000,1.65000000,438.98000000,1516679159999,857.25245520,33,112.16000000,223.33895190
1516679160000,1.64995000,1.65000000,1.60001000,1.60008000,313.93000000,1516679219999,514.39885010,20,82.57000000,135.64851900
1516679220000,1.60001000,1.60001000,1.09999000,1.10120000,1756.17000000,1516679279999,2161.00784500,76,301.43000000,336.28185210
1516679280000,1.38000000,1.50000000,1.38000000,1.46820000,300.53000000,1516679339999,439.34831910,17,95.68000000,138.58754910
1516679340000,1.46820000,1.46820000,1.13001000,1.14002000,699.91000000,1516679399999,806.18690780,40,130.62000000,151.82834140
1516679400000,1.20000000,1.39999000,1.14002000,1.39997000,510.59000000,1516679459999,635.92314470,30,143.50000000,185.18786890
1516679460000,1.14012000,1.39976000,1.14002000,1.29979000,175.67000000,1516679519999,203.06248880,13,15.50000000,20.44869800
1516679520000,1.29979000,1.29979000,1.14561000,1.24999000,238.72000000,1516679579999,304.97336140,14,171.79000000,220.19373640
1516679580000,1.19999000,1.24999000,1.19999000,1.20000000,34.29000000,1516679639999,41.24193670,10,15.10000000,18.21393670
1516679640000,1.19995000,1.25000000,1.12000000,1.14003000,632.54000000,1516679699999,728.17126250,44,320.96000000,371.04451280
1516679700000,1.14005000,1.14005000,1.14005000,1.14005000,1.12000000,1516679759999,1.27685600,1,0.00000000,0.00000000
1516679760000,1.14015000,1.21999000,1.12004000,1.14002000,416.31000000,1516679819999,486.30268570,33,111.66000000,130.17611180
1516679820000,1.14002000,1.14003000,1.09001000,1.09001000,965.52000000,1516679879999,1069.02431640,43,36.05000000,41.01599190
1516679880000,1.11996000,1.12000000,1.05001000,1.05002000,433.68000000,1516679939999,473.64876290,24,70.98000000,79.29600040
1516679940000,1.05002000,1.12013000,1.05002000,1.09002000,285.02000000,1516679999999,306.26390050,12,152.57000000,166.81311230
1516680000000,1.09002000,1.09007000,1.09002000,1.09007000,180.69000000,1516680059999,196.95716060,17,43.61000000,47.53585170
1516680060000,1.12002000,1.12002000,1.05001000,1.09007000,217.95000000,1516680119999,236.20829360,12,170.87000000,186.26026090
1516680120000,1.05008000,1.13000000,1.05008000,1.12002000,273.14000000,1516680179999,306.67724910,21,188.87000000,211.56813670
1516680180000,1.12005000,1.12005000,1.06001000,1.06001000,195.82000000,1516680239999,219.32070840,8,0.00000000,0.00000000
1516680240000,1.12999000,1.13984000,1.06012000,1.07003000,223.96000000,1516680299999,251.27749610,12,179.67000000,204.03213900
1516680300000,1.07003000,1.07003000,1.07003000,1.07003000,0.00000000,1516680359999,0.00000000,0,0.00000000,0.00000000
1516680360000,1.13000000,1.13000000,1.09003000,1.10001000,280.95000000,1516680419999,315.09605290,12,6.49000000,7.33370000
1516680420000,1.10001000,1.13000000,1.09001000,1.12001000,326.66000000,1516680479999,365.44288130,21,75.92000000,85.22460970
1516680480000,1.12001000,1.12001000,1.09015000,1.11993000,10.75000000,1516680539999,12.03929430,4,10.73000000,12.01749130
1516680540000,1.11992000,1.12004000,1.10002000,1.11993000,264.70000000,1516680599999,296.02792330,18,74.06000000,82.94499270
1516680600000,1.11993000,1.11993000,1.11993000,1.11993000,2.83000000,1516680659999,3.16940190,1,2.83000000,3.16940190
1516680660000,1.11993000,1.12004000,1.11993000,1.12004000,51.83000000,1516680719999,58.05113970,6,27.85000000,31.19258050
1516680720000,1.12104000,1.12160000,1.12103000,1.12103000,54.06000000,1516680779999,60.60580010,5,0.00000000,0.00000000
1516680780000,1.12103000,1.12103000,1.10050000,1.10050000,333.75000000,1516680839999,373.21859910,14,0.00000000,0.00000000
1516680840000,1.10050000,1.10108000,1.09508000,1.10108000,57.46000000,1516680899999,63.09906180,10,1.00000000,1.10108000
1516680900000,1.09508000,1.09508000,1.09507000,1.09507000,25.15000000,1516680959999,27.54101210,2,0.00000000,0.00000000
