Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1516678140000,0.00190000,0.00580000,0.00130000,0.00240000,18630.47000000,1516678199999,43.15640661,559,11863.80000000,28.84919852
1516678200000,0.00240000,0.00259900,0.00200040,0.00230000,18218.60000000,1516678259999,41.64902688,545,11973.28000000,27.90407902
1516678260000,0.00229000,0.00240000,0.00220050,0.00232990,12222.84000000,1516678319999,27.94510384,354,9501.28000000,21.77963185
1516678320000,0.00232990,0.00280000,0.00230040,0.00265000,18118.59000000,1516678379999,45.45646266,503,13637.45000000,34.00873053
1516678380000,0.00275000,0.00320180,0.00260000,0.00320180,24203.61000000,1516678439999,69.41205500,805,17367.78000000,50.33687228
1516678440000,0.00320000,0.00450020,0.00320000,0.00400000,24292.44000000,1516678499999,90.52303112,1084,13537.86000000,51.37763779
1516678500000,0.00429990,0.00429990,0.00270010,0.00309990,24622.75000000,1516678559999,86.28478637,1276,12154.58000000,43.14076154
1516678560000,0.00309980,0.00320010,0.00300000,0.00314000,17984.73000000,1516678619999,55.87639125,680,8234.27000000,25.88296184
1516678620000,0.00314000,0.00314000,0.00259990,0.00279980,12871.73000000,1516678679999,36.39067983,619,4160.67000000,11.93917576
1516678680000,0.00269950,0.00279990,0.00269950,0.00276510,8468.08000000,1516678739999,23.45051890,395,4132.75000000,11.47915314
1516678740000,0.00276510,0.00330000,0.00276040,0.00320000,19262.45000000,1516678799999,59.01572410,688,12528.55000000,38.16558641
1516678800000,0.00330000,0.00345000,0.00295790,0.00296000,13246.37000000,1516678859999,41.95203583,688,5967.58000000,18.98348934
1516678860000,0.00296000,0.00314990,0.00291620,0.00299990,9763.11000000,1516678919999,29.81541890,423,6029.92000000,18.49526940
1516678920000,0.00299500,0.00300000,0.00260000,0.00265000,20227.48000000,1516678979999,56.42068355,623,9700.92000000,27.25864888
1516678980000,0.00269990,0.00269990,0.00210020,0.00210020,23779.73000000,1516679039999,56.34830409,708,5304.39000000,12.58908089
1516679040000,0.00210020,0.00219000,0.00161560,0.00189020,29588.27000000,1516679099999,57.96255710,619,6979.07000000,13.93440741
1516679100000,0.00197450,0.00210000,0.00180000,0.00188980,27075.97000000,1516679159999,54.01310884,586,14499.78000000,29.02398124
1516679160000,0.00185000,0.00200000,0.00180000,0.00180000,22404.91000000,1516679219999,42.19078099,383,8867.82000000,16.59489524
1516679220000,0.00179750,0.00180000,0.00124000,0.00138020,105112.66000000,1516679279999,149.46216949,802,34952.20000000,48.98929444
1516679280000,0.00138030,0.00145000,0.00136810,0.00144000,26878.16000000,1516679339999,37.57668986,491,14086.78000000,19.79191284
1516679340000,0.00144000,0.00144990,0.00132000,0.00136800,24459.70000000,1516679399999,33.82549685,423,9490.36000000,13.20602827
1516679400000,0.00135010,0.00143000,0.00134030,0.00135020,26968.66000000,1516679459999,37.18122012,414,12553.11000000,17.36436019
1516679460000,0.00136090,0.00147860,0.00133000,0.00143000,35067.54000000,1516679519999,49.48110332,462,21548.45000000,30.50758648
