Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1515739500000,0.90000000,99.00000000,0.20000000,0.90000000,1506.61000000,1515739559999,2410.62600000,63,355.76000000,1375.16200000
1515739560000,0.90000000,1.00000000,0.25000000,0.80000000,6545.31000000,1515739619999,6353.93289450,152,700.51000000,627.17314180
1515739620000,0.80000000,0.90000000,0.30000000,0.50000000,1243.45000000,1515739679999,804.50877680,77,1023.90000000,684.91912660
1515739680000,0.50000000,0.70000000,0.40008000,0.49998000,4418.54000000,1515739739999,2227.28230800,110,1145.24000000,591.17370930
1515739740000,0.49998000,0.60000000,0.40015000,0.40130000,1926.12000000,1515739799999,939.90957120,97,705.87000000,372.19251700
1515739800000,0.40130000,0.40130000,0.31000000,0.40130000,1367.28000000,1515739859999,538.59844970,66,468.26000000,187.39727620
1515739860000,0.40129000,0.40130000,0.25000000,0.25900000,1016.72000000,1515739919999,310.84966840,34,82.74000000,32.60846100
1515739920000,0.30999000,0.60000000,0.25001000,0.53098000,2606.16000000,1515739979999,1040.13325730,67,1766.09000000,799.33942610
1515739980000,0.34900000,0.44300000,0.31000000,0.44300000,79.17000000,1515740039999,30.11088800,9,40.29000000,17.84847000
1515740040000,0.44300000,0.44300000,0.33329000,0.39999000,2168.08000000,1515740099999,779.43276190,56,365.31000000,150.20036060
1515740100000,0.33330000,0.39999000,0.31799000,0.36999000,826.58000000,1515740159999,300.93277850,45,425.91000000,160.50779250
1515740160000,0.36999000,0.44250000,0.36997000,0.44250000,2759.83000000,1515740219999,1031.69586770,42,1447.10000000,545.39822550
1515740220000,0.44250000,0.49999000,0.39002000,0.49999000,4027.56000000,1515740279999,1775.70989180,58,1951.07000000,871.29541790
1515740280000,0.46001000,0.60000000,0.36565000,0.36600000,15300.13000000,1515740339999,6321.95986160,171,819.27000000,364.26425650
1515740340000,0.40000000,0.40172000,0.37000000,0.40170000,1296.35000000,1515740399999,519.34212550,24,981.92000000,393.54965550
1515740400000,0.37600000,0.40141000,0.37555000,0.38000000,3879.07000000,1515740459999,1510.27564500,66,1679.30000000,668.04291510
1515740460000,0.38000000,0.38600000,0.36660000,0.37002000,924.26000000,1515740519999,346.52327360,28,237.18000000,90.51271560
1515740520000,0.38400000,0.38400000,0.37010000,0.37013000,1159.22000000,1515740579999,430.26774820,14,93.63000000,35.52813000
1515740580000,0.37010000,0.38000000,0.33689000,0.34997000,1847.60000000,1515740639999,664.50621390,53,521.49000000,182.97581820
1515740640000,0.33691000,0.35001000,0.30001000,0.30001000,4174.61000000,1515740699999,1335.32692910,65,446.01000000,145.46392500
1515740700000,0.31000000,0.35999000,0.30001000,0.33692000,1800.59000000,1515740759999,562.37436040,35,1203.62000000,379.74992470
1515740760000,0.31550000,0.37999000,0.25005000,0.29999000,8765.06000000,1515740819999,2621.04500110,77,366.72000000,121.90146570
1515740820000,0.29600000,0.29600000,0.26002000,0.29000000,3753.39000000,1515740879999,1047.39945590,23,404.76000000,110.41314510
1515740880000,0.27001000,0.28998000,0.26010000,0.26011000,1127.48000000,1515740939999,303.35659760,25,425.79000000,115.16025780
1515740940000,0.26014000,0.27000000,0.23502000,0.25004000,3537.85000000,1515740999999,890.98667290,42,336.80000000,84.79695730
1515741000000,0.25000000,0.26000000,0.24000000,0.24001000,1085.90000000,1515741059999,271.00401220,17,166.65000000,41.69639610
1515741060000,0.24002000,0.27000000,0.24002000,0.26000000,2951.59000000,1515741119999,761.95946450,45,1426.39000000,373.08137670
1515741120000,0.26000000,0.26999000,0.24004000,0.24200000,707.18000000,1515741179999,180.21449770,31,466.11000000,120.00349700
1515741180000,0.26018000,0.26018000,0.24209000,0.24500000,1762.34000000,1515741239999,431.78569700,24,184.51000000,46.56234280
1515741240000,0.25999000,0.25999000,0.23002000,0.23002000,2179.51000000,1515741299999,520.07185140,28,249.24000000,63.38899760
1515741300000,0.23001000,0.23509000,0.22001000,0.22001000,2413.19000000,1515741359999,556.18649450,28,466.58000000,109.06369300
1515741360000,0.22001000,0.22800000,0.21150000,0.22800000,1568.80000000,1515741419999,344.34081430,26,171.76000000,38.26644200
1515741420000,0.22800000,0.22800000,0.21150000,0.21202000,3374.69000000,1515741479999,760.23897270,13,539.86000000,123.08808000
1515741480000,0.21401000,0.21450000,0.20051000,0.20051000,3845.79000000,1515741539999,808.72986680,33,32.43000000,6.94064450
1515741540000,0.20052000,0.24999000,0.20004000,0.21402000,3750.82000000,1515741599999,808.73382570,49,822.37000000,181.97387230
1515741600000,0.21402000,0.24999000,0.21402000,0.21900000,4739.40000000,1515741659999,1029.84201760,35,643.83000000,150.56471760
1515741660000,0.21251000,0.21901000,0.21001000,0.21254000,591.76000000,1515741719999,127.33667500,15,241.00000000,51.53785240
1515741720000,0.22500000,0.23002000,0.21202000,0.22500000,1523.67000000,1515741779999,333.00382060,23,467.83000000,105.70309710
1515741780000,0.23600000,0.24900000,0.22499000,0.22501000,1175.09000000,1515741839999,269.52143010,26,279.34000000,67.97241150
1515741840000,0.22551000,0.24787000,0.22551000,0.22561000,356.10000000,1515741899999,80.38374500,3,2.00000000,0.49574000
1515741900000,0.24778000,0.24778000,0.22802000,0.23499000,116.18000000,1515741959999,28.47153530,8,105.56000000,25.97962560
1515741960000,0.23498000,0.23498000,0.22500000,0.22500000,5210.06000000,1515742019999,1192.34679930,53,363.96000000,83.31230760
1515742020000,0.22502000,0.24773000,0.22502000,0.24773000,3530.58000000,1515742079999,865.28204860,23,2126.58000000,517.46912860
1515742080000,0.24773000,0.24773000,0.23005000,0.23013000,89.84000000,1515742139999,20.89506320,4,12.80000000,3.17094400
1515742140000,0.24770000,0.24770000,0.23030000,0.23500000,1139.87000000,1515742199999,269.35145880,22,244.41000000,57.60223870
1515742200000,0.24990000,0.24990000,0.24000000,0.24004000,1193.39000000,1515742259999,293.35311130,19,722.56000000,177.89026550
1515742260000,0.24004000,0.24007000,0.23005000,0.23510000,2594.70000000,1515742319999,604.38982790,22,541.17000000,128.84189250
1515742320000,0.23500000,0.23500000,0.23013000,0.23016000,928.64000000,1515742379999,214.18827730,10,50.68000000,11.90948790
1515742380000,0.23018000,0.24006000,0.23018000,0.24006000,445.42000000,1515742439999,104.17898870,13,330.42000000,77.70828870
1515742440000,0.24006000,0.24007000,0.23018000,0.24007000,588.58000000,1515742499999,138.34051990,22,171.30000000,41.12298480
1515742500000,0.23030000,0.23030000,0.21212000,0.21701000,4681.03000000,1515742559999,1062.77561860,40,0.00000000,0.00000000
1515742560000,0.22998000,0.23010000,0.22998000,0.23010000,1047.97000000,1515742619999,241.07500020,17,1047.36000000,240.93471240
1515742620000,0.23011000,0.23610000,0.22999000,0.23022000,1014.01000000,1515742679999,233.65576530,21,365.34000000,84.39227060
1515742680000,0.23023000,0.23610000,0.23000000,0.23609000,2407.45000000,1515742739999,560.44372700,21,1202.67000000,283.08340700
1515742740000,0.23609000,0.24008000,0.23600000,0.24008000,5034.58000000,1515742799999,1195.90703310,57,2136.75000000,511.72140300
1515742800000,0.24070000,0.24773000,0.24000000,0.24770000,4630.20000000,1515742859999,1113.57193650,39,441.26000000,106.48459070
1515742860000,0.23500000,0.24100000,0.23500000,0.24100000,343.25000000,1515742919999,81.97488560,10,251.47000000,60.27740560
1515742920000,0.24099000,0.24099000,0.23801000,0.23801000,312.30000000,1515742979999,75.00045680,8,199.85000000,48.16185150
1515742980000,0.23820000,0.23824000,0.23813000,0.23824000,505.71000000,1515743039999,120.44417500,10,0.00000000,0.00000000
1515743040000,0.24099000,0.24100000,0.23924000,0.23924000,3627.31000000,1515743099999,873.27466600,12,19.76000000,4.76196400
1515743100000,0.23934000,0.24100000,0.23934000,0.24100000,114.58000000,1515743159999,27.58890020,4,100.05000000,24.11129000
1515743160000,0.24100000,0.24300000,0.24099000,0.24100000,570.86000000,1515743219999,137.58085570,17,274.72000000,66.21111570
1515743220000,0.23937000,0.23938000,0.23010000,0.23010000,5689.62000000,1515743279999,1355.95100740,29,67.14000000,16.07063040
1515743280000,0.23023000,0.23023000,0.23013000,0.23013000,99.64000000,1515743339999,22.93195320,3,0.00000000,0.00000000
1515743340000,0.23023000,0.23023000,0.23023000,0.23023000,18.00000000,1515743399999,4.14414000,1,18.00000000,4.14414000
1515743400000,0.23050000,0.23050000,0.23050000,0.23050000,75.98000000,1515743459999,17.51339000,2,0.00000000,0.00000000
1515743460000,0.23052000,0.24100000,0.23052000,0.23500000,3303.47000000,1515743519999,793.63133920,18,2035.01000000,488.16129000
1515743520000,0.23500000,0.24099000,0.23082000,0.24099000,3028.63000000,1515743579999,712.56787770,13,172.97000000,41.68404030
1515743580000,0.24099000,0.24099000,0.23150000,0.23997000,442.62000000,1515743639999,103.59491490,10,109.39000000,25.62973490
1515743640000,0.23992000,0.23997000,0.23104000,0.23997000,3378.27000000,1515743699999,807.69928470,35,653.14000000,156.71559930
1515743700000,0.23995000,0.23995000,0.23995000,0.23995000,20.00000000,1515743759999,4.79900000,2,20.00000000,4.79900000
1515743760000,0.23899000,0.23899000,0.23899000,0.23899000,38.89000000,1515743819999,9.29432110,3,38.89000000,9.29432110
1515743820000,0.23226000,0.23231000,0.23226000,0.23231000,140.31000000,1515743879999,32.59014760,3,0.00000000,0.00000000
1515743880000,0.23850000,0.23850000,0.23225000,0.23225000,834.04000000,1515743939999,194.17809220,19,30.55000000,7.10076650
1515743940000,0.23225000,0.23403000,0.23027000,0.23403000,3960.36000000,1515743999999,918.02746030,33,57.70000000,13.40008170
1515744000000,0.23104000,0.23104000,0.23026000,0.23027000,294.91000000,1515744059999,67.90891770,13,27.97000000,6.44065190
1515744060000,0.23403000,0.23403000,0.23403000,0.23403000,45.95000000,1515744119999,10.75367850,3,45.95000000,10.75367850
1515744120000,0.23199000,0.23199000,0.23010000,0.23025000,1364.83000000,1515744179999,314.25166220,20,84.08000000,19.35863000
1515744180000,0.23400000,0.23400000,0.23000000,0.23000000,466.03000000,1515744239999,107.87699510,10,169.62000000,39.68879980
1515744240000,0.22999000,0.23000000,0.22899000,0.22899000,115.91000000,1515744299999,26.63096950,5,75.46000000,17.35565860
1515744300000,0.22899000,0.22899000,0.22318000,0.22318000,268.95000000,1515744359999,60.07568120,12,0.00000000,0.00000000
1515744360000,0.22206000,0.22320000,0.21509000,0.22205000,1199.33000000,1515744419999,259.68890040,17,135.53000000,30.17922520
1515744420000,0.22205000,0.22205000,0.22205000,0.22205000,0.00000000,1515744479999,0.00000000,0,0.00000000,0.00000000
1515744480000,0.21510000,0.21512000,0.21214000,0.21500000,2431.84000000,1515744539999,522.56525800,25,1858.25000000,399.52348290
1515744540000,0.21541000,0.22899000,0.21210000,0.21210000,870.06000000,1515744599999,186.03027940,15,27.53000000,5.93050890
1515744600000,0.21210000,0.21210000,0.21000000,0.21000000,111.57000000,1515744659999,23.43008710,8,0.00000000,0.00000000
1515744660000,0.21000000,0.21000000,0.16300000,0.16300000,2058.32000000,1515744719999,385.58572280,34,112.92000000,22.05360000
1515744720000,0.20000000,0.21000000,0.20000000,0.20006000,339.18000000,1515744779999,70.46046920,13,248.17000000,51.88210000
1515744780000,0.20999000,0.21000000,0.20998000,0.21000000,7222.25000000,1515744839999,1516.60066230,25,1721.32000000,361.46037160
1515744840000,0.21000000,0.21000000,0.21000000,0.21000000,608.59000000,1515744899999,127.80390000,4,102.39000000,21.50190000
1515744900000,0.20936000,0.20988000,0.20932000,0.20943000,90.90000000,1515744959999,19.04232780,4,90.90000000,19.04232780
1515744960000,0.20939000,0.20939000,0.19551000,0.19551000,12.17000000,1515745019999,2.37977310,2,0.03000000,0.00628170
1515745020000,0.19561000,0.19801000,0.19551000,0.19801000,70.29000000,1515745079999,13.81488890,5,0.00000000,0.00000000
1515745080000,0.20939000,0.20939000,0.20053000,0.20053000,4.65000000,1515745139999,0.93281890,2,0.04000000,0.00837560
1515745140000,0.20652000,0.20652000,0.19558000,0.19558000,377.33000000,1515745199999,75.93374610,7,42.88000000,8.82562760
1515745200000,0.19558000,0.19889000,0.18001000,0.19200000,2243.95000000,1515745259999,436.07908270,14,2045.77000000,399.94019720
1515745260000,0.19551000,0.19551000,0.19551000,0.19551000,3.38000000,1515745319999,0.66082380,1,3.38000000,0.66082380
1515745320000,0.20000000,0.20000000,0.19551000,0.19551000,2243.09000000,1515745379999,441.53839170,19,320.90000000,64.18000000
1515745380000,0.19551000,0.24670000,0.17800000,0.22205000,4358.25000000,1515745439999,1012.38817060,46,4049.87000000,955.52769850
1515745440000,0.19572000,0.22205000,0.17906000,0.17920000,375.43000000,1515745499999,73.80001760,16,240.00000000,47.93571580
1515745500000,0.20499000,0.20499000,0.17920000,0.18570000,236.06000000,1515745559999,42.60906890,7,31.67000000,5.90800400
1515745560000,0.18570000,0.18570000,0.17969000,0.17969000,1430.13000000,1515745619999,257.28261350,12,46.00000000,8.54220000
1515745620000,0.17969000,0.17970000,0.17969000,0.17970000,215.00000000,1515745679999,38.63410630,3,0.00000000,0.00000000
1515745680000,0.19039000,0.19039000,0.19039000,0.19039000,1.74000000,1515745739999,0.33127860,1,1.74000000,0.33127860
1515745740000,0.19039000,0.19048000,0.19039000,0.19048000,150.04000000,1515745799999,28.57514350,3,49.73000000,9.46809470
1515745800000,0.19046000,0.19046000,0.19039000,0.19039000,257.91000000,1515745859999,49.12106950,9,33.74000000,6.42612020
1515745860000,0.19039000,0.20944000,0.19039000,0.20944000,1765.06000000,1515745919999,336.22312490,9,158.95000000,30.29173680
1515745920000,0.19052000,0.20000000,0.19052000,0.19202000,20.77000000,1515745979999,4.04489300,4,0.00000000,0.00000000
1515745980000,0.19202000,0.19202000,0.19202000,0.19202000,0.00000000,1515746039999,0.00000000,0,0.00000000,0.00000000
1515746040000,0.20045000,0.20045000,0.19203000,0.19203000,34.51000000,1515746099999,6.72723870,7,1.87000000,0.37483150
1515746100000,0.19203000,0.19203000,0.19202000,0.19203000,516.37000000,1515746159999,99.15559760,5,20.00000000,3.84060000
1515746160000,0.19206000,0.19833000,0.19206000,0.19833000,40.74000000,1515746219999,8.06146770,2,37.79000000,7.49489070
