Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1515739500000,0.00250000,0.01890000,0.00102000,0.01500000,52018.78000000,1515739559999,570.71124612,743,29845.90000000,387.07841292
1515739560000,0.01500000,0.01700000,0.00900000,0.00900000,42152.29000000,1515739619999,516.52064832,843,17498.19000000,251.00659791
1515739620000,0.01001000,0.01500000,0.00900000,0.00900000,33831.19000000,1515739679999,334.25150228,659,7281.14000000,80.56917471
1515739680000,0.00900200,0.01090000,0.00850000,0.00860400,23166.70000000,1515739739999,208.93744194,575,6903.28000000,65.21272746
1515739740000,0.00870000,0.00950000,0.00650000,0.00650000,17059.28000000,1515739799999,140.37835109,480,7060.02000000,58.42894453
1515739800000,0.00650000,0.00800000,0.00500000,0.00680000,15942.39000000,1515739859999,110.41206331,321,5960.97000000,45.53126386
1515739860000,0.00680000,0.00700000,0.00510000,0.00520000,15451.98000000,1515739919999,92.54500755,273,5244.25000000,32.22193411
1515739920000,0.00528000,0.00700000,0.00461400,0.00700000,25786.02000000,1515739979999,136.06207706,330,15705.81000000,85.84995921
1515739980000,0.00700000,0.00849900,0.00600000,0.00750000,21516.16000000,1515740039999,161.16696443,404,10177.67000000,78.02991071
1515740040000,0.00720600,0.00779300,0.00640000,0.00640000,31986.42000000,1515740099999,225.23515533,441,9106.69000000,65.92377612
1515740100000,0.00640000,0.00701700,0.00600500,0.00700000,11232.87000000,1515740159999,71.77848000,203,5125.98000000,33.73329570
1515740160000,0.00670300,0.00760000,0.00670300,0.00760000,20648.63000000,1515740219999,147.88731868,252,16996.31000000,122.78769982
1515740220000,0.00750700,0.00890000,0.00745000,0.00890000,25362.42000000,1515740279999,207.01850333,476,14628.17000000,120.80132406
1515740280000,0.00890000,0.00987000,0.00696900,0.00730000,45586.50000000,1515740339999,360.10170159,717,12105.31000000,102.99521525
1515740340000,0.00730000,0.00780000,0.00701000,0.00710100,19948.62000000,1515740399999,143.92431613,346,9226.30000000,67.34426048
1515740400000,0.00710100,0.00769000,0.00701000,0.00710000,16699.96000000,1515740459999,121.28308887,268,8412.64000000,61.37786411
1515740460000,0.00720000,0.00729900,0.00700300,0.00701600,22856.30000000,1515740519999,161.73949354,310,5186.16000000,36.79675778
1515740520000,0.00708000,0.00708000,0.00680100,0.00685000,24406.70000000,1515740579999,170.91287002,291,2120.88000000,14.94885042
1515740580000,0.00685000,0.00695100,0.00620000,0.00650300,22606.97000000,1515740639999,147.26974611,287,7263.90000000,47.76568076
1515740640000,0.00650100,0.00680000,0.00560000,0.00580000,20508.93000000,1515740699999,125.48940809,312,3529.45000000,21.87589365
1515740700000,0.00570000,0.00700000,0.00522100,0.00630100,39211.81000000,1515740759999,240.96917225,340,13587.26000000,83.88044018
1515740760000,0.00610000,0.00620000,0.00505000,0.00570000,39131.94000000,1515740819999,216.15141486,410,12504.32000000,68.56313158
1515740820000,0.00550300,0.00580000,0.00490100,0.00515000,46995.25000000,1515740879999,240.27949231,384,14263.09000000,73.67639089
1515740880000,0.00515000,0.00555500,0.00500100,0.00530000,19628.71000000,1515740939999,101.65001224,228,11545.79000000,60.20547231
1515740940000,0.00549900,0.00549900,0.00460000,0.00460200,30402.70000000,1515740999999,153.37398740,286,12325.36000000,63.01258431
1515741000000,0.00470000,0.00500000,0.00460500,0.00471400,18647.76000000,1515741059999,89.37878973,196,8369.12000000,40.28335828
1515741060000,0.00479400,0.00514900,0.00470000,0.00489600,20320.30000000,1515741119999,100.27911429,254,11763.94000000,58.10954533
1515741120000,0.00489600,0.00500000,0.00470000,0.00470200,23686.46000000,1515741179999,113.97603633,204,5550.14000000,26.98071985
1515741180000,0.00470100,0.00492000,0.00460200,0.00489700,46704.88000000,1515741239999,223.20739395,193,34080.33000000,163.47786544
1515741240000,0.00470100,0.00489700,0.00443200,0.00443200,19553.46000000,1515741299999,89.79250528,210,2538.71000000,11.96135472
1515741300000,0.00443100,0.00455000,0.00413000,0.00440000,18364.02000000,1515741359999,80.41444978,185,9535.40000000,42.38020191
1515741360000,0.00414100,0.00439900,0.00400000,0.00430000,23669.51000000,1515741419999,98.76226425,183,9018.76000000,38.10357424
1515741420000,0.00430000,0.00430000,0.00420000,0.00420000,16724.80000000,1515741479999,71.01915374,135,6025.02000000,25.75837466
1515741480000,0.00420000,0.00425000,0.00380000,0.00380000,19905.87000000,1515741539999,79.94468553,212,9395.73000000,38.00025185
1515741540000,0.00380100,0.00430000,0.00380000,0.00400600,23362.60000000,1515741599999,95.22293048,206,10757.04000000,44.58768440
1515741600000,0.00410200,0.00429900,0.00400500,0.00410500,16022.20000000,1515741659999,66.60005874,177,6858.40000000,28.96808610
1515741660000,0.00401800,0.00420000,0.00400400,0.00418000,19783.29000000,1515741719999,81.10266085,163,7400.44000000,30.46283454
1515741720000,0.00418000,0.00460200,0.00411700,0.00450000,16926.14000000,1515741779999,72.73558689,180,11221.18000000,48.49963342
1515741780000,0.00443700,0.00492900,0.00420000,0.00439900,21773.79000000,1515741839999,98.02756974,280,10376.65000000,48.34126598
1515741840000,0.00439900,0.00439900,0.00420000,0.00435000,9726.91000000,1515741899999,41.70369552,102,3499.17000000,15.21890965
1515741900000,0.00435000,0.00450000,0.00435000,0.00440000,15679.44000000,1515741959999,68.93624203,113,9548.66000000,41.95720905
1515741960000,0.00440000,0.00440300,0.00420000,0.00425100,16148.72000000,1515742019999,69.34544499,145,2813.95000000,12.12452838
1515742020000,0.00428000,0.00465300,0.00426000,0.00460000,14484.29000000,1515742079999,64.19265864,129,9473.87000000,41.95698591
1515742080000,0.00460000,0.00464800,0.00440200,0.00440500,21382.78000000,1515742139999,95.16313069,197,5383.48000000,24.25303602
1515742140000,0.00440500,0.00441100,0.00430300,0.00439700,8244.36000000,1515742199999,36.05230067,106,2256.34000000,9.92343981
1515742200000,0.00439700,0.00439800,0.00432000,0.00433000,7794.25000000,1515742259999,33.93057797,72,3162.76000000,13.83023107
1515742260000,0.00433000,0.00434000,0.00420000,0.00429900,17931.42000000,1515742319999,76.57516002,152,3895.78000000,16.68434197
1515742320000,0.00429900,0.00430100,0.00420100,0.00430000,6627.20000000,1515742379999,28.33926329,73,3479.11000000,14.88330348
1515742380000,0.00430000,0.00439400,0.00428000,0.00430300,8414.06000000,1515742439999,36.53440900,82,3508.34000000,15.24159777
1515742440000,0.00434900,0.00435000,0.00430000,0.00430000,13443.53000000,1515742499999,58.04767209,88,1975.07000000,8.55852820
1515742500000,0.00430000,0.00432000,0.00411900,0.00411900,18117.91000000,1515742559999,76.44345990,149,3475.51000000,14.77974983
1515742560000,0.00411400,0.00430000,0.00411400,0.00430000,7964.72000000,1515742619999,33.31061617,85,3835.62000000,16.14305458
1515742620000,0.00430000,0.00430000,0.00420000,0.00429000,2913.13000000,1515742679999,12.35192356,65,1163.57000000,4.94709652
1515742680000,0.00424400,0.00432000,0.00424300,0.00432000,8586.06000000,1515742739999,36.66321230,81,4463.65000000,19.16132237
1515742740000,0.00433100,0.00446900,0.00430200,0.00445000,16045.53000000,1515742799999,70.61965976,159,8932.26000000,39.23480289
1515742800000,0.00445000,0.00450000,0.00430000,0.00431100,14661.86000000,1515742859999,64.91302784,191,4235.94000000,18.79291567
1515742860000,0.00434800,0.00445000,0.00431100,0.00445000,4485.16000000,1515742919999,19.59698602,84,2753.38000000,12.07069111
1515742920000,0.00445000,0.00445000,0.00440000,0.00440100,5175.20000000,1515742979999,22.87067909,88,2164.62000000,9.60023604
1515742980000,0.00440200,0.00441000,0.00436100,0.00441000,10585.63000000,1515743039999,46.56832045,80,3329.15000000,14.65042568
1515743040000,0.00444700,0.00444700,0.00440000,0.00440000,5286.65000000,1515743099999,23.29810337,56,1738.46000000,7.67837399
1515743100000,0.00440000,0.00442400,0.00437400,0.00440300,3118.76000000,1515743159999,13.71966582,48,1119.83000000,4.93397781
1515743160000,0.00438000,0.00440300,0.00438000,0.00438100,17819.58000000,1515743219999,78.35878738,65,15479.86000000,68.10525559
1515743220000,0.00438100,0.00438100,0.00420200,0.00423100,15772.39000000,1515743279999,67.45686011,132,2407.50000000,10.17322862
1515743280000,0.00426900,0.00429600,0.00420300,0.00422000,5187.69000000,1515743339999,21.95917502,65,513.95000000,2.18405026
1515743340000,0.00422000,0.00429000,0.00420300,0.00426900,3884.30000000,1515743399999,16.43811633,52,3453.89000000,14.60261325
1515743400000,0.00425200,0.00425200,0.00420300,0.00422000,5803.84000000,1515743459999,24.52636539,84,2609.08000000,11.02349495
1515743460000,0.00422000,0.00434900,0.00420100,0.00434900,3962.59000000,1515743519999,16.87531331,74,2743.11000000,11.72264405
1515743520000,0.00430100,0.00430100,0.00425000,0.00427000,2743.74000000,1515743579999,11.72961146,47,2196.46000000,9.38054060
1515743580000,0.00427200,0.00430000,0.00427000,0.00428100,2162.62000000,1515743639999,9.25733473,32,398.58000000,1.71052429
1515743640000,0.00429000,0.00435000,0.00427000,0.00431800,5075.45000000,1515743699999,21.84893539,61,4320.11000000,18.61096143
1515743700000,0.00431900,0.00437500,0.00431900,0.00435100,3790.26000000,1515743759999,16.50012786,54,1314.06000000,5.71896847
1515743760000,0.00435100,0.00440900,0.00435000,0.00440900,12438.46000000,1515743819999,54.62823854,96,11933.35000000,52.41749099
1515743820000,0.00441800,0.00444000,0.00440000,0.00440200,8240.46000000,1515743879999,36.44922174,91,3140.44000000,13.89874307
1515743880000,0.00440100,0.00443900,0.00432700,0.00432700,8823.23000000,1515743939999,38.81242403,75,5105.24000000,22.50628459
1515743940000,0.00432900,0.00442600,0.00431000,0.00438000,6205.61000000,1515743999999,26.94574202,79,1597.54000000,6.96118825
1515744000000,0.00431200,0.00437600,0.00425000,0.00431000,4883.29000000,1515744059999,20.94050230,89,1646.93000000,7.06602070
1515744060000,0.00431000,0.00438300,0.00430000,0.00431400,1720.96000000,1515744119999,7.43909730,36,1017.51000000,4.40832712
1515744120000,0.00438200,0.00438200,0.00429000,0.00431100,4123.34000000,1515744179999,17.73843508,70,835.16000000,3.59276305
1515744180000,0.00431000,0.00431000,0.00429100,0.00430000,1674.70000000,1515744239999,7.21082332,23,770.06000000,3.31893786
1515744240000,0.00431000,0.00438300,0.00427200,0.00427800,7597.09000000,1515744299999,32.81524006,45,6778.31000000,29.29968719
1515744300000,0.00427800,0.00427800,0.00425000,0.00425000,7089.64000000,1515744359999,30.20162528,78,1046.44000000,4.45901283
1515744360000,0.00425000,0.00425100,0.00420000,0.00420000,19109.10000000,1515744419999,80.64868565,129,1613.19000000,6.79270888
1515744420000,0.00420800,0.00423100,0.00410000,0.00410100,12801.00000000,1515744479999,53.12128418,119,2715.88000000,11.27118253
1515744480000,0.00410100,0.00414600,0.00404600,0.00414400,5082.29000000,1515744539999,20.89599381,94,3172.73000000,13.06561074
