Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1518004740000,0.48997000,0.48997000,0.31000000,0.31000000,117.00000000,1518004799999,51.02754000,6,82.00000000,40.17754000
1518004800000,0.41997000,0.47990000,0.32001000,0.35997000,178.77000000,1518004859999,67.98715500,10,71.08000000,30.34946430
1518004860000,0.35997000,0.37500000,0.35000000,0.36075000,6065.50000000,1518004919999,2218.71366760,87,1582.91000000,563.49143040
1518004920000,0.36075000,0.41991000,0.34999000,0.34999000,1417.62000000,1518004979999,509.75836610,26,86.99000000,31.53042590
1518004980000,0.34999000,0.36999000,0.34049000,0.36997000,375.56000000,1518005039999,131.34565400,13,67.80000000,23.95519200
1518005040000,0.33002000,0.33002000,0.33001000,0.33002000,1596.65000000,1518005099999,526.91242730,17,0.04000000,0.01320080
1518005100000,0.33002000,0.33002000,0.33002000,0.33002000,0.04000000,1518005159999,0.01320080,1,0.00000000,0.00000000
1518005160000,0.35996000,0.35996000,0.33006000,0.33990000,414.80000000,1518005219999,142.04951040,17,120.60000000,41.99494000
1518005220000,0.33112000,0.36990000,0.33112000,0.36990000,909.11000000,1518005279999,330.72639600,13,728.75000000,269.52208080
1518005280000,0.36990000,0.39000000,0.34002000,0.36691000,1087.32000000,1518005339999,415.56307280,19,1056.95000000,404.42691680
1518005340000,0.34500000,0.36690000,0.34500000,0.36684000,150.37000000,1518005399999,54.44821670,10,25.62000000,9.39963590
1518005400000,0.36684000,0.36685000,0.34720000,0.34720000,2089.09000000,1518005459999,765.57543220,18,369.17000000,135.42638650
1518005460000,0.34725000,0.36683000,0.34725000,0.35008000,419.10000000,1518005519999,151.20572470,13,13.39000000,4.91185370
1518005520000,0.36683000,0.36900000,0.36682000,0.36899000,772.88000000,1518005579999,284.47929720,23,535.94000000,197.08584880
1518005580000,0.36899000,0.36899000,0.36000000,0.36110000,244.46000000,1518005639999,89.20623860,16,115.42000000,42.34441860
1518005640000,0.36109000,0.36499000,0.35010000,0.36498000,198.59000000,1518005699999,70.31853440,8,55.00000000,20.04705600
1518005700000,0.36499000,0.36500000,0.35056000,0.35056000,184.80000000,1518005759999,66.37368200,8,17.88000000,6.52609940
1518005760000,0.35066000,0.36000000,0.35066000,0.36000000,604.21000000,1518005819999,217.22208300,15,252.05000000,90.73523720
1518005820000,0.35288000,0.35976000,0.35288000,0.35288000,69.05000000,1518005879999,24.42074500,8,7.92000000,2.82560280
1518005880000,0.35288000,0.35288000,0.34503000,0.34503000,1333.65000000,1518005939999,467.17801280,28,60.00000000,21.17280000
1518005940000,0.34610000,0.34610000,0.33799000,0.33800000,1016.06000000,1518005999999,346.09739230,30,430.79000000,145.88475300
1518006000000,0.33798000,0.36490000,0.33798000,0.36483000,176.06000000,1518006059999,60.78091200,10,169.42000000,58.53672480
1518006060000,0.33801000,0.36481000,0.33800000,0.33800000,666.19000000,1518006119999,225.25611110,12,1.61000000,0.58734410
1518006120000,0.34499000,0.36400000,0.33001000,0.33001000,340.50000000,1518006179999,112.92422840,8,18.47000000,6.63050130
1518006180000,0.33002000,0.33003000,0.33002000,0.33003000,15.52000000,1518006239999,5.12200730,2,0.00000000,0.00000000
1518006240000,0.33003000,0.35950000,0.33003000,0.35950000,50.32000000,1518006299999,17.04915960,3,15.00000000,5.39250000
1518006300000,0.33004000,0.35949000,0.33004000,0.35000000,29.35000000,1518006359999,10.07505880,3,7.00000000,2.51643000
1518006360000,0.34995000,0.35000000,0.34995000,0.34997000,317.96000000,1518006419999,111.27803730,7,285.43000000,99.89253730
1518006420000,0.34997000,0.35000000,0.33382000,0.33382000,283.20000000,1518006479999,98.56219880,8,249.07000000,87.16892220
1518006480000,0.35000000,0.35949000,0.35000000,0.35000000,105.60000000,1518006539999,36.99890900,7,46.52000000,16.32090900
1518006540000,0.35000000,0.35000000,0.35000000,0.35000000,33.42000000,1518006599999,11.69700000,2,0.00000000,0.00000000
1518006600000,0.35046000,0.35046000,0.35046000,0.35046000,129.41000000,1518006659999,45.35302860,1,0.00000000,0.00000000
1518006660000,0.35935000,0.36000000,0.35935000,0.36000000,403.74000000,1518006719999,145.20523240,11,403.74000000,145.20523240
1518006720000,0.36000000,0.36000000,0.36000000,0.36000000,33.59000000,1518006779999,12.09240000,2,0.00000000,0.00000000
1518006780000,0.36004000,0.36004000,0.33740000,0.33740000,240.50000000,1518006839999,86.36535990,14,0.00000000,0.00000000
1518006840000,0.34083000,0.34083000,0.34083000,0.34083000,23.56000000,1518006899999,8.02995480,1,0.00000000,0.00000000
1518006900000,0.35215000,0.36500000,0.35215000,0.35501000,48.84000000,1518006959999,17.38993040,6,6.22000000,2.26941000
1518006960000,0.36500000,0.36500000,0.36500000,0.36500000,5.00000000,1518007019999,1.82500000,1,5.00000000,1.82500000
1518007020000,0.36000000,0.36499000,0.35999000,0.36499000,66.81000000,1518007079999,24.14348320,7,50.70000000,18.34388320
1518007080000,0.36000000,0.36000000,0.36000000,0.36000000,5.93000000,1518007139999,2.13480000,1,0.00000000,0.00000000
1518007140000,0.36000000,0.36000000,0.35000000,0.35000000,589.33000000,1518007199999,211.16998660,10,0.00000000,0.00000000
1518007200000,0.35000000,0.35000000,0.35000000,0.35000000,0.00000000,1518007259999,0.00000000,0,0.00000000,0.00000000
1518007260000,0.35079000,0.35079000,0.35079000,0.35079000,33.79000000,1518007319999,11.85319410,1,0.00000000,0.00000000
1518007320000,0.35079000,0.35079000,0.34999000,0.34999000,754.94000000,1518007379999,264.37312680,16,201.17000000,70.40748830
1518007380000,0.34999000,0.34999000,0.34500000,0.34500000,358.08000000,1518007439999,125.03489080,5,37.75000000,13.06741250
1518007440000,0.34101000,0.34101000,0.34100000,0.34100000,85.03000000,1518007499999,28.99573000,3,0.00000000,0.00000000
1518007500000,0.34100000,0.34100000,0.34050000,0.34050000,258.89000000,1518007559999,88.19201500,12,16.13000000,5.50033000
1518007560000,0.34500000,0.35700000,0.34003000,0.34003000,35.13000000,1518007619999,11.96138390,3,1.00000000,0.35616000
1518007620000,0.34003000,0.34003000,0.34003000,0.34003000,0.00000000,1518007679999,0.00000000,0,0.00000000,0.00000000
1518007680000,0.34251000,0.34251000,0.34251000,0.34251000,10.00000000,1518007739999,3.42510000,1,0.00000000,0.00000000
1518007740000,0.34260000,0.34260000,0.34260000,0.34260000,51.16000000,1518007799999,17.52741600,1,0.00000000,0.00000000
1518007800000,0.34470000,0.34470000,0.34470000,0.34470000,5.93000000,1518007859999,2.04407100,1,0.00000000,0.00000000
1518007860000,0.34470000,0.34470000,0.34470000,0.34470000,0.00000000,1518007919999,0.00000000,0,0.00000000,0.00000000
1518007920000,0.34470000,0.34470000,0.34470000,0.34470000,0.00000000,1518007979999,0.00000000,0,0.00000000,0.00000000
1518007980000,0.34470000,0.34470000,0.34470000,0.34470000,0.00000000,1518008039999,0.00000000,0,0.00000000,0.00000000
1518008040000,0.35250000,0.35250000,0.35200000,0.35200000,274.52000000,1518008099999,96.71415510,11,114.78000000,40.45942510
1518008100000,0.34967000,0.36500000,0.34967000,0.36499000,420.61000000,1518008159999,151.85662940,14,369.99000000,134.04915400
1518008160000,0.36499000,0.36499000,0.36496000,0.36496000,24.82000000,1518008219999,9.05889310,6,24.82000000,9.05889310
1518008220000,0.36490000,0.36490000,0.36490000,0.36490000,79.28000000,1518008279999,28.92927200,1,79.28000000,28.92927200
1518008280000,0.36479000,0.36479000,0.36472000,0.36473000,22.92000000,1518008339999,8.36064480,3,22.92000000,8.36064480
1518008340000,0.36473000,0.36473000,0.36473000,0.36473000,0.00000000,1518008399999,0.00000000,0,0.00000000,0.00000000
1518008400000,0.36375000,0.36473000,0.34980000,0.36473000,3448.25000000,1518008459999,1254.42090210,13,771.37000000,280.69375240
1518008460000,0.35112000,0.35112000,0.35112000,0.35112000,1.43000000,1518008519999,0.50210160,1,0.00000000,0.00000000
1518008520000,0.35250000,0.35250000,0.35250000,0.35250000,3.38000000,1518008579999,1.19145000,1,0.00000000,0.00000000
