Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1518004680000,0.00055000,0.00058400,0.00040000,0.00041990,29153.21000000,1518004739999,13.12130928,159,8799.16000000,4.18142571
1518004740000,0.00040800,0.00041990,0.00035080,0.00038500,125453.81000000,1518004799999,48.04219243,379,64770.23000000,25.03099861
1518004800000,0.00039000,0.00040700,0.00037000,0.00038500,116179.63000000,1518004859999,45.67556960,432,58575.99000000,23.09791587
1518004860000,0.00038960,0.00040390,0.00038480,0.00038990,127591.48000000,1518004919999,50.59392515,504,84445.99000000,33.47961629
1518004920000,0.00038990,0.00039590,0.00035520,0.00037550,78586.87000000,1518004979999,29.42420667,319,35456.28000000,13.36291747
1518004980000,0.00037550,0.00038000,0.00036100,0.00036100,70519.42000000,1518005039999,26.18103223,266,17378.29000000,6.47705141
1518005040000,0.00036150,0.00036440,0.00035550,0.00036200,71671.45000000,1518005099999,25.82977184,299,20914.00000000,7.54103241
1518005100000,0.00036200,0.00037800,0.00036010,0.00036800,74469.98000000,1518005159999,27.42495037,311,39231.29000000,14.47037257
1518005160000,0.00036700,0.00037890,0.00036440,0.00037590,64937.62000000,1518005219999,24.00187720,292,37819.87000000,13.99996883
1518005220000,0.00037590,0.00037590,0.00036680,0.00037500,53075.94000000,1518005279999,19.78746952,235,35268.43000000,13.16911730
1518005280000,0.00037400,0.00037980,0.00037000,0.00037490,47004.48000000,1518005339999,17.61678845,155,24349.72000000,9.11628106
1518005340000,0.00037490,0.00039500,0.00037400,0.00039000,63443.34000000,1518005399999,24.29268439,280,41531.51000000,15.88680300
1518005400000,0.00038900,0.00039200,0.00037500,0.00038300,58517.63000000,1518005459999,22.41028443,250,38418.73000000,14.72591204
1518005460000,0.00038300,0.00039000,0.00038180,0.00038770,38822.34000000,1518005519999,15.01036614,194,27537.39000000,10.66181805
1518005520000,0.00038850,0.00039190,0.00038770,0.00038990,37423.86000000,1518005579999,14.57156629,229,24679.23000000,9.61809101
1518005580000,0.00038990,0.00039010,0.00037380,0.00037910,32055.18000000,1518005639999,12.39465717,223,19109.82000000,7.41354195
1518005640000,0.00037910,0.00038320,0.00037310,0.00037540,43381.48000000,1518005699999,16.44208621,210,19060.87000000,7.22220448
1518005700000,0.00037900,0.00038260,0.00037550,0.00038150,10127.03000000,1518005759999,3.85261405,75,5446.99000000,2.07462351
1518005760000,0.00038140,0.00038900,0.00038080,0.00038710,24485.07000000,1518005819999,9.40044900,133,12525.70000000,4.81964330
1518005820000,0.00038600,0.00038700,0.00037920,0.00037920,33640.75000000,1518005879999,12.87048734,146,15993.95000000,6.11712077
1518005880000,0.00037920,0.00038390,0.00037000,0.00037000,39964.60000000,1518005939999,15.02042570,184,12672.92000000,4.75546115
1518005940000,0.00037050,0.00037380,0.00035900,0.00035960,64937.45000000,1518005999999,23.74209075,259,24094.23000000,8.76622656
1518006000000,0.00035960,0.00037000,0.00035100,0.00036750,35391.90000000,1518006059999,12.76966907,162,25129.38000000,9.07449385
1518006060000,0.00036750,0.00036890,0.00035900,0.00036490,42644.50000000,1518006119999,15.58148364,163,14891.25000000,5.44009866
1518006120000,0.00036490,0.00036500,0.00035730,0.00036000,23025.12000000,1518006179999,8.29343036,111,11010.20000000,3.96161708
1518006180000,0.00036370,0.00036510,0.00036100,0.00036460,7193.70000000,1518006239999,2.61841291,101,4635.47000000,1.68941324
1518006240000,0.00036450,0.00036670,0.00035990,0.00036510,14132.15000000,1518006299999,5.12989871,92,7931.09000000,2.88157106
1518006300000,0.00036540,0.00037050,0.00036540,0.00037000,14367.90000000,1518006359999,5.28255573,119,2798.50000000,1.02985516
1518006360000,0.00037000,0.00037280,0.00037000,0.00037130,15801.62000000,1518006419999,5.86050968,120,8114.13000000,3.01203745
1518006420000,0.00037160,0.00037700,0.00037130,0.00037500,25333.83000000,1518006479999,9.47675017,126,20852.38000000,7.80190448
1518006480000,0.00037500,0.00037500,0.00037000,0.00037400,40380.96000000,1518006539999,15.08108814,146,5943.76000000,2.22075600
1518006540000,0.00037400,0.00037650,0.00037300,0.00037590,37066.17000000,1518006599999,13.89187842,114,22303.19000000,8.36303708
1518006600000,0.00037600,0.00038380,0.00037590,0.00038000,26694.84000000,1518006659999,10.13740543,167,16757.46000000,6.37011313
1518006660000,0.00038150,0.00038380,0.00037910,0.00038290,23623.26000000,1518006719999,9.02952848,147,13080.07000000,4.99922158
1518006720000,0.00038290,0.00038790,0.00038290,0.00038330,52116.08000000,1518006779999,20.06650262,281,28538.69000000,10.98304561
1518006780000,0.00038330,0.00038690,0.00037890,0.00038640,31739.28000000,1518006839999,12.19562766,177,17501.72000000,6.73922593
1518006840000,0.00038600,0.00038860,0.00038300,0.00038830,28666.72000000,1518006899999,11.09529081,135,17745.16000000,6.86633150
1518006900000,0.00038830,0.00038850,0.00037910,0.00038010,19742.38000000,1518006959999,7.62641297,169,12023.30000000,4.64864925
1518006960000,0.00038010,0.00038500,0.00038010,0.00038400,14807.00000000,1518007019999,5.68102386,74,6299.12000000,2.41886205
1518007020000,0.00038250,0.00038500,0.00038080,0.00038160,12942.82000000,1518007079999,4.94281833,81,5695.21000000,2.18053151
1518007080000,0.00038290,0.00038500,0.00038200,0.00038400,14229.79000000,1518007139999,5.45420658,74,6030.76000000,2.31772156
1518007140000,0.00038410,0.00038490,0.00038230,0.00038410,19681.06000000,1518007199999,7.55708613,68,4151.17000000,1.59441048
1518007200000,0.00038410,0.00038410,0.00038100,0.00038100,16080.74000000,1518007259999,6.14009613,67,2845.90000000,1.08747140
1518007260000,0.00038100,0.00038100,0.00037380,0.00037380,15083.81000000,1518007319999,5.67603202,136,5084.15000000,1.92047291
1518007320000,0.00037410,0.00037780,0.00037270,0.00037350,6249.85000000,1518007379999,2.33872829,91,1706.33000000,0.64198032
1518007380000,0.00037380,0.00037380,0.00036620,0.00037190,27521.23000000,1518007439999,10.18917278,163,7923.17000000,2.94124271
1518007440000,0.00037000,0.00037180,0.00036180,0.00036580,23961.95000000,1518007499999,8.75336522,127,1427.88000000,0.52561111
1518007500000,0.00036580,0.00036770,0.00036250,0.00036700,15631.56000000,1518007559999,5.69724143,64,6890.87000000,2.51869791
1518007560000,0.00036700,0.00037750,0.00036700,0.00037750,37524.87000000,1518007619999,14.04561724,102,27824.04000000,10.42022363
1518007620000,0.00037400,0.00037690,0.00037290,0.00037500,3749.18000000,1518007679999,1.40343979,74,1439.27000000,0.53882157
1518007680000,0.00037450,0.00037460,0.00037210,0.00037400,8932.30000000,1518007739999,3.33506929,68,5978.41000000,2.23294342
1518007740000,0.00037410,0.00038000,0.00037400,0.00037600,22954.16000000,1518007799999,8.68276957,56,20547.97000000,7.78063723
