Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1518004680000,0.00580000,0.00598500,0.00400000,0.00570000,455.74000000,1518004739999,2.60566379,10,454.74000000,2.60166379
1518004740000,0.00570000,0.00570000,0.00349400,0.00383900,38311.30000000,1518004799999,145.00753337,170,29586.54000000,111.86530449
1518004800000,0.00383900,0.00400000,0.00360000,0.00391000,45083.89000000,1518004859999,175.36595929,166,35157.92000000,137.42570167
1518004860000,0.00391000,0.00400000,0.00363300,0.00399500,34939.72000000,1518004919999,137.61927982,209,23844.56000000,94.34679049
1518004920000,0.00390200,0.00399000,0.00350100,0.00369900,14359.88000000,1518004979999,53.89829636,101,5829.51000000,22.42388661
1518004980000,0.00369900,0.00370000,0.00351000,0.00359000,24995.97000000,1518005039999,91.33560472,110,20039.02000000,73.49455090
1518005040000,0.00359000,0.00359000,0.00350000,0.00358000,38139.15000000,1518005099999,135.12322103,226,31793.80000000,112.84134105
1518005100000,0.00358000,0.00369800,0.00357200,0.00365300,14263.60000000,1518005159999,51.70365613,122,10149.93000000,36.81606656
1518005160000,0.00369600,0.00390000,0.00361600,0.00365300,26758.37000000,1518005219999,99.41881199,117,17294.13000000,64.20414575
1518005220000,0.00370000,0.00380000,0.00366500,0.00373300,35984.04000000,1518005279999,135.29705200,127,14658.62000000,55.01952524
1518005280000,0.00373300,0.00385000,0.00367300,0.00374900,21301.36000000,1518005339999,80.04457527,85,5718.27000000,21.61849101
1518005340000,0.00370700,0.00388900,0.00370700,0.00388900,11138.39000000,1518005399999,41.81397534,92,8944.41000000,33.61757410
1518005400000,0.00385900,0.00389000,0.00372200,0.00383000,9289.40000000,1518005459999,35.30336288,70,5479.65000000,20.85360430
1518005460000,0.00377400,0.00385100,0.00377400,0.00385100,7827.60000000,1518005519999,30.04224250,91,3135.01000000,12.04006971
1518005520000,0.00385000,0.00387500,0.00385000,0.00387000,18804.77000000,1518005579999,72.75043577,129,8565.46000000,33.12653902
1518005580000,0.00387000,0.00387500,0.00377000,0.00377000,5685.26000000,1518005639999,21.88929665,67,940.59000000,3.64112199
1518005640000,0.00377000,0.00384900,0.00375800,0.00377000,6905.85000000,1518005699999,26.25282155,65,4030.23000000,15.41679828
1518005700000,0.00379600,0.00379800,0.00370000,0.00378200,5216.18000000,1518005759999,19.65894961,52,3072.82000000,11.62274992
1518005760000,0.00378200,0.00384500,0.00378000,0.00383400,13677.44000000,1518005819999,52.05494683,62,13405.14000000,51.01966358
1518005820000,0.00380200,0.00383300,0.00370500,0.00382000,9677.10000000,1518005879999,36.35891533,64,6569.06000000,24.71436649
1518005880000,0.00380000,0.00382000,0.00369000,0.00371000,7105.89000000,1518005939999,26.62057033,44,2109.67000000,7.95981300
1518005940000,0.00376600,0.00376600,0.00359000,0.00360200,16488.12000000,1518005999999,59.70110501,102,3332.26000000,12.17436867
1518006000000,0.00357800,0.00366100,0.00355000,0.00365800,2263.15000000,1518006059999,8.18101990,29,1501.01000000,5.41381234
1518006060000,0.00365200,0.00366100,0.00352500,0.00365800,42236.23000000,1518006119999,150.46789271,115,36374.73000000,129.37190730
1518006120000,0.00362000,0.00362000,0.00357700,0.00360000,2776.01000000,1518006179999,9.94116398,26,413.57000000,1.49029198
1518006180000,0.00357700,0.00365500,0.00354900,0.00365000,3322.88000000,1518006239999,12.01585188,66,2937.55000000,10.63784464
1518006240000,0.00361000,0.00365000,0.00356100,0.00363900,1928.89000000,1518006299999,6.96215405,32,240.93000000,0.87658042
