Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1517914200000,0.30000000,0.40000000,0.30000000,0.40000000,1652.81000000,1517914259999,519.10800000,15,913.84000000,274.15200000
1517914260000,0.40000000,0.40000000,0.02000000,0.02000000,3153.06000000,1517914319999,615.56304690,17,88.15000000,21.67434690
1517914320000,0.02504000,0.14890000,0.02500000,0.14890000,1733.09000000,1517914379999,62.01938820,7,150.47000000,22.40498300
1517914380000,0.14890000,0.14890000,0.03100000,0.05500000,1849.97000000,1517914439999,196.95377920,9,1014.60000000,150.08617920
1517914440000,0.14000000,0.14000000,0.05715000,0.13500000,10525.48000000,1517914499999,712.42175380,41,3266.23000000,276.95735530
1517914500000,0.06104000,0.13000000,0.06104000,0.09696000,294.10000000,1517914559999,22.53141420,9,92.62000000,10.23197100
1517914560000,0.07500000,0.07500000,0.07048000,0.07048000,2375.51000000,1517914619999,175.46531330,16,1480.13000000,110.92405690
1517914620000,0.07025000,0.07100000,0.06500000,0.06500000,6438.16000000,1517914679999,433.15157340,25,770.86000000,54.15084740
1517914680000,0.06500000,0.06603000,0.06000000,0.06501000,12918.91000000,1517914739999,803.85605540,46,8707.85000000,543.10645980
1517914740000,0.06620000,0.06620000,0.06501000,0.06501000,142.03000000,1517914799999,9.40121980,4,0.00000000,0.00000000
1517914800000,0.06620000,0.07000000,0.06620000,0.07000000,12729.90000000,1517914859999,888.78572710,29,2863.09000000,198.18858610
1517914860000,0.07007000,0.07200000,0.07007000,0.07100000,5718.57000000,1517914919999,409.86076000,20,1655.00000000,117.39958000
1517914920000,0.07200000,0.08986000,0.07200000,0.07291000,2806.80000000,1517914979999,205.23798400,17,1286.83000000,95.32250040
1517914980000,0.07291000,0.07291000,0.07000000,0.07097000,13851.73000000,1517915039999,984.57085270,28,2224.56000000,158.55371020
1517915040000,0.07091000,0.07091000,0.07091000,0.07091000,2.00000000,1517915099999,0.14182000,1,2.00000000,0.14182000
