Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1517914200000,0.00010000,0.00010000,0.00005679,0.00008000,55592.00000000,1517914259999,5.13247040,150,38983.00000000,3.78729164
1517914260000,0.00007207,0.00008700,0.00006100,0.00006300,375203.00000000,1517914319999,24.78017754,327,65677.00000000,4.72194419
1517914320000,0.00006203,0.00006300,0.00005600,0.00005697,356306.00000000,1517914379999,20.73920906,327,70493.00000000,4.15017896
1517914380000,0.00005635,0.00005790,0.00005292,0.00005565,313764.00000000,1517914439999,17.14378614,273,49436.00000000,2.70054601
1517914440000,0.00005641,0.00006203,0.00005576,0.00006203,389611.00000000,1517914499999,23.29348184,361,275889.00000000,16.68617783
1517914500000,0.00006203,0.00008000,0.00006203,0.00007239,356712.00000000,1517914559999,24.79392175,521,188597.00000000,13.25865887
1517914560000,0.00007200,0.00007239,0.00006201,0.00006609,167835.00000000,1517914619999,11.65707404,272,31066.00000000,2.18972535
1517914620000,0.00006611,0.00006715,0.00006236,0.00006236,79595.00000000,1517914679999,5.13542493,177,32841.00000000,2.11889862
1517914680000,0.00006201,0.00006506,0.00005801,0.00006350,168686.00000000,1517914739999,10.33864868,297,51321.00000000,3.12971332
1517914740000,0.00006599,0.00006700,0.00006300,0.00006600,180061.00000000,1517914799999,11.73147806,254,101254.00000000,6.62029502
1517914800000,0.00006451,0.00006900,0.00006451,0.00006788,183446.00000000,1517914859999,12.29827551,270,90541.00000000,6.08603424
1517914860000,0.00006876,0.00007200,0.00006780,0.00006894,309105.00000000,1517914919999,21.60844194,299,129544.00000000,9.08083788
1517914920000,0.00006900,0.00007240,0.00006900,0.00006999,253106.00000000,1517914979999,17.81609941,356,125816.00000000,8.90896740
1517914980000,0.00006970,0.00006970,0.00006319,0.00006600,195297.00000000,1517915039999,13.07059851,230,35224.00000000,2.34688032
1517915040000,0.00006605,0.00006701,0.00006550,0.00006700,117109.00000000,1517915099999,7.76701534,166,32466.00000000,2.14962177
1517915100000,0.00006675,0.00007000,0.00006642,0.00006700,194904.00000000,1517915159999,13.13883643,221,86631.00000000,5.90167928
1517915160000,0.00006700,0.00006850,0.00006700,0.00006763,202494.00000000,1517915219999,13.71972349,194,40667.00000000,2.76627822
1517915220000,0.00006763,0.00006790,0.00006300,0.00006300,278557.00000000,1517915279999,18.48440285,250,82135.00000000,5.47657086
1517915280000,0.00006375,0.00006502,0.00006110,0.00006317,175196.00000000,1517915339999,10.91211055,258,63424.00000000,3.96617134
1517915340000,0.00006140,0.00006607,0.00005864,0.00005864,378917.00000000,1517915399999,23.25316154,356,77159.00000000,4.77065602
1517915400000,0.00005864,0.00006251,0.00005810,0.00006150,142201.00000000,1517915459999,8.53502385,206,72026.00000000,4.33453659
1517915460000,0.00006130,0.00006270,0.00006070,0.00006153,80303.00000000,1517915519999,4.93069821,97,59479.00000000,3.64699144
1517915520000,0.00006220,0.00006500,0.00006189,0.00006327,191225.00000000,1517915579999,12.11889770,165,147429.00000000,9.35391226
1517915580000,0.00006327,0.00006339,0.00006101,0.00006101,47028.00000000,1517915639999,2.92573382,78,10536.00000000,0.66102901
1517915640000,0.00006101,0.00006101,0.00005999,0.00006050,72613.00000000,1517915699999,4.39077352,118,14855.00000000,0.90314360
1517915700000,0.00006078,0.00006240,0.00005999,0.00006030,120117.00000000,1517915759999,7.35567519,139,31216.00000000,1.91079427
1517915760000,0.00006001,0.00006199,0.00005985,0.00006069,103310.00000000,1517915819999,6.29208201,132,30154.00000000,1.83754597
1517915820000,0.00006050,0.00006100,0.00005990,0.00006001,48817.00000000,1517915879999,2.94046068,68,25043.00000000,1.50502391
1517915880000,0.00005989,0.00005989,0.00005812,0.00005900,124619.00000000,1517915939999,7.32131966,151,53012.00000000,3.11691032
1517915940000,0.00005877,0.00005877,0.00005703,0.00005777,152835.00000000,1517915999999,8.83996645,158,40690.00000000,2.35398005
1517916000000,0.00005777,0.00006000,0.00005751,0.00005791,202806.00000000,1517916059999,11.86406415,168,81729.00000000,4.79626313
1517916060000,0.00005793,0.00005859,0.00005711,0.00005716,124685.00000000,1517916119999,7.18803719,137,23026.00000000,1.32678136
1517916120000,0.00005794,0.00005794,0.00005564,0.00005564,167088.00000000,1517916179999,9.47109353,117,36307.00000000,2.04088619
1517916180000,0.00005597,0.00005614,0.00005350,0.00005404,186734.00000000,1517916239999,10.25748079,201,30385.00000000,1.67714678
1517916240000,0.00005360,0.00005500,0.00005341,0.00005421,305955.00000000,1517916299999,16.58733296,204,113682.00000000,6.16922302
1517916300000,0.00005400,0.00005421,0.00005149,0.00005149,271213.00000000,1517916359999,14.24013797,203,70861.00000000,3.72961608
1517916360000,0.00005149,0.00005381,0.00005143,0.00005180,147541.00000000,1517916419999,7.69388107,122,56658.00000000,2.94524455
1517916420000,0.00005174,0.00005174,0.00004878,0.00005000,276295.00000000,1517916479999,13.84100365,179,67637.00000000,3.39378380
1517916480000,0.00005041,0.00005049,0.00004813,0.00004900,143424.00000000,1517916539999,7.05849405,132,22384.00000000,1.10134806
1517916540000,0.00004899,0.00005090,0.00004800,0.00004888,377484.00000000,1517916599999,18.51694248,173,71783.00000000,3.55751603
1517916600000,0.00004882,0.00004980,0.00004801,0.00004900,81438.00000000,1517916659999,3.96715890,82,23456.00000000,1.14757833
1517916660000,0.00004900,0.00005090,0.00004851,0.00005047,148144.00000000,1517916719999,7.35673453,102,85254.00000000,4.24580970
1517916720000,0.00005040,0.00005100,0.00005040,0.00005050,99882.00000000,1517916779999,5.05651338,80,52798.00000000,2.67594376
1517916780000,0.00005051,0.00005052,0.00004951,0.00004952,87385.00000000,1517916839999,4.35381290,75,39077.00000000,1.95490053
1517916840000,0.00004960,0.00004999,0.00004918,0.00004926,44782.00000000,1517916899999,2.22039274,81,19156.00000000,0.95284479
1517916900000,0.00004928,0.00004949,0.00004806,0.00004807,161233.00000000,1517916959999,7.83780660,118,32856.00000000,1.60061206
1517916960000,0.00004843,0.00004946,0.00004806,0.00004900,88983.00000000,1517917019999,4.33271602,82,26071.00000000,1.27174853
1517917020000,0.00004919,0.00004949,0.00004853,0.00004870,63079.00000000,1517917079999,3.10699797,42,28276.00000000,1.39714158
1517917080000,0.00004889,0.00004989,0.00004869,0.00004872,78018.00000000,1517917139999,3.82195293,80,30360.00000000,1.49052705
1517917140000,0.00004880,0.00004920,0.00004880,0.00004918,71510.00000000,1517917199999,3.50608473,84,9972.00000000,0.49003084
1517917200000,0.00004918,0.00005117,0.00004917,0.00005038,274010.00000000,1517917259999,13.71562248,168,114595.00000000,5.75456785
1517917260000,0.00005030,0.00005100,0.00004933,0.00005010,130583.00000000,1517917319999,6.56161766,112,88781.00000000,4.46957562
1517917320000,0.00005010,0.00005127,0.00005010,0.00005089,220736.00000000,1517917379999,11.19423114,154,61616.00000000,3.13339373
1517917380000,0.00005089,0.00005117,0.00004988,0.00004988,69232.00000000,1517917439999,3.48447087,92,34121.00000000,1.72364805
1517917440000,0.00004970,0.00004970,0.00004855,0.00004880,107776.00000000,1517917499999,5.27910431,87,44376.00000000,2.17077369
1517917500000,0.00004864,0.00004960,0.00004860,0.00004900,103300.00000000,1517917559999,5.06616066,121,12112.00000000,0.59422847
1517917560000,0.00004898,0.00004898,0.00004855,0.00004860,25839.00000000,1517917619999,1.25842433,27,4186.00000000,0.20426003
1517917620000,0.00004864,0.00004887,0.00004860,0.00004861,19730.00000000,1517917679999,0.95989241,39,2181.00000000,0.10652326
1517917680000,0.00004862,0.00005081,0.00004861,0.00004865,84035.00000000,1517917739999,4.14723455,67,53729.00000000,2.66721252
1517917740000,0.00004865,0.00004897,0.00004865,0.00004885,45943.00000000,1517917799999,2.23951223,37,6309.00000000,0.30826453
1517917800000,0.00004890,0.00004900,0.00004866,0.00004897,37410.00000000,1517917859999,1.82657154,44,6914.00000000,0.33826450
1517917860000,0.00004897,0.00004897,0.00004860,0.00004864,33583.00000000,1517917919999,1.63459970,33,982.00000000,0.04780874
1517917920000,0.00004864,0.00004888,0.00004820,0.00004820,86222.00000000,1517917979999,4.17145382,65,13090.00000000,0.63519334
1517917980000,0.00004820,0.00004849,0.00004751,0.00004800,122814.00000000,1517918039999,5.90088207,63,29429.00000000,1.41273834
1517918040000,0.00004800,0.00004820,0.00004756,0.00004800,23861.00000000,1517918099999,1.14444336,49,10542.00000000,0.50646360
1517918100000,0.00004800,0.00004800,0.00004606,0.00004628,130140.00000000,1517918159999,6.06451805,144,5307.00000000,0.25019979
1517918160000,0.00004630,0.00004747,0.00004628,0.00004683,47407.00000000,1517918219999,2.21291024,41,23230.00000000,1.09007969
1517918220000,0.00004685,0.00004720,0.00004667,0.00004700,169443.00000000,1517918279999,7.93601840,68,42329.00000000,1.98415325
1517918280000,0.00004681,0.00004682,0.00004634,0.00004660,31826.00000000,1517918339999,1.48050029,31,4700.00000000,0.21803429
1517918340000,0.00004637,0.00004717,0.00004634,0.00004710,98000.00000000,1517918399999,4.59250468,79,32481.00000000,1.52217953
1517918400000,0.00004710,0.00004720,0.00004669,0.00004720,30415.00000000,1517918459999,1.42982546,31,26051.00000000,1.22521084
1517918460000,0.00004681,0.00004694,0.00004669,0.00004694,33424.00000000,1517918519999,1.56540465,47,8165.00000000,0.38231577
1517918520000,0.00004692,0.00004710,0.00004692,0.00004710,15685.00000000,1517918579999,0.73724522,27,13513.00000000,0.63511366
