Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1517914200000,0.00069000,0.00100000,0.00030000,0.00075000,59728.00000000,1517914259999,45.06836757,71,51087.00000000,41.04785560
1517914260000,0.00075000,0.00079000,0.00031000,0.00058800,343269.00000000,1517914319999,215.61205634,224,296815.00000000,195.08398831
1517914320000,0.00060000,0.00064500,0.00045005,0.00058000,211639.00000000,1517914379999,123.61084924,172,204368.00000000,119.32929316
1517914380000,0.00058000,0.00058897,0.00048000,0.00057000,196555.00000000,1517914439999,107.92216468,181,156811.00000000,87.21838136
1517914440000,0.00057800,0.00063100,0.00057000,0.00063100,223556.00000000,1517914499999,132.56730463,233,206501.00000000,122.52178174
1517914500000,0.00064999,0.00078800,0.00064998,0.00074900,212150.00000000,1517914559999,150.98322345,288,165693.00000000,117.55672489
1517914560000,0.00074900,0.00075000,0.00070002,0.00070900,120185.00000000,1517914619999,86.84843354,145,37792.00000000,27.82582651
1517914620000,0.00070002,0.00070002,0.00058001,0.00062110,116322.00000000,1517914679999,79.17721465,93,21050.00000000,14.05874986
1517914680000,0.00063000,0.00067000,0.00060002,0.00066000,140820.00000000,1517914739999,87.09107166,146,55840.00000000,35.17047140
1517914740000,0.00067999,0.00069000,0.00065000,0.00067890,85538.00000000,1517914799999,57.02100222,120,52944.00000000,35.12966233
1517914800000,0.00067799,0.00069999,0.00066005,0.00069990,140949.00000000,1517914859999,97.48926743,136,92926.00000000,63.98270150
1517914860000,0.00069990,0.00073281,0.00069000,0.00070100,153114.00000000,1517914919999,108.85124513,156,118944.00000000,84.58778431
1517914920000,0.00071400,0.00072900,0.00070100,0.00071900,138107.00000000,1517914979999,99.32555328,196,119101.00000000,85.89515585
1517914980000,0.00071800,0.00071800,0.00065010,0.00067899,109381.00000000,1517915039999,74.61562678,123,53658.00000000,36.43013670
1517915040000,0.00067899,0.00068888,0.00065555,0.00068888,91000.00000000,1517915099999,61.75787580,119,71702.00000000,48.87142996
1517915100000,0.00068888,0.00069000,0.00067102,0.00068000,246122.00000000,1517915159999,168.60900254,150,156699.00000000,107.64359509
1517915160000,0.00069000,0.00070100,0.00069000,0.00070000,140670.00000000,1517915219999,98.28691227,124,109151.00000000,76.26092718
1517915220000,0.00070000,0.00070899,0.00064900,0.00065000,207519.00000000,1517915279999,139.26819793,170,105777.00000000,70.48215264
1517915280000,0.00064999,0.00065000,0.00060606,0.00062222,157811.00000000,1517915339999,99.17286723,162,96346.00000000,61.27467763
1517915340000,0.00063000,0.00064000,0.00060714,0.00060742,216151.00000000,1517915399999,135.42935571,188,179958.00000000,113.02847347
1517915400000,0.00060742,0.00063400,0.00060712,0.00063400,123952.00000000,1517915459999,77.44386711,99,117736.00000000,73.64441250
