Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1517601360000,2.20000000,5.31000000,2.20000000,5.31000000,391.10000000,1517601419999,1212.23610000,16,282.01000000,972.23810000
1517601420000,5.31000000,5.31000000,2.80000000,2.89000000,377.71000000,1517601479999,1169.03190000,18,377.71000000,1169.03190000
1517601480000,2.89000000,2.89000000,1.85000000,1.90000000,393.94000000,1517601539999,850.96840000,50,111.97000000,301.87540000
1517601540000,1.90000000,2.60000000,1.85000000,2.20000000,701.39000000,1517601599999,1563.83043600,62,538.75000000,1254.82484000
1517601600000,2.20000000,2.30000000,2.00000000,2.20000000,546.73000000,1517601659999,1210.65000000,35,463.52000000,1029.98560000
1517601660000,2.20000000,2.55000000,2.20000000,2.40000000,594.44000000,1517601719999,1398.65347000,76,363.43000000,850.96807800
1517601720000,2.55000000,2.88000000,2.20000000,2.20000000,828.53000000,1517601779999,1916.51556800,112,123.25000000,311.23056600
1517601780000,2.21000000,2.74000000,2.21000000,2.67000000,32.16000000,1517601839999,72.87890200,5,4.13000000,10.93260000
1517601840000,2.59000000,2.59000000,2.35000000,2.35000000,529.55000000,1517601899999,1267.78345800,44,59.23000000,141.19666300
1517601900000,2.30010000,2.73000000,2.21050000,2.21050000,691.81000000,1517601959999,1584.85180100,87,120.00000000,279.16567600
1517601960000,2.23150000,2.75000000,2.10000000,2.20000000,1384.36000000,1517602019999,3270.16170900,150,509.38000000,1349.17578500
1517602020000,2.13870000,2.23000000,2.10000000,2.23000000,205.13000000,1517602079999,442.05820100,53,126.18000000,272.30939800
1517602080000,2.20000000,2.20050000,2.01000000,2.01000000,1137.10000000,1517602139999,2409.73593400,92,121.39000000,265.25853600
1517602140000,2.00850000,2.00850000,1.94970000,2.00850000,1296.85000000,1517602199999,2589.15649400,42,165.93000000,327.82968500
1517602200000,2.04650000,2.20000000,2.04650000,2.20000000,30.32000000,1517602259999,64.55078700,16,24.37000000,51.66540100
1517602260000,2.20000000,2.33700000,2.03540000,2.08540000,493.14000000,1517602319999,1034.75026200,62,88.66000000,191.59121300
1517602320000,2.08540000,2.30000000,2.08000000,2.20000000,90.09000000,1517602379999,198.78367900,21,67.05000000,149.93068900
1517602380000,2.20000000,2.20000000,2.10010000,2.20000000,26.55000000,1517602439999,57.85555500,15,13.32000000,29.30400000
1517602440000,2.20000000,2.28000000,2.11000000,2.27000000,139.10000000,1517602499999,310.87131900,27,108.75000000,244.42261900
1517602500000,2.12000000,2.24990000,2.12000000,2.15000000,5.18000000,1517602559999,11.18602000,5,0.50000000,1.12492000
1517602560000,2.24970000,2.24970000,2.15000000,2.15500000,279.30000000,1517602619999,623.65940900,20,241.62000000,542.56684500
1517602620000,2.15510000,2.23980000,2.15500000,2.23980000,75.32000000,1517602679999,162.53412300,26,21.92000000,47.44647800
1517602680000,2.23500000,2.29900000,2.17700000,2.25000000,957.64000000,1517602739999,2151.75315100,85,835.31000000,1877.37090000
1517602740000,2.27000000,2.29900000,2.25010000,2.25550000,846.14000000,1517602799999,1908.76523600,79,45.47000000,103.16815400
1517602800000,2.25550000,2.25600000,2.19500000,2.21000000,527.00000000,1517602859999,1187.15138100,75,63.29000000,142.22523800
1517602860000,2.20990000,2.25480000,2.15110000,2.15110000,429.88000000,1517602919999,945.59329500,64,51.62000000,113.93557500
1517602920000,2.15110000,2.25000000,2.15020000,2.24900000,91.55000000,1517602979999,204.23882400,18,76.25000000,171.19738100
1517602980000,2.20000000,2.24000000,2.20000000,2.20670000,38.47000000,1517603039999,84.86705500,9,37.47000000,82.66705500
1517603040000,2.20670000,2.20680000,2.20030000,2.20670000,118.17000000,1517603099999,260.74231500,27,35.69000000,78.74647100
1517603100000,2.20670000,2.20670000,2.17000000,2.20670000,34.49000000,1517603159999,75.98761100,14,11.50000000,25.37705000
1517603160000,2.17010000,2.17010000,2.15000000,2.15000000,625.34000000,1517603219999,1354.03958400,60,4.30000000,9.33094600
1517603220000,2.15000000,2.15300000,1.90000000,2.11000000,701.21000000,1517603279999,1422.34100700,84,42.77000000,91.19357800
1517603280000,2.11000000,2.17010000,2.05680000,2.10760000,220.20000000,1517603339999,466.60004900,27,24.04000000,51.21622900
1517603340000,2.12000000,2.12000000,2.05000000,2.05000000,67.95000000,1517603399999,141.82422000,13,13.96000000,29.59520000
1517603400000,2.03380000,2.05000000,2.00000000,2.00100000,167.40000000,1517603459999,341.39043900,15,46.06000000,94.22564500
1517603460000,2.00100000,2.04950000,1.97300000,2.00000000,258.31000000,1517603519999,516.53553300,29,49.79000000,99.74526300
1517603520000,1.99660000,2.01220000,1.99660000,2.01210000,376.96000000,1517603579999,756.82994100,32,258.05000000,517.72608300
1517603580000,2.02000000,2.05000000,2.02000000,2.05000000,107.39000000,1517603639999,219.66190900,15,75.87000000,155.19035700
1517603640000,2.02000000,2.05000000,1.99990000,2.02000000,87.95000000,1517603699999,178.14943900,23,21.92000000,44.87553900
1517603700000,2.02000000,2.02000000,2.01000000,2.01000000,31.32000000,1517603759999,63.25550000,9,12.00000000,24.24000000
1517603760000,2.04970000,2.04990000,2.04800000,2.04990000,80.17000000,1517603819999,164.33696900,9,78.97000000,161.87936900
1517603820000,2.04990000,2.05000000,2.04990000,2.05000000,4.63000000,1517603879999,9.49137300,3,4.63000000,9.49137300
1517603880000,2.07800000,2.12000000,2.07790000,2.08000000,112.46000000,1517603939999,236.91992200,24,54.16000000,114.63352200
1517603940000,2.08000000,2.11990000,1.98100000,2.11000000,323.48000000,1517603999999,655.74083200,32,23.48000000,49.27412700
1517604000000,2.10980000,2.11000000,2.10980000,2.11000000,114.06000000,1517604059999,240.65960600,4,114.06000000,240.65960600
1517604060000,2.11000000,2.11000000,2.03000000,2.10990000,13.58000000,1517604119999,28.36358200,7,9.96000000,21.01476100
1517604120000,2.10000000,2.10990000,2.03500000,2.05770000,124.83000000,1517604179999,258.68215700,20,11.74000000,24.67019800
1517604180000,2.05770000,2.05770000,2.05740000,2.05770000,63.40000000,1517604239999,130.45359100,7,43.40000000,89.29959100
1517604240000,2.05750000,2.05760000,2.03710000,2.05760000,13.88000000,1517604299999,28.49847300,11,8.98000000,18.44709800
1517604300000,2.05760000,2.05760000,2.00110000,2.05760000,56.59000000,1517604359999,115.52939300,11,22.61000000,46.52066500
1517604360000,2.05710000,2.05710000,2.05710000,2.05710000,2.14000000,1517604419999,4.40219400,2,0.01000000,0.02057100
1517604420000,2.05710000,2.05710000,2.00230000,2.00230000,29.69000000,1517604479999,60.24275400,5,14.50000000,29.82781700
1517604480000,2.00230000,2.05660000,2.00230000,2.00240000,57.20000000,1517604539999,115.09136400,11,27.51000000,55.64111900
1517604540000,2.00250000,2.05760000,2.00250000,2.05760000,65.82000000,1517604599999,134.68526800,11,59.25000000,121.52884300
