Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1519641120000,0.00001000,0.00001000,0.00000456,0.00000580,4019875.00000000,1519641179999,26.47447625,232,3152962.00000000,21.59234346
1519641180000,0.00000580,0.00000580,0.00000300,0.00000388,12899784.00000000,1519641239999,49.58772541,407,3649685.00000000,15.98304336
1519641240000,0.00000390,0.00000390,0.00000355,0.00000367,7719655.00000000,1519641299999,28.91306130,387,6419331.00000000,24.10089336
1519641300000,0.00000361,0.00000470,0.00000357,0.00000449,23825146.00000000,1519641359999,93.26268540,605,15529299.00000000,60.96274781
1519641360000,0.00000449,0.00000477,0.00000435,0.00000464,20944230.00000000,1519641419999,94.45531111,750,9177663.00000000,41.46821221
1519641420000,0.00000464,0.00000510,0.00000451,0.00000493,16199630.00000000,1519641479999,77.71067668,909,6294509.00000000,30.71572623
1519641480000,0.00000490,0.00000494,0.00000450,0.00000479,9246438.00000000,1519641539999,44.02793196,530,6153357.00000000,29.36163876
1519641540000,0.00000479,0.00000479,0.00000415,0.00000444,6854210.00000000,1519641599999,30.39891309,543,2280818.00000000,10.03750849
1519641600000,0.00000448,0.00000500,0.00000439,0.00000480,10209844.00000000,1519641659999,48.21307403,706,4568975.00000000,21.74695224
1519641660000,0.00000480,0.00000498,0.00000456,0.00000478,8261042.00000000,1519641719999,38.81372379,505,5120353.00000000,24.01555160
1519641720000,0.00000477,0.00000485,0.00000450,0.00000466,7917081.00000000,1519641779999,36.86230693,533,2750465.00000000,12.96008059
1519641780000,0.00000466,0.00000482,0.00000464,0.00000474,10317592.00000000,1519641839999,48.57319901,581,2110920.00000000,10.01434527
1519641840000,0.00000474,0.00000484,0.00000468,0.00000480,10405472.00000000,1519641899999,49.56028330,560,3724231.00000000,17.77537354
1519641900000,0.00000478,0.00000505,0.00000478,0.00000495,14742038.00000000,1519641959999,72.43024799,763,7123953.00000000,35.08376884
1519641960000,0.00000496,0.00000521,0.00000489,0.00000496,14711723.00000000,1519642019999,73.68556465,807,7847565.00000000,39.22334894
1519642020000,0.00000495,0.00000516,0.00000490,0.00000508,12712240.00000000,1519642079999,63.85404254,654,6091194.00000000,30.59044830
1519642080000,0.00000508,0.00000523,0.00000500,0.00000523,10809503.00000000,1519642139999,55.36727537,564,4556251.00000000,23.24965745
1519642140000,0.00000520,0.00000575,0.00000516,0.00000560,10039398.00000000,1519642199999,53.67049235,728,5084334.00000000,27.34928201
1519642200000,0.00000560,0.00000588,0.00000545,0.00000588,17496328.00000000,1519642259999,98.84879153,1006,9394687.00000000,53.20578210
1519642260000,0.00000580,0.00000640,0.00000580,0.00000597,17207045.00000000,1519642319999,103.68825025,1310,9460054.00000000,57.03206308
1519642320000,0.00000595,0.00000600,0.00000520,0.00000543,16536173.00000000,1519642379999,91.52570282,1145,5505704.00000000,31.03447647
1519642380000,0.00000542,0.00000582,0.00000536,0.00000559,15057748.00000000,1519642439999,84.52311621,973,8185695.00000000,45.96238863
1519642440000,0.00000558,0.00000610,0.00000549,0.00000587,15020875.00000000,1519642499999,88.04100651,873,6474915.00000000,38.04810116
1519642500000,0.00000587,0.00000596,0.00000550,0.00000560,7888273.00000000,1519642559999,46.21647264,728,2811087.00000000,16.57166085
1519642560000,0.00000568,0.00000579,0.00000529,0.00000530,9872073.00000000,1519642619999,54.89592719,850,3026345.00000000,17.03136377
1519642620000,0.00000530,0.00000550,0.00000520,0.00000524,9961979.00000000,1519642679999,53.38072700,737,4803564.00000000,25.77565100
1519642680000,0.00000525,0.00000551,0.00000507,0.00000545,8581868.00000000,1519642739999,45.80735511,767,3625748.00000000,19.34700340
1519642740000,0.00000544,0.00000553,0.00000533,0.00000543,7402597.00000000,1519642799999,40.11060059,557,3343763.00000000,18.13686686
1519642800000,0.00000548,0.00000575,0.00000541,0.00000565,10308141.00000000,1519642859999,57.72559535,728,5420618.00000000,30.43111421
1519642860000,0.00000565,0.00000583,0.00000560,0.00000566,10577330.00000000,1519642919999,60.34563095,701,5168184.00000000,29.50204943
1519642920000,0.00000565,0.00000583,0.00000535,0.00000545,13659867.00000000,1519642979999,77.76813247,944,5520421.00000000,31.54346464
1519642980000,0.00000545,0.00000571,0.00000540,0.00000560,6227767.00000000,1519643039999,34.99627548,529,2996960.00000000,16.82020279
1519643040000,0.00000561,0.00000568,0.00000556,0.00000560,2322525.00000000,1519643099999,13.00575713,292,1437646.00000000,8.05618714
1519643100000,0.00000560,0.00000560,0.00000535,0.00000555,5398341.00000000,1519643159999,29.57485795,605,1859851.00000000,10.20063385
1519643160000,0.00000551,0.00000558,0.00000540,0.00000555,5978997.00000000,1519643219999,32.97298403,459,1536859.00000000,8.47206541
1519643220000,0.00000551,0.00000555,0.00000544,0.00000551,4312763.00000000,1519643279999,23.71618471,340,1609726.00000000,8.86781123
1519643280000,0.00000551,0.00000552,0.00000539,0.00000539,7070790.00000000,1519643339999,38.57826688,400,2067015.00000000,11.27262950
1519643340000,0.00000539,0.00000549,0.00000535,0.00000538,4382385.00000000,1519643399999,23.62413435,321,1445650.00000000,7.79866174
1519643400000,0.00000538,0.00000538,0.00000514,0.00000514,4993453.00000000,1519643459999,26.39589436,521,1293013.00000000,6.86599860
1519643460000,0.00000520,0.00000539,0.00000511,0.00000534,8980370.00000000,1519643519999,47.28293828,661,3807050.00000000,20.01387643
1519643520000,0.00000531,0.00000546,0.00000525,0.00000545,7204975.00000000,1519643579999,38.48861563,437,3303232.00000000,17.69606422
1519643580000,0.00000545,0.00000546,0.00000537,0.00000544,6093360.00000000,1519643639999,32.99879545,392,2734600.00000000,14.83873647
1519643640000,0.00000544,0.00000546,0.00000538,0.00000541,5327801.00000000,1519643699999,28.86129952,364,2549953.00000000,13.80974387
1519643700000,0.00000542,0.00000553,0.00000541,0.00000545,6403026.00000000,1519643759999,35.09006785,490,3377723.00000000,18.51992464
1519643760000,0.00000546,0.00000554,0.00000545,0.00000553,5821230.00000000,1519643819999,32.03416147,321,3316121.00000000,18.25904403
1519643820000,0.00000551,0.00000556,0.00000535,0.00000542,10112483.00000000,1519643879999,55.01795400,625,3729588.00000000,20.30291988
1519643880000,0.00000539,0.00000545,0.00000538,0.00000540,2474216.00000000,1519643939999,13.37277952,226,1363886.00000000,7.36970373
1519643940000,0.00000539,0.00000539,0.00000521,0.00000524,4635877.00000000,1519643999999,24.67054449,387,1012294.00000000,5.39821534
1519644000000,0.00000523,0.00000536,0.00000520,0.00000536,7510872.00000000,1519644059999,39.71407480,353,4570651.00000000,24.23628813
1519644060000,0.00000534,0.00000534,0.00000519,0.00000519,2642781.00000000,1519644119999,13.85576462,255,880395.00000000,4.63746822
1519644120000,0.00000520,0.00000534,0.00000519,0.00000524,8189010.00000000,1519644179999,43.18973723,338,4124687.00000000,21.76643915
1519644180000,0.00000524,0.00000530,0.00000502,0.00000502,14471403.00000000,1519644239999,75.10463474,656,7042258.00000000,36.87016740
1519644240000,0.00000503,0.00000512,0.00000481,0.00000488,13407659.00000000,1519644299999,66.30091397,795,4651286.00000000,23.10577336
1519644300000,0.00000488,0.00000501,0.00000469,0.00000477,14301770.00000000,1519644359999,69.44695641,687,7129549.00000000,34.66198639
1519644360000,0.00000479,0.00000484,0.00000468,0.00000475,8260557.00000000,1519644419999,39.38454535,415,2435060.00000000,11.62695280
1519644420000,0.00000475,0.00000500,0.00000471,0.00000490,15204454.00000000,1519644479999,74.10459273,586,8392272.00000000,41.08498112
1519644480000,0.00000491,0.00000499,0.00000481,0.00000493,9036627.00000000,1519644539999,44.42567973,435,2938963.00000000,14.49168094
1519644540000,0.00000491,0.00000494,0.00000484,0.00000494,3916684.00000000,1519644599999,19.20799626,274,1456878.00000000,7.15803728
1519644600000,0.00000494,0.00000504,0.00000485,0.00000486,11336575.00000000,1519644659999,56.28611203,545,5714812.00000000,28.41405538
1519644660000,0.00000489,0.00000489,0.00000473,0.00000480,5515625.00000000,1519644719999,26.49959907,446,2656929.00000000,12.75674603
1519644720000,0.00000480,0.00000487,0.00000473,0.00000481,5104221.00000000,1519644779999,24.58209239,244,1915423.00000000,9.24375942
1519644780000,0.00000481,0.00000487,0.00000479,0.00000484,2312973.00000000,1519644839999,11.16341744,167,1231688.00000000,5.95232398
1519644840000,0.00000484,0.00000493,0.00000482,0.00000490,5997333.00000000,1519644899999,29.27235345,229,3836346.00000000,18.74091485
1519644900000,0.00000490,0.00000506,0.00000490,0.00000505,6801615.00000000,1519644959999,33.73431759,375,4185523.00000000,20.82721194
1519644960000,0.00000506,0.00000510,0.00000489,0.00000490,8561788.00000000,1519645019999,42.78782596,529,3460922.00000000,17.30234776
1519645020000,0.00000490,0.00000499,0.00000489,0.00000494,3179462.00000000,1519645079999,15.73425743,190,1882671.00000000,9.32976307
1519645080000,0.00000494,0.00000498,0.00000492,0.00000496,1703024.00000000,1519645139999,8.43073960,124,1128331.00000000,5.58898653
1519645140000,0.00000496,0.00000496,0.00000483,0.00000490,3342465.00000000,1519645199999,16.39764738,336,888368.00000000,4.36024733
1519645200000,0.00000489,0.00000491,0.00000486,0.00000489,2399578.00000000,1519645259999,11.72630256,155,798387.00000000,3.90818688
1519645260000,0.00000489,0.00000489,0.00000472,0.00000481,7158296.00000000,1519645319999,34.36754116,541,1388608.00000000,6.65982684
1519645320000,0.00000480,0.00000482,0.00000466,0.00000467,7672198.00000000,1519645379999,36.19748423,383,2641182.00000000,12.48295149
1519645380000,0.00000466,0.00000469,0.00000450,0.00000466,9639334.00000000,1519645439999,44.19183981,625,2436440.00000000,11.20496913
1519645440000,0.00000466,0.00000469,0.00000450,0.00000458,6640586.00000000,1519645499999,30.49843079,335,2278018.00000000,10.46644441
