Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1518405780000,0.00059500,0.00059500,0.00026001,0.00039000,168783.00000000,1518405839999,66.80016150,137,66591.00000000,30.41115382
1518405840000,0.00038000,0.00040000,0.00035000,0.00036001,231211.00000000,1518405899999,85.28419461,221,44220.00000000,16.66396587
1518405900000,0.00036001,0.00037997,0.00035000,0.00036000,115337.00000000,1518405959999,41.61976671,112,50608.00000000,18.34731782
1518405960000,0.00035997,0.00035999,0.00034000,0.00034000,86796.00000000,1518406019999,30.56640293,103,23049.00000000,8.20428019
1518406020000,0.00034100,0.00034100,0.00029000,0.00032001,139798.00000000,1518406079999,44.18523783,89,76345.00000000,24.19142007
1518406080000,0.00032001,0.00032883,0.00030008,0.00031390,46274.00000000,1518406139999,14.69390064,64,20332.00000000,6.44815187
1518406140000,0.00031301,0.00032696,0.00030347,0.00031989,84945.00000000,1518406199999,26.49515258,83,49122.00000000,15.44660166
1518406200000,0.00031989,0.00038000,0.00031600,0.00035200,319434.00000000,1518406259999,108.52778737,183,213457.00000000,72.73250657
1518406260000,0.00035200,0.00036498,0.00033489,0.00034649,194490.00000000,1518406319999,67.13061709,194,89819.00000000,31.20876576
1518406320000,0.00034121,0.00034900,0.00032001,0.00032893,174764.00000000,1518406379999,58.04440441,169,50804.00000000,16.66548751
1518406380000,0.00032982,0.00034122,0.00032200,0.00033105,130856.00000000,1518406439999,42.99639458,119,25202.00000000,8.30866397
1518406440000,0.00033105,0.00033999,0.00032898,0.00033105,52830.00000000,1518406499999,17.49966925,71,10950.00000000,3.64197768
1518406500000,0.00033084,0.00033104,0.00032500,0.00032905,81669.00000000,1518406559999,26.87003803,80,30314.00000000,9.97682808
1518406560000,0.00032905,0.00032905,0.00032200,0.00032300,47624.00000000,1518406619999,15.47179206,62,25155.00000000,8.16266973
1518406620000,0.00032500,0.00032904,0.00032008,0.00032898,39075.00000000,1518406679999,12.78664701,31,21204.00000000,6.97051020
1518406680000,0.00032898,0.00033500,0.00032800,0.00033399,53751.00000000,1518406739999,17.68719909,47,15665.00000000,5.16210662
1518406740000,0.00033399,0.00034121,0.00033388,0.00034121,142327.00000000,1518406799999,48.19159937,92,114174.00000000,38.75261459
1518406800000,0.00034121,0.00035898,0.00034099,0.00035499,71026.00000000,1518406859999,24.62131375,63,40421.00000000,14.04565050
1518406860000,0.00035499,0.00038500,0.00035499,0.00038500,192897.00000000,1518406919999,71.49531640,129,156255.00000000,57.91437566
1518406920000,0.00038500,0.00039000,0.00035499,0.00037150,204750.00000000,1518406979999,76.34096941,180,126226.00000000,47.19928015
1518406980000,0.00037150,0.00038000,0.00035000,0.00035501,150654.00000000,1518407039999,55.15822213,156,41130.00000000,15.16970674
1518407040000,0.00036400,0.00036400,0.00035501,0.00036100,71476.00000000,1518407099999,25.78990066,81,34275.00000000,12.40708699
1518407100000,0.00036100,0.00036900,0.00035501,0.00036899,83853.00000000,1518407159999,30.27713949,91,45927.00000000,16.63754296
1518407160000,0.00036899,0.00037888,0.00036000,0.00037309,172454.00000000,1518407219999,63.97175053,178,72033.00000000,26.90696061
1518407220000,0.00037309,0.00037309,0.00035602,0.00035704,152816.00000000,1518407279999,55.17786507,115,41823.00000000,15.08784188
1518407280000,0.00035702,0.00037498,0.00035600,0.00035604,136015.00000000,1518407339999,48.92768742,137,47442.00000000,17.29645507
1518407340000,0.00035962,0.00036999,0.00035800,0.00036964,54642.00000000,1518407399999,19.78588096,63,36198.00000000,13.11029336
1518407400000,0.00036317,0.00036963,0.00035803,0.00035900,170639.00000000,1518407459999,61.54563652,132,18946.00000000,6.87095913
1518407460000,0.00035898,0.00035898,0.00035001,0.00035001,154424.00000000,1518407519999,54.90215046,79,30832.00000000,10.98392957
1518407520000,0.00035002,0.00035398,0.00033311,0.00033311,192858.00000000,1518407579999,67.23111902,101,42373.00000000,14.74089365
