Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1517817480000,0.00070000,0.00070000,0.00050360,0.00051000,66418.26000000,1517817539999,37.60146364,335,47159.58000000,27.20389225
1517817540000,0.00051000,0.00052890,0.00050000,0.00051880,64847.64000000,1517817599999,33.48670667,309,47743.06000000,24.64922846
1517817600000,0.00051880,0.00057000,0.00051500,0.00054850,86977.86000000,1517817659999,47.58995251,501,52396.98000000,28.63068897
1517817660000,0.00054850,0.00054850,0.00052500,0.00053300,30106.14000000,1517817719999,16.22761351,246,18433.82000000,9.96449318
1517817720000,0.00053300,0.00053600,0.00047000,0.00047000,62767.63000000,1517817779999,32.04007093,344,20021.08000000,10.26597321
1517817780000,0.00048510,0.00051400,0.00046060,0.00048000,38797.33000000,1517817839999,18.94086004,236,12965.94000000,6.35625436
1517817840000,0.00048000,0.00049000,0.00047000,0.00047630,22788.10000000,1517817899999,10.91230055,176,13311.01000000,6.38921250
1517817900000,0.00048000,0.00048110,0.00046020,0.00046060,28829.40000000,1517817959999,13.46750476,149,1507.01000000,0.70345773
1517817960000,0.00046060,0.00047200,0.00045040,0.00045670,37555.90000000,1517818019999,17.26519627,207,18685.68000000,8.62398216
1517818020000,0.00045900,0.00045900,0.00042220,0.00042220,50895.58000000,1517818079999,22.12014619,225,22466.20000000,9.77285438
1517818080000,0.00042220,0.00044890,0.00040500,0.00044400,67472.38000000,1517818139999,28.52540306,271,28607.73000000,12.25767800
1517818140000,0.00044400,0.00044660,0.00042030,0.00043640,33961.96000000,1517818199999,14.84128310,155,15208.71000000,6.62033472
1517818200000,0.00043640,0.00047000,0.00043010,0.00046500,66484.13000000,1517818259999,30.20104133,233,49492.89000000,22.46798403
1517818260000,0.00046500,0.00047000,0.00044510,0.00045500,32384.57000000,1517818319999,14.76188963,169,14211.51000000,6.53974741
1517818320000,0.00045150,0.00045150,0.00043200,0.00044600,6579.26000000,1517818379999,2.90422836,94,2793.20000000,1.24415359
1517818380000,0.00044550,0.00044880,0.00043510,0.00044880,8847.51000000,1517818439999,3.92968124,87,4806.50000000,2.14547877
1517818440000,0.00044880,0.00045500,0.00044000,0.00044000,13712.11000000,1517818499999,6.14544420,95,4284.61000000,1.93488052
1517818500000,0.00044000,0.00044100,0.00042940,0.00043380,16920.07000000,1517818559999,7.31064624,89,6504.11000000,2.80964453
1517818560000,0.00043380,0.00045300,0.00043380,0.00043990,11009.21000000,1517818619999,4.82071952,74,8699.74000000,3.80604614
1517818620000,0.00044000,0.00044010,0.00043440,0.00043440,13833.85000000,1517818679999,6.04886875,55,6146.58000000,2.68429713
1517818680000,0.00043340,0.00043340,0.00041000,0.00041300,24299.30000000,1517818739999,10.24155601,178,3682.02000000,1.55149120
1517818740000,0.00041300,0.00043000,0.00041300,0.00042320,19444.69000000,1517818799999,8.18557293,110,12135.81000000,5.11349657
1517818800000,0.00042320,0.00042930,0.00041320,0.00041320,13317.13000000,1517818859999,5.58922158,99,6084.66000000,2.55797273
1517818860000,0.00041350,0.00042890,0.00041010,0.00042490,9717.89000000,1517818919999,4.06082725,84,4049.23000000,1.70842748
1517818920000,0.00042570,0.00042880,0.00042000,0.00042120,6422.26000000,1517818979999,2.71763695,32,247.48000000,0.10541220
1517818980000,0.00042130,0.00043000,0.00042120,0.00042520,20601.82000000,1517819039999,8.76181875,90,16306.45000000,6.93561681
1517819040000,0.00042550,0.00042580,0.00041500,0.00042580,17287.21000000,1517819099999,7.27774495,66,9428.61000000,3.96416921
1517819100000,0.00042130,0.00042560,0.00041110,0.00042000,19330.77000000,1517819159999,8.08938304,64,10458.26000000,4.39095833
1517819160000,0.00042000,0.00042000,0.00041110,0.00041530,6215.73000000,1517819219999,2.58147597,34,1750.19000000,0.73464919
1517819220000,0.00041530,0.00042000,0.00041500,0.00041690,5919.90000000,1517819279999,2.47506702,37,2364.61000000,0.99199852
1517819280000,0.00041700,0.00042550,0.00041530,0.00041800,30989.71000000,1517819339999,13.00331521,79,16160.76000000,6.79587000
1517819340000,0.00041800,0.00042300,0.00041800,0.00041870,17495.22000000,1517819399999,7.34812068,70,2738.71000000,1.15391778
1517819400000,0.00041870,0.00042000,0.00041560,0.00041560,4311.79000000,1517819459999,1.80383278,35,2172.29000000,0.91061945
1517819460000,0.00041560,0.00041760,0.00040640,0.00040640,15376.90000000,1517819519999,6.32322072,103,3027.79000000,1.24617517
1517819520000,0.00040640,0.00041440,0.00040000,0.00040600,13819.74000000,1517819579999,5.60897481,87,4605.54000000,1.88776010
1517819580000,0.00040790,0.00040990,0.00038960,0.00038960,23461.77000000,1517819639999,9.45217100,108,8940.08000000,3.64309010
1517819640000,0.00039930,0.00040000,0.00038000,0.00039300,15686.94000000,1517819699999,6.14893165,88,8958.51000000,3.55550812
1517819700000,0.00039300,0.00040900,0.00038940,0.00039990,27350.88000000,1517819759999,10.88359725,114,23970.42000000,9.54871052
1517819760000,0.00039950,0.00040000,0.00039320,0.00039680,5127.49000000,1517819819999,2.03347379,55,3473.29000000,1.37696677
1517819820000,0.00039590,0.00039940,0.00039420,0.00039940,1981.66000000,1517819879999,0.78902745,24,1584.32000000,0.63227933
1517819880000,0.00039930,0.00040490,0.00039510,0.00040490,2942.17000000,1517819939999,1.18195050,32,2564.92000000,1.03026487
1517819940000,0.00040120,0.00041400,0.00040120,0.00041040,4663.55000000,1517819999999,1.90399058,55,3589.51000000,1.46702486
1517820000000,0.00041020,0.00041490,0.00040000,0.00040670,9353.12000000,1517820059999,3.79795627,64,2254.79000000,0.91687206
1517820060000,0.00040650,0.00041000,0.00040010,0.00040970,5682.98000000,1517820119999,2.31410170,43,3891.75000000,1.58936567
1517820120000,0.00040960,0.00041050,0.00040940,0.00041050,5040.89000000,1517820179999,2.06615378,30,3759.01000000,1.54074475
1517820180000,0.00041080,0.00041290,0.00041000,0.00041000,6141.74000000,1517820239999,2.52214409,32,1868.18000000,0.76804671
1517820240000,0.00041290,0.00041300,0.00041290,0.00041300,1450.87000000,1517820299999,0.59913082,21,1135.67000000,0.46897161
1517820300000,0.00041300,0.00042080,0.00041300,0.00042080,8174.57000000,1517820359999,3.40708684,62,6746.99000000,2.81074954
1517820360000,0.00042080,0.00042080,0.00041430,0.00041850,2741.70000000,1517820419999,1.14875754,36,1541.01000000,0.64556632
1517820420000,0.00041800,0.00041850,0.00040960,0.00041000,5347.81000000,1517820479999,2.20783468,58,2332.85000000,0.96685412
1517820480000,0.00040840,0.00041370,0.00040680,0.00041370,633.43000000,1517820539999,0.25865135,26,285.87000000,0.11694574
1517820540000,0.00041020,0.00041450,0.00041020,0.00041450,2643.60000000,1517820599999,1.09425048,45,1762.91000000,0.73015386
1517820600000,0.00041300,0.00041440,0.00041060,0.00041310,109.01000000,1517820659999,0.04503575,5,5.95000000,0.00246568
1517820660000,0.00041440,0.00041440,0.00041060,0.00041060,1482.16000000,1517820719999,0.61215507,18,570.85000000,0.23627671
1517820720000,0.00041070,0.00041380,0.00040680,0.00041000,4828.96000000,1517820779999,1.98183543,39,1254.71000000,0.51466453
1517820780000,0.00041000,0.00041300,0.00041000,0.00041270,2352.64000000,1517820839999,0.96700969,26,481.97000000,0.19865356
1517820840000,0.00041270,0.00041300,0.00041000,0.00041010,775.89000000,1517820899999,0.31885893,23,89.45000000,0.03694085
1517820900000,0.00041010,0.00041140,0.00041010,0.00041020,359.41000000,1517820959999,0.14745780,11,105.47000000,0.04328504
1517820960000,0.00041020,0.00041290,0.00041000,0.00041070,2531.08000000,1517821019999,1.03833012,37,298.86000000,0.12281661
1517821020000,0.00041000,0.00041010,0.00040880,0.00040900,5896.13000000,1517821079999,2.41735344,6,81.37000000,0.03327784
1517821080000,0.00040880,0.00040880,0.00040000,0.00040010,4477.18000000,1517821139999,1.80069410,48,557.04000000,0.22538631
1517821140000,0.00040700,0.00040700,0.00040030,0.00040040,8867.24000000,1517821199999,3.56347515,26,451.99000000,0.18240427
1517821200000,0.00040030,0.00040190,0.00039550,0.00040000,2533.62000000,1517821259999,1.01345099,27,600.35000000,0.24036841
1517821260000,0.00039990,0.00039990,0.00038970,0.00038970,7072.75000000,1517821319999,2.77510475,66,2282.39000000,0.89739085
1517821320000,0.00038970,0.00038970,0.00038010,0.00038580,6720.73000000,1517821379999,2.59742307,59,2974.90000000,1.15512147
1517821380000,0.00038500,0.00040000,0.00038150,0.00038450,11527.32000000,1517821439999,4.44614948,56,5909.89000000,2.27779139
1517821440000,0.00039930,0.00039930,0.00038450,0.00038990,2296.58000000,1517821499999,0.89187625,19,1048.35000000,0.41009454
1517821500000,0.00038990,0.00039740,0.00038530,0.00039310,7910.46000000,1517821559999,3.10290518,29,3564.65000000,1.40323343
1517821560000,0.00039310,0.00039310,0.00038150,0.00039220,3818.07000000,1517821619999,1.47151687,29,241.69000000,0.09483480
1517821620000,0.00039200,0.00039200,0.00038810,0.00038950,3473.92000000,1517821679999,1.35519832,26,3266.48000000,1.27465319
1517821680000,0.00039130,0.00039130,0.00038530,0.00038930,2316.35000000,1517821739999,0.90327330,28,1803.19000000,0.70372560
1517821740000,0.00038530,0.00038930,0.00038260,0.00038860,2513.80000000,1517821799999,0.96945040,31,930.85000000,0.36114425
1517821800000,0.00038840,0.00038840,0.00038320,0.00038770,717.57000000,1517821859999,0.27616515,14,188.98000000,0.07334417
1517821860000,0.00038330,0.00038770,0.00038290,0.00038360,2201.13000000,1517821919999,0.84988507,24,1968.89000000,0.76087118
1517821920000,0.00038830,0.00038840,0.00038810,0.00038840,3005.20000000,1517821979999,1.16681117,21,2852.67000000,1.10761428
1517821980000,0.00038830,0.00038840,0.00038830,0.00038840,370.55000000,1517822039999,0.14390157,9,236.64000000,0.09190433
1517822040000,0.00038990,0.00039800,0.00038260,0.00039500,4975.68000000,1517822099999,1.91709315,50,334.51000000,0.13143223
1517822100000,0.00038700,0.00038900,0.00038700,0.00038820,150.19000000,1517822159999,0.05830471,5,150.19000000,0.05830471
1517822160000,0.00038830,0.00038830,0.00038300,0.00038780,342.90000000,1517822219999,0.13228759,15,150.62000000,0.05843112
1517822220000,0.00038320,0.00038530,0.00038300,0.00038510,737.47000000,1517822279999,0.28264625,9,54.69000000,0.02106113
1517822280000,0.00038510,0.00038760,0.00038350,0.00038350,10042.38000000,1517822339999,3.85667832,35,128.81000000,0.04964695
1517822340000,0.00038350,0.00038750,0.00038040,0.00038040,6635.15000000,1517822399999,2.54208304,39,2346.57000000,0.89991918
1517822400000,0.00038030,0.00038230,0.00038010,0.00038210,2307.50000000,1517822459999,0.87776047,16,1732.34000000,0.65903987
1517822460000,0.00038170,0.00038170,0.00038000,0.00038000,5515.41000000,1517822519999,2.09753976,48,202.06000000,0.07702969
1517822520000,0.00038090,0.00038120,0.00037900,0.00038120,3064.22000000,1517822579999,1.16740919,27,501.51000000,0.19070051
1517822580000,0.00038000,0.00038000,0.00037680,0.00037700,1589.88000000,1517822639999,0.60023212,20,624.91000000,0.23618844
1517822640000,0.00037680,0.00038000,0.00037520,0.00037520,3966.52000000,1517822699999,1.49636765,28,1206.20000000,0.45808992
1517822700000,0.00037600,0.00038070,0.00037600,0.00038060,63.86000000,1517822759999,0.02418833,6,33.99000000,0.01293813
1517822760000,0.00038060,0.00038470,0.00038000,0.00038470,2497.62000000,1517822819999,0.95141728,35,1266.08000000,0.48302696
1517822820000,0.00038530,0.00039000,0.00038530,0.00038830,4205.03000000,1517822879999,1.63381142,38,1271.06000000,0.49338621
1517822880000,0.00039020,0.00040500,0.00039020,0.00039850,3675.84000000,1517822939999,1.46342237,49,2658.05000000,1.05659127
1517822940000,0.00039850,0.00039850,0.00039010,0.00039680,1698.03000000,1517822999999,0.66941336,46,1173.11000000,0.46388500
1517823000000,0.00039670,0.00040000,0.00039170,0.00039950,5042.00000000,1517823059999,2.00507343,47,3738.68000000,1.48774403
1517823060000,0.00039950,0.00040500,0.00039950,0.00040490,2711.05000000,1517823119999,1.08842901,23,2615.75000000,1.05030901
1517823120000,0.00040480,0.00040480,0.00040010,0.00040020,1119.25000000,1517823179999,0.45057849,16,708.11000000,0.28604080
1517823180000,0.00040030,0.00040030,0.00039050,0.00039490,4643.13000000,1517823239999,1.84159680,47,1950.01000000,0.77285233
1517823240000,0.00039130,0.00039500,0.00039130,0.00039500,1018.43000000,1517823299999,0.40220995,14,1004.40000000,0.39671294
1517823300000,0.00039640,0.00039760,0.00039500,0.00039520,1822.53000000,1517823359999,0.72037122,25,1544.47000000,0.61043509
1517823360000,0.00039210,0.00039640,0.00039130,0.00039520,1551.68000000,1517823419999,0.61197031,27,889.51000000,0.35156147
1517823420000,0.00039550,0.00039990,0.00039530,0.00039530,160.43000000,1517823479999,0.06381478,7,103.45000000,0.04128279
1517823480000,0.00039530,0.00042780,0.00039150,0.00042780,14484.78000000,1517823539999,6.01178157,95,14082.61000000,5.85283349
1517823540000,0.00039560,0.00041130,0.00039560,0.00040280,6193.61000000,1517823599999,2.51110779,42,3415.74000000,1.39408803
1517823600000,0.00040280,0.00040900,0.00039780,0.00039900,37517.08000000,1517823659999,15.01807826,72,8678.21000000,3.47882538
1517823660000,0.00039900,0.00039980,0.00039550,0.00039900,903.00000000,1517823719999,0.36015420,27,707.50000000,0.28236426
