Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1517817480000,0.00720000,0.00720000,0.00500000,0.00500000,18257.29000000,1517817539999,106.97821986,149,8140.66000000,47.93444093
1517817540000,0.00500000,0.00599800,0.00453900,0.00500100,18055.18000000,1517817599999,90.94503391,187,4882.86000000,25.40819457
1517817600000,0.00500000,0.00550000,0.00500000,0.00540000,12888.25000000,1517817659999,68.25129896,111,8333.57000000,44.02473012
1517817660000,0.00540000,0.00543800,0.00510100,0.00523300,10436.03000000,1517817719999,54.97893439,114,4306.87000000,22.69456372
1517817720000,0.00520000,0.00520000,0.00420200,0.00469300,13850.58000000,1517817779999,67.98621616,126,1149.77000000,5.90375116
1517817780000,0.00469300,0.00500000,0.00420100,0.00469800,7669.82000000,1517817839999,36.23009175,72,3408.27000000,16.44356628
1517817840000,0.00469600,0.00469900,0.00438500,0.00469700,7215.26000000,1517817899999,33.62057075,79,1136.62000000,5.28919122
1517817900000,0.00469500,0.00469500,0.00440000,0.00449700,5162.18000000,1517817959999,22.76783944,34,351.68000000,1.58527219
1517817960000,0.00445000,0.00455500,0.00438700,0.00455500,3180.32000000,1517818019999,14.12137262,55,1368.94000000,6.13895417
1517818020000,0.00443300,0.00450000,0.00400300,0.00400300,12692.57000000,1517818079999,54.28167633,94,2045.90000000,8.90158523
1517818080000,0.00400300,0.00440000,0.00365000,0.00440000,8850.13000000,1517818139999,35.16831148,112,6232.52000000,25.04219322
1517818140000,0.00440000,0.00440000,0.00404000,0.00420000,3081.67000000,1517818199999,13.04428094,42,954.68000000,4.16772473
1517818200000,0.00419900,0.00460000,0.00410000,0.00459800,5579.16000000,1517818259999,24.85583805,72,4864.01000000,21.74025825
1517818260000,0.00460000,0.00460000,0.00430200,0.00447900,2082.26000000,1517818319999,9.28654596,41,931.38000000,4.19020755
1517818320000,0.00447900,0.00447900,0.00421000,0.00421000,2751.69000000,1517818379999,11.80633949,33,1254.94000000,5.35437183
1517818380000,0.00420900,0.00437200,0.00420100,0.00435700,1035.65000000,1517818439999,4.41542758,24,663.97000000,2.84093112
1517818440000,0.00435700,0.00449100,0.00425100,0.00449100,2271.76000000,1517818499999,10.05884429,42,2109.95000000,9.33926530
1517818500000,0.00430000,0.00430000,0.00420000,0.00425100,2976.29000000,1517818559999,12.60689997,65,658.60000000,2.81143384
1517818560000,0.00425100,0.00435000,0.00420000,0.00421100,705.91000000,1517818619999,3.00974429,25,442.34000000,1.90169480
1517818620000,0.00425000,0.00425000,0.00424800,0.00424800,1111.11000000,1517818679999,4.72145444,15,539.21000000,2.29101544
1517818680000,0.00422000,0.00422000,0.00404100,0.00404100,3653.45000000,1517818739999,14.96504527,68,61.78000000,0.25275701
1517818740000,0.00404000,0.00410000,0.00403900,0.00409900,3408.46000000,1517818799999,13.80652855,35,2978.05000000,12.04693233
1517818800000,0.00409900,0.00415900,0.00400100,0.00400100,3068.57000000,1517818859999,12.60457868,25,918.74000000,3.79797081
1517818860000,0.00400200,0.00415900,0.00400100,0.00415900,1477.17000000,1517818919999,5.97087526,27,1313.12000000,5.31434967
1517818920000,0.00415900,0.00415900,0.00405500,0.00410000,404.44000000,1517818979999,1.65326318,11,110.54000000,0.45620117
1517818980000,0.00410000,0.00414100,0.00401500,0.00413500,2090.70000000,1517819039999,8.61821928,23,2059.10000000,8.49134528
1517819040000,0.00413000,0.00413300,0.00403300,0.00413300,192.90000000,1517819099999,0.79666709,13,115.46000000,0.47709632
1517819100000,0.00413300,0.00413300,0.00413300,0.00413300,3.16000000,1517819159999,0.01306028,1,3.16000000,0.01306028
1517819160000,0.00412000,0.00413000,0.00405000,0.00405000,215.08000000,1517819219999,0.87212584,6,13.72000000,0.05655860
1517819220000,0.00405000,0.00405500,0.00405000,0.00405000,713.57000000,1517819279999,2.89026500,7,350.00000000,1.41750000
1517819280000,0.00406000,0.00412900,0.00405000,0.00410100,1026.00000000,1517819339999,4.21065320,16,619.71000000,2.54707466
1517819340000,0.00413000,0.00413300,0.00404000,0.00410200,1129.27000000,1517819399999,4.64524219,22,276.79000000,1.14253510
1517819400000,0.00410000,0.00410200,0.00410000,0.00410100,479.10000000,1517819459999,1.96520209,15,223.19000000,0.91545927
1517819460000,0.00410100,0.00410100,0.00401000,0.00401000,1222.19000000,1517819519999,4.92854675,26,155.96000000,0.62989077
1517819520000,0.00400200,0.00400200,0.00388900,0.00395300,676.28000000,1517819579999,2.66319996,21,154.90000000,0.61568462
1517819580000,0.00389300,0.00399900,0.00389300,0.00390400,1019.61000000,1517819639999,4.01814478,23,425.42000000,1.68937766
1517819640000,0.00390400,0.00399900,0.00377000,0.00377100,2319.96000000,1517819699999,8.80553982,13,3.02000000,0.01207698
1517819700000,0.00377200,0.00391700,0.00377200,0.00391700,704.41000000,1517819759999,2.70655006,16,599.54000000,2.31055746
1517819760000,0.00391700,0.00391700,0.00381600,0.00381900,455.47000000,1517819819999,1.76917019,12,231.53000000,0.90335286
1517819820000,0.00389900,0.00389900,0.00389700,0.00389700,13.80000000,1517819879999,0.05379041,3,13.80000000,0.05379041
1517819880000,0.00389700,0.00393000,0.00389700,0.00393000,581.20000000,1517819939999,2.27261472,9,567.31000000,2.21845761
1517819940000,0.00393000,0.00404300,0.00393000,0.00404300,1527.97000000,1517819999999,6.11262970,19,1055.89000000,4.20401026
1517820000000,0.00404300,0.00404300,0.00394500,0.00396100,1321.66000000,1517820059999,5.24610744,15,37.77000000,0.15108000
1517820060000,0.00396200,0.00413000,0.00396100,0.00413000,570.43000000,1517820119999,2.29675762,19,504.32000000,2.03415379
1517820120000,0.00413000,0.00413000,0.00404900,0.00404900,519.77000000,1517820179999,2.14278883,6,109.30000000,0.44754773
1517820180000,0.00404900,0.00404900,0.00404900,0.00404900,63.32000000,1517820239999,0.25638268,4,21.66000000,0.08770134
1517820240000,0.00404900,0.00404900,0.00404900,0.00404900,0.00000000,1517820299999,0.00000000,0,0.00000000,0.00000000
1517820300000,0.00404900,0.00405100,0.00404900,0.00405100,118.63000000,1517820359999,0.48043180,4,26.80000000,0.10851320
1517820360000,0.00410000,0.00412500,0.00405600,0.00412200,477.48000000,1517820419999,1.96227888,15,346.08000000,1.42189981
1517820420000,0.00410000,0.00412500,0.00400100,0.00404700,794.39000000,1517820479999,3.23831638,20,272.80000000,1.11644597
1517820480000,0.00400000,0.00400000,0.00390000,0.00398200,136.85000000,1517820539999,0.54449246,10,4.32000000,0.01720224
1517820540000,0.00398000,0.00400300,0.00398000,0.00400200,891.11000000,1517820599999,3.56606875,7,665.93000000,2.66467321
1517820600000,0.00400000,0.00404400,0.00390100,0.00391500,218.03000000,1517820659999,0.86728162,8,59.00000000,0.23859600
1517820660000,0.00404200,0.00404500,0.00393300,0.00404500,611.65000000,1517820719999,2.41436667,8,280.21000000,1.11081315
1517820720000,0.00404500,0.00412800,0.00404500,0.00408700,784.67000000,1517820779999,3.21958522,21,784.67000000,3.21958522
1517820780000,0.00410000,0.00410000,0.00394800,0.00396300,49.35000000,1517820839999,0.20000967,4,33.81000000,0.13862100
1517820840000,0.00397300,0.00399900,0.00397300,0.00399900,268.42000000,1517820899999,1.07250236,8,242.82000000,0.97079356
1517820900000,0.00399900,0.00399900,0.00399900,0.00399900,0.00000000,1517820959999,0.00000000,0,0.00000000,0.00000000
1517820960000,0.00404600,0.00404600,0.00382600,0.00400000,1088.26000000,1517821019999,4.30974991,37,338.55000000,1.35417301
1517821020000,0.00400000,0.00404000,0.00400000,0.00400000,576.22000000,1517821079999,2.30902880,10,115.00000000,0.46414880
1517821080000,0.00388900,0.00400000,0.00388900,0.00388900,1090.90000000,1517821139999,4.30293345,16,439.02000000,1.73286152
1517821140000,0.00389100,0.00389100,0.00389100,0.00389100,9.31000000,1517821199999,0.03622521,1,0.00000000,0.00000000
1517821200000,0.00389300,0.00389300,0.00388000,0.00388000,117.92000000,1517821259999,0.45884548,7,3.67000000,0.01428731
1517821260000,0.00388000,0.00388800,0.00381600,0.00381600,952.17000000,1517821319999,3.66309341,14,0.00000000,0.00000000
1517821320000,0.00381600,0.00381600,0.00377000,0.00377000,699.68000000,1517821379999,2.64753325,20,136.95000000,0.51931577
1517821380000,0.00376900,0.00380100,0.00375200,0.00380100,345.67000000,1517821439999,1.30184047,12,274.98000000,1.03640746
1517821440000,0.00385000,0.00388000,0.00385000,0.00388000,50.00000000,1517821499999,0.19325052,3,50.00000000,0.19325052
1517821500000,0.00388000,0.00388000,0.00380100,0.00380800,546.64000000,1517821559999,2.10506132,7,150.09000000,0.58234920
1517821560000,0.00380800,0.00380800,0.00380800,0.00380800,15.00000000,1517821619999,0.05712000,2,0.00000000,0.00000000
1517821620000,0.00380100,0.00380100,0.00376000,0.00376000,21.05000000,1517821679999,0.07977038,4,0.00000000,0.00000000
1517821680000,0.00377800,0.00385800,0.00375200,0.00385800,185.35000000,1517821739999,0.69865164,5,20.00000000,0.07716000
1517821740000,0.00383600,0.00383600,0.00375200,0.00375200,220.15000000,1517821799999,0.83581599,9,122.15000000,0.46755999
1517821800000,0.00377800,0.00384000,0.00375400,0.00383100,340.63000000,1517821859999,1.30665733,9,327.76000000,1.25821626
1517821860000,0.00375400,0.00375400,0.00375300,0.00375300,247.61000000,1517821919999,0.92949633,2,0.00000000,0.00000000
1517821920000,0.00375500,0.00375500,0.00375200,0.00375200,99.53000000,1517821979999,0.37349416,3,0.00000000,0.00000000
1517821980000,0.00375500,0.00375500,0.00375200,0.00375200,271.84000000,1517822039999,1.02023453,3,124.20000000,0.46599840
1517822040000,0.00381300,0.00383900,0.00381300,0.00381300,146.64000000,1517822099999,0.56085807,6,109.68000000,0.41992959
1517822100000,0.00381300,0.00381300,0.00375200,0.00375200,22.99000000,1517822159999,0.08628654,5,0.00000000,0.00000000
1517822160000,0.00375200,0.00375200,0.00375100,0.00375100,194.39000000,1517822219999,0.72924754,4,11.09000000,0.04160968
1517822220000,0.00375200,0.00375200,0.00375200,0.00375200,54.13000000,1517822279999,0.20309576,3,54.13000000,0.20309576
1517822280000,0.00375200,0.00375200,0.00365500,0.00365500,8698.80000000,1517822339999,32.00503766,45,521.94000000,1.93586245
1517822340000,0.00365600,0.00375000,0.00365000,0.00370000,2619.38000000,1517822399999,9.58264258,16,139.11000000,0.52022196
1517822400000,0.00374600,0.00374600,0.00374100,0.00374100,28.64000000,1517822459999,0.10725844,5,22.48000000,0.08418308
1517822460000,0.00374000,0.00375000,0.00370100,0.00370100,185.77000000,1517822519999,0.69377123,11,142.70000000,0.53434897
1517822520000,0.00374100,0.00374100,0.00370300,0.00370300,1188.75000000,1517822579999,4.41070443,10,518.57000000,1.92361289
1517822580000,0.00370500,0.00370500,0.00370000,0.00370000,724.92000000,1517822639999,2.68315049,12,0.00000000,0.00000000
1517822640000,0.00369900,0.00370000,0.00369900,0.00369900,293.91000000,1517822699999,1.08742857,3,293.91000000,1.08742857
1517822700000,0.00369900,0.00369900,0.00368900,0.00369800,56.50000000,1517822759999,0.20852730,3,56.50000000,0.20852730
1517822760000,0.00369700,0.00374900,0.00369700,0.00374900,1166.67000000,1517822819999,4.32012625,14,1125.57000000,4.16817955
1517822820000,0.00374900,0.00390000,0.00374900,0.00385000,333.27000000,1517822879999,1.27156008,9,323.27000000,1.23306008
1517822880000,0.00389500,0.00395000,0.00389500,0.00395000,515.04000000,1517822939999,2.01975088,13,424.01000000,1.66510693
1517822940000,0.00395000,0.00395000,0.00380100,0.00380100,376.30000000,1517822999999,1.46519600,14,102.40000000,0.40437608
1517823000000,0.00390600,0.00390600,0.00390300,0.00390400,1025.22000000,1517823059999,4.00370746,8,380.11000000,1.48390780
1517823060000,0.00390200,0.00390600,0.00390200,0.00390600,165.68000000,1517823119999,0.64687180,4,165.68000000,0.64687180
1517823120000,0.00390600,0.00390600,0.00390600,0.00390600,0.00000000,1517823179999,0.00000000,0,0.00000000,0.00000000
1517823180000,0.00390700,0.00390700,0.00385100,0.00386000,484.21000000,1517823239999,1.88693001,10,0.00000000,0.00000000
1517823240000,0.00386000,0.00400000,0.00386000,0.00387000,789.77000000,1517823299999,3.08971002,12,426.07000000,1.68229212
1517823300000,0.00387000,0.00400000,0.00387000,0.00387100,753.40000000,1517823359999,2.99935058,17,644.15000000,2.57644923
1517823360000,0.00387100,0.00395900,0.00387100,0.00387100,166.64000000,1517823419999,0.64747200,6,27.37000000,0.10835783
1517823420000,0.00393900,0.00394000,0.00393900,0.00394000,100.00000000,1517823479999,0.39390225,3,100.00000000,0.39390225
1517823480000,0.00393300,0.00394000,0.00387100,0.00392900,1379.80000000,1517823539999,5.41361331,12,733.45000000,2.88534731
1517823540000,0.00392100,0.00394000,0.00392100,0.00393800,946.91000000,1517823599999,3.72075159,7,946.91000000,3.72075159
1517823600000,0.00393800,0.00393800,0.00393300,0.00393300,29.64000000,1517823659999,0.11667060,5,20.39000000,0.08024410
1517823660000,0.00393100,0.00393300,0.00391000,0.00391000,291.29000000,1517823719999,1.13931980,12,17.45000000,0.06860540
1517823720000,0.00391000,0.00391000,0.00390900,0.00391000,275.11000000,1517823779999,1.07561806,16,84.16000000,0.32900356
1517823780000,0.00393600,0.00394100,0.00393600,0.00394100,188.64000000,1517823839999,0.74325772,6,103.10000000,0.40616912
1517823840000,0.00399000,0.00399000,0.00394000,0.00394000,265.87000000,1517823899999,1.05336310,9,115.18000000,0.45956820
1517823900000,0.00394000,0.00394000,0.00388100,0.00388100,416.78000000,1517823959999,1.63299796,14,162.88000000,0.63697172
1517823960000,0.00393700,0.00393700,0.00388100,0.00388300,126.24000000,1517824019999,0.49329237,6,45.19000000,0.17791303
