Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1520490480000,0.00500000,2.00000000,0.00500000,2.00000000,0.15000000,1520490539999,0.10050000,2,0.05000000,0.10000000
1520490540000,0.03100000,0.99998000,0.03100000,0.30000000,888.44000000,1520490599999,278.38494840,8,41.71000000,24.40898840
1520490600000,0.50000000,0.99992000,0.50000000,0.99992000,374.68000000,1520490659999,324.56696410,25,268.13000000,259.42519260
1520490660000,0.65001000,0.99992000,0.65001000,0.82850000,2204.71000000,1520490719999,2013.57030070,94,1493.98000000,1440.39667070
1520490720000,0.70006000,0.99992000,0.70006000,0.90000000,844.58000000,1520490779999,767.21886530,33,826.02000000,752.86042170
1520490780000,0.90000000,2.00000000,0.60000000,0.60000000,5492.78000000,1520490839999,5515.10435540,192,2491.36000000,3352.33934030
1520490840000,0.59999000,0.69000000,0.54299000,0.68000000,389.57000000,1520490899999,237.19821610,27,188.35000000,116.47114320
1520490900000,0.61001000,0.75000000,0.61001000,0.75000000,1000.15000000,1520490959999,687.71957050,51,715.18000000,492.32683760
1520490960000,0.75000000,0.75000000,0.62100000,0.62100000,1151.65000000,1520491019999,817.98915960,61,506.92000000,373.27675540
1520491020000,0.64998000,0.70000000,0.61001000,0.65000000,1342.35000000,1520491079999,856.90321120,41,496.32000000,321.23693570
1520491080000,0.65000000,0.65000000,0.61000000,0.61000000,2477.73000000,1520491139999,1518.87015840,97,382.14000000,234.39701170
1520491140000,0.61000000,0.61000000,0.32001000,0.49000000,3741.19000000,1520491199999,1943.33134330,79,1276.92000000,636.53775570
1520491200000,0.48996000,0.48996000,0.32001000,0.37350000,2855.67000000,1520491259999,1092.34168310,36,162.39000000,72.66844000
1520491260000,0.44000000,0.48000000,0.38300000,0.47998000,149.84000000,1520491319999,68.77628970,15,129.42000000,60.82968970
1520491320000,0.47998000,0.47998000,0.38300000,0.41799000,1083.10000000,1520491379999,484.06482540,36,161.56000000,74.04531090
1520491380000,0.40089000,0.45998000,0.40000000,0.40674000,859.04000000,1520491439999,353.29759280,46,361.38000000,149.06588510
1520491440000,0.40025000,0.42000000,0.33000000,0.33200000,5482.80000000,1520491499999,2095.50513650,129,214.22000000,89.49395540
1520491500000,0.33200000,0.34105000,0.30003000,0.30402000,1411.59000000,1520491559999,462.89602380,44,97.47000000,31.77616000
1520491560000,0.30402000,0.40000000,0.30003000,0.39978000,1110.55000000,1520491619999,408.47735930,36,699.90000000,265.51348840
1520491620000,0.39978000,0.40000000,0.31000000,0.38000000,1336.45000000,1520491679999,451.87737130,56,537.19000000,183.06347530
1520491680000,0.33346000,0.37998000,0.33346000,0.34049000,300.80000000,1520491739999,103.52769870,23,51.64000000,18.24610110
1520491740000,0.34051000,0.35000000,0.34000000,0.34999000,1111.87000000,1520491799999,382.83318560,52,449.13000000,155.26877430
1520491800000,0.36998000,0.36999000,0.34000000,0.34000000,1167.02000000,1520491859999,398.53197830,42,515.01000000,175.57427320
1520491860000,0.34000000,0.34200000,0.34000000,0.34200000,21.90000000,1520491919999,7.45711400,3,0.00000000,0.00000000
1520491920000,0.34232000,0.36999000,0.34001000,0.36890000,1831.86000000,1520491979999,644.50987710,52,1335.88000000,472.19849560
1520491980000,0.35126000,0.36999000,0.34001000,0.35126000,2839.02000000,1520492039999,1002.08023760,67,622.49000000,225.04597390
1520492040000,0.35125000,0.35126000,0.34005000,0.34005000,1629.27000000,1520492099999,571.85433190,33,573.21000000,201.34528270
1520492100000,0.34061000,0.35126000,0.34002000,0.34500000,1146.27000000,1520492159999,390.74355530,16,302.98000000,103.59014250
1520492160000,0.35126000,0.35500000,0.34600000,0.34600000,1257.93000000,1520492219999,442.34493400,35,417.34000000,147.11179030
1520492220000,0.34644000,0.35995000,0.34644000,0.35499000,575.10000000,1520492279999,204.23427170,24,468.43000000,166.37369890
1520492280000,0.34667000,0.35500000,0.34667000,0.35002000,95.85000000,1520492339999,33.85678000,10,47.73000000,16.94395000
1520492340000,0.35500000,0.35500000,0.34491000,0.34491000,1809.98000000,1520492399999,628.90482190,71,199.56000000,69.93079950
1520492400000,0.34001000,0.34001000,0.31011000,0.31011000,3873.12000000,1520492459999,1258.18836820,72,577.23000000,185.96327130
1520492460000,0.31232000,0.33000000,0.31002000,0.32000000,1182.55000000,1520492519999,367.76037060,26,278.27000000,86.43977980
1520492520000,0.31011000,0.32000000,0.31000000,0.31107000,1770.88000000,1520492579999,554.31511430,47,282.91000000,88.73451820
1520492580000,0.31107000,0.31107000,0.29000000,0.30041000,8007.14000000,1520492639999,2429.10694180,98,1113.58000000,338.24138180
1520492640000,0.30000000,0.30004000,0.27001000,0.28954000,1959.50000000,1520492699999,581.14311930,37,452.75000000,134.32790260
1520492700000,0.29994000,0.29994000,0.28900000,0.28929000,355.00000000,1520492759999,102.77797790,20,115.87000000,33.60567270
1520492760000,0.28929000,0.30500000,0.28929000,0.30050000,4537.45000000,1520492819999,1360.75535990,51,3665.97000000,1099.68338930
1520492820000,0.28930000,0.30999000,0.28930000,0.30054000,1120.74000000,1520492879999,336.93840850,19,1085.75000000,326.42757750
1520492880000,0.30998000,0.30999000,0.27626000,0.28103000,5637.86000000,1520492939999,1607.64990370,61,1451.49000000,422.33748170
1520492940000,0.30000000,0.30052000,0.28296000,0.30000000,414.47000000,1520492999999,124.47764950,24,271.68000000,81.57582030
1520493000000,0.30000000,0.32000000,0.28401000,0.29151000,2972.92000000,1520493059999,919.29655300,60,2673.83000000,830.29204980
1520493060000,0.32599000,0.32650000,0.29153000,0.32398000,352.00000000,1520493119999,112.04989510,26,270.13000000,87.66665510
1520493120000,0.32399000,0.32450000,0.30262000,0.30501000,589.65000000,1520493179999,190.53704750,23,359.50000000,116.52846010
1520493180000,0.30502000,0.32398000,0.30502000,0.30701000,153.46000000,1520493239999,48.74619040,10,101.76000000,32.96741250
1520493240000,0.32398000,0.32445000,0.30600000,0.30600000,2323.08000000,1520493299999,718.99609020,66,235.71000000,76.45984500
1520493300000,0.30800000,0.31821000,0.30000000,0.31821000,1291.74000000,1520493359999,397.51560020,43,1144.10000000,353.05308880
1520493360000,0.30200000,0.31999000,0.30098000,0.31997000,592.61000000,1520493419999,186.87171420,28,376.60000000,120.17068530
1520493420000,0.30300000,0.31897000,0.30300000,0.31699000,715.52000000,1520493479999,219.54989880,15,182.09000000,57.88567600
1520493480000,0.30503000,0.31599000,0.29000000,0.30320000,6458.69000000,1520493539999,1952.04348990,129,465.19000000,143.85391070
1520493540000,0.29000000,0.30320000,0.29000000,0.30295000,1829.86000000,1520493599999,533.43660880,8,24.42000000,7.40314880
1520493600000,0.29998000,0.29998000,0.29001000,0.29004000,1501.31000000,1520493659999,436.46237790,23,11.99000000,3.59676020
1520493660000,0.29101000,0.29991000,0.29001000,0.29046000,2004.31000000,1520493719999,586.19283360,20,500.92000000,147.93852090
1520493720000,0.29046000,0.29890000,0.29001000,0.29001000,192.96000000,1520493779999,56.07348120,15,10.69000000,3.19502450
1520493780000,0.29001000,0.29870000,0.29000000,0.29000000,3799.22000000,1520493839999,1101.78387920,54,292.28000000,84.76660670
1520493840000,0.29000000,0.29001000,0.26000000,0.26000000,4836.93000000,1520493899999,1374.27445570,68,1387.11000000,396.35654740
1520493900000,0.26000000,0.28495000,0.26000000,0.26802000,1679.74000000,1520493959999,465.47992340,41,1280.44000000,354.35622760
1520493960000,0.28000000,0.28000000,0.27102000,0.27999000,538.80000000,1520494019999,147.63360280,21,215.02000000,59.84950930
1520494020000,0.27990000,0.27990000,0.26701000,0.27105000,2868.89000000,1520494079999,775.64034630,47,905.35000000,244.95633260
1520494080000,0.27105000,0.27500000,0.26715000,0.26715000,327.87000000,1520494139999,89.04938490,18,232.02000000,63.38425370
1520494140000,0.26715000,0.27500000,0.26021000,0.27500000,1021.10000000,1520494199999,278.00958370,38,836.97000000,229.39132210
1520494200000,0.26021000,0.29000000,0.26021000,0.28998000,560.13000000,1520494259999,155.71441070,32,471.24000000,132.37454760
1520494260000,0.28998000,0.28998000,0.26500000,0.27103000,549.61000000,1520494319999,149.41152690,42,110.13000000,30.42472200
1520494320000,0.27103000,0.27103000,0.26208000,0.26500000,504.04000000,1520494379999,133.69208860,18,49.38000000,13.38346140
1520494380000,0.26502000,0.26995000,0.26000000,0.26101000,1114.21000000,1520494439999,291.82020070,37,475.33000000,124.54765350
1520494440000,0.26000000,0.26208000,0.25000000,0.25329000,3986.84000000,1520494499999,1003.72918090,31,284.48000000,73.97714320
1520494500000,0.25500000,0.25990000,0.25045000,0.25900000,543.21000000,1520494559999,138.99328650,25,391.45000000,100.10619930
1520494560000,0.25600000,0.26320000,0.25000000,0.26320000,1539.36000000,1520494619999,400.08373160,28,1348.66000000,350.93439520
1520494620000,0.26499000,0.26499000,0.25931000,0.25931000,135.48000000,1520494679999,35.63990190,11,47.00000000,12.37493000
1520494680000,0.26297000,0.26500000,0.25500000,0.26120000,1329.31000000,1520494739999,348.17040400,29,846.53000000,222.72192360
1520494740000,0.26500000,0.26500000,0.25808000,0.26500000,1368.88000000,1520494799999,362.12697780,23,944.02000000,249.90571780
1520494800000,0.26500000,0.26998000,0.26102000,0.26104000,5379.38000000,1520494859999,1428.50019380,45,308.38000000,83.11966320
1520494860000,0.26106000,0.26899000,0.26106000,0.26899000,160.06000000,1520494919999,41.97524050,6,23.59000000,6.34547410
1520494920000,0.26799000,0.26799000,0.26390000,0.26390000,79.20000000,1520494979999,20.94096200,3,9.80000000,2.62630200
1520494980000,0.26390000,0.26797000,0.26116000,0.26116000,304.73000000,1520495039999,80.11487400,18,57.58000000,15.03966460
1520495040000,0.26151000,0.26789000,0.26151000,0.26789000,573.43000000,1520495099999,150.57255790,13,490.00000000,128.75429860
1520495100000,0.26785000,0.26789000,0.25800000,0.25800000,2141.19000000,1520495159999,558.60187920,45,20.94000000,5.60902460
1520495160000,0.26000000,0.26121000,0.26000000,0.26121000,278.99000000,1520495219999,72.62361790,8,278.00000000,72.36502000
1520495220000,0.26109000,0.26110000,0.26109000,0.26109000,27.79000000,1520495279999,7.25576840,3,0.00000000,0.00000000
1520495280000,0.26109000,0.26200000,0.26109000,0.26200000,1209.89000000,1520495339999,316.98949650,7,228.79000000,59.94298000
1520495340000,0.26497000,0.26499000,0.25800000,0.25800000,483.02000000,1520495399999,127.06354780,13,138.00000000,36.56816440
1520495400000,0.25870000,0.25870000,0.25870000,0.25870000,4.93000000,1520495459999,1.27539100,1,0.00000000,0.00000000
1520495460000,0.25870000,0.26200000,0.25870000,0.26200000,498.70000000,1520495519999,130.51611200,9,489.63000000,128.16856000
1520495520000,0.26201000,0.26492000,0.26200000,0.26492000,94.65000000,1520495579999,24.91368000,5,39.50000000,10.46434000
1520495580000,0.26492000,0.26498000,0.25320000,0.25363000,1339.83000000,1520495639999,346.43167370,25,242.97000000,64.21268050
1520495640000,0.25443000,0.26001000,0.25105000,0.26001000,384.32000000,1520495699999,97.73430010,14,54.76000000,14.23760000
1520495700000,0.25201000,0.25201000,0.24800000,0.24800000,1437.68000000,1520495759999,360.37767160,26,0.00000000,0.00000000
1520495760000,0.24800000,0.25001000,0.24001000,0.24001000,3498.34000000,1520495819999,866.19663340,41,2439.63000000,605.80430000
1520495820000,0.24002000,0.24041000,0.23000000,0.23000000,2186.33000000,1520495879999,515.31205170,44,576.49000000,136.40849300
1520495880000,0.23996000,0.23996000,0.23000000,0.23989000,1777.65000000,1520495939999,413.49348560,18,546.36000000,130.15522670
