Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1520490420000,0.00022000,0.00080000,0.00022000,0.00080000,2513.00000000,1520490479999,1.52668260,15,1679.00000000,1.34320000
1520490480000,0.00080000,0.00080000,0.00022001,0.00035000,36270.00000000,1520490539999,13.21772966,270,18900.00000000,8.08650375
1520490540000,0.00035000,0.00060102,0.00032900,0.00050123,54715.00000000,1520490599999,25.68580030,548,25072.00000000,11.69648301
1520490600000,0.00051414,0.00065000,0.00050122,0.00065000,66300.00000000,1520490659999,37.48080831,700,37292.00000000,21.16452598
1520490660000,0.00065000,0.00100000,0.00054277,0.00069996,69533.00000000,1520490719999,53.53028010,1003,37558.00000000,29.53944161
1520490720000,0.00069996,0.00077319,0.00061600,0.00067500,59833.00000000,1520490779999,42.44171405,805,26004.00000000,18.67679180
1520490780000,0.00068000,0.00068001,0.00050001,0.00050001,44231.00000000,1520490839999,27.02997490,699,15245.00000000,9.88982403
1520490840000,0.00050001,0.00056997,0.00050001,0.00055000,67349.00000000,1520490899999,36.15359190,695,36001.00000000,19.34937145
1520490900000,0.00055000,0.00063000,0.00055000,0.00061093,80902.00000000,1520490959999,48.23562233,743,42594.00000000,25.42286823
1520490960000,0.00061999,0.00065000,0.00055000,0.00055087,69893.00000000,1520491019999,43.31160492,853,34050.00000000,21.17860409
1520491020000,0.00055100,0.00060010,0.00054000,0.00059000,41897.00000000,1520491079999,23.60189772,490,19791.00000000,11.27739150
1520491080000,0.00058999,0.00061093,0.00051003,0.00053001,93000.00000000,1520491139999,52.59800442,827,37862.00000000,21.90063935
1520491140000,0.00053001,0.00053002,0.00039932,0.00043000,118144.00000000,1520491199999,54.24062179,947,25075.00000000,11.60827824
1520491200000,0.00043000,0.00043341,0.00035000,0.00038009,141013.00000000,1520491259999,55.66270496,760,39599.00000000,15.57620133
1520491260000,0.00038606,0.00043000,0.00036000,0.00039900,102446.00000000,1520491319999,40.53499742,664,55512.00000000,22.29271363
1520491320000,0.00039800,0.00039800,0.00035500,0.00036600,75181.00000000,1520491379999,28.23072268,544,31331.00000000,11.89132561
1520491380000,0.00036336,0.00038510,0.00035200,0.00036000,68310.00000000,1520491439999,24.89740893,507,20067.00000000,7.37941019
1520491440000,0.00035999,0.00036000,0.00030000,0.00031000,105839.00000000,1520491499999,35.58496283,676,36594.00000000,12.20044844
1520491500000,0.00030534,0.00031500,0.00028100,0.00029999,127731.00000000,1520491559999,38.07157564,611,57276.00000000,17.18979369
1520491560000,0.00029121,0.00034000,0.00029120,0.00030880,80654.00000000,1520491619999,25.66843862,613,43776.00000000,13.99555741
1520491620000,0.00031000,0.00032000,0.00028888,0.00031700,75964.00000000,1520491679999,22.94649388,463,27839.00000000,8.37392178
1520491680000,0.00031196,0.00032000,0.00030000,0.00030008,68330.00000000,1520491739999,21.07168904,308,43364.00000000,13.50460076
1520491740000,0.00030008,0.00031500,0.00029497,0.00030700,71616.00000000,1520491799999,21.94386872,435,39377.00000000,12.08007784
1520491800000,0.00030700,0.00030759,0.00029505,0.00030000,68242.00000000,1520491859999,20.51172051,293,45445.00000000,13.67552993
1520491860000,0.00030000,0.00030500,0.00029800,0.00030500,142325.00000000,1520491919999,42.79497234,330,91706.00000000,27.58840843
1520491920000,0.00030401,0.00033000,0.00030101,0.00031699,93857.00000000,1520491979999,29.09316722,511,52256.00000000,16.21799975
1520491980000,0.00031699,0.00031699,0.00029999,0.00030220,133716.00000000,1520492039999,40.89450800,506,50597.00000000,15.57035492
1520492040000,0.00030400,0.00031001,0.00030400,0.00030505,73094.00000000,1520492099999,22.47688002,320,34871.00000000,10.73665584
1520492100000,0.00030599,0.00030700,0.00030200,0.00030500,48602.00000000,1520492159999,14.79385225,221,28913.00000000,8.80461303
1520492160000,0.00030301,0.00031200,0.00030301,0.00030600,108623.00000000,1520492219999,33.37582489,424,64867.00000000,19.92036813
1520492220000,0.00030700,0.00031250,0.00030502,0.00030699,77209.00000000,1520492279999,23.84494970,315,41394.00000000,12.79676751
1520492280000,0.00030550,0.00030899,0.00030504,0.00030600,15155.00000000,1520492339999,4.64230207,146,4919.00000000,1.50953625
1520492340000,0.00030600,0.00030600,0.00029665,0.00029667,110234.00000000,1520492399999,33.24207220,516,32232.00000000,9.71366293
1520492400000,0.00029699,0.00029700,0.00026666,0.00028464,99885.00000000,1520492459999,28.38127987,584,27823.00000000,7.87976868
1520492460000,0.00028464,0.00028800,0.00026994,0.00027000,92724.00000000,1520492519999,25.81995178,388,25436.00000000,7.07273290
1520492520000,0.00026993,0.00028000,0.00026993,0.00027713,60786.00000000,1520492579999,16.83270412,275,38869.00000000,10.77644570
1520492580000,0.00027711,0.00027712,0.00025246,0.00026500,74426.00000000,1520492639999,19.63304873,436,33370.00000000,8.80664216
1520492640000,0.00026500,0.00026500,0.00025900,0.00025950,63893.00000000,1520492699999,16.64426834,293,20476.00000000,5.33116353
1520492700000,0.00025950,0.00026000,0.00025425,0.00025803,29922.00000000,1520492759999,7.70114294,189,11765.00000000,3.03714647
1520492760000,0.00025963,0.00026980,0.00025485,0.00025674,69473.00000000,1520492819999,18.25032207,347,35752.00000000,9.41249511
1520492820000,0.00025811,0.00026600,0.00025803,0.00026332,33390.00000000,1520492879999,8.76354532,183,14127.00000000,3.70311257
1520492880000,0.00026450,0.00026500,0.00025701,0.00026499,46501.00000000,1520492939999,12.15919443,247,20743.00000000,5.43727068
1520492940000,0.00026494,0.00026600,0.00026050,0.00026490,40547.00000000,1520492999999,10.71564050,179,18045.00000000,4.76151941
1520493000000,0.00026490,0.00027800,0.00026490,0.00027586,74413.00000000,1520493059999,20.21918117,393,42755.00000000,11.63901686
1520493060000,0.00027389,0.00028419,0.00026780,0.00028000,68149.00000000,1520493119999,18.74464040,337,36816.00000000,10.13219224
1520493120000,0.00028100,0.00028200,0.00027000,0.00027499,77743.00000000,1520493179999,21.49405453,319,38322.00000000,10.63271191
1520493180000,0.00027600,0.00027600,0.00026699,0.00026710,15387.00000000,1520493239999,4.15556746,171,5995.00000000,1.62001780
1520493240000,0.00026972,0.00027350,0.00026600,0.00026600,45191.00000000,1520493299999,12.18606714,233,23341.00000000,6.30586702
1520493300000,0.00026600,0.00027200,0.00026562,0.00026796,36039.00000000,1520493359999,9.66875548,180,12355.00000000,3.30803121
1520493360000,0.00026800,0.00027200,0.00026619,0.00026993,46917.00000000,1520493419999,12.65570815,250,17906.00000000,4.84470415
1520493420000,0.00026900,0.00026993,0.00026701,0.00026790,17080.00000000,1520493479999,4.57432026,131,7549.00000000,2.02463264
1520493480000,0.00026705,0.00026790,0.00025787,0.00025807,44750.00000000,1520493539999,11.75796666,350,13069.00000000,3.41994866
1520493540000,0.00026000,0.00026101,0.00025427,0.00025500,54538.00000000,1520493599999,14.11256699,229,23072.00000000,5.98465810
1520493600000,0.00025434,0.00026000,0.00025300,0.00025689,38240.00000000,1520493659999,9.78157853,204,18003.00000000,4.61291331
1520493660000,0.00025689,0.00025911,0.00025689,0.00025750,29882.00000000,1520493719999,7.69681674,123,9508.00000000,2.45320811
1520493720000,0.00025749,0.00025749,0.00025289,0.00025289,22938.00000000,1520493779999,5.85608795,137,6427.00000000,1.64180131
1520493780000,0.00025289,0.00025601,0.00025151,0.00025300,61950.00000000,1520493839999,15.73176475,222,34305.00000000,8.70637409
1520493840000,0.00025255,0.00025297,0.00024239,0.00024245,80134.00000000,1520493899999,19.94144752,323,15417.00000000,3.79895497
1520493900000,0.00024498,0.00025000,0.00024246,0.00024301,53386.00000000,1520493959999,13.08645050,213,15849.00000000,3.89232869
1520493960000,0.00024257,0.00024400,0.00023575,0.00023800,45936.00000000,1520494019999,11.04561412,235,20317.00000000,4.90306655
1520494020000,0.00023970,0.00023970,0.00023339,0.00023801,70736.00000000,1520494079999,16.75190873,242,24378.00000000,5.77904408
1520494080000,0.00023801,0.00024100,0.00023400,0.00023753,49290.00000000,1520494139999,11.71284564,161,24525.00000000,5.82966994
1520494140000,0.00023615,0.00024004,0.00023520,0.00024004,53881.00000000,1520494199999,12.81869905,190,21272.00000000,5.07414342
1520494200000,0.00024004,0.00024196,0.00023522,0.00023618,23679.00000000,1520494259999,5.67317164,141,7950.00000000,1.90774557
1520494260000,0.00023700,0.00023700,0.00023272,0.00023339,24134.00000000,1520494319999,5.66295971,140,4064.00000000,0.95384930
1520494320000,0.00023273,0.00023397,0.00022701,0.00022800,101387.00000000,1520494379999,23.34714153,320,20920.00000000,4.82763635
1520494380000,0.00022800,0.00023000,0.00022678,0.00022800,40020.00000000,1520494439999,9.13107388,202,15712.00000000,3.58927627
1520494440000,0.00022813,0.00022820,0.00022300,0.00022300,38484.00000000,1520494499999,8.65445155,203,14215.00000000,3.19380708
1520494500000,0.00022350,0.00022708,0.00022300,0.00022400,46554.00000000,1520494559999,10.49245040,219,14701.00000000,3.31745589
1520494560000,0.00022400,0.00023128,0.00022257,0.00023102,89628.00000000,1520494619999,20.50234616,233,32566.00000000,7.45168918
1520494620000,0.00023102,0.00023299,0.00022670,0.00022894,44969.00000000,1520494679999,10.33767044,169,27529.00000000,6.33000493
1520494680000,0.00022889,0.00023400,0.00022889,0.00023196,36259.00000000,1520494739999,8.39853729,127,23314.00000000,5.39372722
1520494740000,0.00023197,0.00023197,0.00022636,0.00022754,32837.00000000,1520494799999,7.52460088,188,12324.00000000,2.82573432
1520494800000,0.00022884,0.00023100,0.00022756,0.00022916,32643.00000000,1520494859999,7.49776552,159,19717.00000000,4.53164058
1520494860000,0.00022913,0.00023395,0.00022861,0.00022988,81494.00000000,1520494919999,18.80952711,189,58202.00000000,13.43420500
1520494920000,0.00022992,0.00023204,0.00022992,0.00023128,13845.00000000,1520494979999,3.20467095,113,7040.00000000,1.63045343
1520494980000,0.00023127,0.00023200,0.00022697,0.00023098,60141.00000000,1520495039999,13.82285355,179,31946.00000000,7.33472110
1520495040000,0.00023098,0.00023196,0.00022888,0.00023150,40610.00000000,1520495099999,9.33149474,112,11589.00000000,2.67119071
1520495100000,0.00023077,0.00023196,0.00022614,0.00022700,43341.00000000,1520495159999,9.92770719,150,10924.00000000,2.50348621
1520495160000,0.00022684,0.00023200,0.00022601,0.00023060,39053.00000000,1520495219999,8.95478081,198,25609.00000000,5.88179069
1520495220000,0.00023008,0.00023199,0.00023003,0.00023020,26052.00000000,1520495279999,6.02940712,168,14535.00000000,3.36855315
1520495280000,0.00023160,0.00023160,0.00022930,0.00023000,22536.00000000,1520495339999,5.18409303,94,5817.00000000,1.33789950
