Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1522055280000,0.00029560,0.00039000,0.00029560,0.00039000,8346.00000000,1522055339999,3.23687740,8,4165.00000000,1.62318500
1522055340000,0.00039800,0.00050000,0.00032000,0.00040000,184987.00000000,1522055399999,78.90037361,78,78131.00000000,34.12469624
1522055400000,0.00042000,0.00044988,0.00035000,0.00039000,127471.00000000,1522055459999,50.74898058,76,57499.00000000,23.06290194
1522055460000,0.00042000,0.00042000,0.00036100,0.00038003,102549.00000000,1522055519999,39.80573995,51,31962.00000000,13.08998121
1522055520000,0.00037000,0.00040000,0.00037000,0.00039990,85940.00000000,1522055579999,33.77055567,45,21782.00000000,8.60953801
1522055580000,0.00039500,0.00041900,0.00039001,0.00040500,186801.00000000,1522055639999,75.44567184,86,69344.00000000,28.31270672
1522055640000,0.00040500,0.00043000,0.00039006,0.00043000,137736.00000000,1522055699999,55.87550486,83,93532.00000000,38.17166342
1522055700000,0.00041900,0.00043000,0.00040001,0.00041001,139114.00000000,1522055759999,57.26621284,69,61205.00000000,25.14154409
1522055760000,0.00041999,0.00041999,0.00041000,0.00041999,139726.00000000,1522055819999,57.61510020,66,87875.00000000,36.35564896
1522055820000,0.00041999,0.00048000,0.00041998,0.00045001,138162.00000000,1522055879999,61.56139926,91,103705.00000000,46.08083672
1522055880000,0.00043100,0.00046947,0.00043100,0.00046947,191270.00000000,1522055939999,85.59655462,98,146809.00000000,66.08337540
1522055940000,0.00045000,0.00060000,0.00045000,0.00058000,219272.00000000,1522055999999,110.55270492,127,149745.00000000,76.22196033
1522056000000,0.00057000,0.00057990,0.00050716,0.00053999,104475.00000000,1522056059999,55.83225884,113,60269.00000000,32.63936245
1522056060000,0.00053999,0.00059999,0.00053999,0.00059999,255450.00000000,1522056119999,144.57317005,175,166490.00000000,96.22822305
1522056120000,0.00059000,0.00070000,0.00059000,0.00070000,315268.00000000,1522056179999,198.27157274,289,244038.00000000,154.10513041
1522056180000,0.00070554,0.00079500,0.00058899,0.00062000,229908.00000000,1522056239999,169.08554251,314,114806.00000000,86.84095235
1522056240000,0.00068000,0.00070916,0.00055000,0.00056864,248936.00000000,1522056299999,149.03025734,227,37781.00000000,24.02204446
1522056300000,0.00057999,0.00063000,0.00051500,0.00061988,227434.00000000,1522056359999,136.55594462,225,157110.00000000,96.03758634
1522056360000,0.00061988,0.00065000,0.00061000,0.00064000,110977.00000000,1522056419999,70.56028873,153,80929.00000000,51.43051038
1522056420000,0.00064000,0.00064900,0.00063000,0.00063503,135494.00000000,1522056479999,86.17758798,139,69045.00000000,44.12499702
1522056480000,0.00063503,0.00063988,0.00060900,0.00061000,118668.00000000,1522056539999,73.90028379,125,49805.00000000,30.93476851
1522056540000,0.00060901,0.00060901,0.00051000,0.00051000,383567.00000000,1522056599999,220.59253451,238,128988.00000000,73.04771566
1522056600000,0.00054000,0.00055999,0.00051000,0.00055001,184194.00000000,1522056659999,98.83706245,148,140792.00000000,75.70082856
1522056660000,0.00055995,0.00060000,0.00055001,0.00060000,128606.00000000,1522056719999,75.23569271,107,112331.00000000,65.82399443
1522056720000,0.00060500,0.00060500,0.00057503,0.00058002,59814.00000000,1522056779999,35.60070147,86,30362.00000000,18.16457270
1522056780000,0.00057503,0.00059980,0.00057100,0.00059980,77462.00000000,1522056839999,45.03631267,86,39907.00000000,23.25033951
1522056840000,0.00059980,0.00059980,0.00057503,0.00058012,41334.00000000,1522056899999,24.15858982,62,24288.00000000,14.27179780
1522056900000,0.00058010,0.00059000,0.00057101,0.00059000,144342.00000000,1522056959999,83.72941028,134,96348.00000000,56.09239816
1522056960000,0.00059000,0.00062000,0.00057302,0.00060075,320992.00000000,1522057019999,191.95396137,177,261216.00000000,156.32015642
1522057020000,0.00060063,0.00064000,0.00060063,0.00063800,369449.00000000,1522057079999,232.06530508,253,192497.00000000,120.76251840
1522057080000,0.00063699,0.00063855,0.00058500,0.00062499,183608.00000000,1522057139999,112.20873227,182,79620.00000000,48.85562538
1522057140000,0.00062900,0.00064000,0.00062000,0.00063174,203427.00000000,1522057199999,128.63890666,196,129231.00000000,81.84378729
1522057200000,0.00063855,0.00064013,0.00060200,0.00061500,186975.00000000,1522057259999,118.20354142,146,114294.00000000,72.61545893
1522057260000,0.00061994,0.00063856,0.00061000,0.00062000,78566.00000000,1522057319999,49.07763209,97,37698.00000000,23.74892413
1522057320000,0.00062605,0.00062999,0.00061000,0.00061505,90973.00000000,1522057379999,56.09154396,94,23793.00000000,14.60202191
1522057380000,0.00061505,0.00061505,0.00059700,0.00061000,404788.00000000,1522057439999,243.88449951,190,99641.00000000,60.60182359
1522057440000,0.00061000,0.00061000,0.00057700,0.00057700,309538.00000000,1522057499999,183.76279630,114,24593.00000000,14.56352598
1522057500000,0.00058000,0.00059000,0.00057700,0.00058052,160475.00000000,1522057559999,93.06824610,125,114880.00000000,66.68496586
1522057560000,0.00058700,0.00059000,0.00056810,0.00057799,205881.00000000,1522057619999,118.38882893,122,27778.00000000,16.04724035
1522057620000,0.00057163,0.00057798,0.00054411,0.00054605,188338.00000000,1522057679999,104.78107246,135,77104.00000000,43.15867818
1522057680000,0.00056000,0.00056291,0.00054000,0.00054000,24732.00000000,1522057739999,13.65369162,48,8230.00000000,4.60442053
1522057740000,0.00054000,0.00054397,0.00049423,0.00054000,135400.00000000,1522057799999,69.86838476,152,58036.00000000,30.06747431
1522057800000,0.00054300,0.00054400,0.00050363,0.00051002,153504.00000000,1522057859999,80.48040257,133,65572.00000000,34.82774840
1522057860000,0.00051519,0.00053000,0.00051002,0.00052500,118644.00000000,1522057919999,62.02695850,75,103827.00000000,54.41543188
1522057920000,0.00052985,0.00055989,0.00051859,0.00054400,317834.00000000,1522057979999,170.28150608,128,236284.00000000,126.66611922
1522057980000,0.00054400,0.00055555,0.00052063,0.00054401,59004.00000000,1522058039999,32.22511198,91,36366.00000000,19.94755141
1522058040000,0.00055531,0.00055550,0.00053917,0.00054000,102828.00000000,1522058099999,56.49587759,97,27798.00000000,15.27662538
1522058100000,0.00054000,0.00054000,0.00051933,0.00053862,88078.00000000,1522058159999,46.27190543,70,31260.00000000,16.44222493
1522058160000,0.00053000,0.00054456,0.00052353,0.00053532,35830.00000000,1522058219999,19.19961062,36,20319.00000000,10.92594883
1522058220000,0.00053544,0.00054454,0.00052901,0.00052910,103865.00000000,1522058279999,55.60193231,58,58795.00000000,31.54102270
1522058280000,0.00052901,0.00053964,0.00052000,0.00052958,75679.00000000,1522058339999,39.61868668,71,14028.00000000,7.36474794
1522058340000,0.00052959,0.00053351,0.00051508,0.00051508,39828.00000000,1522058399999,20.78418717,55,2868.00000000,1.50048867
1522058400000,0.00052000,0.00052000,0.00049600,0.00050000,140218.00000000,1522058459999,70.78241179,146,34816.00000000,17.61261956
1522058460000,0.00050000,0.00051500,0.00049601,0.00049601,31480.00000000,1522058519999,15.91801740,41,13073.00000000,6.69875379
1522058520000,0.00049600,0.00049990,0.00047000,0.00048000,123476.00000000,1522058579999,59.11880676,84,25107.00000000,12.20843913
1522058580000,0.00047610,0.00048521,0.00046732,0.00048500,206597.00000000,1522058639999,98.41143159,108,140300.00000000,67.11059499
1522058640000,0.00048997,0.00051730,0.00048900,0.00049000,154311.00000000,1522058699999,76.92792035,126,119063.00000000,59.38052152
1522058700000,0.00049500,0.00053500,0.00048998,0.00053488,117155.00000000,1522058759999,59.44420075,86,62933.00000000,32.29146580
1522058760000,0.00052901,0.00052901,0.00050510,0.00050524,59512.00000000,1522058819999,30.69162571,68,29779.00000000,15.26255554
1522058820000,0.00051000,0.00053000,0.00051000,0.00053000,62840.00000000,1522058879999,32.82155561,69,59563.00000000,31.13240073
1522058880000,0.00053488,0.00054489,0.00052933,0.00053000,170442.00000000,1522058939999,91.48331562,143,83222.00000000,44.87597901
1522058940000,0.00053000,0.00053022,0.00051300,0.00051847,99561.00000000,1522058999999,52.61225068,57,19623.00000000,10.39109052
1522059000000,0.00051851,0.00051852,0.00049556,0.00051751,110880.00000000,1522059059999,56.66482638,109,43012.00000000,21.82208744
1522059060000,0.00051748,0.00051751,0.00050002,0.00050002,10652.00000000,1522059119999,5.40773696,27,2738.00000000,1.40467148
1522059120000,0.00050582,0.00052987,0.00050572,0.00052529,134979.00000000,1522059179999,70.42204848,80,120802.00000000,63.02626412
1522059180000,0.00052529,0.00052529,0.00051000,0.00051000,59718.00000000,1522059239999,30.73633652,30,11328.00000000,5.82704348
1522059240000,0.00051303,0.00052087,0.00051301,0.00051462,64787.00000000,1522059299999,33.44423416,51,58323.00000000,30.12090414
1522059300000,0.00052088,0.00053211,0.00052086,0.00052514,105406.00000000,1522059359999,55.65310668,75,96430.00000000,50.92886369
1522059360000,0.00052876,0.00053000,0.00052005,0.00052500,25230.00000000,1522059419999,13.29047286,38,9556.00000000,5.04237376
1522059420000,0.00052499,0.00053000,0.00052009,0.00052603,16980.00000000,1522059479999,8.92616162,34,5652.00000000,2.98644804
1522059480000,0.00052598,0.00052987,0.00052020,0.00052987,2517.00000000,1522059539999,1.32347119,8,1084.00000000,0.57065971
1522059540000,0.00052921,0.00052932,0.00051936,0.00051999,25468.00000000,1522059599999,13.29174270,42,1375.00000000,0.72003399
1522059600000,0.00051884,0.00052000,0.00050651,0.00051188,39472.00000000,1522059659999,20.26984890,69,5993.00000000,3.06271576
1522059660000,0.00051897,0.00051897,0.00050099,0.00050853,33857.00000000,1522059719999,17.11564107,48,19392.00000000,9.80194093
1522059720000,0.00050853,0.00051500,0.00050853,0.00051500,57362.00000000,1522059779999,29.46000178,28,54029.00000000,27.74403695
1522059780000,0.00051500,0.00051500,0.00050621,0.00051488,29055.00000000,1522059839999,14.89202218,36,17499.00000000,8.99116784
1522059840000,0.00051485,0.00051754,0.00051399,0.00051754,27183.00000000,1522059899999,13.99908827,30,23662.00000000,12.18608482
1522059900000,0.00051754,0.00051754,0.00051000,0.00051474,17223.00000000,1522059959999,8.81298262,23,10253.00000000,5.23386100
1522059960000,0.00051474,0.00051474,0.00050003,0.00050790,32415.00000000,1522060019999,16.35021188,42,522.00000000,0.26545257
1522060020000,0.00050326,0.00050327,0.00047587,0.00048359,89658.00000000,1522060079999,43.83741132,117,12453.00000000,6.05959649
1522060080000,0.00048118,0.00050000,0.00047627,0.00048517,55992.00000000,1522060139999,27.21410079,79,28783.00000000,14.09859407
1522060140000,0.00048989,0.00049400,0.00048504,0.00049388,20539.00000000,1522060199999,10.08114464,38,16295.00000000,8.01698955
1522060200000,0.00048733,0.00049200,0.00048000,0.00048000,20619.00000000,1522060259999,9.99124115,35,8082.00000000,3.93383770
1522060260000,0.00047901,0.00047998,0.00046946,0.00047204,83471.00000000,1522060319999,39.47905941,96,24757.00000000,11.68163223
1522060320000,0.00046949,0.00046949,0.00046009,0.00046703,68337.00000000,1522060379999,31.70944613,63,57107.00000000,26.51234675
1522060380000,0.00046999,0.00046999,0.00044500,0.00044943,55165.00000000,1522060439999,25.08056465,75,3937.00000000,1.78669239
1522060440000,0.00044514,0.00045104,0.00044500,0.00044999,59704.00000000,1522060499999,26.78177347,65,26988.00000000,12.13999082
1522060500000,0.00044981,0.00046001,0.00044000,0.00045000,67957.00000000,1522060559999,30.55167299,97,25218.00000000,11.41827492
1522060560000,0.00045039,0.00045990,0.00045000,0.00045800,20517.00000000,1522060619999,9.26995581,23,3369.00000000,1.54690705
1522060620000,0.00045513,0.00046495,0.00045513,0.00045904,47403.00000000,1522060679999,21.75116963,47,29312.00000000,13.43630060
1522060680000,0.00045800,0.00046000,0.00045438,0.00045800,58427.00000000,1522060739999,26.73127605,38,16701.00000000,7.68011146
1522060740000,0.00045700,0.00045803,0.00044400,0.00045803,146671.00000000,1522060799999,66.04219571,85,120229.00000000,54.12145694
1522060800000,0.00045500,0.00046000,0.00045500,0.00045680,101135.00000000,1522060859999,46.36705879,59,98963.00000000,45.37636147
1522060860000,0.00045574,0.00045978,0.00045017,0.00045747,15173.00000000,1522060919999,6.92039609,19,8334.00000000,3.80362249
1522060920000,0.00045500,0.00045600,0.00044921,0.00045144,76145.00000000,1522060979999,34.51704944,31,40462.00000000,18.41071300
1522060980000,0.00045143,0.00045189,0.00045141,0.00045143,18935.00000000,1522061039999,8.54772567,10,18457.00000000,8.33190165
1522061040000,0.00045143,0.00045143,0.00042350,0.00043296,101101.00000000,1522061099999,44.23837372,67,9953.00000000,4.34820453
1522061100000,0.00043355,0.00044900,0.00042738,0.00044305,87083.00000000,1522061159999,38.10175102,73,62282.00000000,27.38768675
1522061160000,0.00044316,0.00044316,0.00042900,0.00042900,46921.00000000,1522061219999,20.28538502,49,5674.00000000,2.44317235
1522061220000,0.00042901,0.00044200,0.00042367,0.00044198,107773.00000000,1522061279999,46.32389127,78,58959.00000000,25.42873775
1522061280000,0.00044200,0.00044200,0.00042626,0.00042626,46403.00000000,1522061339999,20.12806196,43,10411.00000000,4.57425824
1522061340000,0.00042627,0.00043648,0.00042626,0.00043054,51012.00000000,1522061399999,21.98745319,44,34450.00000000,14.85217078
1522061400000,0.00043400,0.00043400,0.00042627,0.00042627,41678.00000000,1522061459999,17.81070143,36,5921.00000000,2.55030769
1522061460000,0.00042627,0.00043045,0.00042320,0.00042999,42247.00000000,1522061519999,18.01117949,39,15581.00000000,6.64169158
1522061520000,0.00042988,0.00043000,0.00042621,0.00043000,34956.00000000,1522061579999,14.97014162,31,31011.00000000,13.28836095
1522061580000,0.00043326,0.00045491,0.00043320,0.00043531,172345.00000000,1522061639999,76.33774334,111,80940.00000000,35.51275130
1522061640000,0.00044380,0.00046000,0.00043889,0.00045997,121303.00000000,1522061699999,54.93041480,76,84279.00000000,38.27011105
1522061700000,0.00045977,0.00046495,0.00043931,0.00045573,137164.00000000,1522061759999,61.61047826,90,84597.00000000,37.90514861
1522061760000,0.00045576,0.00045576,0.00044001,0.00045400,7268.00000000,1522061819999,3.29895098,23,852.00000000,0.38597297
