Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1521449280000,16.00000000,16.00000000,13.10000000,15.90900000,24.30100000,1521449339999,386.69280000,8,1.25600000,20.07270400
1521449340000,15.90900000,16.25700000,14.10000000,15.60800000,1410.13800000,1521449399999,22250.10644300,61,827.10500000,13133.71714300
1521449400000,15.60800000,16.50000000,15.10200000,15.60800000,2074.37500000,1521449459999,32542.06302800,162,638.73300000,10218.17020200
1521449460000,15.60000000,16.00000000,15.56500000,15.89800000,3267.71600000,1521449519999,51482.03676700,239,577.80100000,9132.53556100
1521449520000,15.89800000,16.50000000,15.89800000,16.30300000,5957.44300000,1521449579999,95813.20376200,430,1344.55700000,21705.61386000
1521449580000,16.27100000,16.27100000,16.00700000,16.00800000,3619.64400000,1521449639999,58219.04401800,263,703.79900000,11418.20762600
1521449640000,16.00800000,16.20000000,15.89800000,16.19900000,2711.20300000,1521449699999,43458.07688400,136,737.65600000,11849.31477500
1521449700000,16.19800000,16.19900000,15.88500000,15.90000000,1644.39800000,1521449759999,26265.66085600,138,230.98500000,3721.71712800
1521449760000,15.90100000,15.99800000,15.59900000,15.59900000,1394.98500000,1521449819999,21963.88977900,100,104.61300000,1649.09261000
1521449820000,15.57300000,15.79900000,15.57300000,15.60800000,560.11700000,1521449879999,8743.29419000,25,380.91800000,5934.97978400
1521449880000,15.60700000,15.60900000,15.34000000,15.47800000,745.22100000,1521449939999,11588.15033200,62,21.99500000,340.53851400
1521449940000,15.35300000,15.39600000,15.24200000,15.29900000,324.96600000,1521449999999,4973.81474100,49,148.04500000,2263.71474700
1521450000000,15.29900000,15.34600000,15.29900000,15.34100000,175.32300000,1521450059999,2689.33878200,26,132.22600000,2028.17025000
1521450060000,15.34600000,15.49800000,15.20000000,15.40000000,801.29200000,1521450119999,12242.38254600,78,121.15000000,1856.83614200
1521450120000,15.40000000,15.56900000,15.34000000,15.35000000,1629.90600000,1521450179999,25085.72019700,50,288.94000000,4464.68645900
1521450180000,15.35000000,15.35100000,15.20100000,15.20100000,3545.78900000,1521450239999,54307.89109300,85,30.08700000,461.10276500
1521450240000,15.20200000,15.34000000,15.10100000,15.10500000,1917.54600000,1521450299999,28996.71507800,33,261.03600000,3961.74220900
1521450300000,15.22700000,15.24700000,15.10500000,15.10500000,740.82400000,1521450359999,11223.16209200,37,248.95300000,3792.59758400
1521450360000,15.10500000,15.10500000,14.98000000,14.98000000,1981.80300000,1521450419999,29831.76536300,84,94.00300000,1412.55176800
1521450420000,14.95500000,15.10800000,14.70200000,15.10800000,856.61900000,1521450479999,12832.58896600,27,751.26800000,11276.19312400
1521450480000,15.10800000,15.40100000,14.70200000,14.70200000,868.99400000,1521450539999,13150.45306900,72,328.54600000,4991.07199200
