Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1520835180000,0.00500000,0.00500000,0.00301000,0.00303000,18534.99000000,1520835239999,76.99803240,12,319.47000000,1.18842840
1520835240000,0.00400000,0.00700000,0.00313000,0.00360000,153275.29000000,1520835299999,575.08126310,70,51923.00000000,205.96583200
1520835300000,0.00359000,0.00500000,0.00358000,0.00449000,183076.47000000,1520835359999,763.55204720,74,83031.25000000,369.71062130
1520835360000,0.00451000,0.00659000,0.00400000,0.00403000,61539.77000000,1520835419999,281.04688650,41,36939.31000000,181.09422380
1520835420000,0.00403000,0.00407000,0.00392000,0.00407000,147796.42000000,1520835479999,597.24026610,77,39641.29000000,160.51578240
1520835480000,0.00407000,0.00480000,0.00360000,0.00360000,62912.77000000,1520835539999,241.21145790,32,10510.70000000,41.93042010
1520835540000,0.00360000,0.00437000,0.00360000,0.00363000,55887.86000000,1520835599999,208.39973400,21,24852.44000000,95.03501870
1520835600000,0.00363000,0.00399000,0.00362000,0.00397000,17246.25000000,1520835659999,62.60801330,9,8709.44000000,31.61939300
1520835660000,0.00364000,0.00364000,0.00318000,0.00350000,320777.43000000,1520835719999,1102.61538900,60,33305.03000000,116.80289630
1520835720000,0.00350000,0.00350000,0.00321000,0.00350000,6663.63000000,1520835779999,23.16411850,4,546.30000000,1.91205000
1520835780000,0.00350000,0.00378000,0.00350000,0.00378000,10221.55000000,1520835839999,36.76781640,8,10221.55000000,36.76781640
1520835840000,0.00352000,0.00354000,0.00352000,0.00354000,16346.73000000,1520835899999,57.79947700,7,3257.00000000,11.52978000
1520835900000,0.00354000,0.00354000,0.00354000,0.00354000,222.82000000,1520835959999,0.78878280,2,0.00000000,0.00000000
1520835960000,0.00354000,0.00370000,0.00348000,0.00348000,182862.74000000,1520836019999,640.39085810,52,5188.35000000,18.20308110
1520836020000,0.00350000,0.00350000,0.00350000,0.00350000,3333.65000000,1520836079999,11.66777500,3,3333.65000000,11.66777500
1520836080000,0.00370000,0.00370000,0.00350000,0.00350000,1912.84000000,1520836139999,6.71145000,4,82.55000000,0.30543500
1520836140000,0.00331000,0.00350000,0.00327000,0.00350000,43906.34000000,1520836199999,153.15699510,16,39536.70000000,138.31870950
1520836200000,0.00350000,0.00350000,0.00350000,0.00350000,0.00000000,1520836259999,0.00000000,0,0.00000000,0.00000000
1520836260000,0.00350000,0.00359000,0.00350000,0.00359000,1929.36000000,1520836319999,6.83601000,4,925.00000000,3.32075000
1520836320000,0.00358000,0.00360000,0.00334000,0.00360000,61541.93000000,1520836379999,218.16960880,19,37964.72000000,135.97538980
1520836380000,0.00370000,0.00370000,0.00361000,0.00361000,37618.11000000,1520836439999,136.60185420,11,6524.87000000,24.10663900
1520836440000,0.00359000,0.00370000,0.00357000,0.00370000,68002.82000000,1520836499999,244.38751990,22,57114.60000000,205.10104570
1520836500000,0.00370000,0.00370000,0.00369000,0.00370000,9990.02000000,1520836559999,36.94997460,5,9990.02000000,36.94997460
1520836560000,0.00367000,0.00370000,0.00366000,0.00366000,73209.88000000,1520836619999,268.58342470,22,21032.80000000,77.17847580
1520836620000,0.00366000,0.00366000,0.00366000,0.00366000,18943.28000000,1520836679999,69.33240480,4,6739.53000000,24.66667980
1520836680000,0.00366000,0.00366000,0.00366000,0.00366000,36043.90000000,1520836739999,131.92067400,11,11908.76000000,43.58606160
1520836740000,0.00366000,0.00366000,0.00366000,0.00366000,300.00000000,1520836799999,1.09800000,1,300.00000000,1.09800000
1520836800000,0.00366000,0.00366000,0.00363000,0.00363000,41171.48000000,1520836859999,150.23543680,15,21441.71000000,78.16223860
1520836860000,0.00361000,0.00363000,0.00361000,0.00361000,2957.51000000,1520836919999,10.67661130,7,1311.22000000,4.73350440
1520836920000,0.00363000,0.00363000,0.00360000,0.00360000,3359.48000000,1520836979999,12.09496410,6,27.86000000,0.10113180
1520836980000,0.00359000,0.00366000,0.00355000,0.00366000,14507.38000000,1520837039999,52.80043340,11,13673.66000000,49.82983350
1520837040000,0.00358000,0.00377000,0.00358000,0.00377000,22906.17000000,1520837099999,83.79362540,13,18477.79000000,67.94002500
1520837100000,0.00377000,0.00399000,0.00373000,0.00397000,67238.94000000,1520837159999,258.81597420,28,40929.23000000,158.35277930
1520837160000,0.00384000,0.00388000,0.00378000,0.00380000,12788.67000000,1520837219999,48.53121420,10,2814.99000000,10.73614080
1520837220000,0.00387000,0.00387000,0.00373000,0.00373000,13476.04000000,1520837279999,51.67130480,4,10463.04000000,40.43281480
1520837280000,0.00387000,0.00415000,0.00387000,0.00415000,56198.46000000,1520837339999,222.49278050,23,54288.61000000,214.99266650
1520837340000,0.00415000,0.00423000,0.00390000,0.00423000,35009.94000000,1520837399999,146.07062110,19,24737.10000000,103.85181540
1520837400000,0.00425000,0.00450000,0.00402000,0.00450000,91623.28000000,1520837459999,400.06363030,31,71491.13000000,311.27542280
1520837460000,0.00420000,0.00445000,0.00414000,0.00414000,60609.26000000,1520837519999,257.13303720,22,953.65000000,4.09988830
1520837520000,0.00416000,0.00443000,0.00416000,0.00428000,19281.36000000,1520837579999,82.49612570,13,3499.49000000,14.92081720
1520837580000,0.00437000,0.00445000,0.00428000,0.00445000,54264.51000000,1520837639999,235.84728150,30,34320.30000000,149.90025680
1520837640000,0.00445000,0.00446000,0.00445000,0.00446000,13753.82000000,1520837699999,61.20872740,5,12647.57000000,56.28591490
1520837700000,0.00450000,0.00499000,0.00450000,0.00452000,83932.54000000,1520837759999,395.61329670,27,62912.85000000,300.81489540
1520837760000,0.00451000,0.00451000,0.00448000,0.00449000,45605.53000000,1520837819999,205.13224810,26,9848.86000000,44.23654310
1520837820000,0.00449000,0.00449000,0.00423000,0.00425000,41376.18000000,1520837879999,179.81904840,42,4323.09000000,18.38449250
1520837880000,0.00425000,0.00434000,0.00406000,0.00418000,82120.58000000,1520837939999,349.42305760,29,33368.92000000,142.36575650
1520837940000,0.00419000,0.00475000,0.00405000,0.00475000,97602.57000000,1520837999999,433.72151340,20,75577.71000000,342.11296700
1520838000000,0.00414000,0.00415000,0.00412000,0.00415000,12875.28000000,1520838059999,53.41679120,9,1056.63000000,4.38501450
1520838060000,0.00421000,0.00423000,0.00420000,0.00420000,74934.18000000,1520838119999,316.14556690,19,0.00000000,0.00000000
1520838120000,0.00421000,0.00421000,0.00418000,0.00418000,24398.07000000,1520838179999,102.62615630,15,16048.23000000,67.56304830
1520838180000,0.00415000,0.00415000,0.00403000,0.00403000,42490.10000000,1520838239999,173.50976280,34,14226.14000000,58.71624680
1520838240000,0.00403000,0.00409000,0.00403000,0.00403000,36338.56000000,1520838299999,146.64857760,13,3758.68000000,15.35166120
1520838300000,0.00408000,0.00415000,0.00408000,0.00415000,1824.42000000,1520838359999,7.53301900,4,1824.42000000,7.53301900
1520838360000,0.00419000,0.00419000,0.00408000,0.00419000,2132.37000000,1520838419999,8.74394170,6,256.02000000,1.07272380
1520838420000,0.00410000,0.00410000,0.00410000,0.00410000,1660.00000000,1520838479999,6.80600000,1,0.00000000,0.00000000
