Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1522226220000,0.05673800,0.05673800,0.01000000,0.01000000,12.00000000,1522226279999,0.40042800,2,6.00000000,0.06000000
1522226280000,0.00110000,0.00999999,0.00086251,0.00095000,129870.00000000,1522226339999,137.67485065,133,29291.00000000,40.66081163
1522226340000,0.00095000,0.00119999,0.00091003,0.00102500,126971.00000000,1522226399999,126.90208799,161,33709.00000000,34.42136828
1522226400000,0.00098085,0.00109995,0.00091004,0.00095458,126520.00000000,1522226459999,124.06105694,165,21155.00000000,20.97564505
1522226460000,0.00099999,0.00102000,0.00095000,0.00102000,67918.00000000,1522226519999,67.62070126,90,54965.00000000,54.99808639
1522226520000,0.00100000,0.00101000,0.00097104,0.00099997,26634.00000000,1522226579999,26.32440327,65,7389.00000000,7.37361056
1522226580000,0.00098000,0.00105000,0.00098000,0.00102500,161726.00000000,1522226639999,162.72872250,82,155932.00000000,156.73821210
1522226640000,0.00102501,0.00109000,0.00100000,0.00101000,125258.00000000,1522226699999,127.65179864,183,17192.00000000,17.68826325
1522226700000,0.00101000,0.00102496,0.00100001,0.00102496,61503.00000000,1522226759999,62.14542073,89,13322.00000000,13.60300989
1522226760000,0.00102496,0.00102496,0.00100000,0.00100010,59414.00000000,1522226819999,59.74214657,80,8277.00000000,8.47718914
1522226820000,0.00101001,0.00101003,0.00095002,0.00096002,156578.00000000,1522226879999,155.84960973,261,10067.00000000,9.96785290
1522226880000,0.00096002,0.00098500,0.00096002,0.00096101,15084.00000000,1522226939999,14.74428751,38,2821.00000000,2.77241797
1522226940000,0.00096101,0.00098380,0.00092500,0.00096000,30552.00000000,1522226999999,29.18517405,74,3124.00000000,2.98954822
1522227000000,0.00098300,0.00098300,0.00092603,0.00092612,35514.00000000,1522227059999,33.62652570,55,14800.00000000,14.09372986
1522227060000,0.00094000,0.00095008,0.00092633,0.00095000,27534.00000000,1522227119999,26.06962196,46,26864.00000000,25.44151592
1522227120000,0.00094051,0.00097886,0.00094025,0.00096021,20383.00000000,1522227179999,19.65151233,70,9719.00000000,9.40893315
1522227180000,0.00096021,0.00096998,0.00094601,0.00095000,39654.00000000,1522227239999,37.75235772,92,1867.00000000,1.80120537
1522227240000,0.00094997,0.00096021,0.00092501,0.00092502,58626.00000000,1522227299999,55.30702000,106,14742.00000000,14.02529229
1522227300000,0.00093875,0.00093875,0.00091310,0.00091313,27763.00000000,1522227359999,25.64306827,50,10231.00000000,9.48652274
1522227360000,0.00091313,0.00092534,0.00088889,0.00089999,73866.00000000,1522227419999,66.90395475,116,21369.00000000,19.40650770
1522227420000,0.00089999,0.00090985,0.00088000,0.00088000,48793.00000000,1522227479999,43.46416195,118,3128.00000000,2.81478880
1522227480000,0.00088888,0.00090985,0.00087100,0.00090985,33793.00000000,1522227539999,29.88625226,59,24630.00000000,21.85041683
1522227540000,0.00090000,0.00090000,0.00088818,0.00088819,16390.00000000,1522227599999,14.63021515,33,3809.00000000,3.42798201
1522227600000,0.00088838,0.00090985,0.00088819,0.00089531,15533.00000000,1522227659999,13.96584906,45,11761.00000000,10.58690197
1522227660000,0.00090967,0.00090967,0.00088819,0.00088819,17850.00000000,1522227719999,15.93685657,55,1112.00000000,0.99888340
1522227720000,0.00088819,0.00090000,0.00087101,0.00089400,32939.00000000,1522227779999,29.18216769,64,7455.00000000,6.61951340
1522227780000,0.00089991,0.00089991,0.00088001,0.00088999,8506.00000000,1522227839999,7.61502086,15,1281.00000000,1.14752840
1522227840000,0.00088999,0.00089950,0.00088037,0.00088999,28474.00000000,1522227899999,25.18970053,39,9305.00000000,8.24834866
1522227900000,0.00088972,0.00088999,0.00088450,0.00088500,14871.00000000,1522227959999,13.17383764,39,10911.00000000,9.67050810
1522227960000,0.00088500,0.00088998,0.00088450,0.00088998,2794.00000000,1522228019999,2.47377826,16,1953.00000000,1.72970976
1522228020000,0.00088998,0.00089000,0.00088400,0.00088400,15850.00000000,1522228079999,14.03240597,23,1029.00000000,0.91579094
1522228080000,0.00088995,0.00090000,0.00088400,0.00090000,51342.00000000,1522228139999,45.97051768,68,50092.00000000,44.86220931
1522228140000,0.00090000,0.00090400,0.00088997,0.00090000,24069.00000000,1522228199999,21.66075038,37,21963.00000000,19.77015813
1522228200000,0.00090000,0.00090400,0.00089002,0.00090397,8129.00000000,1522228259999,7.33331293,34,2867.00000000,2.59034649
1522228260000,0.00090394,0.00090500,0.00089000,0.00089000,38079.00000000,1522228319999,34.01980449,56,5148.00000000,4.65508114
1522228320000,0.00090000,0.00090000,0.00088099,0.00088797,33003.00000000,1522228379999,29.29071323,63,6711.00000000,5.95956815
1522228380000,0.00088337,0.00089992,0.00086500,0.00086500,43352.00000000,1522228439999,37.99701007,120,1508.00000000,1.32681036
1522228440000,0.00086999,0.00088974,0.00086000,0.00086251,26967.00000000,1522228499999,23.40361301,75,9703.00000000,8.46907774
1522228500000,0.00086000,0.00086510,0.00085600,0.00085600,21396.00000000,1522228559999,18.32763375,29,8839.00000000,7.57330430
1522228560000,0.00085601,0.00086400,0.00085105,0.00085106,27213.00000000,1522228619999,23.27854043,34,98.00000000,0.08467000
1522228620000,0.00085600,0.00086099,0.00085105,0.00085105,25085.00000000,1522228679999,21.39148472,38,14.00000000,0.01205386
1522228680000,0.00085105,0.00085506,0.00084100,0.00084104,21801.00000000,1522228739999,18.43961093,46,7208.00000000,6.09719569
1522228740000,0.00084106,0.00085266,0.00084104,0.00084111,5582.00000000,1522228799999,4.71725549,10,2320.00000000,1.97374382
1522228800000,0.00084114,0.00085000,0.00084104,0.00084120,11646.00000000,1522228859999,9.80383789,37,823.00000000,0.69926274
1522228860000,0.00084997,0.00085120,0.00084121,0.00085120,5418.00000000,1522228919999,4.58793137,15,3434.00000000,2.91891713
1522228920000,0.00085120,0.00085120,0.00082000,0.00082000,31238.00000000,1522228979999,26.17596164,53,657.00000000,0.55923840
1522228980000,0.00082004,0.00082800,0.00080057,0.00081000,35166.00000000,1522229039999,28.65805291,64,9146.00000000,7.46715544
1522229040000,0.00081001,0.00083379,0.00081000,0.00081003,3576.00000000,1522229099999,2.91132180,29,618.00000000,0.51528222
1522229100000,0.00081006,0.00082000,0.00080117,0.00081800,20593.00000000,1522229159999,16.68179208,46,16914.00000000,13.70549781
1522229160000,0.00081800,0.00082000,0.00081001,0.00082000,2892.00000000,1522229219999,2.36717459,19,2521.00000000,2.06572237
1522229220000,0.00082620,0.00082800,0.00080555,0.00080555,15273.00000000,1522229279999,12.45187012,51,2151.00000000,1.76877134
1522229280000,0.00081000,0.00081000,0.00080080,0.00080099,14050.00000000,1522229339999,11.26282687,39,1616.00000000,1.29585557
1522229340000,0.00080099,0.00081000,0.00080080,0.00080099,4978.00000000,1522229399999,4.00624158,17,2190.00000000,1.76707197
1522229400000,0.00080101,0.00081299,0.00080101,0.00081000,4791.00000000,1522229459999,3.88153889,12,4479.00000000,3.62926087
1522229460000,0.00081007,0.00082296,0.00081001,0.00081628,9284.00000000,1522229519999,7.58882284,45,4638.00000000,3.80711030
1522229520000,0.00081629,0.00084998,0.00081629,0.00083529,43890.00000000,1522229579999,36.34516393,94,34928.00000000,28.90215459
1522229580000,0.00083529,0.00086999,0.00083529,0.00085017,141615.00000000,1522229639999,120.44084894,99,11832.00000000,10.08076505
1522229640000,0.00085017,0.00085180,0.00081201,0.00082465,46051.00000000,1522229699999,38.96780142,88,5275.00000000,4.46866739
1522229700000,0.00083189,0.00083189,0.00082818,0.00083189,23031.00000000,1522229759999,19.12074429,37,1440.00000000,1.19763356
