Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1521784800000,0.50000000,1.00000000,0.18700000,0.80000000,5329.38000000,1521784859999,4404.44118300,116,3876.66000000,3709.81233000
1521784860000,0.80000000,0.80000000,0.47000000,0.50000000,6822.92000000,1521784919999,3545.06267260,77,5734.00000000,3005.12539680
1521784920000,0.50000000,0.51000000,0.30000000,0.39150000,11790.30000000,1521784979999,4824.54362270,109,4528.34000000,1813.40691430
1521784980000,0.39150000,0.48000000,0.34928000,0.41000000,9301.91000000,1521785039999,3751.14818090,75,8907.23000000,3590.25784560
1521785040000,0.46800000,0.46800000,0.42000000,0.44000000,2457.13000000,1521785099999,1037.54075380,43,402.81000000,173.84106230
1521785100000,0.43999000,0.49998000,0.43429000,0.48000000,2091.60000000,1521785159999,946.55627200,41,1410.55000000,648.48414090
1521785160000,0.48000000,0.49998000,0.44905000,0.48000000,5911.35000000,1521785219999,2852.01475830,73,3993.88000000,1952.53218240
1521785220000,0.48000000,0.70000000,0.47566000,0.53992000,5399.33000000,1521785279999,3003.76330810,82,3961.53000000,2271.77326990
1521785280000,0.55000000,0.59000000,0.54000000,0.59000000,11202.21000000,1521785339999,6300.58577530,193,1446.53000000,821.04334800
1521785340000,0.59000000,0.60000000,0.49000000,0.51325000,26066.30000000,1521785399999,14587.54164410,319,857.72000000,480.52710310
1521785400000,0.51573000,0.57700000,0.49381000,0.49381000,1886.66000000,1521785459999,985.84646020,55,199.29000000,111.29458250
1521785460000,0.50000000,0.51999000,0.50000000,0.51990000,972.51000000,1521785519999,499.26392200,32,618.85000000,321.77989150
1521785520000,0.50305000,0.54900000,0.50210000,0.54899000,8458.23000000,1521785579999,4358.27343280,98,4840.13000000,2514.43878650
1521785580000,0.54000000,0.54000000,0.51727000,0.53496000,4706.04000000,1521785639999,2466.15511120,47,628.07000000,338.21985180
1521785640000,0.52092000,0.53000000,0.50215000,0.51000000,4134.01000000,1521785699999,2125.52177990,95,1134.21000000,593.59581890
1521785700000,0.51000000,0.51995000,0.50382000,0.51100000,1262.36000000,1521785759999,645.13850330,32,993.17000000,508.15319800
1521785760000,0.51100000,0.53000000,0.51014000,0.53000000,3879.45000000,1521785819999,2030.74943870,70,3185.08000000,1665.54570370
1521785820000,0.53000000,0.53000000,0.51002000,0.52001000,3212.94000000,1521785879999,1668.88911840,73,524.05000000,272.43723780
1521785880000,0.52001000,0.52800000,0.52001000,0.52679000,144.05000000,1521785939999,75.06801740,9,21.69000000,11.43890000
1521785940000,0.52004000,0.52677000,0.51013000,0.51014000,1802.73000000,1521785999999,936.24833980,74,589.38000000,306.80871110
1521786000000,0.51014000,0.51798000,0.50499000,0.50500000,1925.75000000,1521786059999,979.96473940,57,353.59000000,180.23346320
1521786060000,0.50499000,0.50515000,0.46420000,0.46420000,6988.50000000,1521786119999,3478.09491590,110,625.36000000,315.53644800
1521786120000,0.47859000,0.48500000,0.45539000,0.47999000,4605.04000000,1521786179999,2145.80971210,68,3263.89000000,1522.27837010
1521786180000,0.46318000,0.49987000,0.46318000,0.46444000,1340.64000000,1521786239999,660.89719430,20,1015.91000000,501.42709450
1521786240000,0.46444000,0.48610000,0.46444000,0.48610000,870.85000000,1521786299999,415.34962960,26,253.19000000,122.04404000
1521786300000,0.48434000,0.49700000,0.46647000,0.46647000,980.16000000,1521786359999,469.31890980,25,488.48000000,237.81699850
1521786360000,0.47293000,0.47866000,0.46439000,0.47180000,1806.06000000,1521786419999,850.38457110,30,507.83000000,237.48046850
1521786420000,0.46969000,0.46969000,0.46716000,0.46781000,461.40000000,1521786479999,215.96330560,8,130.22000000,61.16214900
1521786480000,0.47989000,0.47990000,0.46718000,0.46718000,1541.99000000,1521786539999,727.29318160,38,151.07000000,71.30018430
1521786540000,0.46718000,0.46718000,0.43682000,0.44032000,1434.49000000,1521786599999,647.46693800,56,138.86000000,61.61454000
1521786600000,0.44032000,0.45433000,0.43068000,0.45400000,7535.17000000,1521786659999,3319.28788870,89,4550.96000000,1999.54073900
1521786660000,0.45434000,0.45434000,0.44996000,0.45001000,236.25000000,1521786719999,106.83212850,12,3.00000000,1.34988000
1521786720000,0.45001000,0.45700000,0.43900000,0.43901000,331.21000000,1521786779999,146.82772690,20,8.26000000,3.71869030
1521786780000,0.43901000,0.44445000,0.42000000,0.42000000,2634.79000000,1521786839999,1138.73430170,54,80.46000000,35.35955480
1521786840000,0.42001000,0.42796000,0.41000000,0.41243000,4246.09000000,1521786899999,1777.41087260,52,664.84000000,279.66539890
1521786900000,0.42395000,0.42395000,0.41000000,0.41996000,2418.24000000,1521786959999,999.03407300,11,161.73000000,68.38925760
1521786960000,0.41206000,0.43400000,0.41206000,0.43400000,854.73000000,1521787019999,359.14541810,27,251.21000000,106.22788010
1521787020000,0.43350000,0.43400000,0.42707000,0.42880000,128.16000000,1521787079999,54.91244240,8,25.21000000,10.93726000
1521787080000,0.43994000,0.44000000,0.42757000,0.43002000,12145.19000000,1521787139999,5293.09743500,103,743.51000000,324.92117630
1521787140000,0.43000000,0.44000000,0.42757000,0.43322000,1527.88000000,1521787199999,661.20254950,20,1382.89000000,598.78043780
1521787200000,0.44000000,0.44000000,0.43690000,0.44000000,257.58000000,1521787259999,113.30454100,13,93.70000000,41.22800000
1521787260000,0.43690000,0.43690000,0.43030000,0.43690000,867.78000000,1521787319999,379.11334800,14,92.45000000,40.39140500
1521787320000,0.44000000,0.45240000,0.43413000,0.44140000,7320.44000000,1521787379999,3260.16749760,71,7236.45000000,3223.09919930
1521787380000,0.45499000,0.45500000,0.43690000,0.44857000,1097.06000000,1521787439999,486.99133430,36,428.58000000,193.27306410
1521787440000,0.44798000,0.44798000,0.43004000,0.43004000,500.30000000,1521787499999,218.91123360,14,24.91000000,11.15918180
1521787500000,0.43020000,0.44700000,0.43017000,0.44700000,2033.44000000,1521787559999,876.93496970,43,242.71000000,106.58622980
1521787560000,0.43020000,0.43599000,0.42100000,0.42100000,4713.01000000,1521787619999,2024.67485040,44,106.00000000,46.16142000
1521787620000,0.42109000,0.43259000,0.41474000,0.41553000,2196.55000000,1521787679999,921.32456130,34,463.55000000,195.48905910
1521787680000,0.41557000,0.42000000,0.41557000,0.42000000,9.35000000,1521787739999,3.91211520,3,5.99000000,2.51580000
1521787740000,0.42016000,0.43000000,0.42016000,0.42018000,486.62000000,1521787799999,208.35850630,11,295.69000000,127.09820340
1521787800000,0.42018000,0.42018000,0.41573000,0.41573000,251.96000000,1521787859999,105.76120850,16,0.00000000,0.00000000
1521787860000,0.41573000,0.42007000,0.41000000,0.41000000,867.82000000,1521787919999,358.16812640,21,0.24000000,0.10081680
1521787920000,0.41000000,0.41000000,0.40557000,0.40995000,1981.38000000,1521787979999,811.48630750,30,172.00000000,70.51184000
1521787980000,0.40713000,0.41000000,0.40400000,0.40400000,964.09000000,1521788039999,392.67501190,21,25.00000000,10.24896960
1521788040000,0.40400000,0.40401000,0.40000000,0.40000000,863.62000000,1521788099999,346.40810040,26,88.93000000,35.63548300
1521788100000,0.39613000,0.39613000,0.39270000,0.39270000,341.29000000,1521788159999,135.08201770,4,0.00000000,0.00000000
1521788160000,0.39613000,0.39613000,0.38845000,0.39608000,767.20000000,1521788219999,299.84591680,24,292.85000000,114.72434490
1521788220000,0.38845000,0.39613000,0.38073000,0.39613000,1619.13000000,1521788279999,621.64886700,25,369.47000000,143.61927830
1521788280000,0.39613000,0.39613000,0.38352000,0.38352000,71.77000000,1521788339999,27.87520270,4,27.78000000,11.00415790
1521788340000,0.39588000,0.39600000,0.38359000,0.39600000,823.61000000,1521788399999,325.08720690,22,350.91000000,138.87602280
1521788400000,0.39600000,0.40999000,0.39580000,0.40999000,1186.86000000,1521788459999,474.97361540,31,1147.67000000,459.44928070
1521788460000,0.40766000,0.41599000,0.40000000,0.41599000,539.57000000,1521788519999,219.87408010,14,32.40000000,13.19379420
1521788520000,0.40201000,0.40201000,0.38788000,0.38788000,2005.68000000,1521788579999,799.78360280,47,13.40000000,5.30790360
1521788580000,0.39004000,0.39018000,0.39004000,0.39018000,183.44000000,1521788639999,71.55079790,4,0.00000000,0.00000000
1521788640000,0.39052000,0.39052000,0.39052000,0.39052000,195.79000000,1521788699999,76.45991080,1,0.00000000,0.00000000
1521788700000,0.40371000,0.41688000,0.39391000,0.41688000,570.88000000,1521788759999,233.93890360,31,564.88000000,231.57544360
1521788760000,0.41688000,0.42400000,0.40200000,0.41604000,2818.94000000,1521788819999,1171.22390180,31,2328.24000000,969.13774430
1521788820000,0.41604000,0.42498000,0.40320000,0.42498000,559.04000000,1521788879999,228.43882860,8,0.01000000,0.00424980
1521788880000,0.42030000,0.42299000,0.40621000,0.40626000,362.63000000,1521788939999,148.21007560,18,24.08000000,10.15869920
1521788940000,0.41300000,0.41300000,0.40646000,0.40651000,30.13000000,1521788999999,12.39840520,3,23.16000000,9.56508000
1521789000000,0.41300000,0.41500000,0.41297000,0.41500000,754.01000000,1521789059999,311.48732860,17,325.42000000,134.43647860
1521789060000,0.41300000,0.41999000,0.41000000,0.41004000,60.23000000,1521789119999,24.97858880,5,20.00000000,8.39980000
1521789120000,0.41004000,0.41004000,0.41004000,0.41004000,0.00000000,1521789179999,0.00000000,0,0.00000000,0.00000000
1521789180000,0.41110000,0.41143000,0.41000000,0.41000000,3243.21000000,1521789239999,1331.44509530,46,32.55000000,13.36219490
1521789240000,0.41000000,0.41991000,0.40625000,0.40999000,829.68000000,1521789299999,339.70119280,22,131.79000000,54.18248000
1521789300000,0.39979000,0.39979000,0.38700000,0.39275000,1906.51000000,1521789359999,745.42460590,11,0.00000000,0.00000000
1521789360000,0.40875000,0.40875000,0.39894000,0.39894000,4.99000000,1521789419999,2.02995060,2,4.00000000,1.63500000
1521789420000,0.40868000,0.40868000,0.39459000,0.40798000,4492.79000000,1521789479999,1798.34654030,13,362.67000000,148.07775240
1521789480000,0.40798000,0.41399000,0.39950000,0.41399000,7974.94000000,1521789539999,3238.74307400,30,5720.12000000,2336.92878630
1521789540000,0.41397000,0.41397000,0.40274000,0.40274000,71.53000000,1521789599999,29.57769640,2,68.54000000,28.37350380
1521789600000,0.40278000,0.41397000,0.40278000,0.40290000,825.32000000,1521789659999,333.04196670,4,47.25000000,19.56008250
1521789660000,0.41349000,0.41349000,0.40356000,0.40356000,300.43000000,1521789719999,123.75819000,5,165.62000000,68.48221380
1521789720000,0.41339000,0.41378000,0.40588000,0.40588000,262.86000000,1521789779999,108.69381310,6,262.84000000,108.68569550
1521789780000,0.40600000,0.40601000,0.40594000,0.40601000,167.06000000,1521789839999,67.82202070,10,32.08000000,13.02480080
1521789840000,0.41377000,0.41534000,0.40663000,0.41400000,602.68000000,1521789899999,249.41882090,17,449.17000000,185.99000700
1521789900000,0.41400000,0.41999000,0.41010000,0.41999000,1005.12000000,1521789959999,418.84710220,27,558.26000000,233.41316440
1521789960000,0.41999000,0.41999000,0.40881000,0.40881000,2650.11000000,1521790019999,1102.40622620,35,141.42000000,58.84021780
1521790020000,0.40893000,0.41500000,0.40800000,0.40846000,292.85000000,1521790079999,119.68504770,16,94.49000000,38.63783000
1521790080000,0.41496000,0.41501000,0.40893000,0.41431000,542.22000000,1521790139999,224.45176410,24,136.25000000,56.45347320
1521790140000,0.41995000,0.42298000,0.41457000,0.42298000,643.90000000,1521790199999,270.03354250,10,505.50000000,212.24525850
1521790200000,0.41998000,0.42555000,0.41542000,0.42555000,901.70000000,1521790259999,381.41865640,28,711.12000000,300.94218380
1521790260000,0.42457000,0.44176000,0.42457000,0.44176000,7929.39000000,1521790319999,3421.05471370,87,4334.39000000,1855.80383370
1521790320000,0.44269000,0.44390000,0.42254000,0.42254000,1380.67000000,1521790379999,598.80574480,60,206.24000000,89.42111160
1521790380000,0.42991000,0.42992000,0.42991000,0.42992000,8.98000000,1521790439999,3.86060170,2,8.98000000,3.86060170
1521790440000,0.44112000,0.44799000,0.43298000,0.43416000,701.56000000,1521790499999,311.43064560,19,391.27000000,173.89771400
1521790500000,0.44389000,0.45014000,0.44381000,0.45014000,1193.44000000,1521790559999,536.99867890,39,425.13000000,191.27855020
1521790560000,0.45013000,0.46070000,0.45013000,0.45125000,703.41000000,1521790619999,317.91297390,26,123.82000000,56.73322000
1521790620000,0.46684000,0.48999000,0.45277000,0.46993000,2711.96000000,1521790679999,1278.03077660,63,946.53000000,451.91676070
1521790680000,0.47000000,0.47506000,0.44600000,0.44600000,5080.38000000,1521790739999,2346.97421120,57,32.08000000,15.09155430
1521790740000,0.46276000,0.48000000,0.44389000,0.44389000,1802.94000000,1521790799999,820.24665220,37,574.34000000,271.16446190
1521790800000,0.44455000,0.45468000,0.44455000,0.45468000,449.19000000,1521790859999,203.98022750,12,184.27000000,83.78206680
1521790860000,0.45477000,0.47044000,0.45477000,0.47044000,1366.78000000,1521790919999,634.55331180,18,400.00000000,187.40288840
1521790920000,0.47044000,0.47531000,0.46261000,0.47530000,1350.56000000,1521790979999,630.23887280,31,492.87000000,233.32949570
1521790980000,0.47531000,0.47531000,0.46282000,0.47531000,573.31000000,1521791039999,271.01433630,14,441.29000000,209.74720030
1521791040000,0.47531000,0.47531000,0.46409000,0.46441000,367.98000000,1521791099999,173.90949000,15,201.31000000,95.68395910
1521791100000,0.47450000,0.47450000,0.46282000,0.46282000,1737.76000000,1521791159999,810.74773740,32,14.41000000,6.70223510
1521791160000,0.46282000,0.47300000,0.45000000,0.45203000,5068.28000000,1521791219999,2282.88522840,52,133.62000000,61.21253880
1521791220000,0.45201000,0.45201000,0.44000000,0.44312000,10269.22000000,1521791279999,4600.90027720,107,153.22000000,68.45150000
1521791280000,0.44000000,0.44600000,0.42690000,0.44299000,1853.51000000,1521791339999,813.22489690,44,207.63000000,91.65368860
1521791340000,0.42775000,0.45995000,0.42775000,0.45995000,1280.15000000,1521791399999,568.34905910,18,1248.29000000,554.71231110
1521791400000,0.44320000,0.45995000,0.44300000,0.44341000,2735.37000000,1521791459999,1216.50468750,39,130.34000000,59.94689530
1521791460000,0.44344000,0.44344000,0.43000000,0.44032000,726.04000000,1521791519999,320.29573480,18,158.06000000,69.56833920
1521791520000,0.44341000,0.45282000,0.44001000,0.45282000,547.46000000,1521791579999,242.58553570,16,315.31000000,139.81450420
1521791580000,0.44026000,0.44027000,0.43000000,0.43000000,432.68000000,1521791639999,189.40364210,16,0.00000000,0.00000000
1521791640000,0.43028000,0.43974000,0.43028000,0.43974000,810.15000000,1521791699999,355.72038790,11,214.31000000,93.85272630
1521791700000,0.43974000,0.43974000,0.43970000,0.43973000,1886.85000000,1521791759999,829.69966140,39,263.43000000,115.83592230
1521791760000,0.43973000,0.43974000,0.43524000,0.43525000,273.17000000,1521791819999,119.05402420,10,210.34000000,91.60785320
1521791820000,0.43525000,0.43525000,0.43525000,0.43525000,0.00000000,1521791879999,0.00000000,0,0.00000000,0.00000000
1521791880000,0.43965000,0.44623000,0.43403000,0.43523000,1880.85000000,1521791939999,818.55380680,28,255.45000000,112.97324070
1521791940000,0.43411000,0.43413000,0.43410000,0.43410000,132.87000000,1521791999999,57.67924920,8,0.00000000,0.00000000
1521792000000,0.43410000,0.43550000,0.43012000,0.43508000,40.72000000,1521792059999,17.58649250,10,2.42000000,1.05289360
1521792060000,0.44079000,0.44091000,0.44079000,0.44081000,132.17000000,1521792119999,58.26638230,7,66.64000000,29.37531540
1521792120000,0.44106000,0.44897000,0.44106000,0.44893000,169.73000000,1521792179999,76.02503200,10,147.74000000,66.32612260
1521792180000,0.45267000,0.45867000,0.45156000,0.45867000,1052.14000000,1521792239999,477.66896470,15,1052.14000000,477.66896470
1521792240000,0.45970000,0.46870000,0.44303000,0.44514000,4623.92000000,1521792299999,2138.88932990,42,3711.74000000,1724.50344150
1521792300000,0.44515000,0.45001000,0.44515000,0.44591000,305.68000000,1521792359999,137.43915210,27,145.78000000,65.58650240
1521792360000,0.44958000,0.45501000,0.44958000,0.45501000,217.50000000,1521792419999,98.92569210,10,160.55000000,73.01856760
1521792420000,0.45501000,0.45502000,0.45501000,0.45502000,5.75000000,1521792479999,2.61631690,3,0.00000000,0.00000000
1521792480000,0.45502000,0.45502000,0.44761000,0.45501000,403.98000000,1521792539999,183.36184160,19,66.75000000,30.33102000
1521792540000,0.45000000,0.45501000,0.44541000,0.44543000,2586.46000000,1521792599999,1160.16327770,41,0.00000000,0.00000000
1521792600000,0.44543000,0.44543000,0.44543000,0.44543000,0.00000000,1521792659999,0.00000000,0,0.00000000,0.00000000
1521792660000,0.45000000,0.45696000,0.45000000,0.45696000,42.13000000,1521792719999,19.10466000,3,42.13000000,19.10466000
1521792720000,0.45599000,0.45847000,0.45164000,0.45847000,1130.95000000,1521792779999,518.28311210,44,163.92000000,74.99583910
1521792780000,0.45848000,0.46000000,0.45848000,0.46000000,415.05000000,1521792839999,190.83096400,11,73.80000000,33.85596400
1521792840000,0.46196000,0.47235000,0.46103000,0.46103000,369.36000000,1521792899999,172.45630270,12,248.96000000,116.30600630
1521792900000,0.46110000,0.47294000,0.46110000,0.47293000,219.98000000,1521792959999,102.72922940,5,109.58000000,51.82378940
1521792960000,0.47289000,0.47500000,0.46963000,0.47290000,1132.09000000,1521793019999,536.08606740,25,1049.77000000,497.12521910
1521793020000,0.47500000,0.47732000,0.46228000,0.46962000,334.31000000,1521793079999,157.23593170,21,31.40000000,14.88957200
1521793080000,0.46800000,0.46800000,0.45908000,0.46500000,1284.54000000,1521793139999,594.58386010,26,712.38000000,329.90396130
1521793140000,0.46500000,0.47899000,0.46499000,0.47899000,658.83000000,1521793199999,309.16532860,21,603.83000000,283.33677860
1521793200000,0.47899000,0.48999000,0.47521000,0.47973000,2040.62000000,1521793259999,981.00373180,38,1430.72000000,688.62009500
1521793260000,0.47973000,0.49000000,0.47767000,0.48757000,987.38000000,1521793319999,482.22105810,22,925.22000000,452.40039180
1521793320000,0.48756000,0.49500000,0.48306000,0.49028000,234.36000000,1521793379999,114.76347780,22,197.62000000,96.86970980
1521793380000,0.49500000,0.49500000,0.49000000,0.49001000,1925.93000000,1521793439999,946.96017100,51,605.11000000,299.40712120
1521793440000,0.49001000,0.49989000,0.48551000,0.49700000,3885.06000000,1521793499999,1919.03552090,44,2255.10000000,1121.27599460
1521793500000,0.49988000,0.50506000,0.48800000,0.50042000,3094.87000000,1521793559999,1546.49835660,72,1571.20000000,785.82616180
1521793560000,0.50066000,0.50999000,0.49543000,0.50800000,1328.39000000,1521793619999,665.56717560,52,137.61000000,69.77175070
1521793620000,0.50062000,0.50800000,0.49669000,0.49670000,861.71000000,1521793679999,434.07649150,29,488.04000000,247.76063760
1521793680000,0.49669000,0.50000000,0.48160000,0.49999000,2762.67000000,1521793739999,1356.99230940,44,138.99000000,68.74298640
1521793740000,0.48284000,0.49599000,0.48160000,0.48162000,964.99000000,1521793799999,465.25280290,32,12.80000000,6.34867200
1521793800000,0.48176000,0.49467000,0.47497000,0.47497000,715.56000000,1521793859999,345.44860100,19,238.29000000,116.54583440
1521793860000,0.47497000,0.47497000,0.47339000,0.47339000,41.35000000,1521793919999,19.57838950,2,0.00000000,0.00000000
1521793920000,0.47995000,0.48900000,0.47548000,0.47548000,881.20000000,1521793979999,427.61125830,13,809.10000000,392.96554500
1521793980000,0.48795000,0.48795000,0.47616000,0.47716000,64.96000000,1521794039999,31.17204990,4,17.97000000,8.76830150
1521794040000,0.48699000,0.48699000,0.48698000,0.48698000,65.51000000,1521794099999,31.90218490,5,65.51000000,31.90218490
1521794100000,0.48137000,0.48137000,0.48093000,0.48093000,189.86000000,1521794159999,91.33931810,4,0.00000000,0.00000000
1521794160000,0.47778000,0.48585000,0.47700000,0.47700000,667.82000000,1521794219999,318.78733730,23,370.02000000,176.56467600
1521794220000,0.47700000,0.47700000,0.46967000,0.46967000,1303.49000000,1521794279999,614.18003000,32,210.13000000,99.21499250
1521794280000,0.46967000,0.48581000,0.46967000,0.48581000,64.39000000,1521794339999,30.92009250,5,64.39000000,30.92009250
1521794340000,0.49252000,0.49252000,0.47282000,0.47435000,552.14000000,1521794399999,261.62286770,8,21.15000000,10.41417150
1521794400000,0.49233000,0.49233000,0.49233000,0.49233000,19.00000000,1521794459999,9.35427000,1,19.00000000,9.35427000
