Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1521784800000,0.00055000,0.00080000,0.00035800,0.00060000,384093.00000000,1521784859999,238.86279568,1678,205866.00000000,133.53779512
1521784860000,0.00060000,0.00065674,0.00054058,0.00058000,302072.00000000,1521784919999,181.63234124,1386,175563.00000000,105.70535873
1521784920000,0.00058001,0.00059590,0.00041200,0.00045934,267224.00000000,1521784979999,130.14979703,1117,85052.00000000,40.73038861
1521784980000,0.00046180,0.00057000,0.00046000,0.00050500,246053.00000000,1521785039999,122.55390360,830,153245.00000000,76.75426097
1521785040000,0.00050555,0.00053000,0.00048000,0.00053000,284142.00000000,1521785099999,141.63205059,840,164884.00000000,82.45785309
1521785100000,0.00051500,0.00054000,0.00050000,0.00053009,184748.00000000,1521785159999,96.02136616,718,80270.00000000,41.96380040
1521785160000,0.00053399,0.00057900,0.00052900,0.00055900,225418.00000000,1521785219999,123.45716007,1194,117010.00000000,64.25492130
1521785220000,0.00056000,0.00064910,0.00055897,0.00063000,292721.00000000,1521785279999,173.69461126,1197,179079.00000000,106.62922612
1521785280000,0.00063000,0.00068450,0.00062601,0.00067000,267562.00000000,1521785339999,174.93159619,1536,192086.00000000,125.81334821
1521785340000,0.00067500,0.00067900,0.00055900,0.00060887,217900.00000000,1521785399999,134.54960193,1748,103443.00000000,64.17279051
1521785400000,0.00060887,0.00061824,0.00057700,0.00058037,170500.00000000,1521785459999,102.23573092,1010,58474.00000000,35.16493778
1521785460000,0.00058000,0.00059643,0.00057709,0.00058261,121060.00000000,1521785519999,70.65830145,895,70031.00000000,40.87867490
1521785520000,0.00058286,0.00060999,0.00058200,0.00060205,221966.00000000,1521785579999,131.97878770,1075,87683.00000000,52.30811581
1521785580000,0.00060200,0.00062000,0.00059830,0.00060200,226267.00000000,1521785639999,137.28203617,952,107435.00000000,65.31679580
1521785640000,0.00060171,0.00061000,0.00058261,0.00058902,153474.00000000,1521785699999,91.48992137,887,71469.00000000,42.66743838
1521785700000,0.00058992,0.00059703,0.00058902,0.00059144,92543.00000000,1521785759999,54.76644056,473,26216.00000000,15.54488768
1521785760000,0.00059144,0.00061232,0.00059005,0.00061000,200250.00000000,1521785819999,120.49660339,926,92676.00000000,55.74847023
1521785820000,0.00061000,0.00061159,0.00059600,0.00060402,171694.00000000,1521785879999,103.50935009,784,55959.00000000,33.82794231
1521785880000,0.00060402,0.00060402,0.00060100,0.00060298,50029.00000000,1521785939999,30.14802425,290,32282.00000000,19.46511095
1521785940000,0.00060200,0.00060399,0.00059100,0.00059692,89619.00000000,1521785999999,53.64774024,454,24596.00000000,14.72809674
1521786000000,0.00059201,0.00059897,0.00058539,0.00058539,65987.00000000,1521786059999,38.88850476,433,24029.00000000,14.18559068
1521786060000,0.00058561,0.00059249,0.00054967,0.00055501,278600.00000000,1521786119999,161.14236360,924,107994.00000000,62.21675976
1521786120000,0.00055501,0.00058317,0.00053001,0.00055300,205496.00000000,1521786179999,113.23524000,1031,70051.00000000,38.78385939
1521786180000,0.00055501,0.00055674,0.00054000,0.00054000,57430.00000000,1521786239999,31.56668436,399,22197.00000000,12.24521193
1521786240000,0.00054327,0.00056014,0.00054000,0.00055502,134387.00000000,1521786299999,74.26039294,473,102857.00000000,56.89337113
1521786300000,0.00055502,0.00055502,0.00054000,0.00054297,72089.00000000,1521786359999,39.58698431,323,25855.00000000,14.29642298
1521786360000,0.00054297,0.00055621,0.00054000,0.00054834,73990.00000000,1521786419999,40.45068327,312,40301.00000000,22.10679250
1521786420000,0.00054834,0.00055450,0.00054401,0.00055432,67655.00000000,1521786479999,37.28434127,344,14904.00000000,8.21908899
1521786480000,0.00055152,0.00055378,0.00054500,0.00054500,85437.00000000,1521786539999,47.04013363,319,33544.00000000,18.49407274
1521786540000,0.00054547,0.00054548,0.00051000,0.00051310,125798.00000000,1521786599999,65.90356123,645,28473.00000000,14.91396235
1521786600000,0.00051209,0.00053798,0.00050100,0.00053615,148846.00000000,1521786659999,77.04119078,709,70142.00000000,36.35281241
1521786660000,0.00053615,0.00055378,0.00051221,0.00051990,71831.00000000,1521786719999,38.27519070,462,40483.00000000,21.78561275
1521786720000,0.00051989,0.00052500,0.00051117,0.00051400,51421.00000000,1521786779999,26.62504933,332,30801.00000000,15.95920114
1521786780000,0.00051400,0.00051718,0.00048099,0.00049065,193048.00000000,1521786839999,96.99444671,711,55943.00000000,28.27467817
1521786840000,0.00048946,0.00049541,0.00048000,0.00048239,130860.00000000,1521786899999,64.06709178,518,26555.00000000,13.05550900
1521786900000,0.00048239,0.00049539,0.00048218,0.00048815,100588.00000000,1521786959999,49.21803005,389,57690.00000000,28.26485425
1521786960000,0.00048953,0.00050697,0.00048802,0.00050171,191557.00000000,1521787019999,95.04900329,601,87057.00000000,43.30178650
1521787020000,0.00050696,0.00051000,0.00050100,0.00051000,93954.00000000,1521787079999,47.39166466,335,55992.00000000,28.29952230
1521787080000,0.00051000,0.00051500,0.00049649,0.00049999,145319.00000000,1521787139999,73.97785635,586,85125.00000000,43.37994331
1521787140000,0.00049853,0.00051200,0.00049853,0.00050698,62227.00000000,1521787199999,31.50625574,286,42478.00000000,21.54658428
1521787200000,0.00050902,0.00051200,0.00050286,0.00050556,41570.00000000,1521787259999,21.06219119,171,25167.00000000,12.77242821
1521787260000,0.00050649,0.00051221,0.00050600,0.00050999,71039.00000000,1521787319999,36.20171586,308,29056.00000000,14.82017024
1521787320000,0.00051004,0.00052897,0.00051004,0.00052000,150381.00000000,1521787379999,78.11958592,620,86014.00000000,44.69936881
