Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1521784800000,0.01700000,0.01700000,0.00600000,0.00990000,325582.00000000,1521784859999,2898.28690400,1456,254646.00000000,2292.02314149
1521784860000,0.00980000,0.01080000,0.00770000,0.00900002,227439.00000000,1521784919999,2191.50295211,1026,168071.00000000,1643.61898870
1521784920000,0.00900002,0.00950000,0.00666660,0.00700000,177319.00000000,1521784979999,1411.94541107,645,68331.00000000,544.03832721
1521784980000,0.00708738,0.00900000,0.00700003,0.00829999,80648.00000000,1521785039999,656.30917132,392,41427.00000000,337.85605147
1521785040000,0.00829999,0.00829999,0.00780000,0.00819000,129145.00000000,1521785099999,1033.07838904,489,99572.00000000,797.45880822
1521785100000,0.00819000,0.00870000,0.00800001,0.00866999,102821.00000000,1521785159999,858.23065569,432,86411.00000000,720.66957038
1521785160000,0.00866801,0.00900020,0.00850003,0.00900020,117736.00000000,1521785219999,1040.15488998,652,100227.00000000,888.73924970
1521785220000,0.00900020,0.01090000,0.00900000,0.01090000,118048.00000000,1521785279999,1122.25021238,632,103102.00000000,982.61222149
1521785280000,0.01090000,0.01099990,0.01001000,0.01080000,76963.00000000,1521785339999,819.11618002,624,47933.00000000,518.81365996
1521785340000,0.01080000,0.01088000,0.00900000,0.00987500,96959.00000000,1521785399999,983.85836911,749,43905.00000000,453.51852456
1521785400000,0.00976443,0.00990670,0.00919999,0.00950000,35235.00000000,1521785459999,338.48009716,378,12933.00000000,125.44014342
1521785460000,0.00949990,0.00950000,0.00920003,0.00935046,53691.00000000,1521785519999,501.41149612,476,31052.00000000,290.90008453
1521785520000,0.00935046,0.00970000,0.00920000,0.00970000,134258.00000000,1521785579999,1266.54842753,675,97388.00000000,921.62900625
1521785580000,0.00969998,0.00980000,0.00960000,0.00970000,62358.00000000,1521785639999,608.41087513,385,47781.00000000,467.43560963
1521785640000,0.00966001,0.00970000,0.00930000,0.00949999,44348.00000000,1521785699999,423.57703230,355,20711.00000000,200.01827309
1521785700000,0.00940009,0.00956890,0.00940009,0.00955996,42484.00000000,1521785759999,403.35062617,220,32796.00000000,311.41668456
1521785760000,0.00956888,0.00980000,0.00950000,0.00980000,87902.00000000,1521785819999,848.55375328,470,78479.00000000,758.27950235
1521785820000,0.00980000,0.00980000,0.00960000,0.00961444,19712.00000000,1521785879999,191.63534971,250,10094.00000000,98.46512934
1521785880000,0.00973998,0.00976888,0.00961833,0.00969990,14981.00000000,1521785939999,145.36496348,139,11661.00000000,113.21566836
1521785940000,0.00966909,0.00970000,0.00956888,0.00956888,26176.00000000,1521785999999,252.47873112,226,8295.00000000,80.28983375
1521786000000,0.00956888,0.00956888,0.00941000,0.00941003,43821.00000000,1521786059999,416.35294476,214,6961.00000000,66.21560550
1521786060000,0.00948888,0.00950001,0.00888000,0.00888002,93694.00000000,1521786119999,867.66265999,413,30561.00000000,289.12339867
1521786120000,0.00888002,0.00909600,0.00841779,0.00899000,98402.00000000,1521786179999,857.70276695,407,65048.00000000,568.95284734
1521786180000,0.00899000,0.00899000,0.00871372,0.00883261,12189.00000000,1521786239999,107.96446163,112,3991.00000000,35.67791336
1521786240000,0.00878207,0.00895998,0.00871002,0.00894900,11642.00000000,1521786299999,103.59856493,122,10001.00000000,89.17744203
1521786300000,0.00890001,0.00894998,0.00875000,0.00875001,14220.00000000,1521786359999,126.26566029,129,4558.00000000,40.56221125
1521786360000,0.00876364,0.00890000,0.00871000,0.00888000,11765.00000000,1521786419999,104.05210893,103,6877.00000000,61.02071158
1521786420000,0.00887383,0.00889800,0.00880000,0.00880107,35854.00000000,1521786479999,317.72520537,219,27159.00000000,241.14621357
1521786480000,0.00887899,0.00887900,0.00870000,0.00870001,47671.00000000,1521786539999,419.21654649,167,20672.00000000,183.48827173
1521786540000,0.00880000,0.00881000,0.00821450,0.00825548,44419.00000000,1521786599999,375.52773711,245,7366.00000000,61.93236070
1521786600000,0.00829480,0.00860000,0.00816703,0.00860000,42317.00000000,1521786659999,351.34778808,296,15384.00000000,128.78570334
1521786660000,0.00860000,0.00878575,0.00835000,0.00848993,24575.00000000,1521786719999,210.15942209,186,11627.00000000,100.50729007
1521786720000,0.00848991,0.00848996,0.00825002,0.00825005,17914.00000000,1521786779999,149.81150387,148,5413.00000000,45.58768222
