Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1522304640000,0.00001800,0.00001990,0.00001800,0.00001900,470404.00000000,1522304699999,8.97755187,85,299777.00000000,5.76817259
1522304700000,0.00001900,0.00002488,0.00001613,0.00001936,3635643.00000000,1522304759999,72.58912291,601,2157971.00000000,44.47662976
1522304760000,0.00001922,0.00002090,0.00001780,0.00002079,3049058.00000000,1522304819999,57.14290567,482,1568136.00000000,29.38260494
1522304820000,0.00002073,0.00002090,0.00001900,0.00001990,1675983.00000000,1522304879999,33.39277611,500,1074123.00000000,21.41662880
1522304880000,0.00001958,0.00001990,0.00001824,0.00001824,998303.00000000,1522304939999,18.97968825,377,518345.00000000,9.86366581
1522304940000,0.00001822,0.00001981,0.00001822,0.00001950,1553944.00000000,1522304999999,29.84134540,514,960769.00000000,18.38752871
1522305000000,0.00001950,0.00001980,0.00001912,0.00001930,840347.00000000,1522305059999,16.34392333,351,372086.00000000,7.26020723
1522305060000,0.00001926,0.00001936,0.00001877,0.00001877,1293491.00000000,1522305119999,24.67632960,347,292450.00000000,5.61231882
1522305120000,0.00001877,0.00001928,0.00001852,0.00001925,1650765.00000000,1522305179999,31.26369926,425,1016197.00000000,19.27032376
1522305180000,0.00001925,0.00001936,0.00001860,0.00001920,890148.00000000,1522305239999,16.90414439,359,371278.00000000,7.07590943
1522305240000,0.00001922,0.00001923,0.00001790,0.00001836,1832754.00000000,1522305299999,33.97628298,579,275878.00000000,5.13071776
1522305300000,0.00001834,0.00001842,0.00001788,0.00001789,999633.00000000,1522305359999,18.06747626,410,516230.00000000,9.33968261
1522305360000,0.00001788,0.00001810,0.00001662,0.00001662,2242040.00000000,1522305419999,39.11942890,574,565508.00000000,10.06517640
1522305420000,0.00001664,0.00001760,0.00001662,0.00001701,1627002.00000000,1522305479999,27.85969689,479,818623.00000000,14.04208796
1522305480000,0.00001710,0.00001722,0.00001678,0.00001693,876684.00000000,1522305539999,14.82876763,224,457163.00000000,7.73702559
1522305540000,0.00001693,0.00001700,0.00001660,0.00001668,1209796.00000000,1522305599999,20.33222040,257,620863.00000000,10.44863666
1522305600000,0.00001663,0.00001728,0.00001663,0.00001700,1326870.00000000,1522305659999,22.61637912,388,702816.00000000,11.97543289
1522305660000,0.00001717,0.00001770,0.00001700,0.00001722,1343417.00000000,1522305719999,23.34137664,396,594143.00000000,10.32703350
1522305720000,0.00001728,0.00001732,0.00001669,0.00001680,702360.00000000,1522305779999,11.95247437,218,251494.00000000,4.27639228
1522305780000,0.00001684,0.00001729,0.00001684,0.00001698,1226151.00000000,1522305839999,20.96636967,253,672917.00000000,11.52148696
1522305840000,0.00001700,0.00001719,0.00001680,0.00001715,1508058.00000000,1522305899999,25.62762189,209,782830.00000000,13.32559908
1522305900000,0.00001715,0.00001730,0.00001700,0.00001715,1509840.00000000,1522305959999,25.96697411,219,740408.00000000,12.74185983
1522305960000,0.00001710,0.00001720,0.00001693,0.00001714,1274847.00000000,1522306019999,21.78572636,196,617205.00000000,10.56095590
1522306020000,0.00001714,0.00001724,0.00001714,0.00001721,305248.00000000,1522306079999,5.24827003,101,181159.00000000,3.11543327
1522306080000,0.00001721,0.00001728,0.00001689,0.00001696,689556.00000000,1522306139999,11.76642096,197,191886.00000000,3.29223608
1522306140000,0.00001693,0.00001693,0.00001650,0.00001658,949664.00000000,1522306199999,15.89007296,298,232204.00000000,3.88182615
1522306200000,0.00001651,0.00001676,0.00001648,0.00001659,533444.00000000,1522306259999,8.85890952,171,216393.00000000,3.59288391
1522306260000,0.00001654,0.00001715,0.00001651,0.00001701,1006239.00000000,1522306319999,17.02372652,239,661477.00000000,11.17255393
1522306320000,0.00001701,0.00001702,0.00001653,0.00001660,592216.00000000,1522306379999,9.96283315,206,227030.00000000,3.84776244
1522306380000,0.00001671,0.00001677,0.00001645,0.00001645,1868531.00000000,1522306439999,31.11959121,245,1461847.00000000,24.39231367
1522306440000,0.00001651,0.00001695,0.00001634,0.00001690,1769712.00000000,1522306499999,29.26660231,299,1312761.00000000,21.69485952
1522306500000,0.00001690,0.00001701,0.00001670,0.00001673,795158.00000000,1522306559999,13.47803026,170,371207.00000000,6.29844846
1522306560000,0.00001673,0.00001700,0.00001660,0.00001660,688146.00000000,1522306619999,11.56522058,192,368776.00000000,6.22294045
1522306620000,0.00001664,0.00001680,0.00001650,0.00001659,919583.00000000,1522306679999,15.29291140,211,456317.00000000,7.60934992
1522306680000,0.00001660,0.00001676,0.00001655,0.00001655,396257.00000000,1522306739999,6.58228882,118,173753.00000000,2.88792912
1522306740000,0.00001658,0.00001664,0.00001622,0.00001652,704715.00000000,1522306799999,11.58429777,282,306551.00000000,5.03751903
