Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1521546420000,0.00062000,0.00105000,0.00049154,0.00065000,78431.00000000,1521546479999,49.29981874,98,13036.00000000,8.88144820
1521546480000,0.00065000,0.00065645,0.00060004,0.00062000,127582.00000000,1521546539999,81.99199057,173,53769.00000000,34.83728867
1521546540000,0.00062000,0.00064900,0.00061010,0.00061100,188873.00000000,1521546599999,117.36735931,246,37757.00000000,23.59140763
1521546600000,0.00061330,0.00061999,0.00060000,0.00061998,167616.00000000,1521546659999,102.53815139,193,63414.00000000,38.99365455
1521546660000,0.00061000,0.00064800,0.00060999,0.00064788,195660.00000000,1521546719999,123.87416462,264,54665.00000000,34.81922928
1521546720000,0.00064788,0.00064900,0.00062750,0.00064787,197899.00000000,1521546779999,126.18782779,267,71339.00000000,45.78600201
1521546780000,0.00064788,0.00068000,0.00063101,0.00063500,212567.00000000,1521546839999,137.63369670,307,122317.00000000,79.90673800
1521546840000,0.00064800,0.00065000,0.00063212,0.00064799,226501.00000000,1521546899999,144.78932819,261,79311.00000000,51.02994503
1521546900000,0.00064799,0.00064800,0.00062000,0.00063300,279423.00000000,1521546959999,175.92347351,359,54275.00000000,34.45984856
1521546960000,0.00063001,0.00063900,0.00062150,0.00062500,108515.00000000,1521547019999,68.25890254,201,38118.00000000,24.15997883
1521547020000,0.00062307,0.00063000,0.00061627,0.00062007,202216.00000000,1521547079999,125.51075511,259,26563.00000000,16.49806154
1521547080000,0.00062007,0.00062200,0.00061700,0.00062200,98585.00000000,1521547139999,61.04599328,157,25430.00000000,15.77038179
1521547140000,0.00062420,0.00063156,0.00062375,0.00063156,92187.00000000,1521547199999,57.87924977,123,68519.00000000,43.04235265
1521547200000,0.00063399,0.00063499,0.00062507,0.00063100,82619.00000000,1521547259999,52.14471179,108,26440.00000000,16.72926074
1521547260000,0.00063100,0.00063155,0.00062500,0.00062900,51097.00000000,1521547319999,32.03687331,121,5217.00000000,3.29001482
1521547320000,0.00062900,0.00063100,0.00062900,0.00063100,43306.00000000,1521547379999,27.26354256,68,28639.00000000,18.02843515
1521547380000,0.00063085,0.00063100,0.00062700,0.00062710,71623.00000000,1521547439999,45.04747996,101,7611.00000000,4.80166557
1521547440000,0.00062715,0.00063000,0.00062500,0.00062500,93075.00000000,1521547499999,58.25226887,91,4108.00000000,2.58527800
1521547500000,0.00062500,0.00062900,0.00062300,0.00062413,152712.00000000,1521547559999,95.43217053,116,6224.00000000,3.89831950
1521547560000,0.00062200,0.00062705,0.00062000,0.00062110,133883.00000000,1521547619999,83.24920464,128,12164.00000000,7.59736830
1521547620000,0.00062200,0.00062400,0.00061800,0.00061802,141728.00000000,1521547679999,87.89337238,89,2717.00000000,1.69104704
1521547680000,0.00061800,0.00062000,0.00061151,0.00061300,74013.00000000,1521547739999,45.56398299,112,14324.00000000,8.81925737
1521547740000,0.00061783,0.00062002,0.00061106,0.00062001,85843.00000000,1521547799999,52.80029176,64,56969.00000000,35.14347690
1521547800000,0.00061500,0.00062002,0.00061400,0.00061400,51114.00000000,1521547859999,31.42370293,65,5073.00000000,3.14477897
1521547860000,0.00061500,0.00061955,0.00061411,0.00061693,36191.00000000,1521547919999,22.26907146,64,15631.00000000,9.63628887
1521547920000,0.00061898,0.00061982,0.00061000,0.00061001,230482.00000000,1521547979999,141.05443421,120,11856.00000000,7.30758166
1521547980000,0.00061102,0.00061400,0.00061101,0.00061397,6772.00000000,1521548039999,4.15418044,24,5259.00000000,3.22869707
1521548040000,0.00061113,0.00061113,0.00060111,0.00060112,113740.00000000,1521548099999,69.05654199,102,4261.00000000,2.58626577
1521548100000,0.00060400,0.00060500,0.00060000,0.00060200,40801.00000000,1521548159999,24.52975923,71,8009.00000000,4.83172632
1521548160000,0.00060446,0.00060600,0.00060002,0.00060399,44193.00000000,1521548219999,26.69379453,68,33365.00000000,20.17036369
1521548220000,0.00060013,0.00060100,0.00059402,0.00059449,31557.00000000,1521548279999,18.89442131,79,7179.00000000,4.30769915
1521548280000,0.00059952,0.00060000,0.00058800,0.00059297,40743.00000000,1521548339999,24.19255951,87,22510.00000000,13.40034092
1521548340000,0.00058801,0.00059487,0.00058801,0.00059405,33072.00000000,1521548399999,19.55310300,65,21717.00000000,12.85173507
1521548400000,0.00059411,0.00059900,0.00059002,0.00059220,62591.00000000,1521548459999,37.15440681,73,9306.00000000,5.53857863
1521548460000,0.00059495,0.00059495,0.00059003,0.00059492,23340.00000000,1521548519999,13.85885032,41,8264.00000000,4.91273151
1521548520000,0.00059057,0.00059489,0.00059057,0.00059060,15654.00000000,1521548579999,9.26388296,44,3072.00000000,1.82372198
1521548580000,0.00059348,0.00059900,0.00059105,0.00059800,23319.00000000,1521548639999,13.89907353,53,16229.00000000,9.68041062
1521548640000,0.00059800,0.00059800,0.00059700,0.00059702,9033.00000000,1521548699999,5.39793000,14,3548.00000000,2.12150810
1521548700000,0.00059788,0.00060155,0.00059780,0.00059801,17481.00000000,1521548759999,10.47552194,29,5845.00000000,3.50298356
1521548760000,0.00060398,0.00061000,0.00059902,0.00060996,30247.00000000,1521548819999,18.27716527,55,18875.00000000,11.41414777
1521548820000,0.00060995,0.00061395,0.00060201,0.00060503,62472.00000000,1521548879999,37.88862309,102,36147.00000000,22.00170932
1521548880000,0.00060276,0.00061489,0.00060276,0.00061489,20028.00000000,1521548939999,12.19791289,40,8485.00000000,5.15884853
1521548940000,0.00061440,0.00061698,0.00061100,0.00061311,65630.00000000,1521548999999,40.36727573,95,13924.00000000,8.57848835
1521549000000,0.00061598,0.00061598,0.00060776,0.00060776,76477.00000000,1521549059999,46.79666920,111,8511.00000000,5.22453341
1521549060000,0.00060774,0.00060774,0.00060300,0.00060531,4158.00000000,1521549119999,2.51750914,18,2740.00000000,1.65849281
1521549120000,0.00060689,0.00061000,0.00060305,0.00060305,43602.00000000,1521549179999,26.38182762,69,5261.00000000,3.18828174
1521549180000,0.00060337,0.00060499,0.00060202,0.00060202,26515.00000000,1521549239999,15.96952985,41,591.00000000,0.35672613
1521549240000,0.00060380,0.00060380,0.00060200,0.00060200,31462.00000000,1521549299999,18.94174852,43,379.00000000,0.22883420
1521549300000,0.00060200,0.00060299,0.00059800,0.00059800,65327.00000000,1521549359999,39.12914940,69,456.00000000,0.27485625
1521549360000,0.00059801,0.00059802,0.00059269,0.00059570,25720.00000000,1521549419999,15.34033588,66,5857.00000000,3.48751239
1521549420000,0.00059570,0.00059756,0.00059400,0.00059755,10439.00000000,1521549479999,6.22333133,28,5996.00000000,3.58094401
1521549480000,0.00059512,0.00059698,0.00059000,0.00059000,116200.00000000,1521549539999,68.91982417,96,4624.00000000,2.74225985
1521549540000,0.00059019,0.00059398,0.00058895,0.00058925,18019.00000000,1521549599999,10.67390877,29,15299.00000000,9.06929195
1521549600000,0.00058924,0.00059072,0.00058510,0.00058872,65601.00000000,1521549659999,38.58071670,55,1709.00000000,1.00663853
1521549660000,0.00058872,0.00059397,0.00058650,0.00058980,37809.00000000,1521549719999,22.24262017,48,10502.00000000,6.18162731
1521549720000,0.00058996,0.00059397,0.00058965,0.00058965,30199.00000000,1521549779999,17.87497616,50,2318.00000000,1.37055970
1521549780000,0.00059299,0.00059299,0.00058687,0.00058687,3421.00000000,1521549839999,2.01456382,17,1520.00000000,0.89566815
1521549840000,0.00058700,0.00058989,0.00058700,0.00058702,5665.00000000,1521549899999,3.33416286,20,1066.00000000,0.62846951
1521549900000,0.00058900,0.00058957,0.00058650,0.00058768,10646.00000000,1521549959999,6.25579652,25,3719.00000000,2.19082134
1521549960000,0.00058768,0.00058827,0.00058550,0.00058826,62156.00000000,1521550019999,36.43496629,42,14774.00000000,8.67226620
1521550020000,0.00058700,0.00059087,0.00058532,0.00059000,14989.00000000,1521550079999,8.82497379,41,11780.00000000,6.93974929
1521550080000,0.00059270,0.00059270,0.00058858,0.00058858,19432.00000000,1521550139999,11.47119640,25,1317.00000000,0.78057663
1521550140000,0.00059249,0.00059268,0.00058833,0.00059100,21460.00000000,1521550199999,12.63841181,38,3137.00000000,1.85360252
1521550200000,0.00059100,0.00059101,0.00058700,0.00058700,20485.00000000,1521550259999,12.04686720,40,1402.00000000,0.82839094
1521550260000,0.00058600,0.00058700,0.00058534,0.00058692,12670.00000000,1521550319999,7.42674705,27,705.00000000,0.41378020
1521550320000,0.00058692,0.00058800,0.00058569,0.00058569,6169.00000000,1521550379999,3.62025259,18,1777.00000000,1.04317700
1521550380000,0.00058569,0.00058570,0.00058569,0.00058569,2459.00000000,1521550439999,1.44021796,4,0.00000000,0.00000000
1521550440000,0.00058571,0.00058800,0.00058432,0.00058521,63585.00000000,1521550499999,37.24084645,60,2786.00000000,1.63772630
1521550500000,0.00058519,0.00058741,0.00058432,0.00058702,7898.00000000,1521550559999,4.62868391,22,1365.00000000,0.80123220
1521550560000,0.00058702,0.00058754,0.00058500,0.00058500,6864.00000000,1521550619999,4.02132759,20,1789.00000000,1.05061760
