Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1511925000000,0.00013000,0.00013000,0.00013000,0.00013000,104.00000000,1511925059999,0.01352000,1,0.00000000,0.00000000
1511925060000,0.00013000,0.00013000,0.00013000,0.00013000,0.00000000,1511925119999,0.00000000,0,0.00000000,0.00000000
1511925120000,0.00013000,0.00013000,0.00013000,0.00013000,0.00000000,1511925179999,0.00000000,0,0.00000000,0.00000000
1511925180000,0.00111000,0.00111000,0.00110999,0.00110999,99.00000000,1511925239999,0.10988902,2,99.00000000,0.10988902
1511925240000,0.00110000,0.00110000,0.00088879,0.00088879,59.00000000,1511925299999,0.05463016,4,59.00000000,0.05463016
1511925300000,0.00015500,0.00015500,0.00015000,0.00015000,3924.00000000,1511925359999,0.59514900,7,0.00000000,0.00000000
1511925360000,0.00015000,0.00015000,0.00015000,0.00015000,0.00000000,1511925419999,0.00000000,0,0.00000000,0.00000000
1511925420000,0.00015799,0.00015799,0.00015000,0.00015000,3285.00000000,1511925479999,0.49923785,13,1053.00000000,0.16438451
1511925480000,0.00014104,0.00014989,0.00014104,0.00014989,3441.00000000,1511925539999,0.49070132,3,64.00000000,0.00959296
1511925540000,0.00014889,0.00014889,0.00014709,0.00014709,1147.00000000,1511925599999,0.16964525,5,1147.00000000,0.16964525
1511925600000,0.00014501,0.00014709,0.00014300,0.00014699,5785.00000000,1511925659999,0.83630760,16,1028.00000000,0.14970579
1511925660000,0.00014699,0.00014709,0.00014102,0.00014102,8647.00000000,1511925719999,1.25783632,15,3811.00000000,0.56039723
1511925720000,0.00014102,0.00014709,0.00014102,0.00014709,141.00000000,1511925779999,0.02000522,3,20.00000000,0.00294180
1511925780000,0.00014709,0.00015000,0.00014109,0.00014800,3336.00000000,1511925839999,0.49421564,11,2133.00000000,0.31954771
1511925840000,0.00014800,0.00015197,0.00014800,0.00014999,14214.00000000,1511925899999,2.12784621,17,14214.00000000,2.12784621
1511925900000,0.00014990,0.00015500,0.00014300,0.00015498,48967.00000000,1511925959999,7.43448920,63,36323.00000000,5.51406396
1511925960000,0.00015497,0.00015497,0.00015200,0.00015200,440.00000000,1511926019999,0.06788980,2,440.00000000,0.06788980
1511926020000,0.00015100,0.00015149,0.00014660,0.00014666,6152.00000000,1511926079999,0.90481948,9,656.00000000,0.09895384
1511926080000,0.00014985,0.00014985,0.00014660,0.00014667,2119.00000000,1511926139999,0.31159939,14,449.00000000,0.06673132
1511926140000,0.00014667,0.00014667,0.00014500,0.00014500,4110.00000000,1511926199999,0.60210841,10,83.00000000,0.01217361
1511926200000,0.00014500,0.00014800,0.00014498,0.00014498,8873.00000000,1511926259999,1.28922230,11,1320.00000000,0.19400424
1511926260000,0.00014498,0.00014700,0.00013511,0.00013610,6132.00000000,1511926319999,0.84182114,16,1418.00000000,0.19223993
1511926320000,0.00013622,0.00013622,0.00013622,0.00013622,100.00000000,1511926379999,0.01362200,1,0.00000000,0.00000000
1511926380000,0.00014239,0.00014239,0.00014239,0.00014239,7.00000000,1511926439999,0.00099673,1,7.00000000,0.00099673
1511926440000,0.00014189,0.00014189,0.00014100,0.00014100,174.00000000,1511926499999,0.02453489,2,174.00000000,0.02453489
1511926500000,0.00013729,0.00013729,0.00013729,0.00013729,189.00000000,1511926559999,0.02594781,1,0.00000000,0.00000000
1511926560000,0.00013733,0.00013940,0.00013336,0.00013940,19571.00000000,1511926619999,2.63529325,23,2671.00000000,0.36085631
1511926620000,0.00013339,0.00013339,0.00013336,0.00013336,14516.00000000,1511926679999,1.93606074,10,0.00000000,0.00000000
1511926680000,0.00013001,0.00013001,0.00013001,0.00013001,382.00000000,1511926739999,0.04966382,2,0.00000000,0.00000000
1511926740000,0.00013100,0.00013100,0.00013000,0.00013000,9496.00000000,1511926799999,1.23472787,17,2348.00000000,0.30524673
1511926800000,0.00013000,0.00013000,0.00013000,0.00013000,0.00000000,1511926859999,0.00000000,0,0.00000000,0.00000000
1511926860000,0.00013600,0.00013870,0.00013600,0.00013600,647.00000000,1511926919999,0.08799470,5,1.00000000,0.00013870
1511926920000,0.00013600,0.00013799,0.00013600,0.00013600,4181.00000000,1511926979999,0.57164677,3,1523.00000000,0.21015877
1511926980000,0.00013600,0.00013759,0.00013600,0.00013600,1657.00000000,1511927039999,0.22636324,5,1519.00000000,0.20759524
1511927040000,0.00013600,0.00013760,0.00013600,0.00013760,2668.00000000,1511927099999,0.36648478,10,2668.00000000,0.36648478
1511927100000,0.00013760,0.00013795,0.00013760,0.00013795,464.00000000,1511927159999,0.06392760,4,464.00000000,0.06392760
1511927160000,0.00013900,0.00013938,0.00013900,0.00013938,1782.00000000,1511927219999,0.24820112,4,1782.00000000,0.24820112
1511927220000,0.00013938,0.00014000,0.00013938,0.00014000,3070.00000000,1511927279999,0.42815142,5,2759.00000000,0.38461142
1511927280000,0.00014250,0.00014250,0.00014202,0.00014202,413.00000000,1511927339999,0.05882850,7,290.00000000,0.04132500
1511927340000,0.00014100,0.00014249,0.00014000,0.00014249,844.00000000,1511927399999,0.11879783,8,37.00000000,0.00521849
1511927400000,0.00014100,0.00014240,0.00014000,0.00014000,8239.00000000,1511927459999,1.16151796,10,490.00000000,0.06958040
1511927460000,0.00014000,0.00014000,0.00014000,0.00014000,1007.00000000,1511927519999,0.14098000,8,313.00000000,0.04382000
1511927520000,0.00014200,0.00014200,0.00014199,0.00014199,2355.00000000,1511927579999,0.33440000,3,2355.00000000,0.33440000
1511927580000,0.00014200,0.00014200,0.00014100,0.00014100,7807.00000000,1511927639999,1.10535952,15,776.00000000,0.11019005
1511927640000,0.00014100,0.00014105,0.00014100,0.00014100,9100.00000000,1511927699999,1.28312985,10,0.00000000,0.00000000
1511927700000,0.00014100,0.00014100,0.00014003,0.00014003,1824.00000000,1511927759999,0.25708700,3,0.00000000,0.00000000
1511927760000,0.00014003,0.00014100,0.00014003,0.00014100,1854.00000000,1511927819999,0.25976694,7,156.00000000,0.02199600
1511927820000,0.00014100,0.00014100,0.00014100,0.00014100,0.00000000,1511927879999,0.00000000,0,0.00000000,0.00000000
1511927880000,0.00014004,0.00014004,0.00014002,0.00014002,2218.00000000,1511927939999,0.31058175,5,0.00000000,0.00000000
1511927940000,0.00014000,0.00014002,0.00014000,0.00014002,7088.00000000,1511927999999,0.99245502,4,398.00000000,0.05572122
1511928000000,0.00013812,0.00013812,0.00013812,0.00013812,148.00000000,1511928059999,0.02044176,1,0.00000000,0.00000000
1511928060000,0.00013812,0.00013812,0.00013761,0.00013761,978.00000000,1511928119999,0.13469460,4,0.00000000,0.00000000
1511928120000,0.00013761,0.00013761,0.00013270,0.00013270,1760.00000000,1511928179999,0.23408138,6,52.00000000,0.00715538
1511928180000,0.00013270,0.00013761,0.00013270,0.00013761,588.00000000,1511928239999,0.07821899,4,74.00000000,0.01001119
1511928240000,0.00013761,0.00013761,0.00013761,0.00013761,2258.00000000,1511928299999,0.31072338,3,2258.00000000,0.31072338
1511928300000,0.00013761,0.00013761,0.00013761,0.00013761,0.00000000,1511928359999,0.00000000,0,0.00000000,0.00000000
1511928360000,0.00013500,0.00013500,0.00013500,0.00013500,377.00000000,1511928419999,0.05089500,1,377.00000000,0.05089500
1511928420000,0.00013274,0.00013761,0.00013274,0.00013761,167.00000000,1511928479999,0.02221141,3,9.00000000,0.00123849
1511928480000,0.00013274,0.00013761,0.00013274,0.00013758,990.00000000,1511928539999,0.13413228,8,692.00000000,0.09457576
1511928540000,0.00013510,0.00013510,0.00013500,0.00013500,11613.00000000,1511928599999,1.56796500,6,11613.00000000,1.56796500
1511928600000,0.00013500,0.00013500,0.00013500,0.00013500,2636.00000000,1511928659999,0.35586000,6,2636.00000000,0.35586000
1511928660000,0.00013500,0.00013500,0.00013008,0.00013008,8068.00000000,1511928719999,1.07585480,14,1714.00000000,0.23139000
1511928720000,0.00013008,0.00013008,0.00013000,0.00013000,2746.00000000,1511928779999,0.35713816,9,388.00000000,0.05044000
1511928780000,0.00013000,0.00013000,0.00013000,0.00013000,15.00000000,1511928839999,0.00195000,1,0.00000000,0.00000000
1511928840000,0.00013000,0.00013000,0.00012103,0.00012103,823.00000000,1511928899999,0.10544716,2,651.00000000,0.08463000
1511928900000,0.00013693,0.00013693,0.00013693,0.00013693,11.00000000,1511928959999,0.00150623,1,11.00000000,0.00150623
1511928960000,0.00013600,0.00013693,0.00013600,0.00013600,2902.00000000,1511929019999,0.39504586,14,1114.00000000,0.15187786
1511929020000,0.00013600,0.00013600,0.00013600,0.00013600,0.00000000,1511929079999,0.00000000,0,0.00000000,0.00000000
1511929080000,0.00013600,0.00013600,0.00013600,0.00013600,0.00000000,1511929139999,0.00000000,0,0.00000000,0.00000000
1511929140000,0.00013975,0.00013975,0.00013500,0.00013924,2363.00000000,1511929199999,0.31990400,6,559.00000000,0.07636400
1511929200000,0.00013924,0.00014100,0.00013924,0.00014100,5270.00000000,1511929259999,0.73794012,7,5120.00000000,0.71679012
1511929260000,0.00014236,0.00014461,0.00014236,0.00014450,5229.00000000,1511929319999,0.75102120,10,5229.00000000,0.75102120
1511929320000,0.00014450,0.00014450,0.00014450,0.00014450,0.00000000,1511929379999,0.00000000,0,0.00000000,0.00000000
1511929380000,0.00014100,0.00014300,0.00014100,0.00014300,414.00000000,1511929439999,0.05859800,4,112.00000000,0.01601600
1511929440000,0.00014300,0.00014300,0.00014300,0.00014300,0.00000000,1511929499999,0.00000000,0,0.00000000,0.00000000
1511929500000,0.00014129,0.00014129,0.00014034,0.00014034,7144.00000000,1511929559999,1.00688470,5,533.00000000,0.07530757
1511929560000,0.00014073,0.00014073,0.00014034,0.00014073,174.00000000,1511929619999,0.02444841,4,75.00000000,0.01055475
1511929620000,0.00014036,0.00014073,0.00014036,0.00014073,1489.00000000,1511929679999,0.20918289,3,645.00000000,0.09071905
1511929680000,0.00014129,0.00014129,0.00014073,0.00014074,4448.00000000,1511929739999,0.62698477,3,1775.00000000,0.25078975
1511929740000,0.00014074,0.00014074,0.00014035,0.00014037,14341.00000000,1511929799999,2.01505214,10,6980.00000000,0.98188007
1511929800000,0.00014035,0.00014047,0.00014035,0.00014042,29047.00000000,1511929859999,4.07933950,10,28427.00000000,3.99232250
1511929860000,0.00014043,0.00014044,0.00014035,0.00014036,10273.00000000,1511929919999,1.44221017,7,6037.00000000,0.84735627
1511929920000,0.00014050,0.00014064,0.00014036,0.00014036,31327.00000000,1511929979999,4.40426685,10,26769.00000000,3.76450597
1511929980000,0.00014062,0.00014063,0.00014041,0.00014041,21086.00000000,1511930039999,2.96476436,6,18727.00000000,2.63353717
1511930040000,0.00014042,0.00014042,0.00014041,0.00014041,26183.00000000,1511930099999,3.67647126,5,0.00000000,0.00000000
1511930100000,0.00014068,0.00014069,0.00014041,0.00014069,15821.00000000,1511930159999,2.22357305,5,7663.00000000,1.07808847
1511930160000,0.00014155,0.00014155,0.00014141,0.00014142,12051.00000000,1511930219999,1.70477976,3,12051.00000000,1.70477976
1511930220000,0.00014142,0.00014177,0.00014088,0.00014177,20792.00000000,1511930279999,2.94115923,9,18301.00000000,2.59021922
1511930280000,0.00014176,0.00014192,0.00014123,0.00014123,13749.00000000,1511930339999,1.94693250,6,8776.00000000,1.24459571
1511930340000,0.00014176,0.00014176,0.00014101,0.00014169,10399.00000000,1511930399999,1.47090481,10,6645.00000000,0.94154419
1511930400000,0.00014170,0.00014170,0.00014100,0.00014168,10336.00000000,1511930459999,1.46450545,7,10244.00000000,1.45153345
1511930460000,0.00014158,0.00014189,0.00014101,0.00014189,32234.00000000,1511930519999,4.56506628,11,30424.00000000,4.30960535
1511930520000,0.00014189,0.00014189,0.00014104,0.00014173,9623.00000000,1511930579999,1.36315754,8,7726.00000000,1.09550438
1511930580000,0.00014151,0.00014162,0.00014151,0.00014160,8894.00000000,1511930639999,1.25919851,8,6393.00000000,0.90526297
1511930640000,0.00014161,0.00014161,0.00014118,0.00014118,10610.00000000,1511930699999,1.50152495,8,8183.00000000,1.15871229
1511930700000,0.00014158,0.00014159,0.00014110,0.00014110,7984.00000000,1511930759999,1.12944242,7,6008.00000000,0.85062882
1511930760000,0.00014141,0.00014157,0.00014120,0.00014120,19900.00000000,1511930819999,2.81318438,6,10782.00000000,1.52572278
1511930820000,0.00014121,0.00014147,0.00014121,0.00014147,14150.00000000,1511930879999,1.99872031,6,2211.00000000,0.31279017
1511930880000,0.00014122,0.00014141,0.00014121,0.00014140,6277.00000000,1511930939999,0.88693541,11,2801.00000000,0.39606156
1511930940000,0.00014138,0.00014139,0.00014110,0.00014111,4695.00000000,1511930999999,0.66323796,5,2671.00000000,0.37764306
