Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1511925060000,0.00284000,0.00284000,0.00284000,0.00284000,146.00000000,1511925119999,0.41464000,1,0.00000000,0.00000000
1511925120000,0.00284000,0.00284000,0.00284000,0.00284000,0.00000000,1511925179999,0.00000000,0,0.00000000,0.00000000
1511925180000,0.00284000,0.00284000,0.00284000,0.00284000,0.00000000,1511925239999,0.00000000,0,0.00000000,0.00000000
1511925240000,0.00284000,0.00284000,0.00284000,0.00284000,0.00000000,1511925299999,0.00000000,0,0.00000000,0.00000000
1511925300000,0.00284000,0.00284000,0.00284000,0.00284000,0.00000000,1511925359999,0.00000000,0,0.00000000,0.00000000
1511925360000,0.00284000,0.00284000,0.00284000,0.00284000,0.00000000,1511925419999,0.00000000,0,0.00000000,0.00000000
1511925420000,0.00284000,0.00284000,0.00284000,0.00284000,0.00000000,1511925479999,0.00000000,0,0.00000000,0.00000000
1511925480000,0.00490000,0.00490000,0.00490000,0.00490000,8.00000000,1511925539999,0.03920000,1,8.00000000,0.03920000
1511925540000,0.00388950,0.00388950,0.00300000,0.00300000,385.00000000,1511925599999,1.17367950,2,21.00000000,0.08167950
1511925600000,0.00300010,0.00469000,0.00300010,0.00360000,6564.00000000,1511925659999,24.76747940,12,6064.00000000,23.26742940
1511925660000,0.00319990,0.00319990,0.00319990,0.00319990,125.00000000,1511925719999,0.39998750,1,125.00000000,0.39998750
1511925720000,0.00319990,0.00319990,0.00319990,0.00319990,0.00000000,1511925779999,0.00000000,0,0.00000000,0.00000000
1511925780000,0.00319990,0.00319990,0.00319990,0.00319990,0.00000000,1511925839999,0.00000000,0,0.00000000,0.00000000
1511925840000,0.00319830,0.00319830,0.00319830,0.00319830,102.00000000,1511925899999,0.32622660,2,102.00000000,0.32622660
1511925900000,0.00319710,0.00319980,0.00319710,0.00319740,7401.00000000,1511925959999,23.66679630,15,7401.00000000,23.66679630
1511925960000,0.00319740,0.00319740,0.00319740,0.00319740,0.00000000,1511926019999,0.00000000,0,0.00000000,0.00000000
1511926020000,0.00319750,0.00319750,0.00300000,0.00300000,2878.00000000,1511926079999,8.86362580,10,0.00000000,0.00000000
1511926080000,0.00300000,0.00300000,0.00300000,0.00300000,0.00000000,1511926139999,0.00000000,0,0.00000000,0.00000000
1511926140000,0.00310000,0.00310000,0.00310000,0.00310000,182.00000000,1511926199999,0.56420000,3,147.00000000,0.45570000
1511926200000,0.00310000,0.00319690,0.00310000,0.00319570,705.00000000,1511926259999,2.24008950,3,567.00000000,1.81228950
1511926260000,0.00300000,0.00300000,0.00280000,0.00280000,598.00000000,1511926319999,1.77105000,6,0.00000000,0.00000000
1511926320000,0.00280000,0.00280000,0.00280000,0.00280000,0.00000000,1511926379999,0.00000000,0,0.00000000,0.00000000
1511926380000,0.00280000,0.00280000,0.00280000,0.00280000,0.00000000,1511926439999,0.00000000,0,0.00000000,0.00000000
1511926440000,0.00280000,0.00280000,0.00280000,0.00280000,0.00000000,1511926499999,0.00000000,0,0.00000000,0.00000000
1511926500000,0.00280000,0.00280000,0.00280000,0.00280000,0.00000000,1511926559999,0.00000000,0,0.00000000,0.00000000
1511926560000,0.00280000,0.00280000,0.00280000,0.00280000,0.00000000,1511926619999,0.00000000,0,0.00000000,0.00000000
1511926620000,0.00290010,0.00290010,0.00290010,0.00290010,268.00000000,1511926679999,0.77722680,2,28.00000000,0.08120280
1511926680000,0.00290010,0.00290010,0.00290010,0.00290010,0.00000000,1511926739999,0.00000000,0,0.00000000,0.00000000
1511926740000,0.00299700,0.00299700,0.00280010,0.00290010,2102.00000000,1511926799999,6.07468350,7,105.00000000,0.30451050
1511926800000,0.00290010,0.00290010,0.00290010,0.00290010,49.00000000,1511926859999,0.14210490,1,49.00000000,0.14210490
1511926860000,0.00290010,0.00290010,0.00290010,0.00290010,0.00000000,1511926919999,0.00000000,0,0.00000000,0.00000000
1511926920000,0.00300000,0.00300000,0.00300000,0.00300000,296.00000000,1511926979999,0.88800000,2,296.00000000,0.88800000
1511926980000,0.00300000,0.00309980,0.00300000,0.00309980,5857.00000000,1511927039999,18.11843910,7,5857.00000000,18.11843910
