Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1510330440000,0.00003100,0.00003100,0.00003100,0.00003100,54.00000000,1510330499999,0.00167400,1,0.00000000,0.00000000
1510330500000,0.00003100,0.00003100,0.00003100,0.00003100,0.00000000,1510330559999,0.00000000,0,0.00000000,0.00000000
1510330560000,0.00003100,0.00003100,0.00003100,0.00003100,0.00000000,1510330619999,0.00000000,0,0.00000000,0.00000000
1510330620000,0.00470000,0.00470000,0.00470000,0.00470000,96.00000000,1510330679999,0.45120000,1,96.00000000,0.45120000
1510330680000,0.00470000,0.00470000,0.00470000,0.00470000,100.00000000,1510330739999,0.47000000,1,100.00000000,0.47000000
1510330740000,0.00470000,0.00470000,0.00470000,0.00470000,0.00000000,1510330799999,0.00000000,0,0.00000000,0.00000000
1510330800000,0.00009000,0.00009000,0.00006000,0.00006000,301.00000000,1510330859999,0.01967000,3,64.00000000,0.00545000
1510330860000,0.00004518,0.00004518,0.00004518,0.00004518,5250.00000000,1510330919999,0.23719500,5,0.00000000,0.00000000
1510330920000,0.00004518,0.00004518,0.00004511,0.00004514,3507.00000000,1510330979999,0.15840188,5,119.00000000,0.00536809
1510330980000,0.00004514,0.00004789,0.00004113,0.00004514,35954.00000000,1510331039999,1.61303619,23,1206.00000000,0.05565003
1510331040000,0.00004514,0.00004789,0.00004514,0.00004789,38711.00000000,1510331099999,1.80592497,16,30775.00000000,1.44608443
1510331100000,0.00004700,0.00006300,0.00004514,0.00004575,41252.00000000,1510331159999,1.94609986,29,16876.00000000,0.83730017
1510331160000,0.00004550,0.00005500,0.00004550,0.00004700,42546.00000000,1510331219999,2.00459900,29,1000.00000000,0.05131250
1510331220000,0.00004750,0.00005199,0.00004750,0.00004760,38419.00000000,1510331279999,1.90908660,18,25418.00000000,1.27657259
1510331280000,0.00004997,0.00005150,0.00004760,0.00005150,41223.00000000,1510331339999,2.06689321,17,32278.00000000,1.61975881
1510331340000,0.00005140,0.00005140,0.00004997,0.00005140,72307.00000000,1510331399999,3.65383602,32,23007.00000000,1.17835685
1510331400000,0.00005140,0.00005397,0.00005140,0.00005340,45797.00000000,1510331459999,2.40217382,17,26830.00000000,1.42727002
1510331460000,0.00005340,0.00005439,0.00005320,0.00005439,61073.00000000,1510331519999,3.27534259,37,32140.00000000,1.72973758
1510331520000,0.00005439,0.00005998,0.00005439,0.00005998,22247.00000000,1510331579999,1.28818626,35,12548.00000000,0.72299587
1510331580000,0.00005997,0.00006500,0.00005900,0.00006500,35371.00000000,1510331639999,2.13342947,29,18505.00000000,1.12676450
1510331640000,0.00006489,0.00006489,0.00005999,0.00005999,41867.00000000,1510331699999,2.51853250,40,13440.00000000,0.81319360
1510331700000,0.00005999,0.00006488,0.00005230,0.00005230,103029.00000000,1510331759999,6.25174553,36,17586.00000000,1.11445662
1510331760000,0.00006100,0.00006100,0.00005999,0.00005999,19964.00000000,1510331819999,1.20980857,22,10439.00000000,0.63106490
1510331820000,0.00005900,0.00005900,0.00005360,0.00005360,19711.00000000,1510331879999,1.14160686,17,7304.00000000,0.42979900
1510331880000,0.00005375,0.00005598,0.00005000,0.00005000,33626.00000000,1510331939999,1.77193996,23,10286.00000000,0.57061952
1510331940000,0.00005220,0.00005220,0.00004600,0.00004600,81370.00000000,1510331999999,4.02661476,37,14250.00000000,0.69730600
1510332000000,0.00004999,0.00004999,0.00004999,0.00004999,659.00000000,1510332059999,0.03294341,2,659.00000000,0.03294341
1510332060000,0.00004999,0.00005499,0.00004999,0.00005000,5567.00000000,1510332119999,0.29033033,6,3167.00000000,0.16929833
1510332120000,0.00005499,0.00005499,0.00005499,0.00005499,11683.00000000,1510332179999,0.64244817,9,3567.00000000,0.19614933
1510332180000,0.00005015,0.00005050,0.00005015,0.00005017,8885.00000000,1510332239999,0.44609032,3,0.00000000,0.00000000
1510332240000,0.00005017,0.00005021,0.00005017,0.00005021,899.00000000,1510332299999,0.04512283,2,0.00000000,0.00000000
1510332300000,0.00005295,0.00005295,0.00005295,0.00005295,182.00000000,1510332359999,0.00963690,2,182.00000000,0.00963690
1510332360000,0.00005295,0.00005295,0.00005295,0.00005295,0.00000000,1510332419999,0.00000000,0,0.00000000,0.00000000
1510332420000,0.00005199,0.00005199,0.00005070,0.00005070,2968.00000000,1510332479999,0.15070310,6,594.00000000,0.03027092
1510332480000,0.00005075,0.00005100,0.00005000,0.00005000,11446.00000000,1510332539999,0.57690702,13,904.00000000,0.04610400
1510332540000,0.00005069,0.00005069,0.00004800,0.00005000,39130.00000000,1510332599999,1.97594959,21,9550.00000000,0.48275291
1510332600000,0.00004999,0.00004999,0.00004802,0.00004998,2069.00000000,1510332659999,0.10246402,5,1579.00000000,0.07893026
1510332660000,0.00004997,0.00004997,0.00004806,0.00004806,1341.00000000,1510332719999,0.06583744,5,678.00000000,0.03387966
1510332720000,0.00004806,0.00005000,0.00004753,0.00004770,13659.00000000,1510332779999,0.65092455,8,852.00000000,0.04098398
1510332780000,0.00004770,0.00004771,0.00004770,0.00004770,21941.00000000,1510332839999,1.04671176,7,0.00000000,0.00000000
1510332840000,0.00004780,0.00005000,0.00004780,0.00005000,15287.00000000,1510332899999,0.76337007,7,14984.00000000,0.74888667
1510332900000,0.00005000,0.00005000,0.00004800,0.00005000,31983.00000000,1510332959999,1.57995700,12,10016.00000000,0.50077000
1510332960000,0.00004801,0.00004900,0.00004801,0.00004900,8663.00000000,1510333019999,0.42256145,4,0.00000000,0.00000000
1510333020000,0.00004900,0.00004901,0.00004900,0.00004900,13996.00000000,1510333079999,0.68580788,10,0.00000000,0.00000000
1510333080000,0.00004901,0.00004990,0.00004900,0.00004990,14608.00000000,1510333139999,0.71740684,6,14528.00000000,0.71348684
1510333140000,0.00004990,0.00004990,0.00004910,0.00004910,38756.00000000,1510333199999,1.92852184,13,30400.00000000,1.51619744
1510333200000,0.00004950,0.00004950,0.00004950,0.00004950,1050.00000000,1510333259999,0.05197500,5,1050.00000000,0.05197500
1510333260000,0.00004930,0.00004931,0.00004930,0.00004931,2201.00000000,1510333319999,0.10852428,5,0.00000000,0.00000000
1510333320000,0.00004931,0.00004931,0.00004920,0.00004920,34085.00000000,1510333379999,1.67733437,7,10647.00000000,0.52383240
1510333380000,0.00004920,0.00004920,0.00004910,0.00004910,8259.00000000,1510333439999,0.40591780,10,0.00000000,0.00000000
1510333440000,0.00004870,0.00004870,0.00004859,0.00004859,8506.00000000,1510333499999,0.41336077,2,0.00000000,0.00000000
1510333500000,0.00004859,0.00004859,0.00004859,0.00004859,0.00000000,1510333559999,0.00000000,0,0.00000000,0.00000000
1510333560000,0.00004860,0.00004860,0.00004800,0.00004859,27621.00000000,1510333619999,1.33435697,15,426.00000000,0.02070360
1510333620000,0.00004859,0.00004859,0.00004800,0.00004800,6002.00000000,1510333679999,0.28887716,9,0.00000000,0.00000000
1510333680000,0.00004800,0.00004978,0.00004800,0.00004978,7016.00000000,1510333739999,0.34356453,4,7016.00000000,0.34356453
1510333740000,0.00004978,0.00004979,0.00004800,0.00004800,14143.00000000,1510333799999,0.69790294,11,5191.00000000,0.25843354
1510333800000,0.00004802,0.00004802,0.00004801,0.00004801,1270.00000000,1510333859999,0.06097830,3,0.00000000,0.00000000
1510333860000,0.00004801,0.00004801,0.00004801,0.00004801,0.00000000,1510333919999,0.00000000,0,0.00000000,0.00000000
1510333920000,0.00004801,0.00004947,0.00004800,0.00004947,3529.00000000,1510333979999,0.16979391,10,258.00000000,0.01276326
1510333980000,0.00004800,0.00004801,0.00004800,0.00004800,2650.00000000,1510334039999,0.12721000,5,0.00000000,0.00000000
1510334040000,0.00004800,0.00004800,0.00004776,0.00004776,3923.00000000,1510334099999,0.18761187,4,0.00000000,0.00000000
1510334100000,0.00004899,0.00004900,0.00004899,0.00004900,15552.00000000,1510334159999,0.76203299,10,3853.00000000,0.18878199
1510334160000,0.00004900,0.00004900,0.00004900,0.00004900,0.00000000,1510334219999,0.00000000,0,0.00000000,0.00000000
1510334220000,0.00004801,0.00004801,0.00004800,0.00004800,9497.00000000,1510334279999,0.45586607,9,3734.00000000,0.17923200
1510334280000,0.00004776,0.00004937,0.00004770,0.00004887,19993.00000000,1510334339999,0.95936395,12,15414.00000000,0.73989187
1510334340000,0.00004887,0.00004937,0.00004710,0.00004710,6596.00000000,1510334399999,0.31366986,7,104.00000000,0.00513448
1510334400000,0.00004905,0.00004906,0.00004905,0.00004906,3334.00000000,1510334459999,0.16354824,5,3334.00000000,0.16354824
1510334460000,0.00004906,0.00004930,0.00004906,0.00004929,5501.00000000,1510334519999,0.27101119,6,3099.00000000,0.15275967
1510334520000,0.00004929,0.00004934,0.00004929,0.00004934,8428.00000000,1510334579999,0.41561761,7,3841.00000000,0.18939119
1510334580000,0.00004934,0.00004934,0.00004934,0.00004934,0.00000000,1510334639999,0.00000000,0,0.00000000,0.00000000
1510334640000,0.00004934,0.00004934,0.00004934,0.00004934,0.00000000,1510334699999,0.00000000,0,0.00000000,0.00000000
1510334700000,0.00004811,0.00004934,0.00004810,0.00004880,7963.00000000,1510334759999,0.38908854,7,3257.00000000,0.16027865
1510334760000,0.00004803,0.00004803,0.00004728,0.00004803,10994.00000000,1510334819999,0.52408089,7,365.00000000,0.01753095
1510334820000,0.00004803,0.00004803,0.00004803,0.00004803,0.00000000,1510334879999,0.00000000,0,0.00000000,0.00000000
1510334880000,0.00004899,0.00004899,0.00004899,0.00004899,365.00000000,1510334939999,0.01788135,2,365.00000000,0.01788135
1510334940000,0.00004899,0.00004900,0.00004899,0.00004900,4087.00000000,1510334999999,0.20022485,5,1922.00000000,0.09415878
1510335000000,0.00004890,0.00004898,0.00004890,0.00004898,1582.00000000,1510335059999,0.07748236,2,1582.00000000,0.07748236
1510335060000,0.00004897,0.00004897,0.00004897,0.00004897,146.00000000,1510335119999,0.00714962,1,146.00000000,0.00714962
1510335120000,0.00004760,0.00004760,0.00004760,0.00004760,6371.00000000,1510335179999,0.30325960,4,304.00000000,0.01447040
1510335180000,0.00004760,0.00004760,0.00004760,0.00004760,0.00000000,1510335239999,0.00000000,0,0.00000000,0.00000000
1510335240000,0.00004850,0.00004850,0.00004762,0.00004762,2992.00000000,1510335299999,0.14294085,3,500.00000000,0.02425000
1510335300000,0.00004763,0.00004763,0.00004763,0.00004763,10359.00000000,1510335359999,0.49339917,6,7719.00000000,0.36765597
1510335360000,0.00004763,0.00004763,0.00004762,0.00004762,2311.00000000,1510335419999,0.11006258,3,0.00000000,0.00000000
1510335420000,0.00004762,0.00004762,0.00004716,0.00004716,5702.00000000,1510335479999,0.27122924,7,500.00000000,0.02358000
1510335480000,0.00004716,0.00004716,0.00004715,0.00004715,6530.00000000,1510335539999,0.30791631,2,0.00000000,0.00000000
1510335540000,0.00004715,0.00004715,0.00004715,0.00004715,699.00000000,1510335599999,0.03295785,3,291.00000000,0.01372065
1510335600000,0.00004714,0.00004714,0.00004700,0.00004700,14633.00000000,1510335659999,0.68822273,8,4169.00000000,0.19597660
1510335660000,0.00004700,0.00004700,0.00004552,0.00004560,15697.00000000,1510335719999,0.72433872,12,2051.00000000,0.09373152
1510335720000,0.00004560,0.00004700,0.00004550,0.00004700,19594.00000000,1510335779999,0.89178700,7,1200.00000000,0.05475000
1510335780000,0.00004699,0.00004700,0.00004453,0.00004460,24280.00000000,1510335839999,1.11762902,10,5484.00000000,0.25774372
1510335840000,0.00004461,0.00004690,0.00004461,0.00004690,3084.00000000,1510335899999,0.14411546,6,1736.00000000,0.08141419
1510335900000,0.00004700,0.00004710,0.00004700,0.00004710,1560.00000000,1510335959999,0.07343500,10,1560.00000000,0.07343500
1510335960000,0.00004700,0.00004700,0.00004700,0.00004700,1354.00000000,1510336019999,0.06363800,4,1354.00000000,0.06363800
1510336020000,0.00004572,0.00004572,0.00004502,0.00004502,4228.00000000,1510336079999,0.19264849,5,0.00000000,0.00000000
1510336080000,0.00004580,0.00004580,0.00004501,0.00004501,2556.00000000,1510336139999,0.11651423,3,0.00000000,0.00000000
1510336140000,0.00004501,0.00004501,0.00004501,0.00004501,0.00000000,1510336199999,0.00000000,0,0.00000000,0.00000000
1510336200000,0.00004501,0.00004501,0.00004501,0.00004501,0.00000000,1510336259999,0.00000000,0,0.00000000,0.00000000
1510336260000,0.00004599,0.00004599,0.00004456,0.00004509,23451.00000000,1510336319999,1.06350013,13,415.00000000,0.01908585
1510336320000,0.00004590,0.00004601,0.00004590,0.00004590,8826.00000000,1510336379999,0.40550311,5,5777.00000000,0.26555401
1510336380000,0.00004601,0.00004601,0.00004336,0.00004336,21499.00000000,1510336439999,0.95991400,7,3020.00000000,0.13895020
1510336440000,0.00004336,0.00004336,0.00004336,0.00004336,0.00000000,1510336499999,0.00000000,0,0.00000000,0.00000000
1510336500000,0.00004336,0.00004336,0.00004336,0.00004336,205.00000000,1510336559999,0.00888880,1,0.00000000,0.00000000
1510336560000,0.00004336,0.00004336,0.00004336,0.00004336,0.00000000,1510336619999,0.00000000,0,0.00000000,0.00000000
1510336620000,0.00004460,0.00004460,0.00004401,0.00004401,3406.00000000,1510336679999,0.14995352,3,0.00000000,0.00000000
1510336680000,0.00004401,0.00004401,0.00004401,0.00004401,1449.00000000,1510336739999,0.06377049,1,0.00000000,0.00000000
1510336740000,0.00004402,0.00004402,0.00004402,0.00004402,232.00000000,1510336799999,0.01021264,1,0.00000000,0.00000000
1510336800000,0.00004402,0.00004402,0.00004402,0.00004402,0.00000000,1510336859999,0.00000000,0,0.00000000,0.00000000
1510336860000,0.00004519,0.00004520,0.00004519,0.00004520,2114.00000000,1510336919999,0.09554855,2,2114.00000000,0.09554855
1510336920000,0.00004426,0.00004426,0.00004404,0.00004404,4344.00000000,1510336979999,0.19152911,4,0.00000000,0.00000000
1510336980000,0.00004520,0.00004520,0.00004520,0.00004520,1124.00000000,1510337039999,0.05080480,2,217.00000000,0.00980840
1510337040000,0.00004450,0.00004450,0.00004450,0.00004450,1864.00000000,1510337099999,0.08294800,5,0.00000000,0.00000000
1510337100000,0.00004450,0.00004572,0.00004450,0.00004486,6762.00000000,1510337159999,0.30536662,13,496.00000000,0.02266870
1510337160000,0.00004500,0.00004500,0.00004486,0.00004486,10102.00000000,1510337219999,0.45454422,5,0.00000000,0.00000000
1510337220000,0.00004486,0.00004486,0.00004486,0.00004486,0.00000000,1510337279999,0.00000000,0,0.00000000,0.00000000
1510337280000,0.00004486,0.00004486,0.00004486,0.00004486,0.00000000,1510337339999,0.00000000,0,0.00000000,0.00000000
1510337340000,0.00004421,0.00004421,0.00004333,0.00004333,35842.00000000,1510337399999,1.57025285,19,0.00000000,0.00000000
1510337400000,0.00004335,0.00004335,0.00004335,0.00004335,149.00000000,1510337459999,0.00645915,1,0.00000000,0.00000000
1510337460000,0.00004335,0.00004335,0.00004335,0.00004335,0.00000000,1510337519999,0.00000000,0,0.00000000,0.00000000
1510337520000,0.00004337,0.00004337,0.00004337,0.00004337,811.00000000,1510337579999,0.03517307,2,0.00000000,0.00000000
1510337580000,0.00004337,0.00004337,0.00004337,0.00004337,1209.00000000,1510337639999,0.05243433,1,0.00000000,0.00000000
1510337640000,0.00004337,0.00004337,0.00004336,0.00004336,3534.00000000,1510337699999,0.15326656,3,0.00000000,0.00000000
1510337700000,0.00004439,0.00004440,0.00004400,0.00004400,14687.00000000,1510337759999,0.65051466,10,14687.00000000,0.65051466
1510337760000,0.00004398,0.00004400,0.00004398,0.00004400,500.00000000,1510337819999,0.02199200,2,500.00000000,0.02199200
1510337820000,0.00004341,0.00004341,0.00004339,0.00004339,6824.00000000,1510337879999,0.29613256,4,0.00000000,0.00000000
1510337880000,0.00004340,0.00004395,0.00004338,0.00004338,7590.00000000,1510337939999,0.33023187,5,1592.00000000,0.06996840
1510337940000,0.00004340,0.00004340,0.00004338,0.00004338,2401.00000000,1510337999999,0.10418760,2,0.00000000,0.00000000
