Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1510330560000,0.00087000,0.00087000,0.00087000,0.00087000,14.00000000,1510330619999,0.01218000,1,0.00000000,0.00000000
1510330620000,0.00087000,0.00087000,0.00087000,0.00087000,0.00000000,1510330679999,0.00000000,0,0.00000000,0.00000000
1510330680000,0.00087000,0.00087000,0.00087000,0.00087000,0.00000000,1510330739999,0.00000000,0,0.00000000,0.00000000
1510330740000,0.00087000,0.00087000,0.00087000,0.00087000,0.00000000,1510330799999,0.00000000,0,0.00000000,0.00000000
1510330800000,0.00087000,0.00087000,0.00087000,0.00087000,0.00000000,1510330859999,0.00000000,0,0.00000000,0.00000000
1510330860000,0.00095001,0.00100000,0.00095001,0.00100000,6083.00000000,1510330919999,6.01126435,5,4648.00000000,4.64800000
1510330920000,0.00101001,0.00101001,0.00100000,0.00100000,19417.00000000,1510330979999,19.43170846,11,455.00000000,0.45500000
1510330980000,0.00100000,0.00100000,0.00095000,0.00100000,35690.00000000,1510331039999,35.43515975,23,32011.00000000,31.88732695
1510331040000,0.00099989,0.00105000,0.00099989,0.00099989,12634.00000000,1510331099999,12.68767304,11,7798.00000000,7.85220500
1510331100000,0.00103999,0.00104000,0.00099989,0.00103000,18947.00000000,1510331159999,19.18018000,22,8793.00000000,9.02020000
1510331160000,0.00102500,0.00108000,0.00102500,0.00107999,28880.00000000,1510331219999,30.22567334,28,28520.00000000,29.85487334
1510331220000,0.00107999,0.00110000,0.00107989,0.00110000,11212.00000000,1510331279999,12.16444864,10,11212.00000000,12.16444864
1510331280000,0.00109990,0.00115000,0.00107988,0.00115000,11673.00000000,1510331339999,12.99736913,28,6222.00000000,6.94474592
1510331340000,0.00115000,0.00115000,0.00115000,0.00115000,15791.00000000,1510331399999,18.15965000,33,8878.00000000,10.20970000
1510331400000,0.00115000,0.00119979,0.00115000,0.00119965,3997.00000000,1510331459999,4.73179975,6,1330.00000000,1.58198320
1510331460000,0.00119979,0.00120000,0.00119979,0.00120000,28692.00000000,1510331519999,34.42765700,21,25652.00000000,30.77965700
1510331520000,0.00125000,0.00130000,0.00123000,0.00123000,10357.00000000,1510331579999,12.95106300,11,10357.00000000,12.95106300
1510331580000,0.00130000,0.00135000,0.00130000,0.00135000,13730.00000000,1510331639999,18.38550000,14,11215.00000000,14.99025000
1510331640000,0.00130000,0.00135000,0.00124000,0.00132500,19808.00000000,1510331699999,26.50456000,23,17843.00000000,23.88894000
1510331700000,0.00137300,0.00140000,0.00124500,0.00124500,31306.00000000,1510331759999,41.98109500,33,16307.00000000,22.56246000
1510331760000,0.00139900,0.00139900,0.00125000,0.00137500,2418.00000000,1510331819999,3.34290000,9,2158.00000000,3.01790000
1510331820000,0.00135000,0.00135000,0.00134000,0.00134000,336.00000000,1510331879999,0.45203000,2,336.00000000,0.45203000
1510331880000,0.00127500,0.00127500,0.00118000,0.00118000,6661.00000000,1510331939999,8.17965400,18,2755.00000000,3.28039000
1510331940000,0.00110200,0.00110200,0.00103100,0.00103100,39674.00000000,1510331999999,43.32593309,16,15533.00000000,17.09312975
1510332000000,0.00103100,0.00103100,0.00103100,0.00103100,0.00000000,1510332059999,0.00000000,0,0.00000000,0.00000000
1510332060000,0.00109900,0.00117999,0.00109900,0.00117999,3684.00000000,1510332119999,4.16832857,9,3482.00000000,3.94611443
1510332120000,0.00123000,0.00124000,0.00122900,0.00123900,8725.00000000,1510332179999,10.79897700,15,7722.00000000,9.55626000
1510332180000,0.00110008,0.00110010,0.00103900,0.00103900,11861.00000000,1510332239999,12.46314570,7,7415.00000000,7.70418500
1510332240000,0.00103900,0.00103900,0.00103900,0.00103900,0.00000000,1510332299999,0.00000000,0,0.00000000,0.00000000
1510332300000,0.00119000,0.00119000,0.00119000,0.00119000,142.00000000,1510332359999,0.16898000,2,142.00000000,0.16898000
1510332360000,0.00119000,0.00119000,0.00119000,0.00119000,0.00000000,1510332419999,0.00000000,0,0.00000000,0.00000000
1510332420000,0.00116980,0.00116980,0.00116900,0.00116900,1211.00000000,1510332479999,1.41654780,3,1211.00000000,1.41654780
1510332480000,0.00111001,0.00116800,0.00111001,0.00116800,3718.00000000,1510332539999,4.16803100,5,718.00000000,0.83800100
1510332540000,0.00115000,0.00115000,0.00112001,0.00112300,9822.00000000,1510332599999,11.06470125,8,1687.00000000,1.93660115
1510332600000,0.00116800,0.00116800,0.00116000,0.00116000,790.00000000,1510332659999,0.92032000,3,490.00000000,0.57232000
1510332660000,0.00111001,0.00113000,0.00111001,0.00111001,9077.00000000,1510332719999,10.17275163,12,1814.00000000,2.04981000
1510332720000,0.00112999,0.00112999,0.00110000,0.00110000,3152.00000000,1510332779999,3.51821412,7,2214.00000000,2.46801376
1510332780000,0.00110000,0.00110000,0.00109989,0.00109990,3222.00000000,1510332839999,3.54395287,8,3222.00000000,3.54395287
1510332840000,0.00109990,0.00109990,0.00106021,0.00106021,5528.00000000,1510332899999,5.94735331,5,1400.00000000,1.53986000
1510332900000,0.00109888,0.00110000,0.00109888,0.00109890,21967.00000000,1510332959999,24.16035308,8,21967.00000000,24.16035308
1510332960000,0.00109890,0.00109890,0.00106021,0.00109800,25100.00000000,1510333019999,27.32400321,13,20597.00000000,22.53998165
1510333020000,0.00109600,0.00110000,0.00109600,0.00109900,15670.00000000,1510333079999,17.20626700,12,15670.00000000,17.20626700
1510333080000,0.00109900,0.00109900,0.00109900,0.00109900,3871.00000000,1510333139999,4.25422900,5,3543.00000000,3.89375700
1510333140000,0.00111990,0.00111990,0.00109990,0.00109990,8357.00000000,1510333199999,9.24300430,2,8357.00000000,9.24300430
1510333200000,0.00111800,0.00111800,0.00111800,0.00111800,2214.00000000,1510333259999,2.47525200,7,2184.00000000,2.44171200
1510333260000,0.00110000,0.00111700,0.00110000,0.00111700,1000.00000000,1510333319999,1.10850000,2,1000.00000000,1.10850000
1510333320000,0.00111000,0.00111600,0.00111000,0.00111600,4351.00000000,1510333379999,4.84772600,5,4211.00000000,4.69162600
1510333380000,0.00110303,0.00110303,0.00110303,0.00110303,352.00000000,1510333439999,0.38826656,1,0.00000000,0.00000000
1510333440000,0.00110304,0.00110304,0.00110010,0.00110010,18086.00000000,1510333499999,19.93281514,13,1743.00000000,1.92078600
1510333500000,0.00110001,0.00110001,0.00109000,0.00109000,2401.00000000,1510333559999,2.64012201,4,1694.00000000,1.86341694
1510333560000,0.00109000,0.00109000,0.00107102,0.00107102,8032.00000000,1510333619999,8.63045465,5,0.00000000,0.00000000
1510333620000,0.00107102,0.00107102,0.00106333,0.00106500,2149.00000000,1510333679999,2.29092152,4,492.00000000,0.52315836
1510333680000,0.00109400,0.00109400,0.00106002,0.00106002,26366.00000000,1510333739999,28.07529620,15,300.00000000,0.32820000
1510333740000,0.00106000,0.00107800,0.00102010,0.00107800,14217.00000000,1510333799999,15.10040690,7,8952.00000000,9.64776600
1510333800000,0.00102020,0.00102020,0.00102020,0.00102020,5785.00000000,1510333859999,5.90185700,2,0.00000000,0.00000000
1510333860000,0.00107000,0.00107000,0.00102021,0.00102021,614.00000000,1510333919999,0.63084456,3,89.00000000,0.09523000
1510333920000,0.00105000,0.00106799,0.00102222,0.00106700,3320.00000000,1510333979999,3.52023470,7,3320.00000000,3.52023470
1510333980000,0.00106700,0.00106700,0.00106700,0.00106700,214.00000000,1510334039999,0.22833800,1,0.00000000,0.00000000
1510334040000,0.00106800,0.00108980,0.00106800,0.00108980,6655.00000000,1510334099999,7.19492300,5,6655.00000000,7.19492300
1510334100000,0.00108900,0.00108900,0.00108900,0.00108900,13233.00000000,1510334159999,14.41073700,8,13233.00000000,14.41073700
1510334160000,0.00108900,0.00108900,0.00108900,0.00108900,0.00000000,1510334219999,0.00000000,0,0.00000000,0.00000000
1510334220000,0.00108900,0.00108900,0.00108900,0.00108900,0.00000000,1510334279999,0.00000000,0,0.00000000,0.00000000
1510334280000,0.00108800,0.00108980,0.00108800,0.00108980,2231.00000000,1510334339999,2.42758360,6,2231.00000000,2.42758360
1510334340000,0.00108980,0.00109000,0.00104000,0.00104000,26722.00000000,1510334399999,28.63687968,11,16722.00000000,18.22656140
1510334400000,0.00109960,0.00110000,0.00109960,0.00110000,5236.00000000,1510334459999,5.75839040,3,5236.00000000,5.75839040
1510334460000,0.00110000,0.00110000,0.00110000,0.00110000,2785.00000000,1510334519999,3.06350000,4,2785.00000000,3.06350000
1510334520000,0.00109999,0.00110000,0.00109999,0.00110000,11232.00000000,1510334579999,12.35518800,9,11232.00000000,12.35518800
1510334580000,0.00110000,0.00110000,0.00110000,0.00110000,183.00000000,1510334639999,0.20130000,1,183.00000000,0.20130000
1510334640000,0.00110000,0.00110000,0.00110000,0.00110000,2199.00000000,1510334699999,2.41890000,1,0.00000000,0.00000000
1510334700000,0.00109999,0.00110000,0.00109999,0.00110000,1681.00000000,1510334759999,1.84909818,5,483.00000000,0.53129818
1510334760000,0.00110000,0.00110000,0.00105000,0.00105000,20100.00000000,1510334819999,21.11601290,5,14314.00000000,15.03470000
1510334820000,0.00109700,0.00109700,0.00109700,0.00109700,13.00000000,1510334879999,0.01426100,1,13.00000000,0.01426100
1510334880000,0.00105000,0.00105000,0.00105000,0.00105000,1100.00000000,1510334939999,1.15500000,3,0.00000000,0.00000000
1510334940000,0.00105000,0.00105000,0.00105000,0.00105000,0.00000000,1510334999999,0.00000000,0,0.00000000,0.00000000
1510335000000,0.00105000,0.00105000,0.00105000,0.00105000,0.00000000,1510335059999,0.00000000,0,0.00000000,0.00000000
1510335060000,0.00109000,0.00109000,0.00109000,0.00109000,6209.00000000,1510335119999,6.76781000,6,6209.00000000,6.76781000
1510335120000,0.00109000,0.00109000,0.00109000,0.00109000,0.00000000,1510335179999,0.00000000,0,0.00000000,0.00000000
1510335180000,0.00106001,0.00106001,0.00106000,0.00106000,3889.00000000,1510335239999,4.12234415,2,0.00000000,0.00000000
1510335240000,0.00106000,0.00106000,0.00106000,0.00106000,2731.00000000,1510335299999,2.89486000,3,0.00000000,0.00000000
1510335300000,0.00107499,0.00107499,0.00107499,0.00107499,414.00000000,1510335359999,0.44504586,3,414.00000000,0.44504586
1510335360000,0.00107499,0.00107499,0.00107499,0.00107499,4943.00000000,1510335419999,5.31367557,1,0.00000000,0.00000000
1510335420000,0.00107499,0.00107499,0.00107499,0.00107499,0.00000000,1510335479999,0.00000000,0,0.00000000,0.00000000
1510335480000,0.00107499,0.00107499,0.00107499,0.00107499,0.00000000,1510335539999,0.00000000,0,0.00000000,0.00000000
1510335540000,0.00107499,0.00107499,0.00107499,0.00107499,0.00000000,1510335599999,0.00000000,0,0.00000000,0.00000000
1510335600000,0.00106300,0.00106300,0.00105000,0.00105000,14631.00000000,1510335659999,15.42517200,10,735.00000000,0.77175000
1510335660000,0.00104200,0.00104200,0.00102102,0.00102102,34026.00000000,1510335719999,35.11259473,24,20562.00000000,21.16577673
1510335720000,0.00103000,0.00103000,0.00102100,0.00102100,6764.00000000,1510335779999,6.90983763,8,1513.00000000,1.54852300
1510335780000,0.00102024,0.00103000,0.00102024,0.00103000,26242.00000000,1510335839999,27.01863784,8,25811.00000000,26.57891440
