Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1510714020000,0.00220000,0.00220000,0.00220000,0.00220000,40.00000000,1510714079999,0.08800000,1,40.00000000,0.08800000
1510714080000,0.00220000,0.00220000,0.00220000,0.00220000,0.00000000,1510714139999,0.00000000,0,0.00000000,0.00000000
1510714140000,0.00389999,0.00390000,0.00250000,0.00250000,495.00000000,1510714199999,1.79749900,5,495.00000000,1.79749900
1510714200000,0.00250000,0.00250000,0.00250000,0.00250000,0.00000000,1510714259999,0.00000000,0,0.00000000,0.00000000
1510714260000,0.00250000,0.00300000,0.00250000,0.00250000,3497.00000000,1510714319999,8.99250000,11,2405.00000000,6.26250000
1510714320000,0.00250000,0.00250000,0.00250000,0.00250000,2679.00000000,1510714379999,6.69750000,3,0.00000000,0.00000000
1510714380000,0.00185025,0.00207998,0.00185025,0.00207998,2605.00000000,1510714439999,5.41605060,6,0.00000000,0.00000000
1510714440000,0.00220000,0.00220000,0.00220000,0.00220000,2433.00000000,1510714499999,5.35260000,3,2433.00000000,5.35260000
1510714500000,0.00220000,0.00220000,0.00210000,0.00219990,5606.00000000,1510714559999,12.13313980,14,5606.00000000,12.13313980
1510714560000,0.00219990,0.00220000,0.00219990,0.00220000,19685.00000000,1510714619999,43.30648780,17,17379.00000000,38.23351840
1510714620000,0.00230000,0.00230000,0.00229999,0.00229999,5556.00000000,1510714679999,12.77878538,4,1462.00000000,3.36258538
1510714680000,0.00229999,0.00229999,0.00221000,0.00229990,12437.00000000,1510714739999,28.54667016,15,11807.00000000,27.15309016
1510714740000,0.00229989,0.00229989,0.00221000,0.00221000,4682.00000000,1510714799999,10.54470043,10,1473.00000000,3.38771824
1510714800000,0.00229988,0.00229988,0.00220080,0.00229987,9469.00000000,1510714859999,21.35723825,11,3927.00000000,9.03159247
1510714860000,0.00220080,0.00229000,0.00220080,0.00229000,4052.00000000,1510714919999,9.05875600,8,1291.00000000,2.95639000
1510714920000,0.00229000,0.00229999,0.00229000,0.00229988,6455.00000000,1510714979999,14.84298062,13,4892.00000000,11.24827381
1510714980000,0.00229999,0.00240000,0.00229999,0.00240000,8499.00000000,1510715039999,19.89204411,7,5499.00000000,12.99207411
1510715040000,0.00243999,0.00245000,0.00230000,0.00230000,10638.00000000,1510715099999,25.58133830,17,7438.00000000,18.11537846
1510715100000,0.00230501,0.00242900,0.00230501,0.00242900,3128.00000000,1510715159999,7.45609774,5,2554.00000000,6.13302200
1510715160000,0.00242500,0.00250000,0.00242500,0.00250000,33828.00000000,1510715219999,84.12606768,50,24841.00000000,61.70672113
1510715220000,0.00250000,0.00259987,0.00250000,0.00255000,2199.00000000,1510715279999,5.52248700,5,2199.00000000,5.52248700
1510715280000,0.00255000,0.00270000,0.00255000,0.00270000,9119.00000000,1510715339999,23.71282244,18,7028.00000000,18.30917601
1510715340000,0.00258901,0.00270000,0.00258900,0.00258900,11901.00000000,1510715399999,31.16358686,18,3288.00000000,8.86273886
1510715400000,0.00258901,0.00267000,0.00258900,0.00258900,2281.00000000,1510715459999,5.93581920,10,311.00000000,0.81449596
1510715460000,0.00250000,0.00258900,0.00250000,0.00250000,10633.00000000,1510715519999,26.84584800,13,10572.00000000,26.69334800
1510715520000,0.00240001,0.00241000,0.00230502,0.00240002,5982.00000000,1510715579999,14.29255170,12,0.00000000,0.00000000
1510715580000,0.00256900,0.00256900,0.00256900,0.00256900,291.00000000,1510715639999,0.74757900,2,291.00000000,0.74757900
1510715640000,0.00256900,0.00256900,0.00240013,0.00241000,5969.00000000,1510715699999,14.38210949,6,894.00000000,2.19665992
1510715700000,0.00241000,0.00241000,0.00230501,0.00240000,24713.00000000,1510715759999,59.23712055,13,9161.00000000,21.98740932
1510715760000,0.00240000,0.00240000,0.00240000,0.00240000,1182.00000000,1510715819999,2.83680000,1,1182.00000000,2.83680000
1510715820000,0.00240000,0.00255000,0.00240000,0.00255000,2998.00000000,1510715879999,7.47459848,6,1922.00000000,4.89219848
1510715880000,0.00255000,0.00255000,0.00254000,0.00254000,973.00000000,1510715939999,2.47670000,5,973.00000000,2.47670000
1510715940000,0.00254000,0.00255000,0.00240000,0.00253000,7132.00000000,1510715999999,17.93325000,13,6932.00000000,17.45325000
1510716000000,0.00253000,0.00254000,0.00253000,0.00254000,3059.00000000,1510716059999,7.76562712,6,3059.00000000,7.76562712
1510716060000,0.00253990,0.00253990,0.00250000,0.00250000,1874.00000000,1510716119999,4.73099660,7,1718.00000000,4.34099660
1510716120000,0.00252500,0.00255000,0.00252500,0.00255000,7931.00000000,1510716179999,20.17666140,5,7931.00000000,20.17666140
1510716180000,0.00255000,0.00255000,0.00255000,0.00255000,0.00000000,1510716239999,0.00000000,0,0.00000000,0.00000000
1510716240000,0.00242000,0.00242000,0.00241001,0.00241001,4240.00000000,1510716299999,10.22858243,5,0.00000000,0.00000000
1510716300000,0.00241002,0.00241002,0.00240000,0.00240000,1874.00000000,1510716359999,4.51312376,6,63.00000000,0.15183063
1510716360000,0.00242000,0.00242000,0.00233008,0.00233008,3107.00000000,1510716419999,7.41602784,6,0.00000000,0.00000000
1510716420000,0.00233009,0.00233009,0.00230000,0.00230000,1947.00000000,1510716479999,4.50844243,4,0.00000000,0.00000000
1510716480000,0.00230000,0.00230000,0.00230000,0.00230000,4069.00000000,1510716539999,9.35870000,5,1379.00000000,3.17170000
1510716540000,0.00230000,0.00234999,0.00230000,0.00234999,1188.00000000,1510716599999,2.74179812,2,188.00000000,0.44179812
1510716600000,0.00238888,0.00250000,0.00230010,0.00249990,12860.00000000,1510716659999,31.52010366,15,12806.00000000,31.39589826
1510716660000,0.00234999,0.00234999,0.00234999,0.00234999,200.00000000,1510716719999,0.46999800,1,0.00000000,0.00000000
1510716720000,0.00245000,0.00245000,0.00234999,0.00234999,2483.00000000,1510716779999,5.94763643,5,624.00000000,1.52880000
1510716780000,0.00240000,0.00244000,0.00235000,0.00244000,3910.00000000,1510716839999,9.40009000,3,3503.00000000,8.44364000
1510716840000,0.00244000,0.00244900,0.00244000,0.00244900,811.00000000,1510716899999,1.97964100,3,122.00000000,0.29848100
1510716900000,0.00244900,0.00249000,0.00244900,0.00249000,13277.00000000,1510716959999,32.74333818,23,12307.00000000,30.33991818
1510716960000,0.00249800,0.00249800,0.00249800,0.00249800,768.00000000,1510717019999,1.91846400,2,768.00000000,1.91846400
1510717020000,0.00249800,0.00249800,0.00244000,0.00249799,3147.00000000,1510717079999,7.84821300,4,2923.00000000,7.30165300
1510717080000,0.00248999,0.00248999,0.00240000,0.00240000,3085.00000000,1510717139999,7.43392940,4,2569.00000000,6.17459900
1510717140000,0.00235000,0.00235000,0.00235000,0.00235000,347.00000000,1510717199999,0.81545000,2,0.00000000,0.00000000
1510717200000,0.00235000,0.00235000,0.00235000,0.00235000,132.00000000,1510717259999,0.31020000,1,0.00000000,0.00000000
1510717260000,0.00235000,0.00235000,0.00235000,0.00235000,831.00000000,1510717319999,1.95285000,3,0.00000000,0.00000000
1510717320000,0.00235000,0.00248998,0.00235000,0.00248998,3878.00000000,1510717379999,9.58775336,13,3728.00000000,9.23525336
1510717380000,0.00248990,0.00248998,0.00248000,0.00248998,3584.00000000,1510717439999,8.92243132,12,3584.00000000,8.92243132
1510717440000,0.00249700,0.00249800,0.00235879,0.00248500,13158.00000000,1510717499999,32.51101824,21,11158.00000000,27.79290100
1510717500000,0.00236000,0.00249990,0.00236000,0.00249000,10047.00000000,1510717559999,24.82377139,15,9582.00000000,23.72637139
1510717560000,0.00249998,0.00253999,0.00249998,0.00253999,4776.00000000,1510717619999,11.95682335,8,4776.00000000,11.95682335
1510717620000,0.00253999,0.00253999,0.00253999,0.00253999,11.00000000,1510717679999,0.02793989,1,0.00000000,0.00000000
1510717680000,0.00253999,0.00253999,0.00253999,0.00253999,0.00000000,1510717739999,0.00000000,0,0.00000000,0.00000000
1510717740000,0.00253990,0.00253998,0.00253990,0.00253998,1306.00000000,1510717799999,3.31718588,3,1306.00000000,3.31718588
1510717800000,0.00253998,0.00253998,0.00253998,0.00253998,886.00000000,1510717859999,2.25042228,1,886.00000000,2.25042228
1510717860000,0.00253998,0.00253998,0.00253998,0.00253998,0.00000000,1510717919999,0.00000000,0,0.00000000,0.00000000
1510717920000,0.00241100,0.00241100,0.00241001,0.00241001,5593.00000000,1510717979999,13.47988388,4,2409.00000000,5.80571409
1510717980000,0.00241001,0.00241001,0.00241001,0.00241001,0.00000000,1510718039999,0.00000000,0,0.00000000,0.00000000
1510718040000,0.00241100,0.00241100,0.00241000,0.00241000,1325.00000000,1510718099999,3.19415763,4,905.00000000,2.18195500
1510718100000,0.00241100,0.00241100,0.00241100,0.00241100,302.00000000,1510718159999,0.72812200,1,302.00000000,0.72812200
1510718160000,0.00241100,0.00241100,0.00241100,0.00241100,0.00000000,1510718219999,0.00000000,0,0.00000000,0.00000000
1510718220000,0.00248999,0.00249498,0.00241101,0.00241101,7497.00000000,1510718279999,18.22812274,7,7315.00000000,17.78931892
1510718280000,0.00245000,0.00245000,0.00245000,0.00245000,1205.00000000,1510718339999,2.95225000,3,1205.00000000,2.95225000
1510718340000,0.00245000,0.00245000,0.00245000,0.00245000,0.00000000,1510718399999,0.00000000,0,0.00000000,0.00000000
1510718400000,0.00247997,0.00249499,0.00247997,0.00248000,6014.00000000,1510718459999,14.92942781,7,6014.00000000,14.92942781
1510718460000,0.00251995,0.00253997,0.00251995,0.00253997,12708.00000000,1510718519999,32.22457700,14,12708.00000000,32.22457700
1510718520000,0.00253996,0.00256000,0.00253996,0.00256000,7342.00000000,1510718579999,18.72442369,9,7342.00000000,18.72442369
1510718580000,0.00245000,0.00245000,0.00245000,0.00245000,500.00000000,1510718639999,1.22500000,1,500.00000000,1.22500000
1510718640000,0.00254999,0.00255000,0.00245000,0.00245000,10943.00000000,1510718699999,27.83427000,11,10469.00000000,26.67297000
1510718700000,0.00253000,0.00254997,0.00250000,0.00254997,1618.00000000,1510718759999,4.09141271,6,1618.00000000,4.09141271
1510718760000,0.00254900,0.00254997,0.00254800,0.00254997,6126.00000000,1510718819999,15.61510922,14,6126.00000000,15.61510922
1510718820000,0.00254997,0.00254998,0.00254997,0.00254997,12191.00000000,1510718879999,31.08675294,34,12191.00000000,31.08675294
1510718880000,0.00254997,0.00254997,0.00254997,0.00254997,572.00000000,1510718939999,1.45858284,3,572.00000000,1.45858284
1510718940000,0.00250010,0.00250010,0.00250010,0.00250010,199.00000000,1510718999999,0.49751990,1,0.00000000,0.00000000
1510719000000,0.00250010,0.00250010,0.00250010,0.00250010,0.00000000,1510719059999,0.00000000,0,0.00000000,0.00000000
1510719060000,0.00250010,0.00250010,0.00250010,0.00250010,0.00000000,1510719119999,0.00000000,0,0.00000000,0.00000000
1510719120000,0.00251000,0.00251000,0.00251000,0.00251000,619.00000000,1510719179999,1.55369000,1,0.00000000,0.00000000
1510719180000,0.00252000,0.00252000,0.00251000,0.00251000,890.00000000,1510719239999,2.23865000,3,0.00000000,0.00000000
1510719240000,0.00250010,0.00250010,0.00250010,0.00250010,5559.00000000,1510719299999,13.89805590,3,0.00000000,0.00000000
1510719300000,0.00250001,0.00250001,0.00250001,0.00250001,1278.00000000,1510719359999,3.19501278,1,0.00000000,0.00000000
1510719360000,0.00250001,0.00250001,0.00250001,0.00250001,0.00000000,1510719419999,0.00000000,0,0.00000000,0.00000000
1510719420000,0.00250001,0.00250001,0.00250001,0.00250001,0.00000000,1510719479999,0.00000000,0,0.00000000,0.00000000
1510719480000,0.00250001,0.00250001,0.00250001,0.00250001,0.00000000,1510719539999,0.00000000,0,0.00000000,0.00000000
1510719540000,0.00250001,0.00250001,0.00250001,0.00250001,0.00000000,1510719599999,0.00000000,0,0.00000000,0.00000000
1510719600000,0.00250001,0.00250001,0.00250001,0.00250001,0.00000000,1510719659999,0.00000000,0,0.00000000,0.00000000
1510719660000,0.00250001,0.00250001,0.00250001,0.00250001,0.00000000,1510719719999,0.00000000,0,0.00000000,0.00000000
1510719720000,0.00250001,0.00250001,0.00250001,0.00250001,0.00000000,1510719779999,0.00000000,0,0.00000000,0.00000000
1510719780000,0.00250001,0.00250001,0.00250001,0.00250001,0.00000000,1510719839999,0.00000000,0,0.00000000,0.00000000
1510719840000,0.00247999,0.00250001,0.00247999,0.00247999,2440.00000000,1510719899999,6.08380587,12,2440.00000000,6.08380587
1510719900000,0.00250001,0.00250001,0.00250001,0.00250001,172.00000000,1510719959999,0.43000172,1,172.00000000,0.43000172
1510719960000,0.00250001,0.00250001,0.00250001,0.00250001,0.00000000,1510720019999,0.00000000,0,0.00000000,0.00000000
1510720020000,0.00253698,0.00253698,0.00251000,0.00253500,2054.00000000,1510720079999,5.15804198,4,2054.00000000,5.15804198
1510720080000,0.00253500,0.00253500,0.00253500,0.00253500,0.00000000,1510720139999,0.00000000,0,0.00000000,0.00000000
1510720140000,0.00253500,0.00253500,0.00253500,0.00253500,0.00000000,1510720199999,0.00000000,0,0.00000000,0.00000000
1510720200000,0.00253500,0.00253500,0.00253500,0.00253500,0.00000000,1510720259999,0.00000000,0,0.00000000,0.00000000
1510720260000,0.00253500,0.00253500,0.00253500,0.00253500,0.00000000,1510720319999,0.00000000,0,0.00000000,0.00000000
1510720320000,0.00242001,0.00242001,0.00235001,0.00235001,2081.00000000,1510720379999,4.99546753,9,0.00000000,0.00000000
1510720380000,0.00235001,0.00235001,0.00235001,0.00235001,0.00000000,1510720439999,0.00000000,0,0.00000000,0.00000000
1510720440000,0.00235001,0.00235001,0.00220001,0.00220001,9100.00000000,1510720499999,20.39695616,10,37.00000000,0.08144440
1510720500000,0.00220001,0.00220001,0.00220001,0.00220001,315.00000000,1510720559999,0.69300315,3,0.00000000,0.00000000
1510720560000,0.00210002,0.00210002,0.00210002,0.00210002,309.00000000,1510720619999,0.64890618,1,0.00000000,0.00000000
