Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1510571400000,0.00001700,0.00001700,0.00001700,0.00001700,108.00000000,1510571459999,0.00183600,1,0.00000000,0.00000000
1510571460000,0.00001700,0.00001700,0.00001700,0.00001700,0.00000000,1510571519999,0.00000000,0,0.00000000,0.00000000
1510571520000,0.00001700,0.00001700,0.00001700,0.00001700,0.00000000,1510571579999,0.00000000,0,0.00000000,0.00000000
1510571580000,0.00003699,0.00004000,0.00003598,0.00003598,10564.00000000,1510571639999,0.41278247,9,10564.00000000,0.41278247
1510571640000,0.00002701,0.00003100,0.00002503,0.00003100,15286.00000000,1510571699999,0.39882272,6,1659.00000000,0.05142125
1510571700000,0.00003100,0.00003100,0.00002401,0.00002401,20102.00000000,1510571759999,0.49385074,8,116.00000000,0.00359600
1510571760000,0.00002404,0.00002660,0.00002404,0.00002555,14139.00000000,1510571819999,0.35916907,14,9531.00000000,0.24263445
1510571820000,0.00002555,0.00002590,0.00002553,0.00002588,28705.00000000,1510571879999,0.73495080,17,4044.00000000,0.10359742
1510571880000,0.00002588,0.00002588,0.00002540,0.00002540,4769.00000000,1510571939999,0.12140444,7,4769.00000000,0.12140444
1510571940000,0.00002540,0.00002541,0.00002432,0.00002432,26426.00000000,1510571999999,0.67043526,10,3206.00000000,0.08142416
1510572000000,0.00002471,0.00002547,0.00002401,0.00002510,21463.00000000,1510572059999,0.53694957,16,14549.00000000,0.36850224
1510572060000,0.00002510,0.00002510,0.00002401,0.00002476,27923.00000000,1510572119999,0.69759102,6,27881.00000000,0.69658260
1510572120000,0.00002450,0.00002476,0.00002400,0.00002470,23377.00000000,1510572179999,0.57550898,14,17979.00000000,0.44481495
1510572180000,0.00002450,0.00002477,0.00002400,0.00002400,44952.00000000,1510572239999,1.09686880,13,1823.00000000,0.04497508
1510572240000,0.00002405,0.00002405,0.00002405,0.00002405,24032.00000000,1510572299999,0.57796960,3,9982.00000000,0.24006710
1510572300000,0.00002405,0.00002405,0.00002400,0.00002400,25233.00000000,1510572359999,0.60638980,5,14187.00000000,0.34091525
1510572360000,0.00002450,0.00002450,0.00002301,0.00002301,41311.00000000,1510572419999,0.96648361,10,2751.00000000,0.06584571
1510572420000,0.00002399,0.00002399,0.00002300,0.00002300,20100.00000000,1510572479999,0.46371400,7,1384.00000000,0.03320216
1510572480000,0.00002300,0.00002301,0.00002300,0.00002301,29342.00000000,1510572539999,0.67511113,8,5640.00000000,0.12976513
1510572540000,0.00002300,0.00002301,0.00002300,0.00002301,4497.00000000,1510572599999,0.10345699,2,4497.00000000,0.10345699
1510572600000,0.00002290,0.00002290,0.00002289,0.00002289,11385.00000000,1510572659999,0.26060365,2,11385.00000000,0.26060365
1510572660000,0.00002289,0.00002292,0.00002289,0.00002292,71074.00000000,1510572719999,1.62771427,3,65048.00000000,1.48959835
1510572720000,0.00002291,0.00002291,0.00002291,0.00002291,8113.00000000,1510572779999,0.18586883,3,0.00000000,0.00000000
1510572780000,0.00002291,0.00002291,0.00002250,0.00002250,35804.00000000,1510572839999,0.81572319,8,0.00000000,0.00000000
1510572840000,0.00002250,0.00002290,0.00002250,0.00002290,12008.00000000,1510572899999,0.27485591,4,11697.00000000,0.26785841
1510572900000,0.00002360,0.00002360,0.00002360,0.00002360,2222.00000000,1510572959999,0.05243920,1,2222.00000000,0.05243920
1510572960000,0.00002358,0.00002360,0.00002300,0.00002300,53609.00000000,1510573019999,1.25821172,10,42960.00000000,1.01301386
1510573020000,0.00002359,0.00002359,0.00002301,0.00002301,4359.00000000,1510573079999,0.10258115,2,3932.00000000,0.09275588
1510573080000,0.00002301,0.00002301,0.00002301,0.00002301,0.00000000,1510573139999,0.00000000,0,0.00000000,0.00000000
1510573140000,0.00002301,0.00002301,0.00002301,0.00002301,2209.00000000,1510573199999,0.05082909,4,0.00000000,0.00000000
1510573200000,0.00002301,0.00002301,0.00002300,0.00002300,22491.00000000,1510573259999,0.51734435,4,0.00000000,0.00000000
1510573260000,0.00002300,0.00002350,0.00002300,0.00002350,4839.00000000,1510573319999,0.11200350,2,1413.00000000,0.03320550
1510573320000,0.00002333,0.00002333,0.00002333,0.00002333,682.00000000,1510573379999,0.01591106,1,682.00000000,0.01591106
1510573380000,0.00002333,0.00002333,0.00002333,0.00002333,9447.00000000,1510573439999,0.22039851,3,3462.00000000,0.08076846
1510573440000,0.00002333,0.00002358,0.00002333,0.00002358,1812.00000000,1510573499999,0.04233871,2,259.00000000,0.00610722
1510573500000,0.00002358,0.00002369,0.00002358,0.00002369,10167.00000000,1510573559999,0.24034649,2,10167.00000000,0.24034649
1510573560000,0.00002360,0.00002360,0.00002341,0.00002341,13656.00000000,1510573619999,0.32139658,4,8998.00000000,0.21235280
1510573620000,0.00002341,0.00002341,0.00002341,0.00002341,0.00000000,1510573679999,0.00000000,0,0.00000000,0.00000000
1510573680000,0.00002341,0.00002341,0.00002341,0.00002341,0.00000000,1510573739999,0.00000000,0,0.00000000,0.00000000
1510573740000,0.00002345,0.00002345,0.00002345,0.00002345,143.00000000,1510573799999,0.00335335,1,0.00000000,0.00000000
1510573800000,0.00002345,0.00002345,0.00002345,0.00002345,14035.00000000,1510573859999,0.32912075,2,0.00000000,0.00000000
1510573860000,0.00002345,0.00002345,0.00002345,0.00002345,0.00000000,1510573919999,0.00000000,0,0.00000000,0.00000000
1510573920000,0.00002345,0.00002345,0.00002341,0.00002341,3398.00000000,1510573979999,0.07962942,4,0.00000000,0.00000000
1510573980000,0.00002302,0.00002302,0.00002300,0.00002300,24080.00000000,1510574039999,0.55386792,5,0.00000000,0.00000000
1510574040000,0.00002252,0.00002252,0.00002251,0.00002251,2730.00000000,1510574099999,0.06146032,2,0.00000000,0.00000000
1510574100000,0.00002310,0.00002310,0.00002310,0.00002310,50.00000000,1510574159999,0.00115500,1,50.00000000,0.00115500
1510574160000,0.00002310,0.00002310,0.00002310,0.00002310,0.00000000,1510574219999,0.00000000,0,0.00000000,0.00000000
1510574220000,0.00002310,0.00002310,0.00002310,0.00002310,0.00000000,1510574279999,0.00000000,0,0.00000000,0.00000000
1510574280000,0.00002310,0.00002310,0.00002310,0.00002310,0.00000000,1510574339999,0.00000000,0,0.00000000,0.00000000
1510574340000,0.00002253,0.00002253,0.00002251,0.00002251,3145.00000000,1510574399999,0.07081152,3,0.00000000,0.00000000
1510574400000,0.00002251,0.00002251,0.00002251,0.00002251,0.00000000,1510574459999,0.00000000,0,0.00000000,0.00000000
1510574460000,0.00002251,0.00002251,0.00002251,0.00002251,1310.00000000,1510574519999,0.02948810,1,0.00000000,0.00000000
1510574520000,0.00002251,0.00002251,0.00002251,0.00002251,0.00000000,1510574579999,0.00000000,0,0.00000000,0.00000000
1510574580000,0.00002251,0.00002251,0.00002251,0.00002251,27103.00000000,1510574639999,0.61008853,4,0.00000000,0.00000000
1510574640000,0.00002251,0.00002251,0.00002251,0.00002251,0.00000000,1510574699999,0.00000000,0,0.00000000,0.00000000
1510574700000,0.00002250,0.00002250,0.00002250,0.00002250,2229.00000000,1510574759999,0.05015250,2,2229.00000000,0.05015250
1510574760000,0.00002230,0.00002230,0.00002207,0.00002207,53225.00000000,1510574819999,1.17646729,4,0.00000000,0.00000000
1510574820000,0.00002207,0.00002207,0.00002207,0.00002207,0.00000000,1510574879999,0.00000000,0,0.00000000,0.00000000
1510574880000,0.00002207,0.00002207,0.00002207,0.00002207,0.00000000,1510574939999,0.00000000,0,0.00000000,0.00000000
1510574940000,0.00002207,0.00002207,0.00002207,0.00002207,0.00000000,1510574999999,0.00000000,0,0.00000000,0.00000000
1510575000000,0.00002207,0.00002207,0.00002207,0.00002207,0.00000000,1510575059999,0.00000000,0,0.00000000,0.00000000
1510575060000,0.00002207,0.00002207,0.00002207,0.00002207,0.00000000,1510575119999,0.00000000,0,0.00000000,0.00000000
1510575120000,0.00002207,0.00002207,0.00002207,0.00002207,0.00000000,1510575179999,0.00000000,0,0.00000000,0.00000000
1510575180000,0.00002220,0.00002250,0.00002215,0.00002220,2771.00000000,1510575239999,0.06148960,6,181.00000000,0.00407250
1510575240000,0.00002249,0.00002249,0.00002220,0.00002220,3428.00000000,1510575299999,0.07620600,3,945.00000000,0.02108340
1510575300000,0.00002219,0.00002299,0.00002219,0.00002299,9184.00000000,1510575359999,0.21074016,2,9184.00000000,0.21074016
1510575360000,0.00002299,0.00002299,0.00002299,0.00002299,0.00000000,1510575419999,0.00000000,0,0.00000000,0.00000000
1510575420000,0.00002299,0.00002299,0.00002299,0.00002299,0.00000000,1510575479999,0.00000000,0,0.00000000,0.00000000
1510575480000,0.00002299,0.00002299,0.00002299,0.00002299,0.00000000,1510575539999,0.00000000,0,0.00000000,0.00000000
1510575540000,0.00002299,0.00002299,0.00002299,0.00002299,0.00000000,1510575599999,0.00000000,0,0.00000000,0.00000000
1510575600000,0.00002299,0.00002299,0.00002299,0.00002299,0.00000000,1510575659999,0.00000000,0,0.00000000,0.00000000
1510575660000,0.00002299,0.00002299,0.00002299,0.00002299,10000.00000000,1510575719999,0.22990000,2,6220.00000000,0.14299780
1510575720000,0.00002216,0.00002216,0.00002216,0.00002216,3879.00000000,1510575779999,0.08595864,1,0.00000000,0.00000000
1510575780000,0.00002216,0.00002216,0.00002216,0.00002216,0.00000000,1510575839999,0.00000000,0,0.00000000,0.00000000
1510575840000,0.00002216,0.00002216,0.00002216,0.00002216,2113.00000000,1510575899999,0.04682408,2,0.00000000,0.00000000
1510575900000,0.00002216,0.00002216,0.00002216,0.00002216,0.00000000,1510575959999,0.00000000,0,0.00000000,0.00000000
1510575960000,0.00002216,0.00002216,0.00002216,0.00002216,0.00000000,1510576019999,0.00000000,0,0.00000000,0.00000000
1510576020000,0.00002216,0.00002216,0.00002216,0.00002216,0.00000000,1510576079999,0.00000000,0,0.00000000,0.00000000
1510576080000,0.00002216,0.00002216,0.00002216,0.00002216,0.00000000,1510576139999,0.00000000,0,0.00000000,0.00000000
1510576140000,0.00002216,0.00002216,0.00002216,0.00002216,0.00000000,1510576199999,0.00000000,0,0.00000000,0.00000000
1510576200000,0.00002216,0.00002216,0.00002216,0.00002216,0.00000000,1510576259999,0.00000000,0,0.00000000,0.00000000
1510576260000,0.00002216,0.00002216,0.00002207,0.00002207,26919.00000000,1510576319999,0.59481629,4,0.00000000,0.00000000
1510576320000,0.00002207,0.00002207,0.00002207,0.00002207,0.00000000,1510576379999,0.00000000,0,0.00000000,0.00000000
1510576380000,0.00002207,0.00002207,0.00002207,0.00002207,50.00000000,1510576439999,0.00110350,1,0.00000000,0.00000000
1510576440000,0.00002200,0.00002200,0.00002200,0.00002200,4834.00000000,1510576499999,0.10634800,2,2111.00000000,0.04644200
1510576500000,0.00002200,0.00002200,0.00002200,0.00002200,0.00000000,1510576559999,0.00000000,0,0.00000000,0.00000000
1510576560000,0.00002200,0.00002200,0.00002200,0.00002200,0.00000000,1510576619999,0.00000000,0,0.00000000,0.00000000
1510576620000,0.00002200,0.00002200,0.00002200,0.00002200,0.00000000,1510576679999,0.00000000,0,0.00000000,0.00000000
1510576680000,0.00002200,0.00002200,0.00002200,0.00002200,0.00000000,1510576739999,0.00000000,0,0.00000000,0.00000000
1510576740000,0.00002200,0.00002200,0.00002200,0.00002200,0.00000000,1510576799999,0.00000000,0,0.00000000,0.00000000
1510576800000,0.00002200,0.00002200,0.00002200,0.00002200,0.00000000,1510576859999,0.00000000,0,0.00000000,0.00000000
1510576860000,0.00002243,0.00002243,0.00002243,0.00002243,1767.00000000,1510576919999,0.03963381,2,1468.00000000,0.03292724
1510576920000,0.00002243,0.00002243,0.00002243,0.00002243,0.00000000,1510576979999,0.00000000,0,0.00000000,0.00000000
1510576980000,0.00002243,0.00002243,0.00002243,0.00002243,0.00000000,1510577039999,0.00000000,0,0.00000000,0.00000000
