Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1511533560000,0.01000000,0.01800000,0.01000000,0.01400000,264.48000000,1511533619999,3.29483376,32,96.18200000,1.28238087
1511533620000,0.01001100,0.01399900,0.01001100,0.01100000,371.84900000,1511533679999,4.10686371,48,58.88300000,0.69918708
1511533680000,0.01100000,0.01100000,0.00515100,0.00900000,1154.67500000,1511533739999,10.61709798,75,411.51900000,4.04600851
1511533740000,0.00850000,0.00900000,0.00800000,0.00800000,660.93400000,1511533799999,5.64731191,79,249.81600000,2.17322949
1511533800000,0.00800000,0.00800100,0.00622200,0.00630000,1256.21200000,1511533859999,9.14544591,78,129.16900000,0.94481863
1511533860000,0.00630000,0.00710000,0.00630000,0.00700000,1039.64800000,1511533919999,7.02591493,80,536.95500000,3.72437440
1511533920000,0.00689900,0.00830000,0.00689900,0.00800000,1362.92000000,1511533979999,10.23955693,86,747.11300000,5.69291539
1511533980000,0.00825000,0.00899000,0.00825000,0.00869600,1760.38500000,1511534039999,15.29750839,116,1116.29200000,9.70867385
1511534040000,0.00870000,0.00880000,0.00835000,0.00849900,1890.30900000,1511534099999,16.14910296,106,818.82800000,6.99683352
1511534100000,0.00849800,0.00859000,0.00770000,0.00770100,1161.38800000,1511534159999,9.61383378,114,306.93300000,2.55570984
1511534160000,0.00790000,0.00800000,0.00761000,0.00771500,696.25700000,1511534219999,5.39438994,75,190.12200000,1.49703689
1511534220000,0.00780000,0.00800000,0.00761000,0.00780000,752.33300000,1511534279999,5.87756142,89,360.96800000,2.84977095
1511534280000,0.00780000,0.00786000,0.00750200,0.00750200,811.98100000,1511534339999,6.21435613,71,163.33600000,1.26340178
1511534340000,0.00750200,0.00751100,0.00660100,0.00722200,3796.67200000,1511534399999,27.54265524,146,808.68600000,5.83352188
1511534400000,0.00722100,0.00722200,0.00700000,0.00720000,968.65900000,1511534459999,6.86517556,91,528.32600000,3.76567075
1511534460000,0.00722100,0.00738000,0.00722100,0.00728500,1119.77600000,1511534519999,8.18954649,90,479.74700000,3.51732543
1511534520000,0.00728500,0.00737000,0.00710000,0.00712000,643.12300000,1511534579999,4.63759818,71,291.43300000,2.11492171
1511534580000,0.00712200,0.00734900,0.00712200,0.00734900,1104.35000000,1511534639999,8.04097206,65,734.95700000,5.36729957
1511534640000,0.00734900,0.00780000,0.00734900,0.00747900,1493.08100000,1511534699999,11.28920040,124,889.10600000,6.74379400
1511534700000,0.00747900,0.00747900,0.00720000,0.00729900,1104.52600000,1511534759999,8.11167439,99,614.81300000,4.52763781
1511534760000,0.00729900,0.00737800,0.00724100,0.00731100,558.26600000,1511534819999,4.08204710,50,194.37900000,1.42342493
1511534820000,0.00735000,0.00760000,0.00731100,0.00748000,927.07400000,1511534879999,6.86848227,71,456.50900000,3.40018960
1511534880000,0.00750000,0.00760000,0.00750000,0.00760000,861.63900000,1511534939999,6.48034241,67,247.14900000,1.85966474
1511534940000,0.00759800,0.00760000,0.00751200,0.00760000,590.80100000,1511534999999,4.46766120,71,336.82700000,2.55371677
1511535000000,0.00761000,0.00776000,0.00761000,0.00770000,939.80700000,1511535059999,7.23122736,66,366.07400000,2.82302342
1511535060000,0.00776000,0.00830100,0.00774000,0.00825900,1897.96900000,1511535119999,15.23956539,120,1357.54600000,10.88577187
1511535120000,0.00825900,0.00825900,0.00800000,0.00816000,1272.31700000,1511535179999,10.41336850,107,570.64900000,4.69103919
1511535180000,0.00800000,0.00816000,0.00774000,0.00784000,1747.09500000,1511535239999,13.93639922,105,989.69100000,7.93979528
1511535240000,0.00784100,0.00798000,0.00780000,0.00798000,931.71500000,1511535299999,7.32219735,85,413.93400000,3.25980731
1511535300000,0.00784500,0.00809900,0.00782500,0.00801000,1143.60500000,1511535359999,9.13698173,74,785.63300000,6.27429909
1511535360000,0.00801000,0.00809800,0.00792600,0.00809800,1378.44100000,1511535419999,11.09295510,74,803.43500000,6.48186151
1511535420000,0.00809800,0.00848000,0.00808500,0.00811000,1372.66000000,1511535479999,11.32619687,108,591.71600000,4.88490307
1511535480000,0.00825000,0.00825000,0.00820000,0.00825000,333.38400000,1511535539999,2.74335112,34,319.03200000,2.62551668
1511535540000,0.00823000,0.00850000,0.00822200,0.00840000,831.24600000,1511535599999,6.98851511,65,725.36000000,6.11331540
1511535600000,0.00848000,0.00900000,0.00840100,0.00879100,1778.18100000,1511535659999,15.62654717,169,1135.38200000,9.99111678
1511535660000,0.00880000,0.00886000,0.00856000,0.00860000,603.11500000,1511535719999,5.22896816,80,411.13200000,3.56722742
1511535720000,0.00860000,0.00867000,0.00831100,0.00832000,1186.28700000,1511535779999,10.10748577,112,535.27900000,4.58087369
1511535780000,0.00849900,0.00860000,0.00831500,0.00840000,1197.25500000,1511535839999,10.04775072,84,470.38900000,3.98460782
1511535840000,0.00840000,0.00859800,0.00840000,0.00857000,1216.77500000,1511535899999,10.36914533,72,689.93500000,5.90137829
1511535900000,0.00856900,0.00898700,0.00856900,0.00888800,1103.26800000,1511535959999,9.74519186,91,899.71500000,7.94801428
1511535960000,0.00888800,0.00890000,0.00850000,0.00860000,1965.08400000,1511536019999,17.25947120,102,1150.29600000,10.14519769
1511536020000,0.00860000,0.00888800,0.00860000,0.00869800,736.43900000,1511536079999,6.43575691,79,370.93100000,3.24906431
1511536080000,0.00870100,0.00880000,0.00865000,0.00875000,1037.46000000,1511536139999,9.03549115,80,489.33700000,4.26224540
1511536140000,0.00876900,0.00879800,0.00865000,0.00870200,1152.64700000,1511536199999,10.07515429,63,462.86000000,4.05824684
1511536200000,0.00870000,0.00870200,0.00850000,0.00850000,1021.16000000,1511536259999,8.76905890,92,310.57000000,2.67516019
1511536260000,0.00850000,0.00850000,0.00808500,0.00830000,1368.30400000,1511536319999,11.42316868,103,739.96500000,6.21598547
1511536320000,0.00820000,0.00830000,0.00810000,0.00810000,1798.32900000,1511536379999,14.73914529,80,569.42700000,4.67614222
1511536380000,0.00810000,0.00822000,0.00810000,0.00819000,946.41900000,1511536439999,7.67557431,46,521.32300000,4.23026241
1511536440000,0.00819000,0.00837300,0.00813000,0.00837300,1119.89500000,1511536499999,9.22330667,72,790.82700000,6.52974837
1511536500000,0.00835300,0.00850000,0.00830000,0.00830000,654.50600000,1511536559999,5.50340011,54,316.09200000,2.66651468
1511536560000,0.00830000,0.00835300,0.00820100,0.00820400,1106.84900000,1511536619999,9.14644574,41,46.51100000,0.38833035
1511536620000,0.00820400,0.00828000,0.00800000,0.00800000,1384.97400000,1511536679999,11.24733670,100,107.12700000,0.87466934
1511536680000,0.00810000,0.00810000,0.00776000,0.00780100,1761.55600000,1511536739999,13.88695218,111,331.08800000,2.61757084
1511536740000,0.00780100,0.00828000,0.00780100,0.00810000,993.93300000,1511536799999,8.04490648,86,417.99900000,3.38691468
1511536800000,0.00810000,0.00825000,0.00803100,0.00810100,761.05000000,1511536859999,6.21811481,67,387.08500000,3.17274951
1511536860000,0.00810100,0.00810100,0.00790000,0.00800000,1276.30000000,1511536919999,10.25431154,61,125.76400000,1.01304817
1511536920000,0.00800000,0.00820000,0.00800000,0.00817000,635.90700000,1511536979999,5.18910313,46,544.16800000,4.44164593
1511536980000,0.00817000,0.00835400,0.00810000,0.00810000,1005.72100000,1511537039999,8.29147200,70,758.34100000,6.25402570
1511537040000,0.00810000,0.00820300,0.00804000,0.00810000,303.97100000,1511537099999,2.45748875,29,109.72500000,0.88934290
1511537100000,0.00804100,0.00810000,0.00804000,0.00810000,571.58700000,1511537159999,4.61203594,35,262.36200000,2.12071889
1511537160000,0.00810300,0.00819900,0.00810000,0.00816000,291.07000000,1511537219999,2.38210591,22,168.95000000,1.38161650
1511537220000,0.00819000,0.00827700,0.00816900,0.00820100,751.61600000,1511537279999,6.16348469,44,403.99600000,3.31463190
1511537280000,0.00820100,0.00824000,0.00820000,0.00821000,319.71900000,1511537339999,2.62515010,35,38.22400000,0.31457590
1511537340000,0.00821000,0.00823800,0.00816000,0.00822000,521.20800000,1511537399999,4.27051739,47,143.58400000,1.17743700
1511537400000,0.00822000,0.00823800,0.00819000,0.00819000,163.67800000,1511537459999,1.34337932,22,78.88400000,0.64833918
1511537460000,0.00819000,0.00822000,0.00816000,0.00819900,203.49900000,1511537519999,1.66840206,23,188.28900000,1.54373129
1511537520000,0.00819900,0.00823000,0.00816000,0.00816000,565.93000000,1511537579999,4.64018369,44,161.28600000,1.32302101
1511537580000,0.00820000,0.00820000,0.00810300,0.00810300,302.03000000,1511537639999,2.45502695,29,9.59400000,0.07846736
1511537640000,0.00810300,0.00816000,0.00782300,0.00788900,1231.52500000,1511537699999,9.86148653,90,206.48100000,1.64652470
1511537700000,0.00782300,0.00799900,0.00782300,0.00782500,442.89800000,1511537759999,3.49043429,48,101.64700000,0.80524116
1511537760000,0.00782300,0.00782500,0.00750000,0.00750000,1201.78000000,1511537819999,9.24542959,107,175.55100000,1.35639205
1511537820000,0.00750000,0.00770000,0.00750000,0.00770000,1338.58800000,1511537879999,10.19109644,50,126.41600000,0.97328443
1511537880000,0.00770000,0.00770000,0.00746000,0.00750000,2165.58200000,1511537939999,16.36325646,114,283.71500000,2.15797437
1511537940000,0.00746000,0.00750000,0.00730100,0.00730100,803.63900000,1511537999999,5.94332591,77,271.45800000,2.01159615
1511538000000,0.00730100,0.00760000,0.00730100,0.00760000,372.63400000,1511538059999,2.78073770,38,232.67600000,1.75009899
1511538060000,0.00762000,0.00779900,0.00762000,0.00770000,475.87800000,1511538119999,3.65892856,43,220.62500000,1.69758465
