Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1510658700000,0.00003463,0.00003463,0.00003463,0.00003463,100.00000000,1510658759999,0.00346300,1,0.00000000,0.00000000
1510658760000,0.00003463,0.00003463,0.00003463,0.00003463,0.00000000,1510658819999,0.00000000,0,0.00000000,0.00000000
1510658820000,0.00003463,0.00003463,0.00003463,0.00003463,0.00000000,1510658879999,0.00000000,0,0.00000000,0.00000000
1510658880000,0.00015000,0.00015000,0.00015000,0.00015000,97.00000000,1510658939999,0.01455000,1,97.00000000,0.01455000
1510658940000,0.00008999,0.00008999,0.00008999,0.00008999,94.00000000,1510658999999,0.00845906,1,94.00000000,0.00845906
1510659000000,0.00008994,0.00008996,0.00008994,0.00008994,1527.00000000,1510659059999,0.13734264,3,1527.00000000,0.13734264
1510659060000,0.00007899,0.00007899,0.00007500,0.00007500,336.00000000,1510659119999,0.02564688,3,336.00000000,0.02564688
1510659120000,0.00007498,0.00007900,0.00006004,0.00006005,21281.00000000,1510659179999,1.54078929,35,14780.00000000,1.08926860
1510659180000,0.00006009,0.00006050,0.00006000,0.00006000,23787.00000000,1510659239999,1.43055085,12,0.00000000,0.00000000
1510659240000,0.00006000,0.00006100,0.00006000,0.00006100,34619.00000000,1510659299999,2.08147363,14,3331.00000000,0.20026240
1510659300000,0.00006100,0.00006100,0.00006000,0.00006000,64670.00000000,1510659359999,3.88957836,39,0.00000000,0.00000000
1510659360000,0.00006100,0.00006100,0.00006100,0.00006100,635.00000000,1510659419999,0.03873500,1,0.00000000,0.00000000
1510659420000,0.00006099,0.00006100,0.00006000,0.00006100,28455.00000000,1510659479999,1.72376674,18,1338.00000000,0.08161097
1510659480000,0.00006100,0.00006120,0.00006100,0.00006103,7152.00000000,1510659539999,0.43690818,10,0.00000000,0.00000000
1510659540000,0.00006104,0.00006104,0.00006101,0.00006102,7672.00000000,1510659599999,0.46811883,22,0.00000000,0.00000000
1510659600000,0.00006101,0.00006101,0.00006000,0.00006000,72458.00000000,1510659659999,4.42005616,31,3193.00000000,0.19478105
1510659660000,0.00005990,0.00005990,0.00005500,0.00005500,1094.00000000,1510659719999,0.06088494,3,1094.00000000,0.06088494
1510659720000,0.00005115,0.00005301,0.00005013,0.00005015,14063.00000000,1510659779999,0.72436281,16,1945.00000000,0.10119106
1510659780000,0.00005100,0.00005100,0.00005010,0.00005010,16595.00000000,1510659839999,0.83407893,15,25.00000000,0.00125250
1510659840000,0.00005010,0.00005100,0.00004700,0.00004700,10929.00000000,1510659899999,0.51807671,10,1593.00000000,0.07746761
1510659900000,0.00004800,0.00004800,0.00004800,0.00004800,96.00000000,1510659959999,0.00460800,1,96.00000000,0.00460800
1510659960000,0.00004990,0.00004999,0.00004990,0.00004999,13616.00000000,1510660019999,0.68023160,10,13616.00000000,0.68023160
1510660020000,0.00005000,0.00005296,0.00005000,0.00005295,35745.00000000,1510660079999,1.87119986,23,8096.00000000,0.42612494
1510660080000,0.00005295,0.00005799,0.00005294,0.00005799,45818.00000000,1510660139999,2.54548274,48,16414.00000000,0.89545587
1510660140000,0.00005799,0.00005799,0.00005500,0.00005690,39781.00000000,1510660199999,2.28383135,16,20834.00000000,1.18725265
1510660200000,0.00005688,0.00005688,0.00005400,0.00005400,65901.00000000,1510660259999,3.68629387,20,47493.00000000,2.68088396
1510660260000,0.00005667,0.00005701,0.00005667,0.00005700,41197.00000000,1510660319999,2.34161816,15,39502.00000000,2.24499948
1510660320000,0.00005697,0.00005700,0.00005550,0.00005560,6036.00000000,1510660379999,0.34176023,10,5052.00000000,0.28704983
1510660380000,0.00005680,0.00005799,0.00005680,0.00005798,78242.00000000,1510660439999,4.47765732,24,54092.00000000,3.10590982
1510660440000,0.00005798,0.00005798,0.00005200,0.00005210,15431.00000000,1510660499999,0.83119552,20,2248.00000000,0.12970222
1510660500000,0.00005210,0.00005210,0.00005210,0.00005210,0.00000000,1510660559999,0.00000000,0,0.00000000,0.00000000
1510660560000,0.00005301,0.00005301,0.00005221,0.00005221,1500.00000000,1510660619999,0.07863180,2,0.00000000,0.00000000
1510660620000,0.00005225,0.00005225,0.00005220,0.00005220,2722.00000000,1510660679999,0.14212392,7,0.00000000,0.00000000
1510660680000,0.00005429,0.00005430,0.00005399,0.00005399,5402.00000000,1510660739999,0.29245913,4,5402.00000000,0.29245913
1510660740000,0.00005600,0.00005600,0.00005500,0.00005600,32307.00000000,1510660799999,1.79776600,10,32124.00000000,1.78751800
1510660800000,0.00005500,0.00005600,0.00005500,0.00005600,34120.00000000,1510660859999,1.91050900,8,33909.00000000,1.89890400
1510660860000,0.00005660,0.00005661,0.00005660,0.00005660,14533.00000000,1510660919999,0.82258520,6,3802.00000000,0.21520095
1510660920000,0.00005599,0.00005660,0.00005599,0.00005599,8316.00000000,1510660979999,0.46782043,9,7499.00000000,0.42207660
1510660980000,0.00005599,0.00005599,0.00005505,0.00005588,2458.00000000,1510661039999,0.13738122,5,2220.00000000,0.12412422
1510661040000,0.00005549,0.00005555,0.00005400,0.00005400,5429.00000000,1510661099999,0.29787190,6,2178.00000000,0.12086790
1510661100000,0.00005400,0.00005400,0.00005201,0.00005201,24252.00000000,1510661159999,1.28359441,13,1545.00000000,0.08305600
1510661160000,0.00005201,0.00005300,0.00005100,0.00005300,12968.00000000,1510661219999,0.66384483,6,85.00000000,0.00450500
1510661220000,0.00005300,0.00005300,0.00005120,0.00005200,17985.00000000,1510661279999,0.94233200,7,5472.00000000,0.29001600
1510661280000,0.00005250,0.00005300,0.00005120,0.00005300,34602.00000000,1510661339999,1.79012740,8,100.00000000,0.00530000
1510661340000,0.00005300,0.00005300,0.00005115,0.00005116,10378.00000000,1510661399999,0.53855222,10,1264.00000000,0.06699200
1510661400000,0.00005116,0.00005295,0.00005001,0.00005295,9133.00000000,1510661459999,0.46566914,11,500.00000000,0.02647500
1510661460000,0.00005200,0.00005200,0.00005200,0.00005200,1404.00000000,1510661519999,0.07300800,1,1404.00000000,0.07300800
1510661520000,0.00005102,0.00005102,0.00005101,0.00005101,732.00000000,1510661579999,0.03734165,5,543.00000000,0.02769976
1510661580000,0.00005001,0.00005001,0.00005000,0.00005000,15770.00000000,1510661639999,0.78851630,6,0.00000000,0.00000000
1510661640000,0.00005000,0.00005000,0.00005000,0.00005000,8753.00000000,1510661699999,0.43765000,8,8398.00000000,0.41990000
1510661700000,0.00005000,0.00005000,0.00004910,0.00004910,2443.00000000,1510661759999,0.12145520,8,1671.00000000,0.08355000
1510661760000,0.00004910,0.00004910,0.00004910,0.00004910,0.00000000,1510661819999,0.00000000,0,0.00000000,0.00000000
1510661820000,0.00005000,0.00005000,0.00004910,0.00004912,10436.00000000,1510661879999,0.51309868,5,650.00000000,0.03250000
1510661880000,0.00004910,0.00004910,0.00004900,0.00004900,8074.00000000,1510661939999,0.39617850,4,1145.00000000,0.05610500
1510661940000,0.00004900,0.00004900,0.00004900,0.00004900,0.00000000,1510661999999,0.00000000,0,0.00000000,0.00000000
1510662000000,0.00004900,0.00004998,0.00004848,0.00004900,3892.00000000,1510662059999,0.19077444,7,3206.00000000,0.15717240
1510662060000,0.00004900,0.00004999,0.00004900,0.00004999,2027.00000000,1510662119999,0.10080088,6,2027.00000000,0.10080088
1510662120000,0.00004950,0.00005000,0.00004950,0.00004999,34897.00000000,1510662179999,1.74332391,12,6922.00000000,0.34484748
1510662180000,0.00005077,0.00005077,0.00005077,0.00005077,193.00000000,1510662239999,0.00979861,1,193.00000000,0.00979861
1510662240000,0.00005000,0.00005000,0.00004978,0.00004978,1354.00000000,1510662299999,0.06769406,2,1327.00000000,0.06635000
