Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1511247060000,0.00001535,0.00001535,0.00001535,0.00001535,100.00000000,1511247119999,0.00153500,1,0.00000000,0.00000000
1511247120000,0.00001800,0.00002200,0.00001800,0.00002200,18898.00000000,1511247179999,0.37541200,9,18898.00000000,0.37541200
1511247180000,0.00003000,0.00003500,0.00003000,0.00003000,7171.00000000,1511247239999,0.23221000,16,5555.00000000,0.18373000
1511247240000,0.00003490,0.00003500,0.00003490,0.00003500,174.00000000,1511247299999,0.00608660,2,174.00000000,0.00608660
1511247300000,0.00003500,0.00003500,0.00003500,0.00003500,1697.00000000,1511247359999,0.05939500,5,0.00000000,0.00000000
1511247360000,0.00003600,0.00004549,0.00003600,0.00004549,2615.00000000,1511247419999,0.11196330,7,1974.00000000,0.08888730
1511247420000,0.00004400,0.00004400,0.00003600,0.00003600,13432.00000000,1511247479999,0.56837703,12,11227.00000000,0.48899703
1511247480000,0.00003600,0.00003600,0.00003000,0.00003000,5049.00000000,1511247539999,0.16920180,9,2083.00000000,0.06970800
1511247540000,0.00003000,0.00003000,0.00002232,0.00003000,15097.00000000,1511247599999,0.42677027,13,10288.00000000,0.30840907
1511247600000,0.00003000,0.00003000,0.00003000,0.00003000,0.00000000,1511247659999,0.00000000,0,0.00000000,0.00000000
1511247660000,0.00002599,0.00002599,0.00001916,0.00002233,16972.00000000,1511247719999,0.37963686,12,4378.00000000,0.10035037
1511247720000,0.00002220,0.00002220,0.00002219,0.00002219,1298.00000000,1511247779999,0.02881216,2,1298.00000000,0.02881216
1511247780000,0.00002002,0.00002218,0.00002002,0.00002218,12719.00000000,1511247839999,0.27058063,8,4296.00000000,0.09528528
1511247840000,0.00002219,0.00002219,0.00002199,0.00002199,5897.00000000,1511247899999,0.13073535,5,2221.00000000,0.04920167
1511247900000,0.00002190,0.00002190,0.00002050,0.00002050,7008.00000000,1511247959999,0.15094190,5,4956.00000000,0.10853640
1511247960000,0.00002150,0.00002150,0.00002050,0.00002050,6902.00000000,1511248019999,0.14342560,5,5402.00000000,0.11262560
1511248020000,0.00002050,0.00002050,0.00002049,0.00002049,21354.00000000,1511248079999,0.43774757,7,3239.00000000,0.06639007
1511248080000,0.00002016,0.00002016,0.00002014,0.00002014,5852.00000000,1511248139999,0.11796828,4,65.00000000,0.00130910
1511248140000,0.00002001,0.00002076,0.00002001,0.00002014,17065.00000000,1511248199999,0.34433406,8,6548.00000000,0.13259344
1511248200000,0.00002014,0.00002014,0.00001950,0.00001950,22729.00000000,1511248259999,0.44613755,6,0.00000000,0.00000000
1511248260000,0.00001936,0.00002050,0.00001936,0.00002050,2612.00000000,1511248319999,0.05323706,2,0.00000000,0.00000000
1511248320000,0.00002020,0.00002020,0.00001930,0.00001930,19127.00000000,1511248379999,0.37121022,9,0.00000000,0.00000000
1511248380000,0.00001900,0.00002000,0.00001900,0.00002000,6112.00000000,1511248439999,0.12143022,5,5784.00000000,0.11519822
1511248440000,0.00001850,0.00001850,0.00001850,0.00001850,7141.00000000,1511248499999,0.13210850,3,2319.00000000,0.04290150
1511248500000,0.00001834,0.00001834,0.00001834,0.00001834,122.00000000,1511248559999,0.00223748,1,0.00000000,0.00000000
1511248560000,0.00001834,0.00001840,0.00001834,0.00001834,17727.00000000,1511248619999,0.32520930,9,1602.00000000,0.02947680
1511248620000,0.00001834,0.00001834,0.00001802,0.00001802,6959.00000000,1511248679999,0.12742294,2,0.00000000,0.00000000
1511248680000,0.00001810,0.00001810,0.00001802,0.00001802,4748.00000000,1511248739999,0.08561900,9,293.00000000,0.00530330
1511248740000,0.00001802,0.00001802,0.00001801,0.00001801,9232.00000000,1511248799999,0.16635964,6,0.00000000,0.00000000
1511248800000,0.00001799,0.00001800,0.00001799,0.00001800,22196.00000000,1511248859999,0.39951547,5,11430.00000000,0.20572747
1511248860000,0.00001800,0.00001800,0.00001737,0.00001737,69719.00000000,1511248919999,1.21195250,8,407.00000000,0.00732600
1511248920000,0.00001737,0.00001737,0.00001737,0.00001737,7371.00000000,1511248979999,0.12803427,3,2951.00000000,0.05125887
1511248980000,0.00001737,0.00001737,0.00001737,0.00001737,0.00000000,1511249039999,0.00000000,0,0.00000000,0.00000000
1511249040000,0.00001734,0.00001734,0.00001702,0.00001702,21055.00000000,1511249099999,0.35907034,7,0.00000000,0.00000000
1511249100000,0.00001702,0.00001702,0.00001702,0.00001702,0.00000000,1511249159999,0.00000000,0,0.00000000,0.00000000
1511249160000,0.00001733,0.00001733,0.00001733,0.00001733,193.00000000,1511249219999,0.00334469,1,0.00000000,0.00000000
1511249220000,0.00001733,0.00001798,0.00001733,0.00001798,15622.00000000,1511249279999,0.27085406,8,9515.00000000,0.16501975
1511249280000,0.00001799,0.00001809,0.00001799,0.00001809,23540.00000000,1511249339999,0.42409863,7,10624.00000000,0.19135231
1511249340000,0.00001896,0.00001896,0.00001889,0.00001890,10981.00000000,1511249399999,0.20762368,10,8864.00000000,0.16761238
1511249400000,0.00001888,0.00001888,0.00001850,0.00001850,1055.00000000,1511249459999,0.01980478,3,1055.00000000,0.01980478
1511249460000,0.00001850,0.00001850,0.00001850,0.00001850,1018.00000000,1511249519999,0.01883300,3,1018.00000000,0.01883300
1511249520000,0.00001849,0.00001849,0.00001849,0.00001849,2512.00000000,1511249579999,0.04644688,1,2512.00000000,0.04644688
1511249580000,0.00001844,0.00001844,0.00001844,0.00001844,1846.00000000,1511249639999,0.03404024,1,1846.00000000,0.03404024
1511249640000,0.00001840,0.00001840,0.00001840,0.00001840,1024.00000000,1511249699999,0.01884160,1,1024.00000000,0.01884160
