Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1510833180000,0.00000570,0.00000570,0.00000570,0.00000570,500.00000000,1510833239999,0.00285000,1,0.00000000,0.00000000
1510833240000,0.00000570,0.00000570,0.00000570,0.00000570,0.00000000,1510833299999,0.00000000,0,0.00000000,0.00000000
1510833300000,0.00000570,0.00000570,0.00000570,0.00000570,0.00000000,1510833359999,0.00000000,0,0.00000000,0.00000000
1510833360000,0.00014200,0.00014200,0.00014200,0.00014200,99.00000000,1510833419999,0.01405800,3,99.00000000,0.01405800
1510833420000,0.00014200,0.00014200,0.00014200,0.00014200,295.00000000,1510833479999,0.04189000,5,295.00000000,0.04189000
1510833480000,0.00014200,0.00014201,0.00010000,0.00014200,834.00000000,1510833539999,0.11767210,6,616.00000000,0.08747210
1510833540000,0.00011000,0.00011000,0.00001101,0.00001101,53167.00000000,1510833599999,0.89247095,11,0.00000000,0.00000000
1510833600000,0.00011010,0.00011010,0.00001550,0.00002000,820.00000000,1510833659999,0.06731367,5,284.00000000,0.00839467
1510833660000,0.00002000,0.00002001,0.00001550,0.00002001,279577.00000000,1510833719999,5.01155866,23,1816.00000000,0.03630184
1510833720000,0.00002001,0.00002001,0.00001550,0.00001550,48463.00000000,1510833779999,0.86968665,15,4165.00000000,0.08330200
1510833780000,0.00001550,0.00001550,0.00001210,0.00001210,4367.00000000,1510833839999,0.05964070,4,0.00000000,0.00000000
1510833840000,0.00001211,0.00001234,0.00001103,0.00001103,117428.00000000,1510833899999,1.31601708,15,0.00000000,0.00000000
1510833900000,0.00001103,0.00001103,0.00000781,0.00000788,106833.00000000,1510833959999,0.87315334,13,5569.00000000,0.05872584
1510833960000,0.00000788,0.00000999,0.00000781,0.00000950,39399.00000000,1510834019999,0.31393244,5,3132.00000000,0.02992697
1510834020000,0.00000789,0.00000800,0.00000789,0.00000800,233025.00000000,1510834079999,1.86409000,6,0.00000000,0.00000000
1510834080000,0.00000787,0.00000787,0.00000700,0.00000700,163471.00000000,1510834139999,1.20198885,14,0.00000000,0.00000000
1510834140000,0.00000700,0.00000700,0.00000700,0.00000700,8382.00000000,1510834199999,0.05867400,2,8382.00000000,0.05867400
1510834200000,0.00000690,0.00000700,0.00000690,0.00000700,145813.00000000,1510834259999,1.01934218,10,103400.00000000,0.72245118
1510834260000,0.00000620,0.00000620,0.00000620,0.00000620,9664.00000000,1510834319999,0.05991680,3,0.00000000,0.00000000
1510834320000,0.00000650,0.00000650,0.00000601,0.00000647,50454.00000000,1510834379999,0.32295050,5,312.00000000,0.00201864
1510834380000,0.00000605,0.00000630,0.00000605,0.00000607,79217.00000000,1510834439999,0.48331579,8,0.00000000,0.00000000
1510834440000,0.00000607,0.00000608,0.00000601,0.00000608,156279.00000000,1510834499999,0.94736919,12,4221.00000000,0.02562147
1510834500000,0.00000623,0.00000648,0.00000609,0.00000611,155804.00000000,1510834559999,0.96914719,17,69379.00000000,0.43684285
1510834560000,0.00000613,0.00000613,0.00000600,0.00000600,300492.00000000,1510834619999,1.82830517,12,50539.00000000,0.30323400
1510834620000,0.00000622,0.00000622,0.00000622,0.00000622,228.00000000,1510834679999,0.00141816,1,228.00000000,0.00141816
1510834680000,0.00000618,0.00000618,0.00000610,0.00000610,27537.00000000,1510834739999,0.16921674,4,14978.00000000,0.09242771
1510834740000,0.00000612,0.00000612,0.00000600,0.00000600,32706.00000000,1510834799999,0.19678700,7,3500.00000000,0.02142000
1510834800000,0.00000585,0.00000600,0.00000585,0.00000600,67527.00000000,1510834859999,0.40496555,5,35987.00000000,0.21592200
1510834860000,0.00000600,0.00000600,0.00000600,0.00000600,0.00000000,1510834919999,0.00000000,0,0.00000000,0.00000000
1510834920000,0.00000588,0.00000588,0.00000582,0.00000582,13223.00000000,1510834979999,0.07714844,5,0.00000000,0.00000000
1510834980000,0.00000582,0.00000597,0.00000582,0.00000582,65954.00000000,1510835039999,0.38685228,10,304.00000000,0.00181488
1510835040000,0.00000582,0.00000582,0.00000581,0.00000581,30241.00000000,1510835099999,0.17598600,5,0.00000000,0.00000000
1510835100000,0.00000575,0.00000575,0.00000571,0.00000571,25572.00000000,1510835159999,0.14637648,4,4638.00000000,0.02666850
1510835160000,0.00000571,0.00000571,0.00000558,0.00000558,20972.00000000,1510835219999,0.11945877,4,0.00000000,0.00000000
1510835220000,0.00000571,0.00000590,0.00000559,0.00000590,22781.00000000,1510835279999,0.13144711,5,21825.00000000,0.12610307
1510835280000,0.00000559,0.00000559,0.00000558,0.00000558,20000.00000000,1510835339999,0.11163516,3,0.00000000,0.00000000
1510835340000,0.00000565,0.00000570,0.00000560,0.00000570,2111.00000000,1510835399999,0.01196175,3,876.00000000,0.00499320
1510835400000,0.00000570,0.00000570,0.00000570,0.00000570,174.00000000,1510835459999,0.00099180,1,174.00000000,0.00099180
1510835460000,0.00000571,0.00000571,0.00000571,0.00000571,442.00000000,1510835519999,0.00252382,1,0.00000000,0.00000000
1510835520000,0.00000578,0.00000578,0.00000552,0.00000552,213285.00000000,1510835579999,1.19604706,15,25098.00000000,0.14225908
1510835580000,0.00000552,0.00000580,0.00000552,0.00000570,17080.00000000,1510835639999,0.09628122,6,15280.00000000,0.08602122
1510835640000,0.00000570,0.00000580,0.00000570,0.00000580,15366.00000000,1510835699999,0.08862060,3,10344.00000000,0.05999520
1510835700000,0.00000570,0.00000570,0.00000570,0.00000570,1000.00000000,1510835759999,0.00570000,1,0.00000000,0.00000000
1510835760000,0.00000570,0.00000570,0.00000570,0.00000570,0.00000000,1510835819999,0.00000000,0,0.00000000,0.00000000
1510835820000,0.00000580,0.00000580,0.00000580,0.00000580,10342.00000000,1510835879999,0.05998360,3,9247.00000000,0.05363260
1510835880000,0.00000580,0.00000580,0.00000580,0.00000580,0.00000000,1510835939999,0.00000000,0,0.00000000,0.00000000
1510835940000,0.00000580,0.00000580,0.00000580,0.00000580,4605.00000000,1510835999999,0.02670900,2,0.00000000,0.00000000
1510836000000,0.00000580,0.00000588,0.00000580,0.00000588,18542.00000000,1510836059999,0.10850808,4,9320.00000000,0.05474928
1510836060000,0.00000585,0.00000588,0.00000585,0.00000588,22920.00000000,1510836119999,0.13447989,2,22920.00000000,0.13447989
1510836120000,0.00000585,0.00000588,0.00000585,0.00000585,10766.00000000,1510836179999,0.06300408,4,10766.00000000,0.06300408
1510836180000,0.00000585,0.00000587,0.00000585,0.00000587,60760.00000000,1510836239999,0.35559680,10,17087.00000000,0.10003897
1510836240000,0.00000585,0.00000587,0.00000585,0.00000587,18063.00000000,1510836299999,0.10584003,6,4801.00000000,0.02818187
1510836300000,0.00000586,0.00000586,0.00000580,0.00000586,5309.00000000,1510836359999,0.03098456,5,1639.00000000,0.00957676
1510836360000,0.00000586,0.00000586,0.00000586,0.00000586,8057.00000000,1510836419999,0.04721402,2,1824.00000000,0.01068864
1510836420000,0.00000586,0.00000586,0.00000586,0.00000586,0.00000000,1510836479999,0.00000000,0,0.00000000,0.00000000
1510836480000,0.00000584,0.00000584,0.00000584,0.00000584,10000.00000000,1510836539999,0.05840000,1,10000.00000000,0.05840000
1510836540000,0.00000580,0.00000580,0.00000580,0.00000580,100000.00000000,1510836599999,0.58000000,4,0.00000000,0.00000000
1510836600000,0.00000584,0.00000587,0.00000584,0.00000587,7774.00000000,1510836659999,0.04555338,3,7774.00000000,0.04555338
1510836660000,0.00000587,0.00000590,0.00000587,0.00000590,205581.00000000,1510836719999,1.21240290,9,166941.00000000,0.98442690
1510836720000,0.00000585,0.00000585,0.00000585,0.00000585,45387.00000000,1510836779999,0.26551395,4,0.00000000,0.00000000
1510836780000,0.00000585,0.00000585,0.00000585,0.00000585,0.00000000,1510836839999,0.00000000,0,0.00000000,0.00000000
1510836840000,0.00000585,0.00000585,0.00000585,0.00000585,0.00000000,1510836899999,0.00000000,0,0.00000000,0.00000000
1510836900000,0.00000585,0.00000585,0.00000585,0.00000585,0.00000000,1510836959999,0.00000000,0,0.00000000,0.00000000
1510836960000,0.00000586,0.00000586,0.00000586,0.00000586,35825.00000000,1510837019999,0.20993450,2,0.00000000,0.00000000
1510837020000,0.00000586,0.00000586,0.00000586,0.00000586,0.00000000,1510837079999,0.00000000,0,0.00000000,0.00000000
1510837080000,0.00000586,0.00000586,0.00000586,0.00000586,0.00000000,1510837139999,0.00000000,0,0.00000000,0.00000000
1510837140000,0.00000586,0.00000586,0.00000586,0.00000586,14720.00000000,1510837199999,0.08625920,2,0.00000000,0.00000000
1510837200000,0.00000583,0.00000583,0.00000583,0.00000583,11104.00000000,1510837259999,0.06473632,2,0.00000000,0.00000000
1510837260000,0.00000586,0.00000586,0.00000581,0.00000582,39728.00000000,1510837319999,0.23116028,4,290.00000000,0.00169940
1510837320000,0.00000583,0.00000583,0.00000580,0.00000580,9586.00000000,1510837379999,0.05564956,5,0.00000000,0.00000000
1510837380000,0.00000580,0.00000580,0.00000580,0.00000580,0.00000000,1510837439999,0.00000000,0,0.00000000,0.00000000
1510837440000,0.00000580,0.00000580,0.00000580,0.00000580,0.00000000,1510837499999,0.00000000,0,0.00000000,0.00000000
