Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1511426220000,0.00000700,0.00000700,0.00000700,0.00000700,1002.00000000,1511426279999,0.00701400,1,0.00000000,0.00000000
1511426280000,0.00000700,0.00000700,0.00000700,0.00000700,0.00000000,1511426339999,0.00000000,0,0.00000000,0.00000000
1511426340000,0.00007100,0.00007100,0.00007100,0.00007100,2719.00000000,1511426399999,0.19304900,1,2719.00000000,0.19304900
1511426400000,0.00007000,0.00007000,0.00007000,0.00007000,375.00000000,1511426459999,0.02625000,1,375.00000000,0.02625000
1511426460000,0.00007000,0.00007000,0.00007000,0.00007000,2404.00000000,1511426519999,0.16828000,2,2404.00000000,0.16828000
1511426520000,0.00006600,0.00006600,0.00006600,0.00006600,2012.00000000,1511426579999,0.13279200,1,2012.00000000,0.13279200
1511426580000,0.00006000,0.00006500,0.00005400,0.00005400,12156.00000000,1511426639999,0.75978200,6,12156.00000000,0.75978200
1511426640000,0.00001500,0.00002000,0.00001200,0.00001200,130623.00000000,1511426699999,2.40423500,5,100000.00000000,2.00000000
1511426700000,0.00001900,0.00002450,0.00001605,0.00001605,76968.00000000,1511426759999,1.40449505,13,28144.00000000,0.53575350
1511426760000,0.00001900,0.00001900,0.00001605,0.00001605,63976.00000000,1511426819999,1.05651763,18,8993.00000000,0.15938384
1511426820000,0.00001605,0.00001606,0.00001111,0.00001122,213378.00000000,1511426879999,2.51638721,20,2028.00000000,0.02570327
1511426880000,0.00001122,0.00001288,0.00001000,0.00001000,450188.00000000,1511426939999,4.71329574,32,70641.00000000,0.84474670
1511426940000,0.00001004,0.00001098,0.00000988,0.00001077,311760.00000000,1511426999999,3.21630692,24,31432.00000000,0.34400754
1511427000000,0.00001018,0.00001145,0.00001002,0.00001100,215479.00000000,1511427059999,2.30575459,24,55264.00000000,0.61368539
1511427060000,0.00001100,0.00001175,0.00001098,0.00001143,210429.00000000,1511427119999,2.39293983,31,190661.00000000,2.16684509
1511427120000,0.00001280,0.00001309,0.00001280,0.00001299,215081.00000000,1511427179999,2.78650107,25,154060.00000000,1.99853260
1511427180000,0.00001299,0.00001477,0.00001288,0.00001288,319991.00000000,1511427239999,4.23645455,40,83365.00000000,1.16070762
1511427240000,0.00001300,0.00001397,0.00001288,0.00001397,262508.00000000,1511427299999,3.38787612,22,28009.00000000,0.36508085
1511427300000,0.00001396,0.00001400,0.00001310,0.00001400,159056.00000000,1511427359999,2.19378990,28,94887.00000000,1.32188675
1511427360000,0.00001330,0.00001350,0.00001200,0.00001200,514308.00000000,1511427419999,6.69206415,53,132900.00000000,1.76263767
1511427420000,0.00001200,0.00001300,0.00001200,0.00001225,93144.00000000,1511427479999,1.12728671,25,16180.00000000,0.20081331
1511427480000,0.00001225,0.00001299,0.00001225,0.00001299,149736.00000000,1511427539999,1.87436483,29,31337.00000000,0.39794174
1511427540000,0.00001299,0.00001329,0.00001143,0.00001143,752785.00000000,1511427599999,9.17396005,76,153150.00000000,1.90520886
