Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1510825860000,0.00033210,0.00033210,0.00033210,0.00033210,10.00000000,1510825919999,0.00332100,1,0.00000000,0.00000000
1510825920000,0.00050000,0.00050000,0.00033210,0.00048000,330.00000000,1510825979999,0.11442999,6,117.71000000,0.04392849
1510825980000,0.00046000,0.00048000,0.00045000,0.00048000,1032.08000000,1510826039999,0.47752938,10,1032.08000000,0.47752938
1510826040000,0.00064000,0.00064000,0.00038000,0.00050010,661.83000000,1510826099999,0.34468895,7,284.35000000,0.16799400
1510826100000,0.00050990,0.00053980,0.00050000,0.00050990,994.40000000,1510826159999,0.50503393,14,646.16000000,0.32746638
1510826160000,0.00049990,0.00050990,0.00049980,0.00050990,506.22000000,1510826219999,0.25408546,14,340.56000000,0.17125546
1510826220000,0.00053490,0.00053790,0.00052900,0.00053790,1813.92000000,1510826279999,0.96246747,21,537.54000000,0.28598987
1510826280000,0.00053790,0.00060000,0.00053790,0.00056000,4083.38000000,1510826339999,2.25313492,30,2548.68000000,1.40862572
1510826340000,0.00055000,0.00058000,0.00055000,0.00056000,3597.68000000,1510826399999,2.01109738,22,1015.18000000,0.57570140
1510826400000,0.00056000,0.00056000,0.00047900,0.00047900,3194.48000000,1510826459999,1.70312851,20,178.20000000,0.09789212
1510826460000,0.00047990,0.00047990,0.00047990,0.00047990,4.30000000,1510826519999,0.00206357,1,4.30000000,0.00206357
1510826520000,0.00047990,0.00049000,0.00047990,0.00049000,1617.10000000,1510826579999,0.78966109,9,1547.10000000,0.75606809
1510826580000,0.00049000,0.00049000,0.00049000,0.00049000,0.00000000,1510826639999,0.00000000,0,0.00000000,0.00000000
1510826640000,0.00053000,0.00053000,0.00052900,0.00052900,384.66000000,1510826699999,0.20349585,8,185.84000000,0.09832007
1510826700000,0.00052900,0.00056250,0.00052790,0.00055000,3049.57000000,1510826759999,1.64389823,25,2372.14000000,1.27437451
1510826760000,0.00055000,0.00055500,0.00047050,0.00048120,3224.40000000,1510826819999,1.66681271,22,152.70000000,0.08466069
1510826820000,0.00051990,0.00051990,0.00051990,0.00051990,25.63000000,1510826879999,0.01332503,2,25.63000000,0.01332503
1510826880000,0.00051980,0.00051980,0.00050020,0.00051540,476.86000000,1510826939999,0.24563626,9,427.18000000,0.22078633
1510826940000,0.00050550,0.00051450,0.00050550,0.00051400,290.86000000,1510826999999,0.14828760,7,141.40000000,0.07273557
1510827000000,0.00051000,0.00051000,0.00048130,0.00048130,2734.99000000,1510827059999,1.34195719,21,130.59000000,0.06623543
1510827060000,0.00049500,0.00049500,0.00048130,0.00048130,5247.15000000,1510827119999,2.54740810,8,0.00000000,0.00000000
1510827120000,0.00048130,0.00048130,0.00048120,0.00048120,605.52000000,1510827179999,0.29143464,2,0.00000000,0.00000000
1510827180000,0.00048120,0.00048120,0.00046340,0.00046340,667.51000000,1510827239999,0.31521016,8,279.37000000,0.13443283
1510827240000,0.00046340,0.00049920,0.00046340,0.00049870,1192.14000000,1510827299999,0.58160161,13,1052.02000000,0.51298257
1510827300000,0.00049700,0.00050000,0.00045620,0.00045620,2647.72000000,1510827359999,1.31313403,17,1950.38000000,0.97163955
1510827360000,0.00045620,0.00045620,0.00045620,0.00045620,0.00000000,1510827419999,0.00000000,0,0.00000000,0.00000000
1510827420000,0.00045620,0.00045620,0.00045620,0.00045620,0.00000000,1510827479999,0.00000000,0,0.00000000,0.00000000
1510827480000,0.00047000,0.00048000,0.00047000,0.00048000,615.86000000,1510827539999,0.29181472,5,0.00000000,0.00000000
1510827540000,0.00048020,0.00048800,0.00048020,0.00048040,389.59000000,1510827599999,0.18713844,5,5.00000000,0.00244000
1510827600000,0.00048070,0.00048070,0.00048070,0.00048070,100.00000000,1510827659999,0.04807000,1,0.00000000,0.00000000
1510827660000,0.00048790,0.00049890,0.00048100,0.00048190,2123.16000000,1510827719999,1.03283186,16,1036.64000000,0.50977235
1510827720000,0.00048210,0.00048210,0.00047100,0.00047100,1616.50000000,1510827779999,0.77369567,14,221.97000000,0.10698954
1510827780000,0.00047990,0.00047990,0.00045000,0.00045000,1090.93000000,1510827839999,0.49737490,16,12.31000000,0.00583850
