Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1510825920000,0.00758600,0.00758600,0.00758600,0.00758600,10.00000000,1510825979999,0.07586000,1,0.00000000,0.00000000
1510825980000,0.00758600,0.00758600,0.00758600,0.00758600,0.00000000,1510826039999,0.00000000,0,0.00000000,0.00000000
1510826040000,0.01140000,0.01140000,0.01140000,0.01140000,143.00000000,1510826099999,1.63020000,1,143.00000000,1.63020000
1510826100000,0.01140000,0.01140000,0.01139000,0.01139000,642.17000000,1510826159999,7.31671580,9,642.17000000,7.31671580
1510826160000,0.01139000,0.01190000,0.01138900,0.01190000,2331.66000000,1510826219999,27.25395088,11,2067.64000000,24.11211288
1510826220000,0.01190000,0.01200000,0.01170000,0.01200000,1206.27000000,1510826279999,14.26953000,14,1206.27000000,14.26953000
1510826280000,0.01125000,0.01270000,0.01125000,0.01270000,412.20000000,1510826339999,5.14209000,8,412.20000000,5.14209000
1510826340000,0.01270000,0.01270000,0.01127500,0.01127500,168.93000000,1510826399999,2.11682550,3,168.93000000,2.11682550
1510826400000,0.01200000,0.01200000,0.01200000,0.01200000,900.00000000,1510826459999,10.80000000,4,900.00000000,10.80000000
1510826460000,0.01200000,0.01200000,0.01200000,0.01200000,0.00000000,1510826519999,0.00000000,0,0.00000000,0.00000000
1510826520000,0.01160000,0.01190000,0.01160000,0.01190000,649.21000000,1510826579999,7.65806300,7,649.21000000,7.65806300
1510826580000,0.01180000,0.01190000,0.01180000,0.01180000,624.79000000,1510826639999,7.38039600,8,589.55000000,6.96456400
1510826640000,0.01190000,0.01200000,0.01189900,0.01189900,441.52000000,1510826699999,5.28484649,8,123.76000000,1.47322649
1510826700000,0.01243700,0.01243900,0.01189900,0.01243800,683.10000000,1510826759999,8.35610636,10,551.05000000,6.78484341
1510826760000,0.01190000,0.01243600,0.01190000,0.01230000,1901.80000000,1510826819999,23.27092290,10,1678.80000000,20.61722290
1510826820000,0.01200000,0.01229900,0.01200000,0.01229900,21.93000000,1510826879999,0.26613505,2,21.93000000,0.26613505
1510826880000,0.01150000,0.01199900,0.01150000,0.01199900,230.07000000,1510826939999,2.66080993,3,30.07000000,0.36080993
1510826940000,0.01150000,0.01150000,0.01150000,0.01150000,100.00000000,1510826999999,1.15000000,1,100.00000000,1.15000000
1510827000000,0.01150000,0.01150000,0.01110000,0.01110000,845.73000000,1510827059999,9.49044300,7,165.46000000,1.90279000
1510827060000,0.01140000,0.01140000,0.01130000,0.01130000,1097.54000000,1510827119999,12.40320200,3,1097.54000000,12.40320200
1510827120000,0.01130000,0.01130000,0.01130000,0.01130000,0.00000000,1510827179999,0.00000000,0,0.00000000,0.00000000
1510827180000,0.01120000,0.01120000,0.01100000,0.01100000,199.57000000,1510827239999,2.20618664,5,0.00000000,0.00000000
1510827240000,0.01100100,0.01109800,0.01100000,0.01109800,620.96000000,1510827299999,6.84120099,9,104.46000000,1.15924360
1510827300000,0.01109500,0.01109600,0.01109500,0.01109600,706.84000000,1510827359999,7.84308980,7,706.84000000,7.84308980
1510827360000,0.01109600,0.01109600,0.01109600,0.01109600,0.00000000,1510827419999,0.00000000,0,0.00000000,0.00000000
1510827420000,0.01100000,0.01100000,0.01100000,0.01100000,38.48000000,1510827479999,0.42328000,2,38.48000000,0.42328000
1510827480000,0.01091000,0.01109900,0.01091000,0.01109900,236.59000000,1510827539999,2.60888000,4,197.59000000,2.18339000
1510827540000,0.01110000,0.01110000,0.01110000,0.01110000,287.00000000,1510827599999,3.18570000,1,287.00000000,3.18570000
