Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1510887540000,0.00022700,0.00022700,0.00022700,0.00022700,5.00000000,1510887599999,0.00113500,1,0.00000000,0.00000000
1510887600000,0.00022700,0.00022700,0.00022700,0.00022700,0.00000000,1510887659999,0.00000000,0,0.00000000,0.00000000
1510887660000,0.00026700,0.00268500,0.00026700,0.00268500,1459.87000000,1510887719999,0.49869201,2,1459.87000000,0.49869201
1510887720000,0.00180000,0.00180000,0.00130000,0.00130000,77.31000000,1510887779999,0.11007300,3,77.31000000,0.11007300
1510887780000,0.00130000,0.00130000,0.00130000,0.00130000,0.00000000,1510887839999,0.00000000,0,0.00000000,0.00000000
1510887840000,0.00050000,0.00083000,0.00050000,0.00079000,684.09000000,1510887899999,0.49702510,3,684.09000000,0.49702510
1510887900000,0.00079000,0.00079000,0.00079000,0.00079000,0.00000000,1510887959999,0.00000000,0,0.00000000,0.00000000
1510887960000,0.00031000,0.00044000,0.00031000,0.00044000,1219.29000000,1510888019999,0.43252790,2,419.60000000,0.18462400
1510888020000,0.00033000,0.00038000,0.00031110,0.00037990,1842.81000000,1510888079999,0.61194754,12,574.75000000,0.19704986
1510888080000,0.00037960,0.00037990,0.00035000,0.00037900,3051.28000000,1510888139999,1.15511587,7,2793.40000000,1.06059429
1510888140000,0.00037890,0.00039990,0.00037890,0.00039890,8610.68000000,1510888199999,3.31004652,15,5605.93000000,2.16007824
1510888200000,0.00039800,0.00039990,0.00035000,0.00035030,4128.80000000,1510888259999,1.57462911,13,1446.34000000,0.57524909
1510888260000,0.00036010,0.00036010,0.00036010,0.00036010,69.00000000,1510888319999,0.02484690,1,0.00000000,0.00000000
1510888320000,0.00036010,0.00036990,0.00036000,0.00036000,1201.27000000,1510888379999,0.43290432,10,1028.09000000,0.37029545
1510888380000,0.00035980,0.00035980,0.00035000,0.00035000,3604.84000000,1510888439999,1.27109519,19,517.96000000,0.18621202
1510888440000,0.00035000,0.00035000,0.00035000,0.00035000,15.12000000,1510888499999,0.00529200,2,15.12000000,0.00529200
1510888500000,0.00035000,0.00035000,0.00035000,0.00035000,0.00000000,1510888559999,0.00000000,0,0.00000000,0.00000000
1510888560000,0.00035000,0.00035000,0.00035000,0.00035000,0.00000000,1510888619999,0.00000000,0,0.00000000,0.00000000
1510888620000,0.00035550,0.00036480,0.00035550,0.00036480,229.68000000,1510888679999,0.08265014,6,209.68000000,0.07554014
1510888680000,0.00036470,0.00036500,0.00036470,0.00036500,723.04000000,1510888739999,0.26386900,3,656.52000000,0.23960916
1510888740000,0.00037000,0.00039770,0.00037000,0.00039000,314.88000000,1510888799999,0.12372544,3,314.88000000,0.12372544
1510888800000,0.00039000,0.00039990,0.00039000,0.00039990,2048.56000000,1510888859999,0.81467461,7,60.50000000,0.02402316
