Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1511343720000,0.01200000,0.01200000,0.01200000,0.01200000,111.51000000,1511343779999,1.33812000,3,111.51000000,1.33812000
1511343780000,0.01200000,0.01200000,0.01200000,0.01200000,0.00000000,1511343839999,0.00000000,0,0.00000000,0.00000000
1511343840000,0.00680000,0.00680000,0.00119000,0.00119000,122.41000000,1511343899999,0.26975400,4,22.51000000,0.15087300
1511343900000,0.00400000,0.00400000,0.00220000,0.00220000,6.07000000,1511343959999,0.01515400,2,6.07000000,0.01515400
1511343960000,0.00130040,0.00150000,0.00130040,0.00150000,467.94000000,1511344019999,0.61016383,8,249.56000000,0.32618249
1511344020000,0.00130040,0.00130040,0.00123110,0.00130000,375.81000000,1511344079999,0.48174099,9,158.66000000,0.20076735
1511344080000,0.00129990,0.00129990,0.00129750,0.00129750,297.45000000,1511344139999,0.38611066,3,297.45000000,0.38611066
1511344140000,0.00123040,0.00127990,0.00122000,0.00125000,1577.28000000,1511344199999,1.93502282,11,127.60000000,0.15906752
1511344200000,0.00123990,0.00123990,0.00121990,0.00121990,178.52000000,1511344259999,0.21906973,9,116.51000000,0.14341753
1511344260000,0.00123880,0.00123880,0.00123880,0.00123880,51.54000000,1511344319999,0.06384775,2,51.54000000,0.06384775
1511344320000,0.00123680,0.00123730,0.00123680,0.00123730,69.12000000,1511344379999,0.08551502,2,69.12000000,0.08551502
1511344380000,0.00123470,0.00123600,0.00122880,0.00122880,1495.12000000,1511344439999,1.84637558,14,1489.65000000,1.83965405
1511344440000,0.00123450,0.00123600,0.00122000,0.00122000,928.41000000,1511344499999,1.14613998,11,918.70000000,1.13421608
1511344500000,0.00122000,0.00123380,0.00120010,0.00120010,1005.33000000,1511344559999,1.23011591,11,468.37000000,0.57504521
1511344560000,0.00120010,0.00120010,0.00120010,0.00120010,82.62000000,1511344619999,0.09915225,3,0.00000000,0.00000000
1511344620000,0.00120020,0.00121890,0.00120020,0.00121870,108.49000000,1511344679999,0.13196563,4,100.73000000,0.12265208
1511344680000,0.00121000,0.00121000,0.00121000,0.00121000,121.41000000,1511344739999,0.14690610,3,88.87000000,0.10753270
1511344740000,0.00121100,0.00121100,0.00121000,0.00121000,307.86000000,1511344799999,0.37276973,3,0.00000000,0.00000000
1511344800000,0.00120990,0.00122700,0.00120990,0.00122700,1024.19000000,1511344859999,1.24912805,24,974.89000000,1.18917925
1511344860000,0.00122700,0.00122700,0.00120180,0.00120180,111.76000000,1511344919999,0.13541002,6,17.40000000,0.02134980
1511344920000,0.00122680,0.00122680,0.00122500,0.00122500,35.42000000,1511344979999,0.04343529,2,35.42000000,0.04343529
1511344980000,0.00122490,0.00122690,0.00122490,0.00122690,282.14000000,1511345039999,0.34600469,5,282.14000000,0.34600469
1511345040000,0.00122690,0.00122690,0.00122650,0.00122690,207.95000000,1511345099999,0.25512584,4,207.95000000,0.25512584
1511345100000,0.00122690,0.00122690,0.00122690,0.00122690,277.23000000,1511345159999,0.34013346,6,277.23000000,0.34013346
1511345160000,0.00122690,0.00122690,0.00122690,0.00122690,166.30000000,1511345219999,0.20403345,3,41.51000000,0.05092861
1511345220000,0.00122690,0.00122690,0.00122690,0.00122690,0.00000000,1511345279999,0.00000000,0,0.00000000,0.00000000
1511345280000,0.00122880,0.00123000,0.00122690,0.00123000,488.55000000,1511345339999,0.59959987,11,135.44000000,0.16635243
1511345340000,0.00123000,0.00123000,0.00123000,0.00123000,86.96000000,1511345399999,0.10696080,4,86.96000000,0.10696080
1511345400000,0.00123070,0.00125800,0.00123070,0.00124000,2656.46000000,1511345459999,3.27978752,18,2518.22000000,3.10646212
1511345460000,0.00125000,0.00126000,0.00125000,0.00126000,500.00000000,1511345519999,0.62990410,6,237.54000000,0.29920450
1511345520000,0.00126700,0.00126700,0.00126700,0.00126700,57.91000000,1511345579999,0.07337197,3,12.75000000,0.01615425
