Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1511490900000,0.00004000,0.00004000,0.00004000,0.00004000,1000.00000000,1511490959999,0.04000000,1,0.00000000,0.00000000
1511490960000,0.00004000,0.00004000,0.00004000,0.00004000,0.00000000,1511491019999,0.00000000,0,0.00000000,0.00000000
1511491020000,0.00004000,0.00004000,0.00004000,0.00004000,0.00000000,1511491079999,0.00000000,0,0.00000000,0.00000000
1511491080000,0.00004000,0.00004000,0.00004000,0.00004000,0.00000000,1511491139999,0.00000000,0,0.00000000,0.00000000
1511491140000,0.00004000,0.00004000,0.00004000,0.00004000,0.00000000,1511491199999,0.00000000,0,0.00000000,0.00000000
1511491200000,0.00004609,0.00004709,0.00004609,0.00004709,32123.00000000,1511491259999,1.50095607,2,0.00000000,0.00000000
1511491260000,0.00004709,0.00004709,0.00004709,0.00004709,0.00000000,1511491319999,0.00000000,0,0.00000000,0.00000000
1511491320000,0.00006991,0.00006992,0.00006991,0.00006992,39774.00000000,1511491379999,2.78088105,4,39774.00000000,2.78088105
1511491380000,0.00007994,0.00007997,0.00007994,0.00007995,111711.00000000,1511491439999,8.93210967,11,111403.00000000,8.90748507
1511491440000,0.00007994,0.00007994,0.00004600,0.00004600,177617.00000000,1511491499999,10.56947957,11,30295.00000000,2.42178230
1511491500000,0.00004601,0.00004601,0.00004500,0.00004500,174967.00000000,1511491559999,8.02149838,4,0.00000000,0.00000000
1511491560000,0.00004500,0.00005000,0.00004500,0.00005000,28401.00000000,1511491619999,1.41502000,3,27395.00000000,1.36975000
1511491620000,0.00005000,0.00006800,0.00005000,0.00005000,217538.00000000,1511491679999,10.97739400,12,211128.00000000,10.65689400
1511491680000,0.00005000,0.00005010,0.00004505,0.00004505,290964.00000000,1511491739999,14.52104870,19,54584.00000000,2.72920000
1511491740000,0.00004571,0.00004571,0.00004571,0.00004571,10275.00000000,1511491799999,0.46967025,2,0.00000000,0.00000000
1511491800000,0.00004573,0.00004573,0.00004500,0.00004500,230220.00000000,1511491859999,10.43137127,14,0.00000000,0.00000000
1511491860000,0.00004200,0.00004499,0.00004000,0.00004000,107915.00000000,1511491919999,4.46251364,10,44137.00000000,1.82981064
1511491920000,0.00004000,0.00004200,0.00004000,0.00004200,18193.00000000,1511491979999,0.76216509,5,18193.00000000,0.76216509
1511491980000,0.00004200,0.00004200,0.00004200,0.00004200,24900.00000000,1511492039999,1.04580000,3,6900.00000000,0.28980000
1511492040000,0.00004100,0.00004300,0.00004100,0.00004288,408967.00000000,1511492099999,17.14448092,21,328400.00000000,13.83212599
1511492100000,0.00004288,0.00004400,0.00004200,0.00004289,289256.00000000,1511492159999,12.46168355,16,252108.00000000,10.86844087
1511492160000,0.00004289,0.00004289,0.00004280,0.00004289,221364.00000000,1511492219999,9.48134961,8,187491.00000000,8.02853664
1511492220000,0.00004289,0.00004400,0.00004289,0.00004289,582899.00000000,1511492279999,25.47676768,16,221028.00000000,9.58056265
1511492280000,0.00004290,0.00004389,0.00004289,0.00004389,241012.00000000,1511492339999,10.54064948,7,53936.00000000,2.36725104
1511492340000,0.00004290,0.00004380,0.00004289,0.00004291,72781.00000000,1511492399999,3.13281846,8,11466.00000000,0.50221080
1511492400000,0.00004295,0.00004295,0.00004005,0.00004005,245746.00000000,1511492459999,10.33683841,16,0.00000000,0.00000000
1511492460000,0.00004004,0.00004102,0.00003710,0.00004102,1339313.00000000,1511492519999,53.80118112,22,408279.00000000,16.55812574
1511492520000,0.00004102,0.00004102,0.00003945,0.00003945,20396.00000000,1511492579999,0.83297954,3,18062.00000000,0.74090324
1511492580000,0.00004100,0.00004100,0.00004100,0.00004100,31029.00000000,1511492639999,1.27218900,2,31029.00000000,1.27218900
1511492640000,0.00004003,0.00004175,0.00004002,0.00004175,69491.00000000,1511492699999,2.80618993,4,14181.00000000,0.59205675
1511492700000,0.00004170,0.00004170,0.00004170,0.00004170,31963.00000000,1511492759999,1.33285710,1,31963.00000000,1.33285710
