Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1511172900000,0.00000068,0.00000068,0.00000068,0.00000068,10000.00000000,1511172959999,0.00680000,1,0.00000000,0.00000000
1511172960000,0.00000068,0.00000068,0.00000068,0.00000068,0.00000000,1511173019999,0.00000000,0,0.00000000,0.00000000
1511173020000,0.00000068,0.00000068,0.00000068,0.00000068,0.00000000,1511173079999,0.00000000,0,0.00000000,0.00000000
1511173080000,0.00000090,0.00000090,0.00000090,0.00000090,104759.00000000,1511173139999,0.09428310,2,102759.00000000,0.09248310
1511173140000,0.00000110,0.00000130,0.00000100,0.00000119,1067115.00000000,1511173199999,1.26855476,18,833136.00000000,1.01975184
1511173200000,0.00000119,0.00000155,0.00000118,0.00000129,675109.00000000,1511173259999,0.84916041,16,357357.00000000,0.44570964
1511173260000,0.00000133,0.00000154,0.00000132,0.00000135,729484.00000000,1511173319999,1.01362270,16,239397.00000000,0.35762327
1511173320000,0.00000134,0.00000136,0.00000130,0.00000136,556267.00000000,1511173379999,0.74907108,18,15691.00000000,0.02102669
1511173380000,0.00000130,0.00000131,0.00000117,0.00000117,67877.00000000,1511173439999,0.08519483,11,63738.00000000,0.08023803
1511173440000,0.00000108,0.00000170,0.00000108,0.00000170,2432338.00000000,1511173499999,3.18451237,43,2150087.00000000,2.86420921
1511173500000,0.00000127,0.00000130,0.00000126,0.00000130,971474.00000000,1511173559999,1.23830960,21,265325.00000000,0.33966250
1511173560000,0.00000130,0.00000130,0.00000122,0.00000130,499339.00000000,1511173619999,0.62104992,11,81401.00000000,0.10578005
1511173620000,0.00000130,0.00000130,0.00000120,0.00000125,589993.00000000,1511173679999,0.71613646,11,5000.00000000,0.00650000
1511173680000,0.00000126,0.00000128,0.00000125,0.00000125,172463.00000000,1511173739999,0.21657191,11,4101.00000000,0.00524908
1511173740000,0.00000126,0.00000133,0.00000126,0.00000133,547858.00000000,1511173799999,0.71651500,22,444356.00000000,0.58426682
1511173800000,0.00000133,0.00000144,0.00000126,0.00000134,902748.00000000,1511173859999,1.22292630,44,195535.00000000,0.26843367
1511173860000,0.00000138,0.00000139,0.00000133,0.00000133,1379082.00000000,1511173919999,1.87109450,45,471570.00000000,0.64700706
1511173920000,0.00000133,0.00000142,0.00000133,0.00000140,2031361.00000000,1511173979999,2.79808547,65,657875.00000000,0.91308956
1511173980000,0.00000136,0.00000149,0.00000136,0.00000143,911037.00000000,1511174039999,1.29174493,39,211692.00000000,0.30506267
