Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1510027800000,0.10000000,0.10000000,0.10000000,0.10000000,100.00000000,1510027859999,10.00000000,1,0.00000000,0.00000000
1510027860000,0.10000000,0.10000000,0.10000000,0.10000000,0.00000000,1510027919999,0.00000000,0,0.00000000,0.00000000
1510027920000,0.14500000,0.14500000,0.14000000,0.14000000,11445.50000000,1510027979999,1611.69430000,9,9544.52000000,1336.23280000
1510027980000,0.14000000,0.14000000,0.14000000,0.14000000,0.00000000,1510028039999,0.00000000,0,0.00000000,0.00000000
1510028040000,0.14470000,0.14470000,0.14000000,0.14000000,38909.09000000,1510028099999,5456.85894100,12,6287.99000000,889.69994100
1510028100000,0.14000000,0.14380000,0.14000000,0.14380000,27261.22000000,1510028159999,3841.78444600,9,8895.40000000,1270.56964600
1510028160000,0.13990000,0.13990000,0.13990000,0.13990000,13.38000000,1510028219999,1.87186200,1,13.38000000,1.87186200
1510028220000,0.13990000,0.13990000,0.13990000,0.13990000,0.00000000,1510028279999,0.00000000,0,0.00000000,0.00000000
1510028280000,0.13990000,0.13990000,0.13990000,0.13990000,0.00000000,1510028339999,0.00000000,0,0.00000000,0.00000000
1510028340000,0.13990000,0.13990000,0.13990000,0.13990000,1000.00000000,1510028399999,139.90000000,2,0.00000000,0.00000000
1510028400000,0.13990000,0.13990000,0.13990000,0.13990000,995.00000000,1510028459999,139.20050000,1,995.00000000,139.20050000
1510028460000,0.13800000,0.13990000,0.13800000,0.13990000,11102.38000000,1510028519999,1540.69823700,3,11102.38000000,1540.69823700
1510028520000,0.13980000,0.13980000,0.13980000,0.13980000,878.67000000,1510028579999,122.83806600,1,878.67000000,122.83806600
1510028580000,0.13700000,0.13890000,0.13700000,0.13890000,610.00000000,1510028639999,84.53900000,3,610.00000000,84.53900000
1510028640000,0.13500000,0.13890000,0.13500000,0.13890000,17.93000000,1510028699999,2.45927700,2,9.93000000,1.37927700
1510028700000,0.13890000,0.13990000,0.13890000,0.13980000,2414.48000000,1510028759999,337.47624500,6,1335.13000000,186.58311500
1510028760000,0.13980000,0.15300000,0.13980000,0.15300000,21668.55000000,1510028819999,3111.97815600,10,15488.33000000,2215.84625600
1510028820000,0.15300000,0.15500000,0.14400000,0.15490000,34465.32000000,1510028879999,5297.99241000,16,18943.44000000,2927.64477000
1510028880000,0.15400000,0.15400000,0.13630000,0.13630000,10709.14000000,1510028939999,1614.21420500,7,2312.14000000,356.06956000
1510028940000,0.13630000,0.13630000,0.13630000,0.13630000,0.00000000,1510028999999,0.00000000,0,0.00000000,0.00000000
1510029000000,0.13630000,0.13630000,0.13630000,0.13630000,0.00000000,1510029059999,0.00000000,0,0.00000000,0.00000000
1510029060000,0.13630000,0.13630000,0.13630000,0.13630000,0.00000000,1510029119999,0.00000000,0,0.00000000,0.00000000
1510029120000,0.13630000,0.13630000,0.13630000,0.13630000,0.00000000,1510029179999,0.00000000,0,0.00000000,0.00000000
1510029180000,0.13920000,0.13920000,0.13630000,0.13630000,2376.00000000,1510029239999,328.84084500,5,0.00000000,0.00000000
1510029240000,0.13630000,0.13630000,0.13630000,0.13630000,0.00000000,1510029299999,0.00000000,0,0.00000000,0.00000000
1510029300000,0.13630000,0.13630000,0.13630000,0.13630000,0.00000000,1510029359999,0.00000000,0,0.00000000,0.00000000
1510029360000,0.13800000,0.13800000,0.13800000,0.13800000,994.00000000,1510029419999,137.17200000,1,0.00000000,0.00000000
1510029420000,0.14430000,0.14430000,0.13800000,0.13800000,2136.78000000,1510029479999,308.04289200,3,2090.04000000,301.59277200
1510029480000,0.13800000,0.13800000,0.13800000,0.13800000,22.48000000,1510029539999,3.10224000,1,0.00000000,0.00000000
1510029540000,0.13800000,0.13800000,0.13800000,0.13800000,0.00000000,1510029599999,0.00000000,0,0.00000000,0.00000000
1510029600000,0.13800000,0.13800000,0.13800000,0.13800000,0.00000000,1510029659999,0.00000000,0,0.00000000,0.00000000
1510029660000,0.13810000,0.13810000,0.13630000,0.13630000,6717.40000000,1510029719999,924.17936700,7,0.00000000,0.00000000
1510029720000,0.14450000,0.14450000,0.14450000,0.14450000,621.00000000,1510029779999,89.73450000,1,621.00000000,89.73450000
1510029780000,0.14450000,0.14450000,0.14450000,0.14450000,10.00000000,1510029839999,1.44500000,1,10.00000000,1.44500000
1510029840000,0.14000000,0.14000000,0.14000000,0.14000000,3981.00000000,1510029899999,557.34000000,4,0.00000000,0.00000000
1510029900000,0.14050000,0.14050000,0.14000000,0.14000000,2820.28000000,1510029959999,395.18780000,5,378.38000000,52.97320000
1510029960000,0.14000000,0.14390000,0.14000000,0.14390000,2996.67000000,1510030019999,419.92380000,3,1374.55000000,192.82700000
1510030020000,0.14390000,0.14390000,0.14390000,0.14390000,2542.97000000,1510030079999,365.93338300,1,2542.97000000,365.93338300
1510030080000,0.14000000,0.14000000,0.13640000,0.13640000,5334.21000000,1510030139999,738.17234400,5,0.00000000,0.00000000
