Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1510118400000,0.10000000,0.10000000,0.09900000,0.09900000,4969.00000000,1510118459999,493.90224000,4,2997.76000000,296.77824000
1510118460000,0.09900000,0.09900000,0.09900000,0.09900000,9967.00000000,1510118519999,986.73300000,14,2.36000000,0.23364000
1510118520000,0.09900000,0.09900000,0.09900000,0.09900000,1985.00000000,1510118579999,196.51500000,3,0.00000000,0.00000000
1510118580000,0.09900000,0.15000000,0.09900000,0.10000000,22839.49000000,1510118639999,2316.26250000,16,885.21000000,132.69378000
1510118640000,0.10000000,0.15000000,0.09000000,0.12000000,39841.94000000,1510118699999,4472.63490000,31,868.21000000,129.90505000
1510118700000,0.12500000,0.15000000,0.10000000,0.12490000,41163.08000000,1510118759999,4723.82806300,38,4435.69000000,588.31406300
1510118760000,0.12490000,0.14900000,0.12000000,0.14900000,68123.17000000,1510118819999,9079.57691700,40,36123.18000000,5083.16656700
1510118820000,0.14900000,0.14900000,0.12500000,0.14750000,66629.39000000,1510118879999,9909.92680780,22,66456.39000000,9888.30180780
1510118880000,0.13000000,0.14750000,0.13000000,0.13010000,42635.36000000,1510118939999,5852.96775000,34,2204.76000000,317.67102500
1510118940000,0.13011000,0.13011000,0.13000000,0.13000000,43774.92000000,1510118999999,5691.58660740,22,6605.37000000,858.69810000
1510119000000,0.13000000,0.13000000,0.13000000,0.13000000,10750.65000000,1510119059999,1397.58450000,11,0.73000000,0.09490000
1510119060000,0.13000000,0.13000000,0.13000000,0.13000000,672.43000000,1510119119999,87.41590000,2,672.43000000,87.41590000
1510119120000,0.13000000,0.13000000,0.12980000,0.12980000,26630.53000000,1510119179999,3459.36923100,10,11505.35000000,1494.60834900
1510119180000,0.12001000,0.12001000,0.10100000,0.10100000,25756.84000000,1510119239999,2706.44044150,11,0.00000000,0.00000000
1510119240000,0.10100000,0.10100000,0.10100000,0.10100000,0.00000000,1510119299999,0.00000000,0,0.00000000,0.00000000
1510119300000,0.11900000,0.12400000,0.10300000,0.10300000,17944.52000000,1510119359999,2107.52034640,7,11181.85000000,1384.49126640
1510119360000,0.12000000,0.12400000,0.11000000,0.11000000,51368.60000000,1510119419999,6134.74004000,29,15557.68000000,1824.04064000
1510119420000,0.10501000,0.13000000,0.10501000,0.10600000,37950.54000000,1510119479999,4545.77306370,29,8561.51000000,1086.37805400
1510119480000,0.10600000,0.10600000,0.10002000,0.10002000,204671.71000000,1510119539999,21358.37003450,78,399.24000000,42.31628340
1510119540000,0.10100000,0.11500000,0.10000000,0.10000000,124352.15000000,1510119599999,12536.96075120,40,566.14000000,65.10610000
1510119600000,0.10000000,0.10001000,0.09000000,0.10000000,31427.82000000,1510119659999,3113.60070870,21,1.49000000,0.14900000
1510119660000,0.10000000,0.10000000,0.09001000,0.10000000,13516.66000000,1510119719999,1341.12655000,5,12461.66000000,1246.16600000
1510119720000,0.09999000,0.09999000,0.09000000,0.09000000,10406.36000000,1510119779999,937.48827260,9,83.29000000,8.32816710
1510119780000,0.09900000,0.09900000,0.09900000,0.09900000,300.00000000,1510119839999,29.70000000,1,300.00000000,29.70000000
1510119840000,0.09900000,0.09900000,0.09900000,0.09900000,0.00000000,1510119899999,0.00000000,0,0.00000000,0.00000000
1510119900000,0.09800000,0.09800000,0.09500000,0.09500000,1421.32000000,1510119959999,138.02540000,3,1421.32000000,138.02540000
1510119960000,0.09020000,0.09450000,0.09020000,0.09450000,10494.82000000,1510120019999,986.36345300,5,8527.12000000,805.23176000
1510120020000,0.09780000,0.09780000,0.09450000,0.09452000,24151.65000000,1510120079999,2292.82177700,16,1320.28000000,129.12075200
1510120080000,0.09452000,0.09778000,0.09452000,0.09778000,9394.94000000,1510120139999,894.63160880,8,1000.94000000,97.86930000
1510120140000,0.09780000,0.09800000,0.08500000,0.09800000,51120.55000000,1510120199999,4980.88803580,23,39432.55000000,3860.16364670
1510120200000,0.09800000,0.09800000,0.09800000,0.09800000,0.00000000,1510120259999,0.00000000,0,0.00000000,0.00000000
1510120260000,0.09798000,0.09798000,0.08502000,0.08502000,8153.69000000,1510120319999,788.75067380,7,3987.69000000,390.71386620
1510120320000,0.09000000,0.09000000,0.09000000,0.09000000,1382.00000000,1510120379999,124.38000000,7,0.00000000,0.00000000
1510120380000,0.09000000,0.09000000,0.08600000,0.08600000,52623.16000000,1510120439999,4536.25697520,9,4764.85000000,409.77710000
1510120440000,0.08600000,0.08600000,0.08600000,0.08600000,0.01000000,1510120499999,0.00086000,1,0.01000000,0.00086000
1510120500000,0.08700000,0.08700000,0.08700000,0.08700000,6524.10000000,1510120559999,567.59670000,2,0.00000000,0.00000000
1510120560000,0.08700000,0.08711000,0.08602000,0.08602000,31457.90000000,1510120619999,2735.53484720,8,1424.90000000,123.96630000
1510120620000,0.08998000,0.08998000,0.08600000,0.08600000,65555.93000000,1510120679999,5643.97128760,11,129.18000000,11.62361640
1510120680000,0.08611000,0.08611000,0.08600000,0.08600000,34848.26000000,1510120739999,2999.05567860,9,0.00000000,0.00000000
1510120740000,0.08600000,0.08989000,0.08600000,0.08989000,4881.44000000,1510120799999,428.24794440,3,2171.44000000,195.18794440
1510120800000,0.08989000,0.08989000,0.08989000,0.08989000,0.00000000,1510120859999,0.00000000,0,0.00000000,0.00000000
1510120860000,0.08603000,0.08603000,0.08603000,0.08603000,2268.10000000,1510120919999,195.12464300,1,0.00000000,0.00000000
1510120920000,0.08603000,0.08603000,0.08603000,0.08603000,0.00000000,1510120979999,0.00000000,0,0.00000000,0.00000000
1510120980000,0.08603000,0.08603000,0.08600000,0.08601000,103398.77000000,1510121039999,8892.46557140,8,0.00000000,0.00000000
1510121040000,0.08500000,0.08500000,0.08105000,0.08107000,4230.27000000,1510121099999,344.10413880,4,0.00000000,0.00000000
1510121100000,0.08107000,0.08111000,0.08107000,0.08111000,4777.00000000,1510121159999,387.31667000,4,0.00000000,0.00000000
1510121160000,0.08110000,0.08110000,0.08110000,0.08110000,1600.00000000,1510121219999,129.76000000,4,0.00000000,0.00000000
1510121220000,0.08110000,0.08110000,0.08107000,0.08107000,15781.37000000,1510121279999,1279.65061700,11,0.00000000,0.00000000
1510121280000,0.08107000,0.08107000,0.08107000,0.08107000,0.00000000,1510121339999,0.00000000,0,0.00000000,0.00000000
1510121340000,0.08107000,0.08107000,0.08105000,0.08105000,9602.47000000,1510121399999,778.30093470,10,0.00000000,0.00000000
1510121400000,0.08107000,0.08108000,0.08105000,0.08105000,78019.00000000,1510121459999,6324.05704800,9,0.00000000,0.00000000
1510121460000,0.08105000,0.08108000,0.08000000,0.08105000,26398.98000000,1510121519999,2134.76228700,15,4253.32000000,344.83916740
1510121520000,0.08105000,0.08105000,0.08010000,0.08010000,52872.09000000,1510121579999,4235.40855950,10,372.79000000,30.21462950
1510121580000,0.08010000,0.08011000,0.08010000,0.08010000,16285.16000000,1510121639999,1304.46724760,9,2593.16000000,207.73804760
1510121640000,0.08010000,0.08011000,0.08010000,0.08010000,6661.78000000,1510121699999,533.62777580,5,210.80000000,16.88718800
1510121700000,0.08010000,0.08011000,0.07905000,0.08011000,92360.12000000,1510121759999,7393.70209170,15,8587.05000000,687.73894820
1510121760000,0.08011000,0.08108000,0.08011000,0.08108000,1413.56000000,1510121819999,114.52942160,2,1413.56000000,114.52942160
1510121820000,0.08108000,0.08108000,0.08108000,0.08108000,0.00000000,1510121879999,0.00000000,0,0.00000000,0.00000000
1510121880000,0.08108000,0.08108000,0.08108000,0.08108000,0.00000000,1510121939999,0.00000000,0,0.00000000,0.00000000
1510121940000,0.08099000,0.08099000,0.08099000,0.08099000,1639.28000000,1510121999999,132.76528720,2,1639.28000000,132.76528720
1510122000000,0.08100000,0.08100000,0.08100000,0.08100000,42873.75000000,1510122059999,3472.77375000,2,41120.00000000,3330.72000000
1510122060000,0.08100000,0.08100000,0.08100000,0.08100000,4000.25000000,1510122119999,324.02025000,2,4000.25000000,324.02025000
1510122120000,0.08100000,0.08100000,0.08100000,0.08100000,0.00000000,1510122179999,0.00000000,0,0.00000000,0.00000000
1510122180000,0.08100000,0.08100000,0.08100000,0.08100000,987.00000000,1510122239999,79.94700000,2,0.00000000,0.00000000
1510122240000,0.08100000,0.08100000,0.08001000,0.08100000,28904.23000000,1510122299999,2340.66074760,10,14012.23000000,1134.99063000
1510122300000,0.08100000,0.08100000,0.08001000,0.08001000,32459.45000000,1510122359999,2600.05059450,10,3000.00000000,243.00000000
1510122360000,0.08259000,0.08259000,0.08001000,0.08001000,12254.36000000,1510122419999,1005.39632930,4,3866.29000000,319.31689110
1510122420000,0.08001000,0.08001000,0.08001000,0.08001000,0.00000000,1510122479999,0.00000000,0,0.00000000,0.00000000
1510122480000,0.08001000,0.08001000,0.08001000,0.08001000,0.00000000,1510122539999,0.00000000,0,0.00000000,0.00000000
1510122540000,0.08003000,0.08003000,0.08002000,0.08002000,19850.08000000,1510122599999,1588.50810220,3,0.00000000,0.00000000
1510122600000,0.08002000,0.08002000,0.08002000,0.08002000,704.00000000,1510122659999,56.33408000,1,0.00000000,0.00000000
1510122660000,0.08003000,0.08003000,0.07811000,0.07811000,11992.00000000,1510122719999,955.27515450,8,0.00000000,0.00000000
1510122720000,0.07815000,0.07815000,0.07813000,0.07813000,1258.00000000,1510122779999,98.29354000,2,0.00000000,0.00000000
1510122780000,0.07814000,0.07814000,0.07813000,0.07814000,6151.00000000,1510122839999,480.59100000,6,0.21000000,0.01640940
1510122840000,0.07815000,0.07815000,0.07755000,0.07755000,25679.76000000,1510122899999,2001.47814540,14,0.00000000,0.00000000
1510122900000,0.07612000,0.07612000,0.07611000,0.07611000,2261.40000000,1510122959999,172.11799800,3,0.00000000,0.00000000
1510122960000,0.07612000,0.07612000,0.07611000,0.07611000,988.36000000,1510123019999,75.22965320,3,357.36000000,27.20224320
1510123020000,0.07611000,0.08066000,0.07611000,0.08066000,3770.64000000,1510123079999,289.66110200,36,588.64000000,47.47908200
1510123080000,0.08066000,0.08066000,0.08066000,0.08066000,11.36000000,1510123139999,0.91629760,1,0.00000000,0.00000000
1510123140000,0.08116000,0.08116000,0.08116000,0.08116000,250.00000000,1510123199999,20.29000000,1,250.00000000,20.29000000
1510123200000,0.08115000,0.08115000,0.07600000,0.07600000,14361.64000000,1510123259999,1118.94810950,7,1881.75000000,152.70401250
1510123260000,0.07600000,0.07600000,0.07600000,0.07600000,0.00000000,1510123319999,0.00000000,0,0.00000000,0.00000000
1510123320000,0.07600000,0.07600000,0.07600000,0.07600000,0.00000000,1510123379999,0.00000000,0,0.00000000,0.00000000
