Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1510118280000,0.00002997,0.00002997,0.00002590,0.00002590,1053.00000000,1510118339999,0.03039709,5,1053.00000000,0.03039709
1510118340000,0.00002590,0.00002590,0.00002590,0.00002590,0.00000000,1510118399999,0.00000000,0,0.00000000,0.00000000
1510118400000,0.00002389,0.00002389,0.00002389,0.00002389,15413.00000000,1510118459999,0.36821657,3,15413.00000000,0.36821657
1510118460000,0.00002299,0.00002299,0.00002269,0.00002269,14967.00000000,1510118519999,0.34117176,9,14967.00000000,0.34117176
1510118520000,0.00002239,0.00002239,0.00002239,0.00002239,5065.00000000,1510118579999,0.11340535,2,5065.00000000,0.11340535
1510118580000,0.00002233,0.00002233,0.00002228,0.00002228,1441.00000000,1510118639999,0.03211238,3,1441.00000000,0.03211238
1510118640000,0.00002227,0.00002388,0.00002221,0.00002350,94647.00000000,1510118699999,2.12697242,19,91494.00000000,2.05659746
1510118700000,0.00002350,0.00002450,0.00002350,0.00002450,25483.00000000,1510118759999,0.60442850,15,24679.00000000,0.58552855
1510118760000,0.00002999,0.00002999,0.00002940,0.00002940,23714.00000000,1510118819999,0.70309237,15,22841.00000000,0.67698967
1510118820000,0.00002847,0.00002850,0.00002595,0.00002698,23234.00000000,1510118879999,0.62700929,9,17247.00000000,0.47164664
1510118880000,0.00002698,0.00003400,0.00002697,0.00002700,31629.00000000,1510118939999,0.93708170,22,27088.00000000,0.79563696
1510118940000,0.00003300,0.00003300,0.00003299,0.00003300,14869.00000000,1510118999999,0.49067496,6,12983.00000000,0.42843696
1510119000000,0.00003300,0.00003300,0.00003300,0.00003300,9535.00000000,1510119059999,0.31465500,2,9535.00000000,0.31465500
1510119060000,0.00003300,0.00003300,0.00003200,0.00003200,17738.00000000,1510119119999,0.58206098,13,8625.00000000,0.28454403
1510119120000,0.00003299,0.00003299,0.00002801,0.00003100,26639.00000000,1510119179999,0.81880679,9,17041.00000000,0.54750794
1510119180000,0.00003000,0.00003070,0.00002801,0.00002801,96051.00000000,1510119239999,2.74945935,26,12550.00000000,0.38528500
1510119240000,0.00002801,0.00002802,0.00002800,0.00002800,100542.00000000,1510119299999,2.81586594,28,0.00000000,0.00000000
1510119300000,0.00002800,0.00002800,0.00002450,0.00002450,14552.00000000,1510119359999,0.38741970,13,0.00000000,0.00000000
1510119360000,0.00002798,0.00002864,0.00002750,0.00002864,14880.00000000,1510119419999,0.42113853,12,14880.00000000,0.42113853
1510119420000,0.00002551,0.00002800,0.00002357,0.00002357,114306.00000000,1510119479999,2.81206623,38,5645.00000000,0.15805910
1510119480000,0.00002401,0.00002452,0.00002357,0.00002413,148132.00000000,1510119539999,3.53897229,37,114015.00000000,2.72130095
1510119540000,0.00002413,0.00002660,0.00002398,0.00002446,153516.00000000,1510119599999,3.77867155,37,108639.00000000,2.65141866
1510119600000,0.00002447,0.00002474,0.00002361,0.00002361,80822.00000000,1510119659999,1.95621529,30,33300.00000000,0.81695991
1510119660000,0.00002361,0.00002361,0.00002350,0.00002350,12699.00000000,1510119719999,0.29932431,11,439.00000000,0.01031650
1510119720000,0.00002349,0.00002350,0.00002349,0.00002350,53822.00000000,1510119779999,1.26480200,9,14982.00000000,0.35206200
1510119780000,0.00002350,0.00002350,0.00002344,0.00002344,2896.00000000,1510119839999,0.06797620,3,2896.00000000,0.06797620
1510119840000,0.00002344,0.00002380,0.00002261,0.00002380,48486.00000000,1510119899999,1.13316069,17,23051.00000000,0.54063718
1510119900000,0.00002344,0.00002385,0.00002273,0.00002385,31413.00000000,1510119959999,0.73789938,10,19251.00000000,0.45818940
1510119960000,0.00002380,0.00002397,0.00002300,0.00002302,47398.00000000,1510120019999,1.11441413,13,22508.00000000,0.53462757
1510120020000,0.00002308,0.00002380,0.00002304,0.00002350,19910.00000000,1510120079999,0.47266196,13,15868.00000000,0.37722236
1510120080000,0.00002380,0.00002380,0.00002380,0.00002380,1230.00000000,1510120139999,0.02927400,2,1230.00000000,0.02927400
1510120140000,0.00002318,0.00002318,0.00002306,0.00002316,5544.00000000,1510120199999,0.12814266,7,0.00000000,0.00000000
1510120200000,0.00002321,0.00002321,0.00002149,0.00002236,100630.00000000,1510120259999,2.27457182,21,0.00000000,0.00000000
1510120260000,0.00002236,0.00002236,0.00002236,0.00002236,500.00000000,1510120319999,0.01118000,1,0.00000000,0.00000000
1510120320000,0.00002237,0.00002289,0.00002203,0.00002228,21183.00000000,1510120379999,0.47309205,16,603.00000000,0.01380215
1510120380000,0.00002228,0.00002289,0.00002203,0.00002228,17251.00000000,1510120439999,0.38711583,10,3007.00000000,0.06860723
1510120440000,0.00002231,0.00002231,0.00002203,0.00002228,37499.00000000,1510120499999,0.83571530,12,3938.00000000,0.08785678
1510120500000,0.00002228,0.00002228,0.00002200,0.00002200,49004.00000000,1510120559999,1.08007060,8,7949.00000000,0.17487800
1510120560000,0.00002191,0.00002200,0.00002181,0.00002200,90960.00000000,1510120619999,1.99185645,19,3776.00000000,0.08307200
1510120620000,0.00002181,0.00002197,0.00002158,0.00002197,68761.00000000,1510120679999,1.48922587,7,7032.00000000,0.15353469
1510120680000,0.00002197,0.00002200,0.00002197,0.00002200,5096.00000000,1510120739999,0.11203470,6,1339.00000000,0.02944597
1510120740000,0.00002198,0.00002200,0.00002198,0.00002200,12836.00000000,1510120799999,0.28227948,7,12836.00000000,0.28227948
1510120800000,0.00002226,0.00002226,0.00002190,0.00002190,12242.00000000,1510120859999,0.27087764,8,2994.00000000,0.06663644
1510120860000,0.00002190,0.00002191,0.00002146,0.00002146,170588.00000000,1510120919999,3.68447708,19,5553.00000000,0.12161070
1510120920000,0.00002160,0.00002216,0.00002135,0.00002135,9344.00000000,1510120979999,0.20465936,5,5766.00000000,0.12777456
1510120980000,0.00002120,0.00002198,0.00002099,0.00002099,37490.00000000,1510121039999,0.78788810,6,62.00000000,0.00136276
1510121040000,0.00002078,0.00002179,0.00002021,0.00002021,61211.00000000,1510121099999,1.25358728,12,637.00000000,0.01388023
1510121100000,0.00002021,0.00002111,0.00002021,0.00002021,7590.00000000,1510121159999,0.15567060,8,4777.00000000,0.09654317
1510121160000,0.00002030,0.00002033,0.00002022,0.00002031,10127.00000000,1510121219999,0.20557014,9,1046.00000000,0.02123765
1510121220000,0.00002022,0.00002031,0.00002020,0.00002031,54434.00000000,1510121279999,1.10145942,18,5827.00000000,0.11828257
1510121280000,0.00002020,0.00002040,0.00002020,0.00002039,106254.00000000,1510121339999,2.15993867,26,22257.00000000,0.45238976
1510121340000,0.00002039,0.00002039,0.00002022,0.00002029,25681.00000000,1510121399999,0.51998202,6,332.00000000,0.00676948
1510121400000,0.00002022,0.00002023,0.00002010,0.00002010,188458.00000000,1510121459999,3.80202369,26,24557.00000000,0.49359570
1510121460000,0.00002009,0.00002009,0.00002003,0.00002003,22428.00000000,1510121519999,0.44959592,6,2810.00000000,0.05645290
1510121520000,0.00002000,0.00002000,0.00001932,0.00001996,36101.00000000,1510121579999,0.70951112,9,10230.00000000,0.20235494
1510121580000,0.00001998,0.00001999,0.00001971,0.00001999,14820.00000000,1510121639999,0.29440022,9,13692.00000000,0.27216734
1510121640000,0.00001971,0.00001999,0.00001971,0.00001999,5934.00000000,1510121699999,0.11837258,4,5048.00000000,0.10090952
1510121700000,0.00001940,0.00001950,0.00001933,0.00001950,32848.00000000,1510121759999,0.63785915,12,2976.00000000,0.05803200
1510121760000,0.00001950,0.00001951,0.00001931,0.00001942,55290.00000000,1510121819999,1.07494661,16,1.00000000,0.00001942
1510121820000,0.00001933,0.00001997,0.00001933,0.00001970,77051.00000000,1510121879999,1.51184019,15,25451.00000000,0.50739489
1510121880000,0.00001977,0.00001999,0.00001977,0.00001999,36790.00000000,1510121939999,0.73007606,11,11522.00000000,0.23007230
1510121940000,0.00001999,0.00002045,0.00001999,0.00001999,69050.00000000,1510121999999,1.38094103,14,1232.00000000,0.02509000
1510122000000,0.00001999,0.00002040,0.00001999,0.00002000,69686.00000000,1510122059999,1.39531426,6,31212.00000000,0.62407056
1510122060000,0.00001999,0.00002000,0.00001999,0.00002000,50219.00000000,1510122119999,1.00389467,3,0.00000000,0.00000000
1510122120000,0.00001984,0.00001986,0.00001979,0.00001979,54588.00000000,1510122179999,1.08189057,15,0.00000000,0.00000000
1510122180000,0.00001986,0.00001986,0.00001986,0.00001986,754.00000000,1510122239999,0.01497444,1,754.00000000,0.01497444
1510122240000,0.00001988,0.00001990,0.00001987,0.00001987,61562.00000000,1510122299999,1.22383612,12,1067.00000000,0.02121196
1510122300000,0.00001986,0.00001990,0.00001981,0.00001981,27573.00000000,1510122359999,0.54789702,10,18478.00000000,0.36754513
1510122360000,0.00001990,0.00001990,0.00001980,0.00001981,9999.00000000,1510122419999,0.19837623,5,1.00000000,0.00001981
1510122420000,0.00001990,0.00001990,0.00001990,0.00001990,5105.00000000,1510122479999,0.10158950,2,1.00000000,0.00001990
1510122480000,0.00001990,0.00001990,0.00001982,0.00001983,7217.00000000,1510122539999,0.14313078,3,0.00000000,0.00000000
1510122540000,0.00001983,0.00001983,0.00001982,0.00001982,3691.00000000,1510122599999,0.07315791,4,0.00000000,0.00000000
1510122600000,0.00002028,0.00002028,0.00002028,0.00002028,704.00000000,1510122659999,0.01427712,1,704.00000000,0.01427712
1510122660000,0.00002000,0.00002000,0.00001982,0.00001982,22992.00000000,1510122719999,0.45806868,8,12992.00000000,0.25984000
1510122720000,0.00002000,0.00002000,0.00002000,0.00002000,1258.00000000,1510122779999,0.02516000,2,1258.00000000,0.02516000
1510122780000,0.00002000,0.00002000,0.00001983,0.00001985,7618.00000000,1510122839999,0.15166713,4,0.00000000,0.00000000
1510122840000,0.00001999,0.00002000,0.00001976,0.00001976,104330.00000000,1510122899999,2.07212796,25,26016.00000000,0.51564216
1510122900000,0.00001970,0.00001970,0.00001969,0.00001969,3268.00000000,1510122959999,0.06435699,4,2261.00000000,0.04451909
1510122960000,0.00001959,0.00001999,0.00001959,0.00001999,15175.00000000,1510123019999,0.29743847,3,402.00000000,0.00803540
1510123020000,0.00001970,0.00002009,0.00001970,0.00001989,58616.00000000,1510123079999,1.17066125,15,19162.00000000,0.38300293
1510123080000,0.00002050,0.00002050,0.00002001,0.00002001,18546.00000000,1510123139999,0.37258183,9,2613.00000000,0.05356650
1510123140000,0.00002007,0.00002050,0.00002004,0.00002050,20744.00000000,1510123199999,0.41698979,6,2477.00000000,0.05064710
1510123200000,0.00002000,0.00002000,0.00002000,0.00002000,813.00000000,1510123259999,0.01626000,1,813.00000000,0.01626000
1510123260000,0.00002000,0.00002000,0.00001999,0.00001999,284.00000000,1510123319999,0.00567773,2,57.00000000,0.00114000
1510123320000,0.00001994,0.00001994,0.00001993,0.00001993,13183.00000000,1510123379999,0.26281285,2,0.00000000,0.00000000
1510123380000,0.00001993,0.00001993,0.00001993,0.00001993,0.00000000,1510123439999,0.00000000,0,0.00000000,0.00000000
1510123440000,0.00002000,0.00002039,0.00001992,0.00001992,33898.00000000,1510123499999,0.68649180,8,15706.00000000,0.32008505
1510123500000,0.00001997,0.00001997,0.00001997,0.00001997,9536.00000000,1510123559999,0.19043392,2,3469.00000000,0.06927593
1510123560000,0.00002003,0.00002003,0.00002003,0.00002003,4700.00000000,1510123619999,0.09414100,1,0.00000000,0.00000000
1510123620000,0.00002003,0.00002003,0.00002003,0.00002003,0.00000000,1510123679999,0.00000000,0,0.00000000,0.00000000
1510123680000,0.00001992,0.00001992,0.00001992,0.00001992,3278.00000000,1510123739999,0.06529776,1,0.00000000,0.00000000
1510123740000,0.00001992,0.00001992,0.00001992,0.00001992,7110.00000000,1510123799999,0.14163120,2,2747.00000000,0.05472024
1510123800000,0.00001992,0.00001992,0.00001992,0.00001992,0.00000000,1510123859999,0.00000000,0,0.00000000,0.00000000
1510123860000,0.00001994,0.00001994,0.00001994,0.00001994,1000.00000000,1510123919999,0.01994000,1,0.00000000,0.00000000
