Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1510226340000,0.70000000,0.70000000,0.70000000,0.70000000,2002.00000000,1510226399999,1401.40000000,3,0.00000000,0.00000000
1510226400000,0.70000000,0.70000000,0.70000000,0.70000000,0.00000000,1510226459999,0.00000000,0,0.00000000,0.00000000
1510226460000,0.70000000,0.70000000,0.70000000,0.70000000,5687.16000000,1510226519999,3981.01200000,2,0.00000000,0.00000000
1510226520000,0.70000000,0.70000000,0.70000000,0.70000000,347.60000000,1510226579999,243.32000000,3,0.00000000,0.00000000
1510226580000,0.99000000,0.99000000,0.99000000,0.99000000,103.50000000,1510226639999,102.46500000,2,103.50000000,102.46500000
1510226640000,0.99000000,0.99000000,0.99000000,0.99000000,439.37000000,1510226699999,434.97630000,4,439.37000000,434.97630000
1510226700000,0.88880000,0.98000000,0.88880000,0.98000000,1709.00000000,1510226759999,1674.36400000,10,1005.00000000,984.44400000
1510226760000,0.98000000,0.98000000,0.98000000,0.98000000,3.01000000,1510226819999,2.94980000,3,0.00000000,0.00000000
1510226820000,0.98000000,0.98000000,0.98000000,0.98000000,483.56000000,1510226879999,473.88880000,8,22.28000000,21.83440000
1510226880000,0.90000000,0.90000000,0.70500000,0.70500000,422.72000000,1510226939999,327.25214390,5,0.00000000,0.00000000
1510226940000,0.94999000,0.95000000,0.94999000,0.95000000,41.69000000,1510226999999,39.60535620,2,41.69000000,39.60535620
1510227000000,0.94000000,0.94000000,0.94000000,0.94000000,9.26000000,1510227059999,8.70440000,1,9.26000000,8.70440000
1510227060000,0.92000000,0.94000000,0.92000000,0.92000000,1894.64000000,1510227119999,1766.96160000,7,1622.00000000,1510.68000000
1510227120000,0.92000000,0.92000000,0.92000000,0.92000000,0.00000000,1510227179999,0.00000000,0,0.00000000,0.00000000
1510227180000,0.92000000,0.92000000,0.92000000,0.92000000,0.00000000,1510227239999,0.00000000,0,0.00000000,0.00000000
1510227240000,0.71011000,0.75000000,0.70999000,0.70999000,555.00000000,1510227299999,414.09532970,5,0.00000000,0.00000000
1510227300000,0.71000000,0.80998000,0.70900000,0.70900000,5402.11000000,1510227359999,3911.14101620,15,214.00000000,153.33772000
1510227360000,0.70901000,0.70999000,0.70500000,0.70500000,10430.93000000,1510227419999,7395.76822140,32,12.82000000,9.10203260
1510227420000,0.70500000,0.71000000,0.70500000,0.71000000,3092.98000000,1510227479999,2194.98098020,11,0.02000000,0.01418020
1510227480000,0.71000000,0.71099000,0.71000000,0.71010000,3640.58000000,1510227539999,2585.52356930,24,0.00000000,0.00000000
1510227540000,0.71010000,0.71080000,0.71010000,0.71080000,3528.59000000,1510227599999,2506.55709500,22,186.84000000,132.70502000
1510227600000,0.71080000,0.72700000,0.71080000,0.72000000,2301.40000000,1510227659999,1659.88128000,8,288.71000000,209.89217000
1510227660000,0.72899000,0.82999000,0.72899000,0.82999000,87.09000000,1510227719999,67.50188480,4,87.09000000,67.50188480
1510227720000,0.81999000,0.82999000,0.75000000,0.75000000,4340.26000000,1510227779999,3560.20345690,12,2051.26000000,1692.12318740
1510227780000,0.83000000,0.83000000,0.70500000,0.70500000,4473.93000000,1510227839999,3370.24513410,23,42.24000000,33.94731680
1510227840000,0.70500000,0.70500000,0.70500000,0.70500000,0.00000000,1510227899999,0.00000000,0,0.00000000,0.00000000
1510227900000,0.74000000,0.74000000,0.74000000,0.74000000,42.00000000,1510227959999,31.08000000,1,0.00000000,0.00000000
1510227960000,0.76000000,0.76000000,0.76000000,0.76000000,5627.37000000,1510228019999,4276.80120000,7,0.00000000,0.00000000
1510228020000,0.76501000,0.76503000,0.76005000,0.76005000,1580.00000000,1510228079999,1206.57347180,6,0.00000000,0.00000000
1510228080000,0.76006000,0.76800000,0.76001000,0.76510000,8627.00000000,1510228139999,6600.37408680,17,20.00000000,15.30200000
1510228140000,0.76600000,0.77855000,0.76600000,0.77855000,420.98000000,1510228199999,322.64612900,5,62.68000000,48.18832900
1510228200000,0.77855000,0.77855000,0.76000000,0.76000000,1101.31000000,1510228259999,839.25550710,5,0.00000000,0.00000000
1510228260000,0.76000000,0.76000000,0.76000000,0.76000000,0.00000000,1510228319999,0.00000000,0,0.00000000,0.00000000
1510228320000,0.75999000,0.76000000,0.75999000,0.76000000,62.44000000,1510228379999,47.45410630,2,62.44000000,47.45410630
1510228380000,0.76000000,0.76000000,0.76000000,0.76000000,0.00000000,1510228439999,0.00000000,0,0.00000000,0.00000000
1510228440000,0.76000000,0.76000000,0.76000000,0.76000000,0.00000000,1510228499999,0.00000000,0,0.00000000,0.00000000
1510228500000,0.76000000,0.76000000,0.76000000,0.76000000,0.00000000,1510228559999,0.00000000,0,0.00000000,0.00000000
1510228560000,0.75999000,0.75999000,0.75999000,0.75999000,2.00000000,1510228619999,1.51998000,1,0.00000000,0.00000000
1510228620000,0.71601000,0.71601000,0.70500000,0.70500000,2205.00000000,1510228679999,1570.83742270,9,0.00000000,0.00000000
1510228680000,0.70900000,0.70900000,0.70000000,0.70000000,2344.00000000,1510228739999,1652.18367850,14,0.00000000,0.00000000
1510228740000,0.70000000,0.71500000,0.70000000,0.70000000,1904.66000000,1510228799999,1343.92585000,17,481.84000000,344.14560000
1510228800000,0.70000000,0.70000000,0.70000000,0.70000000,0.00000000,1510228859999,0.00000000,0,0.00000000,0.00000000
1510228860000,0.70000000,0.70000000,0.70000000,0.70000000,130.80000000,1510228919999,91.56000000,7,0.00000000,0.00000000
1510228920000,0.69989000,0.69989000,0.69989000,0.69989000,2.36000000,1510228979999,1.65174040,1,2.36000000,1.65174040
1510228980000,0.69989000,0.69989000,0.69989000,0.69989000,0.00000000,1510229039999,0.00000000,0,0.00000000,0.00000000
1510229040000,0.69987000,0.69988000,0.69987000,0.69988000,554.10000000,1510229099999,387.80316640,2,554.10000000,387.80316640
1510229100000,0.69988000,0.69988000,0.69988000,0.69988000,0.00000000,1510229159999,0.00000000,0,0.00000000,0.00000000
1510229160000,0.69988000,0.69988000,0.69988000,0.69988000,0.00000000,1510229219999,0.00000000,0,0.00000000,0.00000000
1510229220000,0.69988000,0.69988000,0.69988000,0.69988000,0.00000000,1510229279999,0.00000000,0,0.00000000,0.00000000
1510229280000,0.69988000,0.69988000,0.69988000,0.69988000,0.00000000,1510229339999,0.00000000,0,0.00000000,0.00000000
1510229340000,0.69000000,0.69000000,0.69000000,0.69000000,50.00000000,1510229399999,34.50000000,1,50.00000000,34.50000000
1510229400000,0.69000000,0.69000000,0.69000000,0.69000000,0.00000000,1510229459999,0.00000000,0,0.00000000,0.00000000
1510229460000,0.69000000,0.69000000,0.69000000,0.69000000,0.00000000,1510229519999,0.00000000,0,0.00000000,0.00000000
1510229520000,0.69000000,0.69000000,0.69000000,0.69000000,0.00000000,1510229579999,0.00000000,0,0.00000000,0.00000000
1510229580000,0.69000000,0.69000000,0.69000000,0.69000000,0.00000000,1510229639999,0.00000000,0,0.00000000,0.00000000
1510229640000,0.67000000,0.69000000,0.67000000,0.69000000,5132.16000000,1510229699999,3537.05298800,9,3060.16000000,2107.37298800
1510229700000,0.69000000,0.69000000,0.69000000,0.69000000,0.00000000,1510229759999,0.00000000,0,0.00000000,0.00000000
1510229760000,0.69000000,0.69000000,0.69000000,0.69000000,0.00000000,1510229819999,0.00000000,0,0.00000000,0.00000000
1510229820000,0.69989000,0.69989000,0.69989000,0.69989000,16.00000000,1510229879999,11.19824000,1,16.00000000,11.19824000
1510229880000,0.69989000,0.69989000,0.69989000,0.69989000,763.00000000,1510229939999,534.01607000,3,0.00000000,0.00000000
1510229940000,0.69989000,0.69989000,0.69989000,0.69989000,0.00000000,1510229999999,0.00000000,0,0.00000000,0.00000000
1510230000000,0.69990000,0.69990000,0.69990000,0.69990000,91.00000000,1510230059999,63.69090000,2,0.00000000,0.00000000
1510230060000,0.69990000,0.69990000,0.69990000,0.69990000,0.00000000,1510230119999,0.00000000,0,0.00000000,0.00000000
1510230120000,0.71500000,0.71500000,0.71500000,0.71500000,1960.18000000,1510230179999,1401.52870000,6,458.18000000,327.59870000
1510230180000,0.71500000,0.71500000,0.71500000,0.71500000,139.00000000,1510230239999,99.38500000,3,0.00000000,0.00000000
1510230240000,0.71500000,0.71500000,0.71500000,0.71500000,24.93000000,1510230299999,17.82495000,1,24.93000000,17.82495000
1510230300000,0.71500000,0.71500000,0.71500000,0.71500000,363.03000000,1510230359999,259.56645000,9,138.29000000,98.87735000
1510230360000,0.71500000,0.71500000,0.71500000,0.71500000,1306.00000000,1510230419999,933.79000000,8,0.00000000,0.00000000
