Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1511345580000,0.00000700,0.00000700,0.00000700,0.00000700,1005.00000000,1511345639999,0.00703500,1,0.00000000,0.00000000
1511345640000,0.00000700,0.00000700,0.00000700,0.00000700,0.00000000,1511345699999,0.00000000,0,0.00000000,0.00000000
1511345700000,0.00000700,0.00000700,0.00000700,0.00000700,0.00000000,1511345759999,0.00000000,0,0.00000000,0.00000000
1511345760000,0.00000700,0.00000700,0.00000700,0.00000700,0.00000000,1511345819999,0.00000000,0,0.00000000,0.00000000
1511345820000,0.00000700,0.00000700,0.00000700,0.00000700,0.00000000,1511345879999,0.00000000,0,0.00000000,0.00000000
1511345880000,0.00000700,0.00000700,0.00000700,0.00000700,0.00000000,1511345939999,0.00000000,0,0.00000000,0.00000000
1511345940000,0.00000700,0.00000700,0.00000700,0.00000700,0.00000000,1511345999999,0.00000000,0,0.00000000,0.00000000
1511346000000,0.00000700,0.00000700,0.00000700,0.00000700,0.00000000,1511346059999,0.00000000,0,0.00000000,0.00000000
1511346060000,0.00000700,0.00000700,0.00000700,0.00000700,0.00000000,1511346119999,0.00000000,0,0.00000000,0.00000000
1511346120000,0.00001800,0.00001800,0.00001799,0.00001800,28900.00000000,1511346179999,0.52018000,13,26546.00000000,0.47780800
1511346180000,0.00001800,0.00001800,0.00001080,0.00001750,3679.00000000,1511346239999,0.04234930,3,3679.00000000,0.04234930
1511346240000,0.00001748,0.00001748,0.00001115,0.00001115,29394.00000000,1511346299999,0.42844534,8,9574.00000000,0.15939194
1511346300000,0.00001300,0.00001402,0.00000925,0.00001100,350257.00000000,1511346359999,4.08952094,23,54534.00000000,0.64399993
1511346360000,0.00001000,0.00001050,0.00001000,0.00001050,36602.00000000,1511346419999,0.37932100,6,34905.00000000,0.36208550
1511346420000,0.00001049,0.00001106,0.00001000,0.00001050,164756.00000000,1511346479999,1.77739629,26,115366.00000000,1.25554027
1511346480000,0.00001049,0.00001050,0.00001047,0.00001047,17888.00000000,1511346539999,0.18768809,8,17888.00000000,0.18768809
1511346540000,0.00001002,0.00001044,0.00000999,0.00001030,55686.00000000,1511346599999,0.56534986,12,34546.00000000,0.35377566
