Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1510306800000,2.40000000,2.40000000,2.40000000,2.40000000,3.00000000,1510306859999,7.20000000,1,0.00000000,0.00000000
1510306860000,2.40000000,2.40000000,2.40000000,2.40000000,0.00000000,1510306919999,0.00000000,0,0.00000000,0.00000000
1510306920000,2.40000000,2.40000000,2.40000000,2.40000000,0.00000000,1510306979999,0.00000000,0,0.00000000,0.00000000
1510306980000,2.40000000,2.40000000,2.40000000,2.40000000,0.00000000,1510307039999,0.00000000,0,0.00000000,0.00000000
1510307040000,2.40000000,2.40000000,2.40000000,2.40000000,0.00000000,1510307099999,0.00000000,0,0.00000000,0.00000000
1510307100000,2.40000000,2.40000000,2.40000000,2.40000000,0.00000000,1510307159999,0.00000000,0,0.00000000,0.00000000
1510307160000,2.40000000,2.40000000,2.40000000,2.40000000,0.00000000,1510307219999,0.00000000,0,0.00000000,0.00000000
1510307220000,3.90000000,3.90000000,3.90000000,3.90000000,1.00000000,1510307279999,3.90000000,1,1.00000000,3.90000000
1510307280000,3.79990000,3.79990000,3.79990000,3.79990000,5.63000000,1510307339999,21.39343700,2,5.63000000,21.39343700
1510307340000,3.74990000,3.74990000,3.70000000,3.70000000,241.23000000,1510307399999,892.59341500,12,32.06000000,118.66441500
1510307400000,3.68800000,3.70000000,3.68800000,3.70000000,179.73000000,1510307459999,664.88100000,10,10.00000000,36.88000000
1510307460000,3.57690000,3.57690000,3.57690000,3.57690000,24.00000000,1510307519999,85.84560000,1,24.00000000,85.84560000
1510307520000,3.20000000,3.20000000,3.00010000,3.19990000,409.20000000,1510307579999,1269.46066500,6,209.20000000,669.42343300
1510307580000,3.20000000,3.20000000,3.19900000,3.19900000,27.00000000,1510307639999,86.37900000,2,27.00000000,86.37900000
1510307640000,3.19990000,3.20000000,3.19990000,3.20000000,6.80000000,1510307699999,21.75936700,2,6.80000000,21.75936700
1510307700000,3.37990000,3.37990000,3.20000000,3.20010000,3.30000000,1510307759999,10.73997100,3,1.00000000,3.37990000
1510307760000,3.20010000,3.20010000,3.20010000,3.20010000,5.00000000,1510307819999,16.00050000,1,0.00000000,0.00000000
1510307820000,3.20000000,3.20000000,3.20000000,3.20000000,5.00000000,1510307879999,16.00000000,1,0.00000000,0.00000000
1510307880000,3.20000000,3.20000000,3.19900000,3.19900000,10.79000000,1510307939999,34.52530000,2,0.00000000,0.00000000
1510307940000,3.19900000,3.19900000,3.19900000,3.19900000,0.00000000,1510307999999,0.00000000,0,0.00000000,0.00000000
1510308000000,3.19900000,3.19900000,3.19900000,3.19900000,0.00000000,1510308059999,0.00000000,0,0.00000000,0.00000000
1510308060000,3.19900000,3.19900000,3.19900000,3.19900000,0.00000000,1510308119999,0.00000000,0,0.00000000,0.00000000
1510308120000,3.19900000,3.19900000,3.19900000,3.19900000,0.00000000,1510308179999,0.00000000,0,0.00000000,0.00000000
1510308180000,3.19900000,3.19900000,3.19900000,3.19900000,0.00000000,1510308239999,0.00000000,0,0.00000000,0.00000000
1510308240000,3.19900000,3.19900000,3.19900000,3.19900000,0.00000000,1510308299999,0.00000000,0,0.00000000,0.00000000
1510308300000,3.19900000,3.19900000,3.19900000,3.19900000,0.00000000,1510308359999,0.00000000,0,0.00000000,0.00000000
1510308360000,3.19900000,3.19900000,3.19900000,3.19900000,0.00000000,1510308419999,0.00000000,0,0.00000000,0.00000000
1510308420000,3.29990000,3.29990000,3.29990000,3.29990000,1.00000000,1510308479999,3.29990000,1,1.00000000,3.29990000
1510308480000,3.19940000,3.30000000,3.19900000,3.30000000,582.00000000,1510308539999,1862.13617200,6,3.00000000,9.89973700
1510308540000,3.19930000,3.19930000,3.19900000,3.19900000,192.97000000,1510308599999,617.31355200,10,0.00000000,0.00000000
1510308600000,3.10000000,3.10000000,3.10000000,3.10000000,1.64000000,1510308659999,5.08400000,1,0.00000000,0.00000000
1510308660000,3.10000000,3.10000000,3.10000000,3.10000000,0.00000000,1510308719999,0.00000000,0,0.00000000,0.00000000
1510308720000,3.10000000,3.10000000,3.09990000,3.09990000,6.39000000,1510308779999,19.80890000,3,2.00000000,6.19990000
1510308780000,3.08000000,3.08000000,3.08000000,3.08000000,10.00000000,1510308839999,30.80000000,1,10.00000000,30.80000000
1510308840000,3.08000000,3.08000000,3.08000000,3.08000000,34.04000000,1510308899999,104.84320000,3,34.04000000,104.84320000
1510308900000,3.08010000,3.08010000,3.08000000,3.08000000,7.00000000,1510308959999,21.56014000,2,0.00000000,0.00000000
1510308960000,3.08000000,3.08000000,3.08000000,3.08000000,0.00000000,1510309019999,0.00000000,0,0.00000000,0.00000000
1510309020000,3.07990000,3.10030000,3.07990000,3.10020000,291.66000000,1510309079999,899.40353000,5,237.66000000,731.99261000
1510309080000,3.10020000,3.10020000,3.10020000,3.10020000,0.00000000,1510309139999,0.00000000,0,0.00000000,0.00000000
1510309140000,3.11120000,3.11120000,3.11110000,3.11110000,314.00000000,1510309199999,976.88550000,3,0.00000000,0.00000000
1510309200000,3.11110000,3.11110000,3.11110000,3.11110000,0.00000000,1510309259999,0.00000000,0,0.00000000,0.00000000
1510309260000,3.11110000,3.11110000,3.11110000,3.11110000,0.00000000,1510309319999,0.00000000,0,0.00000000,0.00000000
1510309320000,3.11110000,3.11110000,3.11110000,3.11110000,0.00000000,1510309379999,0.00000000,0,0.00000000,0.00000000
1510309380000,3.11110000,3.11110000,3.11110000,3.11110000,0.00000000,1510309439999,0.00000000,0,0.00000000,0.00000000
1510309440000,3.11110000,3.11110000,3.11110000,3.11110000,0.00000000,1510309499999,0.00000000,0,0.00000000,0.00000000
1510309500000,3.12000000,3.12000000,3.12000000,3.12000000,318.00000000,1510309559999,992.16000000,1,0.00000000,0.00000000
