Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1511330700000,1.00000000,1.00000000,1.00000000,1.00000000,0.01000000,1511330759999,0.01000000,1,0.01000000,0.01000000
1511330760000,0.47490000,0.47490000,0.47490000,0.47490000,0.39000000,1511330819999,0.18521100,1,0.39000000,0.18521100
1511330820000,0.47490000,0.47490000,0.00461000,0.00461000,0.62000000,1511330879999,0.01226400,2,0.02000000,0.00949800
1511330880000,0.00461000,0.00461000,0.00461000,0.00461000,0.00000000,1511330939999,0.00000000,0,0.00000000,0.00000000
1511330940000,0.00461000,0.00461000,0.00461000,0.00461000,0.00000000,1511330999999,0.00000000,0,0.00000000,0.00000000
1511331000000,0.00461000,0.00461000,0.00461000,0.00461000,0.00000000,1511331059999,0.00000000,0,0.00000000,0.00000000
1511331060000,0.00461000,0.00461000,0.00461000,0.00461000,0.00000000,1511331119999,0.00000000,0,0.00000000,0.00000000
1511331120000,0.00461000,0.00461000,0.00461000,0.00461000,0.00000000,1511331179999,0.00000000,0,0.00000000,0.00000000
1511331180000,0.00461000,0.00461000,0.00461000,0.00461000,0.00000000,1511331239999,0.00000000,0,0.00000000,0.00000000
1511331240000,0.38339000,0.38339000,0.38337900,0.38337900,3.66000000,1511331299999,1.40319714,4,2.25000000,0.86261724
1511331300000,0.00702300,0.00702300,0.00701800,0.00701800,3.66000000,1511331359999,0.02570135,4,0.00000000,0.00000000
1511331360000,0.38331300,0.38331300,0.38331300,0.38331300,0.04000000,1511331419999,0.01533252,1,0.04000000,0.01533252
1511331420000,0.38331300,0.38331300,0.38331300,0.38331300,0.00000000,1511331479999,0.00000000,0,0.00000000,0.00000000
1511331480000,0.38331300,0.38331300,0.38331300,0.38331300,0.00000000,1511331539999,0.00000000,0,0.00000000,0.00000000
1511331540000,0.38331300,0.38331300,0.38331300,0.38331300,0.00000000,1511331599999,0.00000000,0,0.00000000,0.00000000
1511331600000,0.09899900,0.09899900,0.09899900,0.09899900,0.02000000,1511331659999,0.00197998,1,0.02000000,0.00197998
1511331660000,0.01899900,0.04999900,0.01899900,0.04999700,2.24000000,1511331719999,0.09959762,3,2.24000000,0.09959762
1511331720000,0.04999600,0.04999700,0.04000000,0.04000000,7.23000000,1511331779999,0.35327577,4,6.41000000,0.32047577
1511331780000,0.01400500,0.01400500,0.00482000,0.00500700,171.46000000,1511331839999,1.04537616,20,56.44000000,0.28238994
1511331840000,0.00500900,0.00500900,0.00481900,0.00488900,73.89000000,1511331899999,0.36594793,11,25.45000000,0.12720509
1511331900000,0.00490500,0.00490500,0.00482000,0.00482000,5.95000000,1511331959999,0.02868155,2,0.03000000,0.00014715
1511331960000,0.00483500,0.00483500,0.00478700,0.00478700,222.42000000,1511332019999,1.07114368,21,26.76000000,0.12870156
1511332020000,0.00478700,0.00485400,0.00478700,0.00479000,5.61000000,1511332079999,0.02691452,3,1.65000000,0.00794612
1511332080000,0.00478700,0.00485500,0.00478700,0.00485500,70.99000000,1511332139999,0.34444687,5,57.69000000,0.27996853
1511332140000,0.00485500,0.00485500,0.00485500,0.00485500,0.00000000,1511332199999,0.00000000,0,0.00000000,0.00000000
1511332200000,0.00486600,0.00486600,0.00486600,0.00486600,11.48000000,1511332259999,0.05586168,3,11.48000000,0.05586168
1511332260000,0.00486600,0.00486600,0.00485500,0.00486600,2.77000000,1511332319999,0.01346595,3,1.60000000,0.00778560
1511332320000,0.00486600,0.00490800,0.00486600,0.00490800,10.82000000,1511332379999,0.05290911,6,10.82000000,0.05290911
1511332380000,0.00499000,0.00499100,0.00496400,0.00496900,167.72000000,1511332439999,0.83596376,7,127.52000000,0.63532556
1511332440000,0.00496900,0.00496900,0.00496900,0.00496900,0.00000000,1511332499999,0.00000000,0,0.00000000,0.00000000
1511332500000,0.00500000,0.00500000,0.00500000,0.00500000,37.76000000,1511332559999,0.18880000,2,37.76000000,0.18880000
1511332560000,0.00500000,0.00509200,0.00500000,0.00509200,11.43000000,1511332619999,0.05804332,6,11.43000000,0.05804332
1511332620000,0.00509200,0.00512400,0.00506600,0.00510000,92.13000000,1511332679999,0.46915940,6,63.62000000,0.32375840
1511332680000,0.00501000,0.00501200,0.00501000,0.00501200,22.24000000,1511332739999,0.11143188,5,22.24000000,0.11143188
1511332740000,0.00501200,0.00501200,0.00501200,0.00501200,0.00000000,1511332799999,0.00000000,0,0.00000000,0.00000000
1511332800000,0.00501200,0.00501200,0.00501200,0.00501200,0.00000000,1511332859999,0.00000000,0,0.00000000,0.00000000
1511332860000,0.00501800,0.00501800,0.00501800,0.00501800,17.62000000,1511332919999,0.08841716,4,17.62000000,0.08841716
