Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1510631340000,0.67279000,0.67279000,0.67279000,0.67279000,0.63000000,1510631399999,0.42385770,1,0.00000000,0.00000000
1510631400000,0.67279000,0.67279000,0.67279000,0.67279000,0.00000000,1510631459999,0.00000000,0,0.00000000,0.00000000
1510631460000,0.67279000,0.67279000,0.67279000,0.67279000,0.00000000,1510631519999,0.00000000,0,0.00000000,0.00000000
1510631520000,0.67279000,0.67279000,0.67279000,0.67279000,0.00000000,1510631579999,0.00000000,0,0.00000000,0.00000000
1510631580000,0.67279000,0.67279000,0.67279000,0.67279000,0.00000000,1510631639999,0.00000000,0,0.00000000,0.00000000
1510631640000,0.67279000,0.67279000,0.67279000,0.67279000,0.00000000,1510631699999,0.00000000,0,0.00000000,0.00000000
1510631700000,0.67279000,0.67279000,0.67279000,0.67279000,0.00000000,1510631759999,0.00000000,0,0.00000000,0.00000000
1510631760000,0.67279000,0.67279000,0.67279000,0.67279000,0.00000000,1510631819999,0.00000000,0,0.00000000,0.00000000
1510631820000,0.67279000,0.67279000,0.67279000,0.67279000,0.00000000,1510631879999,0.00000000,0,0.00000000,0.00000000
1510631880000,0.67279000,0.67279000,0.67279000,0.67279000,0.00000000,1510631939999,0.00000000,0,0.00000000,0.00000000
1510631940000,0.67279000,0.67279000,0.67279000,0.67279000,0.00000000,1510631999999,0.00000000,0,0.00000000,0.00000000
1510632000000,0.67279000,0.67279000,0.67279000,0.67279000,0.00000000,1510632059999,0.00000000,0,0.00000000,0.00000000
1510632060000,0.67279000,0.67279000,0.67279000,0.67279000,0.00000000,1510632119999,0.00000000,0,0.00000000,0.00000000
1510632120000,0.67279000,0.67279000,0.67279000,0.67279000,0.00000000,1510632179999,0.00000000,0,0.00000000,0.00000000
1510632180000,0.67279000,0.67279000,0.67279000,0.67279000,0.00000000,1510632239999,0.00000000,0,0.00000000,0.00000000
1510632240000,0.67279000,0.67279000,0.67279000,0.67279000,0.00000000,1510632299999,0.00000000,0,0.00000000,0.00000000
1510632300000,0.67279000,0.67279000,0.67279000,0.67279000,0.00000000,1510632359999,0.00000000,0,0.00000000,0.00000000
1510632360000,0.67279000,0.67279000,0.67279000,0.67279000,0.00000000,1510632419999,0.00000000,0,0.00000000,0.00000000
1510632420000,0.67279000,0.67279000,0.67279000,0.67279000,0.00000000,1510632479999,0.00000000,0,0.00000000,0.00000000
1510632480000,0.67279000,0.67279000,0.67279000,0.67279000,0.00000000,1510632539999,0.00000000,0,0.00000000,0.00000000
1510632540000,0.67279000,0.67279000,0.67279000,0.67279000,0.00000000,1510632599999,0.00000000,0,0.00000000,0.00000000
1510632600000,0.67279000,0.67279000,0.67279000,0.67279000,0.00000000,1510632659999,0.00000000,0,0.00000000,0.00000000
1510632660000,0.67279000,0.67279000,0.67279000,0.67279000,0.00000000,1510632719999,0.00000000,0,0.00000000,0.00000000
