Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1513846560000,0.21114000,0.21114000,0.21114000,0.21114000,10.00000000,1513846619999,2.11140000,1,0.00000000,0.00000000
1513846620000,0.21114000,0.21114000,0.21114000,0.21114000,0.00000000,1513846679999,0.00000000,0,0.00000000,0.00000000
1513846680000,0.21114000,0.21114000,0.21114000,0.21114000,0.00000000,1513846739999,0.00000000,0,0.00000000,0.00000000
1513846740000,0.21114000,0.21114000,0.21114000,0.21114000,0.00000000,1513846799999,0.00000000,0,0.00000000,0.00000000
1513846800000,20.21114000,20.21114000,20.21114000,20.21114000,2.00000000,1513846859999,40.42228000,1,0.00000000,0.00000000
1513846860000,1.21151000,1.21151000,1.21151000,1.21151000,17.78000000,1513846919999,21.54064780,2,0.00000000,0.00000000
1513846920000,1.21151000,1.21151000,1.21151000,1.21151000,0.00000000,1513846979999,0.00000000,0,0.00000000,0.00000000
1513846980000,1.22050000,1.22050000,1.22050000,1.22050000,18.00000000,1513847039999,21.96900000,2,9.00000000,10.98450000
1513847040000,1.23000000,1.23000000,1.21150000,1.21151000,43.02000000,1513847099999,52.15629000,17,21.27000000,25.76870300
1513847100000,1.23000000,12.00000000,1.21151000,1.21151000,2.06000000,1513847159999,3.28751510,3,2.05000000,3.27540000
1513847160000,1.21150000,1.21151000,1.21114000,1.21151000,32.00000000,1513847219999,38.76744000,13,15.16000000,18.36641770
1513847220000,1.21151000,1.21151000,1.21151000,1.21151000,90.53000000,1513847279999,109.67800030,4,43.06000000,52.16762060
1513847280000,1.21138000,1.21151000,1.21138000,1.21151000,3.88000000,1513847339999,4.70051450,2,3.88000000,4.70051450
1513847340000,1.21151000,1.21151000,1.21151000,1.21151000,0.00000000,1513847399999,0.00000000,0,0.00000000,0.00000000
1513847400000,0.83010000,1.21151000,0.83010000,1.21151000,101.15000000,1513847459999,121.99005200,4,74.70000000,90.49865700
1513847460000,1.21151000,1.21151000,1.21151000,1.21151000,3.47000000,1513847519999,4.20393970,3,3.17000000,3.84048670
