Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1513846260000,0.00120000,0.00300000,0.00030000,0.00030000,1216.81000000,1513846319999,0.84693900,14,291.80000000,0.29381800
1513846320000,0.00400000,0.00400000,0.00100000,0.00140000,348.70000000,1513846379999,0.94145000,20,330.93000000,0.91694400
1513846380000,0.00120000,0.00180000,0.00060000,0.00120000,3889.93000000,1513846439999,3.98282929,57,1530.39000000,1.72303400
1513846440000,0.00125000,0.00150000,0.00110000,0.00140000,2577.52000000,1513846499999,3.10826300,60,1529.44000000,1.85533000
1513846500000,0.00140000,0.00370000,0.00140000,0.00180000,1330.92000000,1513846559999,2.47901300,87,847.75000000,1.56315050
1513846560000,0.00180000,0.00299990,0.00155000,0.00230000,1462.61000000,1513846619999,2.91315081,99,1068.20000000,2.16330800
1513846620000,0.00250000,0.00390000,0.00230010,0.00390000,1538.43000000,1513846679999,4.70730780,143,1032.04000000,3.21420453
1513846680000,0.00350000,0.00350000,0.00160000,0.00250000,6319.55000000,1513846739999,13.50538431,206,4653.22000000,9.56397683
1513846740000,0.00249990,0.00250000,0.00180000,0.00219970,2548.28000000,1513846799999,4.93722093,105,814.63000000,1.65645166
1513846800000,0.00219970,0.00219970,0.00100060,0.00179000,11446.91000000,1513846859999,17.93760716,203,994.02000000,1.74611606
1513846860000,0.00150040,0.00184970,0.00050000,0.00060000,22226.12000000,1513846919999,17.47936063,174,3997.66000000,4.30164285
1513846920000,0.00060000,0.00060000,0.00043430,0.00060000,7334.61000000,1513846979999,4.01540697,86,4292.36000000,2.50620288
1513846980000,0.00053000,0.00069000,0.00032000,0.00032000,12594.55000000,1513847039999,5.32349730,143,1738.02000000,0.72101403
1513847040000,0.00032000,0.00043430,0.00026800,0.00040000,41757.73000000,1513847099999,13.08213860,121,10820.85000000,3.59534854
1513847100000,0.00041000,0.00042000,0.00037000,0.00039010,17113.33000000,1513847159999,6.63770699,50,10197.60000000,3.90369729
1513847160000,0.00039010,0.00040990,0.00034000,0.00035000,17897.93000000,1513847219999,6.55270091,104,5856.65000000,2.15345297
1513847220000,0.00034900,0.00039010,0.00034000,0.00034000,17085.45000000,1513847279999,6.28316485,124,7511.27000000,2.79548587
1513847280000,0.00034000,0.00036900,0.00030110,0.00032000,23857.57000000,1513847339999,7.73442686,82,6854.22000000,2.34059908
1513847340000,0.00031000,0.00034460,0.00031000,0.00032200,8498.65000000,1513847399999,2.75002614,76,3705.05000000,1.20853137
1513847400000,0.00032210,0.00037010,0.00032200,0.00036870,25363.67000000,1513847459999,8.75979779,118,13892.97000000,4.87380509
1513847460000,0.00036600,0.00039990,0.00035000,0.00038000,28761.38000000,1513847519999,10.45226387,125,16027.49000000,5.85925260
1513847520000,0.00036520,0.00038000,0.00035010,0.00036200,18500.03000000,1513847579999,6.69950097,114,5779.55000000,2.11964162
1513847580000,0.00036200,0.00036200,0.00034700,0.00035000,15195.01000000,1513847639999,5.36322138,84,4565.27000000,1.62531870
1513847640000,0.00036190,0.00036190,0.00034770,0.00035500,6084.59000000,1513847699999,2.16728037,36,4487.45000000,1.60296272
1513847700000,0.00035500,0.00036000,0.00035000,0.00035500,3846.09000000,1513847759999,1.36726590,53,1849.09000000,0.65995986
1513847760000,0.00035120,0.00036700,0.00035120,0.00036510,23706.49000000,1513847819999,8.55592473,84,10828.16000000,3.90698878
1513847820000,0.00036510,0.00038880,0.00036000,0.00038880,31482.92000000,1513847879999,11.64907799,110,13798.67000000,5.12107111
1513847880000,0.00038340,0.00042900,0.00038000,0.00040890,31535.29000000,1513847939999,12.76583705,135,17913.60000000,7.32733040
1513847940000,0.00040890,0.00041000,0.00035010,0.00037000,38754.05000000,1513847999999,14.46802475,157,7426.27000000,2.88252501
1513848000000,0.00037000,0.00038990,0.00033000,0.00033000,65393.74000000,1513848059999,23.51004199,181,21580.93000000,8.08107114
1513848060000,0.00035000,0.00035800,0.00034000,0.00035500,23950.91000000,1513848119999,8.38843611,48,6866.16000000,2.40759332
1513848120000,0.00035100,0.00036000,0.00035000,0.00036000,9750.28000000,1513848179999,3.46627287,42,5104.84000000,1.83439287
1513848180000,0.00036000,0.00036000,0.00033100,0.00033100,12855.38000000,1513848239999,4.46969854,71,1455.10000000,0.50853791
1513848240000,0.00034880,0.00035000,0.00031380,0.00031380,29102.30000000,1513848299999,9.59895853,116,2789.15000000,0.91571074
1513848300000,0.00032230,0.00032880,0.00029050,0.00032000,78889.91000000,1513848359999,23.90816113,131,7785.33000000,2.40791594
1513848360000,0.00031990,0.00031990,0.00027000,0.00029130,51200.68000000,1513848419999,14.89675211,111,4332.08000000,1.28368959
1513848420000,0.00029130,0.00030990,0.00029130,0.00030000,12067.06000000,1513848479999,3.62234934,47,2579.48000000,0.78148467
1513848480000,0.00030000,0.00030800,0.00029910,0.00030790,7794.04000000,1513848539999,2.35479213,38,1192.67000000,0.36540363
1513848540000,0.00030130,0.00030130,0.00029050,0.00029910,13381.46000000,1513848599999,3.98355872,64,3349.22000000,1.00484493
1513848600000,0.00030000,0.00030000,0.00029510,0.00029510,4319.31000000,1513848659999,1.28212709,36,2618.68000000,0.77823576
1513848660000,0.00029130,0.00029510,0.00028110,0.00029000,16489.80000000,1513848719999,4.77546442,57,1376.62000000,0.39968713
1513848720000,0.00029300,0.00029300,0.00025000,0.00026960,79905.88000000,1513848779999,20.97810628,162,10695.70000000,2.95562436
1513848780000,0.00026960,0.00027910,0.00025340,0.00027800,7118.88000000,1513848839999,1.92945626,46,4250.13000000,1.16550615
1513848840000,0.00027800,0.00027960,0.00026000,0.00026600,49375.15000000,1513848899999,13.10942009,92,9284.34000000,2.52991779
1513848900000,0.00027000,0.00029330,0.00026630,0.00028500,22066.33000000,1513848959999,6.12954227,64,17496.11000000,4.85149520
1513848960000,0.00028500,0.00028500,0.00027000,0.00027200,28476.17000000,1513849019999,7.75878837,85,2496.75000000,0.68737135
1513849020000,0.00027200,0.00027290,0.00025200,0.00026500,29344.76000000,1513849079999,7.66747650,116,12627.99000000,3.28511359
1513849080000,0.00026400,0.00027000,0.00025910,0.00026430,14310.84000000,1513849139999,3.79130298,59,5626.47000000,1.50190444
1513849140000,0.00026430,0.00027500,0.00026360,0.00026900,7388.20000000,1513849199999,2.00620388,27,7066.81000000,1.92117172
1513849200000,0.00027200,0.00028900,0.00027200,0.00027400,52274.42000000,1513849259999,14.54547261,113,15713.74000000,4.38048268
1513849260000,0.00027400,0.00028100,0.00027000,0.00027900,28734.93000000,1513849319999,7.98861354,56,14260.34000000,3.98455910
1513849320000,0.00028000,0.00028410,0.00028000,0.00028400,7599.08000000,1513849379999,2.14836579,30,2966.45000000,0.83388623
1513849380000,0.00028300,0.00028670,0.00027400,0.00027400,12683.94000000,1513849439999,3.54919302,37,2580.27000000,0.72308832
1513849440000,0.00027980,0.00028490,0.00027000,0.00027490,24177.02000000,1513849499999,6.58922219,62,3249.83000000,0.90043319
1513849500000,0.00027030,0.00027490,0.00026800,0.00027060,6167.23000000,1513849559999,1.66830566,44,200.06000000,0.05439221
1513849560000,0.00027060,0.00027450,0.00027000,0.00027000,14667.72000000,1513849619999,3.97107732,63,1526.15000000,0.41754730
1513849620000,0.00027000,0.00027150,0.00026360,0.00026470,8068.34000000,1513849679999,2.15430190,37,1624.41000000,0.43859135
