Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1514090400000,0.00008100,0.00014999,0.00008100,0.00008200,9177.00000000,1514090459999,0.76599005,13,213.00000000,0.03194787
1514090460000,0.00008400,0.00014000,0.00008400,0.00012000,71559.00000000,1514090519999,8.65338652,102,39450.00000000,4.78582464
1514090520000,0.00012000,0.00012999,0.00010000,0.00011000,76020.00000000,1514090579999,8.68267335,118,27658.00000000,3.23480216
1514090580000,0.00011000,0.00011000,0.00008503,0.00009000,70097.00000000,1514090639999,6.33752013,103,9634.00000000,0.89650425
1514090640000,0.00009000,0.00009000,0.00008502,0.00008600,130202.00000000,1514090699999,11.24635764,108,33929.00000000,2.98138003
1514090700000,0.00008988,0.00011000,0.00008530,0.00009500,102918.00000000,1514090759999,9.83859653,140,45059.00000000,4.46189823
1514090760000,0.00009400,0.00010487,0.00009301,0.00010450,110410.00000000,1514090819999,11.03144961,136,16371.00000000,1.66702989
1514090820000,0.00010050,0.00011580,0.00010050,0.00011200,131159.00000000,1514090879999,13.94174546,184,44263.00000000,4.71702984
1514090880000,0.00011000,0.00011590,0.00010600,0.00011100,139901.00000000,1514090939999,15.62185499,222,43539.00000000,4.97520668
1514090940000,0.00010880,0.00011299,0.00010702,0.00010750,89033.00000000,1514090999999,9.63661665,179,13700.00000000,1.51145564
1514091000000,0.00010750,0.00011000,0.00010500,0.00010600,113327.00000000,1514091059999,12.14475871,213,36044.00000000,3.89816256
1514091060000,0.00010700,0.00010900,0.00010050,0.00010500,53461.00000000,1514091119999,5.65580191,106,19725.00000000,2.11161301
1514091120000,0.00010102,0.00010499,0.00009000,0.00009980,99671.00000000,1514091179999,9.79511885,120,42197.00000000,4.21686677
1514091180000,0.00009600,0.00010789,0.00009600,0.00010103,119425.00000000,1514091239999,11.94816427,113,47643.00000000,4.83256356
1514091240000,0.00010200,0.00010690,0.00010104,0.00010499,109114.00000000,1514091299999,11.36910313,155,42529.00000000,4.48912549
1514091300000,0.00010498,0.00010498,0.00010207,0.00010207,86589.00000000,1514091359999,8.96939346,128,13033.00000000,1.35826078
1514091360000,0.00010207,0.00010316,0.00009621,0.00009700,84455.00000000,1514091419999,8.41161179,104,18681.00000000,1.82347242
1514091420000,0.00009621,0.00010316,0.00009621,0.00010000,112170.00000000,1514091479999,11.03293230,109,41507.00000000,4.11241120
1514091480000,0.00010198,0.00010198,0.00009720,0.00010005,62161.00000000,1514091539999,6.19009054,74,19350.00000000,1.93273179
1514091540000,0.00010005,0.00010200,0.00010000,0.00010071,96718.00000000,1514091599999,9.72444594,151,15446.00000000,1.56786234
1514091600000,0.00010185,0.00010298,0.00010071,0.00010200,57941.00000000,1514091659999,5.91440116,103,30321.00000000,3.10614960
1514091660000,0.00010200,0.00010301,0.00010123,0.00010249,91611.00000000,1514091719999,9.37402685,97,56998.00000000,5.84655545
1514091720000,0.00010250,0.00011998,0.00010249,0.00010976,152977.00000000,1514091779999,16.41197478,202,100773.00000000,11.01412446
1514091780000,0.00010560,0.00011400,0.00010510,0.00010700,74502.00000000,1514091839999,8.01791429,155,20366.00000000,2.22791177
1514091840000,0.00010742,0.00010900,0.00010700,0.00010800,135981.00000000,1514091899999,14.68276439,160,26471.00000000,2.87391664
1514091900000,0.00010890,0.00011550,0.00010799,0.00011450,130821.00000000,1514091959999,14.47829752,180,18459.00000000,2.07242343
1514091960000,0.00011450,0.00012500,0.00011300,0.00012300,128234.00000000,1514092019999,15.26282121,219,63583.00000000,7.55893588
1514092020000,0.00012300,0.00013299,0.00012100,0.00012598,164086.00000000,1514092079999,20.82451909,289,71520.00000000,9.16703400
1514092080000,0.00012590,0.00012598,0.00011120,0.00011996,87359.00000000,1514092139999,10.44834413,164,39028.00000000,4.68723712
1514092140000,0.00011996,0.00012500,0.00011996,0.00012400,171740.00000000,1514092199999,21.11438152,213,76546.00000000,9.43998177
1514092200000,0.00012400,0.00012999,0.00012200,0.00012400,179739.00000000,1514092259999,22.51705582,211,76516.00000000,9.67575479
1514092260000,0.00012400,0.00012598,0.00011800,0.00011800,111365.00000000,1514092319999,13.69262148,145,41144.00000000,5.08781571
1514092320000,0.00011800,0.00012200,0.00011690,0.00012096,87442.00000000,1514092379999,10.50955381,96,51315.00000000,6.17684496
1514092380000,0.00012096,0.00012100,0.00011603,0.00011700,82396.00000000,1514092439999,9.77781992,114,38014.00000000,4.51159359
1514092440000,0.00011700,0.00011994,0.00011000,0.00011700,170842.00000000,1514092499999,19.58792658,179,68833.00000000,7.93236365
1514092500000,0.00011888,0.00011888,0.00011100,0.00011100,70710.00000000,1514092559999,8.14139399,129,26895.00000000,3.11206023
1514092560000,0.00011470,0.00011800,0.00011200,0.00011600,54449.00000000,1514092619999,6.21953588,80,41817.00000000,4.77754203
1514092620000,0.00011600,0.00011994,0.00011500,0.00011600,34058.00000000,1514092679999,3.98088620,65,13811.00000000,1.63212833
1514092680000,0.00011600,0.00011750,0.00011402,0.00011600,37419.00000000,1514092739999,4.30085804,77,9439.00000000,1.09370382
1514092740000,0.00011455,0.00011600,0.00011405,0.00011405,27475.00000000,1514092799999,3.14452603,47,5168.00000000,0.59516245
1514092800000,0.00011405,0.00011416,0.00010200,0.00010932,112672.00000000,1514092859999,12.36607679,155,25721.00000000,2.75952481
1514092860000,0.00010300,0.00011500,0.00010300,0.00011100,101918.00000000,1514092919999,11.19778143,111,33026.00000000,3.68218745
1514092920000,0.00011009,0.00011390,0.00011000,0.00011001,53049.00000000,1514092979999,5.88661443,82,6974.00000000,0.77627716
1514092980000,0.00011001,0.00011200,0.00010999,0.00011000,53927.00000000,1514093039999,5.96122095,64,25343.00000000,2.80536201
1514093040000,0.00010948,0.00011000,0.00010701,0.00010701,28511.00000000,1514093099999,3.10666602,58,13363.00000000,1.46102268
1514093100000,0.00010701,0.00011099,0.00010700,0.00010805,21018.00000000,1514093159999,2.27125243,62,7628.00000000,0.82615958
1514093160000,0.00011099,0.00011099,0.00010803,0.00010900,42387.00000000,1514093219999,4.64397580,74,27092.00000000,2.97831887
1514093220000,0.00010822,0.00011099,0.00010820,0.00011000,45891.00000000,1514093279999,5.02427201,80,12474.00000000,1.37079840
1514093280000,0.00010908,0.00011800,0.00010901,0.00011500,66876.00000000,1514093339999,7.58122966,90,51396.00000000,5.87176428
1514093340000,0.00011498,0.00011500,0.00011211,0.00011487,21807.00000000,1514093399999,2.50142999,61,14908.00000000,1.71264563
1514093400000,0.00011485,0.00011500,0.00011411,0.00011500,23285.00000000,1514093459999,2.67131686,56,18084.00000000,2.07452361
1514093460000,0.00011599,0.00011987,0.00011490,0.00011500,53528.00000000,1514093519999,6.20561312,110,24255.00000000,2.83491387
1514093520000,0.00011476,0.00011600,0.00011450,0.00011600,35653.00000000,1514093579999,4.10615110,55,12100.00000000,1.39302793
1514093580000,0.00011500,0.00011500,0.00011001,0.00011200,26758.00000000,1514093639999,3.02676349,77,9639.00000000,1.09937374
1514093640000,0.00011291,0.00011380,0.00011209,0.00011350,14679.00000000,1514093699999,1.66616687,45,8626.00000000,0.98139315
1514093700000,0.00011300,0.00011300,0.00011200,0.00011200,39867.00000000,1514093759999,4.48818738,67,6768.00000000,0.76298242
1514093760000,0.00011201,0.00011201,0.00010920,0.00011099,34155.00000000,1514093819999,3.75812069,75,7394.00000000,0.81450584
1514093820000,0.00011090,0.00011090,0.00011000,0.00011000,13781.00000000,1514093879999,1.52119044,37,5373.00000000,0.59576006
1514093880000,0.00011000,0.00011009,0.00010650,0.00010650,68772.00000000,1514093939999,7.46704709,113,14837.00000000,1.61767627
1514093940000,0.00010700,0.00010921,0.00010600,0.00010641,24441.00000000,1514093999999,2.60716406,48,4641.00000000,0.50138568
1514094000000,0.00010641,0.00010800,0.00010400,0.00010450,57171.00000000,1514094059999,6.01421742,78,6966.00000000,0.72739090
1514094060000,0.00010401,0.00010699,0.00010401,0.00010699,62655.00000000,1514094119999,6.58395442,91,14277.00000000,1.51106644
1514094120000,0.00010699,0.00011000,0.00010699,0.00011000,83383.00000000,1514094179999,9.02546377,77,39588.00000000,4.30593027
1514094180000,0.00010916,0.00011100,0.00010830,0.00011000,44169.00000000,1514094239999,4.85632827,65,18262.00000000,2.01588531
