Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1514090400000,0.00240000,0.00250000,0.00180000,0.00180000,3824.00000000,1514090459999,8.45750000,22,2185.00000000,4.56390000
1514090460000,0.00180000,0.00240000,0.00165000,0.00239000,94050.00000000,1514090519999,214.72524350,149,61023.00000000,144.66930040
1514090520000,0.00225000,0.00239000,0.00201000,0.00210000,83577.00000000,1514090579999,183.04608980,91,54103.00000000,122.62400980
1514090580000,0.00210000,0.00210000,0.00165000,0.00165000,153176.00000000,1514090639999,283.35596720,142,57876.00000000,105.02031680
1514090640000,0.00170000,0.00188970,0.00165000,0.00165010,78929.00000000,1514090699999,138.32429080,95,50355.00000000,89.13599480
1514090700000,0.00165100,0.00200000,0.00165010,0.00190000,87766.00000000,1514090759999,161.37805760,129,62071.00000000,115.50213690
1514090760000,0.00190000,0.00209900,0.00188100,0.00205000,120686.00000000,1514090819999,241.23864010,140,112747.00000000,225.81134640
1514090820000,0.00209900,0.00220000,0.00202140,0.00220000,97982.00000000,1514090879999,211.04626740,169,88701.00000000,191.18332300
1514090880000,0.00220000,0.00220000,0.00202140,0.00220000,119080.00000000,1514090939999,260.56224030,195,109573.00000000,240.76553040
1514090940000,0.00220000,0.00220000,0.00202200,0.00219970,105006.00000000,1514090999999,229.81206940,183,93021.00000000,204.50433060
1514091000000,0.00219990,0.00220000,0.00210040,0.00215000,69334.00000000,1514091059999,152.05259800,121,57577.00000000,126.65040180
1514091060000,0.00212000,0.00219690,0.00203000,0.00215900,41804.00000000,1514091119999,88.91762580,71,25850.00000000,55.69851400
1514091120000,0.00213000,0.00213000,0.00181320,0.00190000,54946.00000000,1514091179999,109.22714340,82,16577.00000000,33.04340260
1514091180000,0.00195000,0.00209990,0.00181340,0.00209900,77045.00000000,1514091239999,152.93159840,102,63155.00000000,126.50949380
