Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1514184600000,0.10000000,0.10000000,0.10000000,0.10000000,1.00000000,1514184659999,0.10000000,1,1.00000000,0.10000000
1514184660000,0.08884400,0.08884400,0.08884400,0.08884400,0.28000000,1514184719999,0.02487632,1,0.28000000,0.02487632
1514184720000,0.00510000,0.00510000,0.00510000,0.00510000,4.99000000,1514184779999,0.02544900,1,0.00000000,0.00000000
1514184780000,0.08700000,0.08700000,0.08500000,0.08500000,1.04000000,1514184839999,0.09040000,2,1.04000000,0.09040000
1514184840000,0.08000000,0.08000000,0.00830000,0.00910000,220.74000000,1514184899999,1.99715900,10,92.90000000,0.85608700
1514184900000,0.00830000,0.00830100,0.00830000,0.00830000,541.98000000,1514184959999,4.49848400,15,75.06000000,0.62299800
1514184960000,0.00830000,0.00830000,0.00650200,0.00650200,142.31000000,1514185019999,0.92549376,3,0.07000000,0.00058100
1514185020000,0.00829900,0.00829900,0.00827600,0.00827600,37.50000000,1514185079999,0.31056689,4,37.50000000,0.31056689
1514185080000,0.00660000,0.00660000,0.00656500,0.00656500,277.60000000,1514185139999,1.82912690,2,0.00000000,0.00000000
1514185140000,0.00660200,0.00660200,0.00660100,0.00660200,834.03000000,1514185199999,5.50562000,8,88.00000000,0.58097600
1514185200000,0.00818900,0.00818900,0.00680100,0.00680100,67.92000000,1514185259999,0.46556048,2,2.62000000,0.02145518
1514185260000,0.00700000,0.00830100,0.00700000,0.00830100,1202.40000000,1514185319999,9.08281011,23,791.81000000,6.20861669
1514185320000,0.00889900,0.00910000,0.00889900,0.00910000,869.65000000,1514185379999,7.83543673,17,869.64000000,7.83534573
1514185380000,0.01000000,0.01200000,0.01000000,0.01200000,1441.42000000,1514185439999,14.83618654,23,491.85000000,5.26500900
1514185440000,0.01499900,0.01499900,0.01208600,0.01208600,1760.32000000,1514185499999,21.80461220,26,1468.87000000,18.28032212
1514185500000,0.01201000,0.01208600,0.01000000,0.01000000,2343.02000000,1514185559999,25.47184481,33,1104.84000000,11.92322138
1514185560000,0.01200000,0.01400000,0.00710300,0.01400000,647.20000000,1514185619999,6.23299322,16,246.34000000,2.95693640
1514185620000,0.00800000,0.01399000,0.00800000,0.01000000,3134.15000000,1514185679999,32.22087184,16,2397.67000000,24.70335384
1514185680000,0.01000000,0.01000100,0.01000000,0.01000000,606.43000000,1514185739999,6.06432445,7,218.56000000,2.18560000
1514185740000,0.01000500,0.01100000,0.01000000,0.01100000,950.55000000,1514185799999,9.50760355,7,741.84000000,7.41965000
1514185800000,0.01100000,0.01100000,0.01000000,0.01099900,145.69000000,1514185859999,1.57197374,7,145.69000000,1.57197374
1514185860000,0.01099900,0.01099900,0.01099800,0.01099900,94.12000000,1514185919999,1.03520146,3,94.12000000,1.03520146
1514185920000,0.01099800,0.01099900,0.01000100,0.01000100,488.20000000,1514185979999,5.35724357,17,385.53000000,4.24003405
1514185980000,0.01099400,0.01099900,0.01099400,0.01099500,380.19000000,1514186039999,4.18061182,10,355.46000000,3.90870547
1514186040000,0.01099000,0.01099000,0.01098900,0.01098900,85.69000000,1514186099999,0.94169334,6,44.83000000,0.49264194
1514186100000,0.01000200,0.01097900,0.01000200,0.01097900,66.35000000,1514186159999,0.66365224,4,0.02000000,0.00021958
1514186160000,0.01003200,0.01087900,0.00851000,0.00851000,447.61000000,1514186219999,4.14042352,21,2.68000000,0.02915572
1514186220000,0.00851000,0.00880000,0.00850100,0.00880000,953.00000000,1514186279999,8.17187932,15,221.06000000,1.94532800
1514186280000,0.00880000,0.00880000,0.00850100,0.00850100,8882.99000000,1514186339999,76.34604010,12,7234.55000000,62.29585198
1514186340000,0.00810100,0.00880000,0.00810000,0.00810000,1014.16000000,1514186399999,8.22173303,9,711.34000000,5.76885400
1514186400000,0.00810000,0.00858100,0.00810000,0.00858100,1000.02000000,1514186459999,8.10017162,6,885.55000000,7.17296462
1514186460000,0.00848100,0.00848100,0.00827600,0.00848000,264.83000000,1514186519999,2.23014487,8,264.83000000,2.23014487
1514186520000,0.00999400,0.00999400,0.00820500,0.00820500,19.90000000,1514186579999,0.18116950,2,10.00000000,0.09994000
1514186580000,0.00997400,0.00997400,0.00831800,0.00831800,105.31000000,1514186639999,1.04829194,2,104.06000000,1.03789444
1514186640000,0.00975300,0.00975300,0.00846000,0.00846000,50.53000000,1514186699999,0.43562641,4,0.00000000,0.00000000
1514186700000,0.00846000,0.00846000,0.00846000,0.00846000,0.00000000,1514186759999,0.00000000,0,0.00000000,0.00000000
1514186760000,0.00846300,0.00846300,0.00846300,0.00846300,16.72000000,1514186819999,0.14150136,2,0.00000000,0.00000000
1514186820000,0.00846400,0.00846400,0.00846000,0.00846000,480.37000000,1514186879999,4.06463669,13,29.00000000,0.24534000
1514186880000,0.00846000,0.00846000,0.00831800,0.00831800,491.56000000,1514186939999,4.09684808,12,125.02000000,1.04303920
1514186940000,0.00820500,0.00820500,0.00820000,0.00820000,365.82000000,1514186999999,2.99973400,7,124.05000000,1.01721000
1514187000000,0.00800000,0.00832000,0.00711000,0.00800000,1493.32000000,1514187059999,11.12755651,24,138.49000000,1.10819400
1514187060000,0.00800000,0.00831800,0.00800000,0.00831800,1214.36000000,1514187119999,9.90351068,8,1214.36000000,9.90351068
1514187120000,0.00829500,0.00829900,0.00820000,0.00829900,1062.74000000,1514187179999,8.80058221,19,698.03000000,5.77531276
1514187180000,0.00829900,0.00832000,0.00829900,0.00832000,165.15000000,1514187239999,1.37296581,6,161.88000000,1.34582808
1514187240000,0.00846000,0.00846000,0.00711100,0.00845200,443.96000000,1514187299999,3.39223829,10,117.00000000,0.98976400
1514187300000,0.00820000,0.00843100,0.00820000,0.00842300,1645.07000000,1514187359999,13.56148234,8,1645.07000000,13.56148234
1514187360000,0.00842400,0.00842400,0.00842400,0.00842400,44.98000000,1514187419999,0.37891152,3,44.98000000,0.37891152
1514187420000,0.00889900,0.00890000,0.00889900,0.00890000,188.18000000,1514187479999,1.67465067,5,188.18000000,1.67465067
1514187480000,0.00890000,0.00890000,0.00890000,0.00890000,132.92000000,1514187539999,1.18298800,6,115.69000000,1.02964100
1514187540000,0.00900000,0.00900000,0.00900000,0.00900000,23.27000000,1514187599999,0.20943000,4,23.27000000,0.20943000
1514187600000,0.00950000,0.00950000,0.00950000,0.00950000,104.30000000,1514187659999,0.99085000,3,104.30000000,0.99085000
1514187660000,0.00969000,0.00997400,0.00900100,0.00900100,594.99000000,1514187719999,5.76522272,17,443.31000000,4.32750336
1514187720000,0.00900300,0.00900300,0.00900300,0.00900300,33.00000000,1514187779999,0.29709900,1,0.00000000,0.00000000
1514187780000,0.00900400,0.00969000,0.00850000,0.00850000,133.09000000,1514187839999,1.19408134,10,23.21000000,0.20889000
1514187840000,0.00975000,0.00975000,0.00850000,0.00850000,91.65000000,1514187899999,0.78265451,6,0.00000000,0.00000000
1514187900000,0.00974900,0.00975300,0.00970000,0.00975200,63.46000000,1514187959999,0.61799882,5,63.46000000,0.61799882
1514187960000,0.00945900,0.00946000,0.00945900,0.00946000,74.98000000,1514188019999,0.70928680,5,74.98000000,0.70928680
1514188020000,0.00946000,0.00946000,0.00946000,0.00946000,12.66000000,1514188079999,0.11976360,2,3.58000000,0.03386680
1514188080000,0.00946000,0.00946000,0.00900200,0.00900200,7.99000000,1514188139999,0.07193056,3,0.00000000,0.00000000
1514188140000,0.00974800,0.00974800,0.00960000,0.00960000,241.63000000,1514188199999,2.32146396,4,241.63000000,2.32146396
1514188200000,0.00901100,0.00901100,0.00850000,0.00850000,10314.21000000,1514188259999,87.83052108,17,9503.27000000,80.77779500
1514188260000,0.00850000,0.00850000,0.00840000,0.00849900,146.77000000,1514188319999,1.24260450,13,95.12000000,0.80621079
1514188320000,0.00800100,0.00800100,0.00780000,0.00780000,488.06000000,1514188379999,3.88232725,7,0.00000000,0.00000000
1514188380000,0.00871100,0.00871100,0.00871000,0.00871100,96.86000000,1514188439999,0.84373476,3,13.10000000,0.11410140
1514188440000,0.00871100,0.00871100,0.00871100,0.00871100,12.42000000,1514188499999,0.10819062,1,12.42000000,0.10819062
1514188500000,0.00800000,0.00871100,0.00800000,0.00800200,479.99000000,1514188559999,4.07700475,12,334.40000000,2.91208165
1514188560000,0.00871000,0.00871100,0.00871000,0.00871100,116.02000000,1514188619999,1.01057874,4,116.02000000,1.01057874
1514188620000,0.00871100,0.00871200,0.00871100,0.00871200,2726.89000000,1514188679999,23.75666524,11,2726.89000000,23.75666524
1514188680000,0.00871100,0.00871200,0.00812200,0.00861000,210.06000000,1514188739999,1.79492141,7,147.37000000,1.27857819
1514188740000,0.00865000,0.00865000,0.00863300,0.00863300,31.70000000,1514188799999,0.27417610,2,0.00000000,0.00000000
1514188800000,0.00861000,0.00861000,0.00858900,0.00858900,7.47000000,1514188859999,0.06429003,2,7.47000000,0.06429003
1514188860000,0.00858900,0.00858900,0.00858900,0.00858900,0.50000000,1514188919999,0.00429450,1,0.50000000,0.00429450
1514188920000,0.00858900,0.00858900,0.00820000,0.00820000,4902.43000000,1514188979999,40.22601958,15,4675.26000000,38.33759491
1514188980000,0.00820000,0.00820000,0.00820000,0.00820000,1681.37000000,1514189039999,13.78723400,25,1681.37000000,13.78723400
1514189040000,0.00820000,0.00820000,0.00820000,0.00820000,2286.91000000,1514189099999,18.75266200,5,2286.91000000,18.75266200
1514189100000,0.00820000,0.00820000,0.00820000,0.00820000,1130.48000000,1514189159999,9.26993600,2,1130.48000000,9.26993600
1514189160000,0.00820000,0.00820000,0.00810000,0.00810000,2058.88000000,1514189219999,16.79418405,15,0.00000000,0.00000000
1514189220000,0.00810000,0.00810100,0.00810000,0.00810000,1430.57000000,1514189279999,11.58785988,11,0.00000000,0.00000000
1514189280000,0.00810000,0.00810000,0.00810000,0.00810000,341.10000000,1514189339999,2.76291000,6,0.00000000,0.00000000
1514189340000,0.00812300,0.00812300,0.00812300,0.00812300,48.15000000,1514189399999,0.39112245,3,48.15000000,0.39112245
1514189400000,0.00812300,0.00812300,0.00810100,0.00810100,163.65000000,1514189459999,1.32799905,6,133.53000000,1.08399693
1514189460000,0.00810000,0.00838400,0.00810000,0.00838400,35.00000000,1514189519999,0.28634000,2,10.00000000,0.08384000
1514189520000,0.00838400,0.00838400,0.00810200,0.00810200,758.38000000,1514189579999,6.28389734,7,26.50000000,0.22217600
1514189580000,0.00810200,0.00810200,0.00810000,0.00810000,322.81000000,1514189639999,2.61481064,3,0.00000000,0.00000000
1514189640000,0.00810000,0.00810000,0.00810000,0.00810000,221.19000000,1514189699999,1.79163900,2,0.00000000,0.00000000
1514189700000,0.00810200,0.00829800,0.00810200,0.00829800,10.64000000,1514189759999,0.08620724,2,10.64000000,0.08620724
1514189760000,0.00829800,0.00829800,0.00829800,0.00829800,19.23000000,1514189819999,0.15957054,2,19.23000000,0.15957054
1514189820000,0.00829800,0.00829800,0.00829800,0.00829800,10.00000000,1514189879999,0.08298000,1,10.00000000,0.08298000
1514189880000,0.00829800,0.00829800,0.00829800,0.00829800,0.00000000,1514189939999,0.00000000,0,0.00000000,0.00000000
1514189940000,0.00829800,0.00829800,0.00829700,0.00829700,11.54000000,1514189999999,0.09574792,2,11.54000000,0.09574792
1514190000000,0.00829700,0.00829700,0.00829700,0.00829700,0.00000000,1514190059999,0.00000000,0,0.00000000,0.00000000
1514190060000,0.00829700,0.00829700,0.00829700,0.00829700,0.00000000,1514190119999,0.00000000,0,0.00000000,0.00000000
1514190120000,0.00829700,0.00829700,0.00829700,0.00829700,0.00000000,1514190179999,0.00000000,0,0.00000000,0.00000000
1514190180000,0.00810300,0.00810300,0.00810100,0.00810100,132.01000000,1514190239999,1.06944701,5,0.00000000,0.00000000
1514190240000,0.00810100,0.00810100,0.00810000,0.00810000,584.12000000,1514190299999,4.73142399,3,0.00000000,0.00000000
1514190300000,0.00810100,0.00829800,0.00810100,0.00829800,567.22000000,1514190359999,4.69905299,12,556.59000000,4.61293936
1514190360000,0.00829800,0.00829800,0.00829700,0.00829700,276.95000000,1514190419999,2.29812210,2,267.95000000,2.22344910
1514190420000,0.00810100,0.00838300,0.00810100,0.00838300,12.68000000,1514190479999,0.10272350,3,0.01000000,0.00008383
1514190480000,0.00838400,0.00838400,0.00838400,0.00838400,2.91000000,1514190539999,0.02439744,1,2.91000000,0.02439744
1514190540000,0.00859800,0.00871200,0.00859800,0.00871200,2487.05000000,1514190599999,21.62226948,25,2487.05000000,21.62226948
1514190600000,0.00870900,0.00870900,0.00870900,0.00870900,27.44000000,1514190659999,0.23897496,1,27.44000000,0.23897496
1514190660000,0.00870900,0.00870900,0.00870900,0.00870900,0.00000000,1514190719999,0.00000000,0,0.00000000,0.00000000
1514190720000,0.00868900,0.00870900,0.00868900,0.00870900,182.93000000,1514190779999,1.59203875,3,58.93000000,0.51212275
1514190780000,0.00870900,0.00870900,0.00870900,0.00870900,0.00000000,1514190839999,0.00000000,0,0.00000000,0.00000000
1514190840000,0.00870900,0.00870900,0.00870900,0.00870900,178.09000000,1514190899999,1.55098581,3,0.00000000,0.00000000
1514190900000,0.00870800,0.00870900,0.00870800,0.00870900,45.03000000,1514190959999,0.39216427,3,45.03000000,0.39216427
1514190960000,0.00870900,0.00870900,0.00870900,0.00870900,0.00000000,1514191019999,0.00000000,0,0.00000000,0.00000000
1514191020000,0.00870900,0.00870900,0.00822300,0.00822300,518.06000000,1514191079999,4.26882624,5,1.20000000,0.01045080
