Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1513828260000,0.00300000,0.00300000,0.00030000,0.00300000,1974.00000000,1513828319999,4.73130000,16,1533.00000000,4.59900000
1513828320000,0.00300000,0.00300000,0.00249999,0.00249999,2615.00000000,1513828379999,6.89371269,22,2615.00000000,6.89371269
1513828380000,0.00249000,0.00249000,0.00200000,0.00200000,19074.00000000,1513828439999,45.14602000,41,18228.00000000,43.45402000
1513828440000,0.00200000,0.00200000,0.00140000,0.00149998,80611.00000000,1513828499999,121.93649186,73,80290.00000000,121.45499186
1513828500000,0.00149998,0.00149998,0.00145000,0.00145000,12419.00000000,1513828559999,18.24630763,51,12419.00000000,18.24630763
1513828560000,0.00145000,0.00145000,0.00110000,0.00144999,142750.00000000,1513828619999,168.14678600,121,138038.00000000,162.80770350
1513828620000,0.00145000,0.00145000,0.00110005,0.00114000,114323.00000000,1513828679999,158.74813214,103,102229.00000000,142.12813400
1513828680000,0.00139000,0.00139000,0.00110009,0.00114000,68697.00000000,1513828739999,88.87439773,71,64327.00000000,83.93250423
1513828740000,0.00116000,0.00128000,0.00110003,0.00126900,31386.00000000,1513828799999,35.43257689,30,4091.00000000,5.23378274
1513828800000,0.00122000,0.00127000,0.00111100,0.00119000,86655.00000000,1513828859999,103.99219000,71,85228.00000000,102.35788200
1513828860000,0.00111111,0.00119900,0.00111002,0.00113000,87230.00000000,1513828919999,103.29675781,111,82288.00000000,97.73617985
1513828920000,0.00118800,0.00123332,0.00112000,0.00113000,83157.00000000,1513828979999,97.62815092,69,73168.00000000,86.33929817
1513828980000,0.00122000,0.00122000,0.00112000,0.00122000,13028.00000000,1513829039999,15.14008280,20,4111.00000000,4.81542000
1513829040000,0.00122899,0.00122899,0.00118999,0.00122800,76031.00000000,1513829099999,93.17923619,73,73837.00000000,90.55786936
1513829100000,0.00122800,0.00122800,0.00118000,0.00122770,37745.00000000,1513829159999,46.34235810,38,25406.00000000,31.19424480
1513829160000,0.00122770,0.00122800,0.00118000,0.00122770,81082.00000000,1513829219999,99.54479109,78,68818.00000000,84.48985210
