Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1513584720000,0.45000000,0.45000000,0.45000000,0.45000000,10.00000000,1513584779999,4.50000000,1,10.00000000,4.50000000
1513584780000,0.45000000,0.45000000,0.45000000,0.45000000,0.00000000,1513584839999,0.00000000,0,0.00000000,0.00000000
1513584840000,0.25000000,0.25000000,0.03001000,0.03001000,30211.39000000,1513584899999,953.14750000,14,27169.58000000,861.86278190
1513584900000,0.03000000,0.04000000,0.01000000,0.01000000,40266.00000000,1513584959999,1068.77780000,8,7060.11000000,70.60110000
1513584960000,0.03800000,0.04000000,0.03800000,0.04000000,20559.30000000,1513585019999,805.11679000,20,20466.43000000,801.40199000
1513585020000,0.04000000,0.04000000,0.04000000,0.04000000,506.87000000,1513585079999,20.27480000,2,0.00000000,0.00000000
1513585080000,0.04000000,0.06500000,0.04000000,0.06500000,89602.52000000,1513585139999,5824.16055000,42,30184.27000000,1961.97430000
1513585140000,0.06499000,0.06500000,0.06480000,0.06480000,2742.22000000,1513585199999,178.19363600,5,2742.22000000,178.19363600
1513585200000,0.06000000,0.06470000,0.06000000,0.06400000,59317.25000000,1513585259999,3722.52362730,43,59316.78000000,3722.49322300
1513585260000,0.06469000,0.06469000,0.06439000,0.06439000,2480.79000000,1513585319999,159.88822710,4,2480.79000000,159.88822710
1513585320000,0.06400000,0.06439000,0.05000000,0.05000000,27837.57000000,1513585379999,1576.21278230,17,21927.54000000,1256.22194860
1513585380000,0.05000000,0.05000000,0.05000000,0.05000000,8000.00000000,1513585439999,400.00000000,3,8000.00000000,400.00000000
1513585440000,0.05000000,0.06200000,0.05000000,0.05001000,14863.50000000,1513585499999,756.04008000,12,7920.74000000,408.90208000
1513585500000,0.05001000,0.06000000,0.05001000,0.05001000,24487.21000000,1513585559999,1362.12299850,29,11204.00000000,660.21204000
1513585560000,0.05001000,0.05001000,0.05001000,0.05001000,48716.45000000,1513585619999,2436.30966450,21,16340.00000000,817.16340000
1513585620000,0.05001000,0.05001000,0.05001000,0.05001000,2828.80000000,1513585679999,141.46828800,3,2828.80000000,141.46828800
1513585680000,0.05800000,0.05800000,0.05687000,0.05687000,1773.92000000,1513585739999,102.01283040,2,1773.92000000,102.01283040
1513585740000,0.05606000,0.05606000,0.05006000,0.05006000,24407.94000000,1513585799999,1287.73622040,11,15157.94000000,823.84670880
1513585800000,0.05007000,0.05007000,0.05006000,0.05006000,7000.00000000,1513585859999,350.42149220,8,5493.25000000,274.99209500
1513585860000,0.05200000,0.05200000,0.05000000,0.05000000,20815.50000000,1513585919999,1080.81600000,10,20720.50000000,1076.06600000
1513585920000,0.05000000,0.05200000,0.05000000,0.05100000,26584.19000000,1513585979999,1380.92488000,12,26254.19000000,1364.42488000
1513585980000,0.05100000,0.05100000,0.05100000,0.05100000,2859.47000000,1513586039999,145.83297000,2,0.00000000,0.00000000
1513586040000,0.05270000,0.05270000,0.05100000,0.05100000,33896.99000000,1513586099999,1728.80559000,18,30052.10000000,1532.71620000
1513586100000,0.04502000,0.04502000,0.04500000,0.04500000,27851.13000000,1513586159999,1253.40423260,9,0.00000000,0.00000000
1513586160000,0.04500000,0.04999000,0.04491000,0.04999000,95282.85000000,1513586219999,4310.75565050,40,10190.06000000,457.64317030
1513586220000,0.04999000,0.04999000,0.04504000,0.04504000,3057.19000000,1513586279999,138.59005510,5,2935.14000000,133.09292310
1513586280000,0.04504000,0.04504000,0.04504000,0.04504000,0.00000000,1513586339999,0.00000000,0,0.00000000,0.00000000
1513586340000,0.04504000,0.04504000,0.04502000,0.04502000,6550.00000000,1513586399999,294.98600000,3,0.00000000,0.00000000
1513586400000,0.04502000,0.04502000,0.04502000,0.04502000,0.00000000,1513586459999,0.00000000,0,0.00000000,0.00000000
1513586460000,0.04700000,0.04700000,0.04700000,0.04700000,1000.00000000,1513586519999,47.00000000,1,1000.00000000,47.00000000
1513586520000,0.04700000,0.04700000,0.04700000,0.04700000,0.00000000,1513586579999,0.00000000,0,0.00000000,0.00000000
1513586580000,0.04600000,0.04700000,0.04455000,0.04455000,15993.78000000,1513586639999,727.28732700,21,3700.00000000,173.88203000
1513586640000,0.04411000,0.04500000,0.04374000,0.04500000,1485.72000000,1513586699999,65.79425500,8,717.80000000,32.09964380
1513586700000,0.04400000,0.04400000,0.03501000,0.03501000,26100.00000000,1513586759999,1039.51694990,12,0.00000000,0.00000000
1513586760000,0.04400000,0.04400000,0.04400000,0.04400000,377.84000000,1513586819999,16.62496000,1,377.84000000,16.62496000
1513586820000,0.04370000,0.04370000,0.04370000,0.04370000,5113.00000000,1513586879999,223.43810000,3,5113.00000000,223.43810000
1513586880000,0.04369000,0.04369000,0.04311000,0.04311000,3885.88000000,1513586939999,168.68028680,4,3885.88000000,168.68028680
1513586940000,0.04311000,0.04500000,0.04311000,0.04499000,29309.26000000,1513586999999,1308.53648730,26,29309.26000000,1308.53648730
1513587000000,0.04500000,0.04596000,0.04500000,0.04596000,5821.35000000,1513587059999,266.01075800,7,5821.35000000,266.01075800
1513587060000,0.04678000,0.04678000,0.03388000,0.03388000,10976.12000000,1513587119999,378.19906130,9,38.12000000,1.78325360
1513587120000,0.04518000,0.04596000,0.04502000,0.04517000,19068.75000000,1513587179999,869.43440470,11,8141.22000000,367.20512590
1513587180000,0.04517000,0.04600000,0.04517000,0.04600000,7769.53000000,1513587239999,357.28755140,6,7769.53000000,357.28755140
1513587240000,0.04678000,0.04700000,0.04678000,0.04700000,9435.00000000,1513587299999,442.58064000,15,9078.94000000,425.92415320
1513587300000,0.04699000,0.04699000,0.04699000,0.04699000,1544.00000000,1513587359999,72.55256000,2,1544.00000000,72.55256000
1513587360000,0.04600000,0.04699000,0.04600000,0.04666000,7404.00000000,1513587419999,344.28660000,9,5948.00000000,276.85916000
1513587420000,0.04666000,0.04778000,0.04666000,0.04778000,5056.26000000,1513587479999,241.30661680,4,5056.26000000,241.30661680
1513587480000,0.04778000,0.04853000,0.04768000,0.04768000,563.80000000,1513587539999,27.01563400,4,160.80000000,7.80059400
1513587540000,0.04768000,0.04768000,0.04768000,0.04768000,100.00000000,1513587599999,4.76800000,1,100.00000000,4.76800000
1513587600000,0.04768000,0.04768000,0.04768000,0.04768000,13.18000000,1513587659999,0.62842240,1,13.18000000,0.62842240
1513587660000,0.04768000,0.04768000,0.04768000,0.04768000,31.22000000,1513587719999,1.48856960,2,31.22000000,1.48856960
1513587720000,0.04767000,0.04767000,0.04767000,0.04767000,100.00000000,1513587779999,4.76700000,1,100.00000000,4.76700000
1513587780000,0.04767000,0.04767000,0.04767000,0.04767000,0.00000000,1513587839999,0.00000000,0,0.00000000,0.00000000
1513587840000,0.04767000,0.04767000,0.04767000,0.04767000,0.00000000,1513587899999,0.00000000,0,0.00000000,0.00000000
1513587900000,0.04767000,0.04767000,0.04767000,0.04767000,0.00000000,1513587959999,0.00000000,0,0.00000000,0.00000000
1513587960000,0.04600000,0.04600000,0.04600000,0.04600000,474.00000000,1513588019999,21.80400000,2,237.00000000,10.90200000
1513588020000,0.04600000,0.04600000,0.04600000,0.04600000,1434.06000000,1513588079999,65.96676000,1,0.00000000,0.00000000
1513588080000,0.04600000,0.04600000,0.04600000,0.04600000,1771.51000000,1513588139999,81.48946000,1,0.00000000,0.00000000
1513588140000,0.04600000,0.04600000,0.04600000,0.04600000,0.00000000,1513588199999,0.00000000,0,0.00000000,0.00000000
1513588200000,0.04624000,0.04624000,0.04600000,0.04600000,9193.55000000,1513588259999,424.05188000,8,9071.50000000,418.43758000
1513588260000,0.04600000,0.04600000,0.04600000,0.04600000,110.97000000,1513588319999,5.10462000,2,0.00000000,0.00000000
1513588320000,0.04600000,0.04697000,0.04600000,0.04697000,2770.45000000,1513588379999,129.77065590,7,2770.45000000,129.77065590
1513588380000,0.04697000,0.04700000,0.04697000,0.04700000,3999.87000000,1513588439999,187.97888970,9,3999.87000000,187.97888970
1513588440000,0.04697000,0.04768000,0.04697000,0.04768000,5947.69000000,1513588499999,282.59009660,12,2733.35000000,130.28603280
1513588500000,0.04768000,0.04768000,0.04768000,0.04768000,0.00000000,1513588559999,0.00000000,0,0.00000000,0.00000000
1513588560000,0.04750000,0.04854000,0.04750000,0.04854000,10146.41000000,1513588619999,487.33174360,13,10146.41000000,487.33174360
1513588620000,0.04925000,0.05100000,0.04925000,0.05100000,20145.79000000,1513588679999,1004.49259810,20,13437.79000000,674.12359810
1513588680000,0.05100000,0.05280000,0.05100000,0.05280000,4503.11000000,1513588739999,233.09961000,9,4303.11000000,222.89961000
1513588740000,0.05280000,0.06000000,0.05280000,0.05500000,12330.76000000,1513588799999,688.50500000,19,8420.04000000,475.11640000
1513588800000,0.05500000,0.05500000,0.05280000,0.05280000,21967.29000000,1513588859999,1166.43702800,21,946.72000000,51.30635000
1513588860000,0.05280000,0.05280000,0.05280000,0.05280000,31.00000000,1513588919999,1.63680000,1,31.00000000,1.63680000
1513588920000,0.05280000,0.05280000,0.04925000,0.04925000,6057.90000000,1513588979999,310.71094500,12,4176.64000000,217.81709000
1513588980000,0.04987000,0.04987000,0.04987000,0.04987000,478.00000000,1513589039999,23.83786000,2,478.00000000,23.83786000
1513589040000,0.04987000,0.04987000,0.04987000,0.04987000,0.00000000,1513589099999,0.00000000,0,0.00000000,0.00000000
1513589100000,0.05279000,0.05279000,0.05279000,0.05279000,2948.66000000,1513589159999,155.65976140,1,2948.66000000,155.65976140
1513589160000,0.05279000,0.05279000,0.05104000,0.05279000,689.50000000,1513589219999,36.36370500,7,669.50000000,35.34290500
1513589220000,0.05279000,0.05300000,0.05121000,0.05200000,11151.56000000,1513589279999,590.32133360,14,4193.25000000,222.05998360
1513589280000,0.05200000,0.05299000,0.05200000,0.05299000,2616.79000000,1513589339999,137.94100210,3,1886.79000000,99.98100210
1513589340000,0.05200000,0.05200000,0.05100000,0.05200000,13899.71000000,1513589399999,722.68492000,18,2415.62000000,125.61224000
