Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1513584660000,0.00002500,0.00002500,0.00002500,0.00002500,2.00000000,1513584719999,0.00005000,1,2.00000000,0.00005000
1513584720000,0.00000950,0.00002200,0.00000950,0.00001400,86602.00000000,1513584779999,1.04473905,32,38943.00000000,0.55532437
1513584780000,0.00001400,0.00001400,0.00000980,0.00001199,80215.00000000,1513584839999,0.97889790,38,37798.00000000,0.47282155
1513584840000,0.00001199,0.00001199,0.00000980,0.00001000,270823.00000000,1513584899999,2.81792595,88,87606.00000000,0.95428436
1513584900000,0.00001002,0.00001140,0.00000950,0.00001140,654663.00000000,1513584959999,6.69811943,128,278344.00000000,2.85522321
1513584960000,0.00001140,0.00001800,0.00001100,0.00001330,670316.00000000,1513585019999,9.25935446,141,420669.00000000,5.98236434
1513585020000,0.00001270,0.00001600,0.00001270,0.00001500,590486.00000000,1513585079999,8.26316411,166,339556.00000000,4.93613350
1513585080000,0.00001500,0.00001700,0.00001400,0.00001600,818379.00000000,1513585139999,13.08443971,154,355811.00000000,5.79111783
1513585140000,0.00001700,0.00001989,0.00001600,0.00001900,498530.00000000,1513585199999,8.98388153,165,244926.00000000,4.50383895
1513585200000,0.00001989,0.00002550,0.00001989,0.00002300,836631.00000000,1513585259999,18.68730841,315,391589.00000000,8.86923962
1513585260000,0.00002300,0.00002550,0.00001700,0.00001744,925826.00000000,1513585319999,19.71515932,263,366750.00000000,8.10320644
1513585320000,0.00001747,0.00001988,0.00001747,0.00001823,939762.00000000,1513585379999,17.59287807,270,351622.00000000,6.80180430
1513585380000,0.00001823,0.00001940,0.00001800,0.00001800,1500386.00000000,1513585439999,27.27363956,222,182505.00000000,3.44355308
1513585440000,0.00001800,0.00001800,0.00001600,0.00001700,564729.00000000,1513585499999,9.84742923,110,69083.00000000,1.21558337
1513585500000,0.00001600,0.00001700,0.00001511,0.00001570,776499.00000000,1513585559999,12.25614019,146,163921.00000000,2.62369458
1513585560000,0.00001600,0.00001710,0.00001571,0.00001650,725487.00000000,1513585619999,11.78947403,146,399764.00000000,6.49194199
1513585620000,0.00001650,0.00001800,0.00001610,0.00001800,791809.00000000,1513585679999,13.33370900,203,277190.00000000,4.73972809
1513585680000,0.00001800,0.00001885,0.00001660,0.00001660,764160.00000000,1513585739999,13.52749236,166,247488.00000000,4.45091722
1513585740000,0.00001660,0.00001740,0.00001660,0.00001740,467594.00000000,1513585799999,8.00230902,73,227994.00000000,3.86939315
1513585800000,0.00001688,0.00001750,0.00001630,0.00001675,472642.00000000,1513585859999,7.95372314,127,122021.00000000,2.07167276
1513585860000,0.00001660,0.00001710,0.00001625,0.00001690,229827.00000000,1513585919999,3.86205302,77,32561.00000000,0.55005736
1513585920000,0.00001690,0.00001710,0.00001673,0.00001699,228451.00000000,1513585979999,3.86380620,89,103117.00000000,1.75055495
1513585980000,0.00001681,0.00001700,0.00001673,0.00001676,169490.00000000,1513586039999,2.85550085,69,60767.00000000,1.03015094
1513586040000,0.00001673,0.00001675,0.00001583,0.00001600,913300.00000000,1513586099999,14.83039318,152,253941.00000000,4.10704198
1513586100000,0.00001583,0.00001600,0.00001386,0.00001451,738522.00000000,1513586159999,11.10921055,163,157364.00000000,2.37921843
1513586160000,0.00001451,0.00001598,0.00001388,0.00001500,877834.00000000,1513586219999,13.24733103,141,341456.00000000,5.25058073
1513586220000,0.00001540,0.00001600,0.00001465,0.00001550,375391.00000000,1513586279999,5.83577514,63,146128.00000000,2.26275801
1513586280000,0.00001569,0.00001569,0.00001500,0.00001550,195458.00000000,1513586339999,3.01633544,36,72472.00000000,1.11430130
1513586340000,0.00001550,0.00001599,0.00001520,0.00001540,297542.00000000,1513586399999,4.61740620,64,115386.00000000,1.79995883
1513586400000,0.00001549,0.00001549,0.00001500,0.00001548,1029320.00000000,1513586459999,15.82947190,154,434546.00000000,6.71274201
1513586460000,0.00001548,0.00001550,0.00001515,0.00001523,262560.00000000,1513586519999,4.01857818,91,59069.00000000,0.91307604
1513586520000,0.00001523,0.00001525,0.00001486,0.00001486,403594.00000000,1513586579999,6.09836225,104,82014.00000000,1.23209293
1513586580000,0.00001486,0.00001500,0.00001419,0.00001425,274709.00000000,1513586639999,4.00465945,92,53393.00000000,0.79608244
1513586640000,0.00001430,0.00001500,0.00001410,0.00001421,607809.00000000,1513586699999,8.96757394,136,96418.00000000,1.42810728
1513586700000,0.00001422,0.00001423,0.00001405,0.00001410,183497.00000000,1513586759999,2.59390309,53,38918.00000000,0.54876284
1513586760000,0.00001401,0.00001410,0.00001357,0.00001370,542376.00000000,1513586819999,7.46674389,102,106357.00000000,1.47746501
1513586820000,0.00001370,0.00001444,0.00001363,0.00001390,352074.00000000,1513586879999,4.86453210,92,42160.00000000,0.58550063
1513586880000,0.00001390,0.00001400,0.00001370,0.00001400,215095.00000000,1513586939999,2.97214559,65,67234.00000000,0.93269359
