Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1513573800000,0.00190000,0.00690000,0.00187000,0.00400000,54350.24000000,1513573859999,224.56479640,61,33045.35000000,128.55551940
1513573860000,0.00400000,0.00400000,0.00187000,0.00320000,57638.28000000,1513573919999,198.08560490,71,49203.37000000,173.58605020
1513573920000,0.00310000,0.00310000,0.00200000,0.00229000,100825.26000000,1513573979999,248.23148666,154,78785.56000000,195.14620170
1513573980000,0.00229000,0.00300000,0.00220000,0.00300000,71887.43000000,1513574039999,185.51757027,129,64426.08000000,167.45387345
1513574040000,0.00300000,0.00300000,0.00210200,0.00279900,113892.77000000,1513574099999,318.59216540,192,92138.90000000,264.04653860
1513574100000,0.00280000,0.00280000,0.00210200,0.00249900,37919.29000000,1513574159999,99.40400242,61,30513.44000000,81.91778710
1513574160000,0.00249400,0.00249400,0.00215000,0.00225000,87969.21000000,1513574219999,206.07370140,116,76504.58000000,180.53608080
1513574220000,0.00225000,0.00229000,0.00215000,0.00220000,69011.31000000,1513574279999,151.93082242,98,45815.38000000,101.26333069
1513574280000,0.00227600,0.00240000,0.00220000,0.00235600,62088.54000000,1513574339999,142.06864360,96,55219.36000000,126.62541092
1513574340000,0.00240000,0.00250000,0.00222100,0.00250000,62983.98000000,1513574399999,150.11612622,83,52540.32000000,126.18938909
1513574400000,0.00246000,0.00285000,0.00239900,0.00285000,146805.24000000,1513574459999,381.48142802,167,140805.41000000,366.75147139
1513574460000,0.00280000,0.00285000,0.00269000,0.00279000,48512.21000000,1513574519999,135.49175033,60,40837.51000000,114.20804458
1513574520000,0.00270000,0.00279000,0.00245000,0.00245000,23292.37000000,1513574579999,60.50981989,56,4469.42000000,12.07351320
1513574580000,0.00245000,0.00269900,0.00245000,0.00260000,31906.74000000,1513574639999,82.01432633,49,13003.38000000,34.01483236
1513574640000,0.00267900,0.00269800,0.00251100,0.00268000,11718.86000000,1513574699999,30.23904770,19,4533.86000000,12.18454421
1513574700000,0.00267900,0.00267900,0.00242000,0.00242000,17896.22000000,1513574759999,45.09447619,63,7692.24000000,19.52988668
1513574760000,0.00242000,0.00242000,0.00212500,0.00240000,171959.36000000,1513574819999,402.59461549,141,57744.51000000,138.35784473
1513574820000,0.00240000,0.00240000,0.00212500,0.00238000,54392.91000000,1513574879999,127.95366845,80,43061.39000000,103.13493325
1513574880000,0.00238000,0.00238000,0.00221100,0.00234600,54355.96000000,1513574939999,125.09719583,61,31528.85000000,74.39176492
1513574940000,0.00234500,0.00234500,0.00190000,0.00190000,142453.67000000,1513574999999,300.08739663,145,75103.62000000,160.75061244
1513575000000,0.00190000,0.00192200,0.00170000,0.00192200,113020.22000000,1513575059999,208.39938305,99,81717.10000000,153.02033823
1513575060000,0.00197900,0.00220000,0.00187900,0.00219000,94314.43000000,1513575119999,186.38462427,95,79103.35000000,156.25101729
1513575120000,0.00218900,0.00218900,0.00191000,0.00209900,65419.22000000,1513575179999,135.97781450,60,56017.42000000,117.21346600
