Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
1513068600000,0.00000177,0.00000250,0.00000170,0.00000170,347112.00000000,1513068659999,0.61757720,11,79874.00000000,0.14497880
1513068660000,0.00000220,0.00000230,0.00000168,0.00000168,61203.00000000,1513068719999,0.11683810,11,30263.00000000,0.06444010
1513068720000,0.00000169,0.00000209,0.00000167,0.00000209,358935.00000000,1513068779999,0.70004553,32,281586.00000000,0.54775851
1513068780000,0.00000208,0.00000208,0.00000195,0.00000195,195877.00000000,1513068839999,0.39189589,34,114443.00000000,0.23262740
1513068840000,0.00000190,0.00000199,0.00000190,0.00000199,246645.00000000,1513068899999,0.48199835,18,209749.00000000,0.41057480
1513068900000,0.00000200,0.00000220,0.00000195,0.00000195,1081287.00000000,1513068959999,2.27446779,47,397532.00000000,0.83430340
1513068960000,0.00000194,0.00000195,0.00000175,0.00000190,762139.00000000,1513069019999,1.42218547,32,421455.00000000,0.80011075
1513069020000,0.00000190,0.00000194,0.00000190,0.00000192,246003.00000000,1513069079999,0.47133030,16,182358.00000000,0.34953748
1513069080000,0.00000191,0.00000209,0.00000182,0.00000194,279366.00000000,1513069139999,0.54488606,25,232465.00000000,0.45565110
1513069140000,0.00000198,0.00000199,0.00000159,0.00000170,2153863.00000000,1513069199999,3.81407384,75,799929.00000000,1.39275533
1513069200000,0.00000176,0.00000176,0.00000161,0.00000161,130362.00000000,1513069259999,0.21785969,14,82544.00000000,0.13942762
1513069260000,0.00000161,0.00000169,0.00000159,0.00000168,660517.00000000,1513069319999,1.07665815,19,363863.00000000,0.60319803
1513069320000,0.00000166,0.00000166,0.00000162,0.00000162,196479.00000000,1513069379999,0.32457528,17,94952.00000000,0.15732943
1513069380000,0.00000164,0.00000164,0.00000155,0.00000159,1334291.00000000,1513069439999,2.15123610,49,287686.00000000,0.46680856
1513069440000,0.00000159,0.00000167,0.00000152,0.00000160,355316.00000000,1513069499999,0.54908838,12,85661.00000000,0.13430571
1513069500000,0.00000157,0.00000160,0.00000155,0.00000157,630499.00000000,1513069559999,0.99031714,31,378931.00000000,0.59975892
1513069560000,0.00000158,0.00000163,0.00000154,0.00000158,1235076.00000000,1513069619999,1.99774953,19,541383.00000000,0.87298742
1513069620000,0.00000158,0.00000166,0.00000157,0.00000160,843090.00000000,1513069679999,1.35733993,26,623707.00000000,1.00671158
1513069680000,0.00000160,0.00000163,0.00000159,0.00000159,528357.00000000,1513069739999,0.85207188,17,63504.00000000,0.10276858
1513069740000,0.00000160,0.00000160,0.00000159,0.00000160,472763.00000000,1513069799999,0.75459801,15,262836.00000000,0.41871481
1513069800000,0.00000161,0.00000162,0.00000157,0.00000160,1200774.00000000,1513069859999,1.91001953,35,479514.00000000,0.76067165
1513069860000,0.00000157,0.00000157,0.00000150,0.00000150,904884.00000000,1513069919999,1.39417478,32,241161.00000000,0.37308490
1513069920000,0.00000150,0.00000154,0.00000150,0.00000154,758966.00000000,1513069979999,1.14917212,25,695866.00000000,1.05390864
